Start,01/01/1992
End,12/01/2012
Frequency,M
Name,EOH HOLDINGS LTD - BOOK VALUE-OUT SHARES-FISCAL
Code,687189(WC05491)
CURRENCY,R
01/01/1992,NA
02/01/1992,NA
03/01/1992,NA
04/01/1992,NA
05/01/1992,NA
06/01/1992,NA
07/01/1992,NA
08/01/1992,NA
09/01/1992,NA
10/01/1992,NA
11/01/1992,NA
12/01/1992,NA
01/01/1993,NA
02/01/1993,NA
03/01/1993,NA
04/01/1993,NA
05/01/1993,NA
06/01/1993,NA
07/01/1993,NA
08/01/1993,NA
09/01/1993,NA
10/01/1993,NA
11/01/1993,NA
12/01/1993,NA
01/01/1994,NA
02/01/1994,NA
03/01/1994,NA
04/01/1994,NA
05/01/1994,NA
06/01/1994,NA
07/01/1994,NA
08/01/1994,NA
09/01/1994,NA
10/01/1994,NA
11/01/1994,NA
12/01/1994,NA
01/01/1995,NA
02/01/1995,NA
03/01/1995,NA
04/01/1995,NA
05/01/1995,NA
06/01/1995,NA
07/01/1995,NA
08/01/1995,NA
09/01/1995,NA
10/01/1995,NA
11/01/1995,NA
12/01/1995,NA
01/01/1996,NA
02/01/1996,NA
03/01/1996,NA
04/01/1996,NA
05/01/1996,NA
06/01/1996,NA
07/01/1996,NA
08/01/1996,NA
09/01/1996,NA
10/01/1996,NA
11/01/1996,NA
12/01/1996,NA
01/01/1997,NA
02/01/1997,NA
03/01/1997,NA
04/01/1997,NA
05/01/1997,NA
06/01/1997,NA
07/01/1997,NA
08/01/1997,NA
09/01/1997,NA
10/01/1997,NA
11/01/1997,NA
12/01/1997,NA
01/01/1998,NA
02/01/1998,NA
03/01/1998,NA
04/01/1998,NA
05/01/1998,NA
06/01/1998,NA
07/01/1998,NA
08/01/1998,0.295
09/01/1998,0.295
10/01/1998,0.295
11/01/1998,0.295
12/01/1998,0.295
01/01/1999,0.295
02/01/1999,0.295
03/01/1999,0.295
04/01/1999,0.295
05/01/1999,0.295
06/01/1999,0.295
07/01/1999,0.295
08/01/1999,0.399
09/01/1999,0.399
10/01/1999,0.399
11/01/1999,0.399
12/01/1999,0.399
01/01/2000,0.399
02/01/2000,0.399
03/01/2000,0.399
04/01/2000,0.399
05/01/2000,0.399
06/01/2000,0.399
07/01/2000,0.399
08/01/2000,0.582
09/01/2000,0.582
10/01/2000,0.582
11/01/2000,0.582
12/01/2000,0.582
01/01/2001,0.582
02/01/2001,0.582
03/01/2001,0.582
04/01/2001,0.582
05/01/2001,0.582
06/01/2001,0.582
07/01/2001,0.582
08/01/2001,0.843
09/01/2001,0.843
10/01/2001,0.843
11/01/2001,0.843
12/01/2001,0.843
01/01/2002,0.843
02/01/2002,0.843
03/01/2002,0.843
04/01/2002,0.843
05/01/2002,0.843
06/01/2002,0.843
07/01/2002,0.843
08/01/2002,1.041
09/01/2002,1.041
10/01/2002,1.041
11/01/2002,1.041
12/01/2002,1.041
01/01/2003,1.041
02/01/2003,1.041
03/01/2003,1.041
04/01/2003,1.041
05/01/2003,1.041
06/01/2003,1.041
07/01/2003,1.041
08/01/2003,1.333
09/01/2003,1.333
10/01/2003,1.333
11/01/2003,1.333
12/01/2003,1.333
01/01/2004,1.333
02/01/2004,1.333
03/01/2004,1.333
04/01/2004,1.333
05/01/2004,1.333
06/01/2004,1.333
07/01/2004,1.333
08/01/2004,1.737
09/01/2004,1.737
10/01/2004,1.737
11/01/2004,1.737
12/01/2004,1.737
01/01/2005,1.737
02/01/2005,1.737
03/01/2005,1.737
04/01/2005,1.737
05/01/2005,1.737
06/01/2005,1.737
07/01/2005,1.737
08/01/2005,2.133
09/01/2005,2.133
10/01/2005,2.133
11/01/2005,2.133
12/01/2005,2.133
01/01/2006,2.133
02/01/2006,2.133
03/01/2006,2.133
04/01/2006,2.133
05/01/2006,2.133
06/01/2006,2.133
07/01/2006,2.133
08/01/2006,2.741
09/01/2006,2.741
10/01/2006,2.741
11/01/2006,2.741
12/01/2006,2.741
01/01/2007,2.741
02/01/2007,2.741
03/01/2007,2.741
04/01/2007,2.741
05/01/2007,2.741
06/01/2007,2.741
07/01/2007,2.741
08/01/2007,3.285
09/01/2007,3.285
10/01/2007,3.285
11/01/2007,3.285
12/01/2007,3.285
01/01/2008,3.285
02/01/2008,3.285
03/01/2008,3.285
04/01/2008,3.285
05/01/2008,3.285
06/01/2008,3.285
07/01/2008,3.285
08/01/2008,4.067
09/01/2008,4.067
10/01/2008,4.067
11/01/2008,4.067
12/01/2008,4.067
01/01/2009,4.067
02/01/2009,4.067
03/01/2009,4.067
04/01/2009,4.067
05/01/2009,4.067
06/01/2009,4.067
07/01/2009,4.067
08/01/2009,5.6
09/01/2009,5.6
10/01/2009,5.6
11/01/2009,5.6
12/01/2009,5.6
01/01/2010,5.6
02/01/2010,5.6
03/01/2010,5.6
04/01/2010,5.6
05/01/2010,5.6
06/01/2010,5.6
07/01/2010,5.6
08/01/2010,7.442
09/01/2010,7.442
10/01/2010,7.442
11/01/2010,7.442
12/01/2010,7.442
01/01/2011,7.442
02/01/2011,7.442
03/01/2011,7.442
04/01/2011,7.442
05/01/2011,7.442
06/01/2011,7.442
07/01/2011,7.442
08/01/2011,11.188
09/01/2011,11.188
10/01/2011,11.188
11/01/2011,11.188
12/01/2011,11.188
01/01/2012,11.188
02/01/2012,11.188
03/01/2012,11.188
04/01/2012,11.188
05/01/2012,11.188
06/01/2012,11.188
07/01/2012,11.188
08/01/2012,15.376
09/01/2012,15.376
10/01/2012,15.376
11/01/2012,15.376
12/01/2012,15.376
