Start,01/01/1992
End,12/01/2012
Frequency,M
Name,SEPHAKU HOLD - COMMON SHARES OUTSTANDING
Code,67911R(WC05301)
CURRENCY,
01/01/1992,NA
02/01/1992,NA
03/01/1992,NA
04/01/1992,NA
05/01/1992,NA
06/01/1992,NA
07/01/1992,NA
08/01/1992,NA
09/01/1992,NA
10/01/1992,NA
11/01/1992,NA
12/01/1992,NA
01/01/1993,NA
02/01/1993,NA
03/01/1993,NA
04/01/1993,NA
05/01/1993,NA
06/01/1993,NA
07/01/1993,NA
08/01/1993,NA
09/01/1993,NA
10/01/1993,NA
11/01/1993,NA
12/01/1993,NA
01/01/1994,NA
02/01/1994,NA
03/01/1994,NA
04/01/1994,NA
05/01/1994,NA
06/01/1994,NA
07/01/1994,NA
08/01/1994,NA
09/01/1994,NA
10/01/1994,NA
11/01/1994,NA
12/01/1994,NA
01/01/1995,NA
02/01/1995,NA
03/01/1995,NA
04/01/1995,NA
05/01/1995,NA
06/01/1995,NA
07/01/1995,NA
08/01/1995,NA
09/01/1995,NA
10/01/1995,NA
11/01/1995,NA
12/01/1995,NA
01/01/1996,NA
02/01/1996,NA
03/01/1996,NA
04/01/1996,NA
05/01/1996,NA
06/01/1996,NA
07/01/1996,NA
08/01/1996,NA
09/01/1996,NA
10/01/1996,NA
11/01/1996,NA
12/01/1996,NA
01/01/1997,NA
02/01/1997,NA
03/01/1997,NA
04/01/1997,NA
05/01/1997,NA
06/01/1997,NA
07/01/1997,NA
08/01/1997,NA
09/01/1997,NA
10/01/1997,NA
11/01/1997,NA
12/01/1997,NA
01/01/1998,NA
02/01/1998,NA
03/01/1998,NA
04/01/1998,NA
05/01/1998,NA
06/01/1998,NA
07/01/1998,NA
08/01/1998,NA
09/01/1998,NA
10/01/1998,NA
11/01/1998,NA
12/01/1998,NA
01/01/1999,NA
02/01/1999,NA
03/01/1999,NA
04/01/1999,NA
05/01/1999,NA
06/01/1999,NA
07/01/1999,NA
08/01/1999,NA
09/01/1999,NA
10/01/1999,NA
11/01/1999,NA
12/01/1999,NA
01/01/2000,NA
02/01/2000,NA
03/01/2000,NA
04/01/2000,NA
05/01/2000,NA
06/01/2000,NA
07/01/2000,NA
08/01/2000,NA
09/01/2000,NA
10/01/2000,NA
11/01/2000,NA
12/01/2000,NA
01/01/2001,NA
02/01/2001,NA
03/01/2001,NA
04/01/2001,NA
05/01/2001,NA
06/01/2001,NA
07/01/2001,NA
08/01/2001,NA
09/01/2001,NA
10/01/2001,NA
11/01/2001,NA
12/01/2001,NA
01/01/2002,NA
02/01/2002,NA
03/01/2002,NA
04/01/2002,NA
05/01/2002,NA
06/01/2002,NA
07/01/2002,NA
08/01/2002,NA
09/01/2002,NA
10/01/2002,NA
11/01/2002,NA
12/01/2002,NA
01/01/2003,NA
02/01/2003,NA
03/01/2003,NA
04/01/2003,NA
05/01/2003,NA
06/01/2003,NA
07/01/2003,NA
08/01/2003,NA
09/01/2003,NA
10/01/2003,NA
11/01/2003,NA
12/01/2003,NA
01/01/2004,NA
02/01/2004,NA
03/01/2004,NA
04/01/2004,NA
05/01/2004,NA
06/01/2004,NA
07/01/2004,NA
08/01/2004,NA
09/01/2004,NA
10/01/2004,NA
11/01/2004,NA
12/01/2004,NA
01/01/2005,NA
02/01/2005,NA
03/01/2005,NA
04/01/2005,NA
05/01/2005,NA
06/01/2005,NA
07/01/2005,NA
08/01/2005,NA
09/01/2005,NA
10/01/2005,NA
11/01/2005,NA
12/01/2005,NA
01/01/2006,NA
02/01/2006,NA
03/01/2006,80558
04/01/2006,80558
05/01/2006,80558
06/01/2006,80558
07/01/2006,80558
08/01/2006,80558
09/01/2006,80558
10/01/2006,80558
11/01/2006,80558
12/01/2006,80558
01/01/2007,80558
02/01/2007,80558
03/01/2007,102990
04/01/2007,102990
05/01/2007,102990
06/01/2007,102990
07/01/2007,102990
08/01/2007,102990
09/01/2007,102990
10/01/2007,102990
11/01/2007,102990
12/01/2007,102990
01/01/2008,102990
02/01/2008,102990
03/01/2008,151081
04/01/2008,151081
05/01/2008,151081
06/01/2008,151081
07/01/2008,151081
08/01/2008,151081
09/01/2008,151081
10/01/2008,151081
11/01/2008,151081
12/01/2008,151081
01/01/2009,151081
02/01/2009,151081
03/01/2009,155805
04/01/2009,155805
05/01/2009,155805
06/01/2009,155805
07/01/2009,155805
08/01/2009,155805
09/01/2009,155805
10/01/2009,155805
11/01/2009,155805
12/01/2009,155805
01/01/2010,155805
02/01/2010,155805
03/01/2010,155805
04/01/2010,155805
05/01/2010,155805
06/01/2010,155805
07/01/2010,169291
08/01/2010,169291
09/01/2010,169291
10/01/2010,169291
11/01/2010,169291
12/01/2010,169291
01/01/2011,169291
02/01/2011,169291
03/01/2011,169291
04/01/2011,169291
05/01/2011,169291
06/01/2011,169291
07/01/2011,171791
08/01/2011,171791
09/01/2011,171791
10/01/2011,171791
11/01/2011,171791
12/01/2011,171791
01/01/2012,171791
02/01/2012,171791
03/01/2012,171791
04/01/2012,171791
05/01/2012,171791
06/01/2012,171791
07/01/2012,187902
08/01/2012,187902
09/01/2012,187902
10/01/2012,187902
11/01/2012,187902
12/01/2012,187902
