Start,01/01/1992
End,12/01/2012
Frequency,M
Name,AFRICAN LIFE - COMMON SHARES OUTSTANDING
Code,315449(WC05301)
CURRENCY,
01/01/1992,NA
02/01/1992,NA
03/01/1992,NA
04/01/1992,NA
05/01/1992,NA
06/01/1992,NA
07/01/1992,NA
08/01/1992,NA
09/01/1992,NA
10/01/1992,NA
11/01/1992,NA
12/01/1992,NA
01/01/1993,NA
02/01/1993,NA
03/01/1993,NA
04/01/1993,NA
05/01/1993,NA
06/01/1993,NA
07/01/1993,NA
08/01/1993,NA
09/01/1993,NA
10/01/1993,NA
11/01/1993,NA
12/01/1993,NA
01/01/1994,NA
02/01/1994,NA
03/01/1994,NA
04/01/1994,NA
05/01/1994,NA
06/01/1994,NA
07/01/1994,NA
08/01/1994,NA
09/01/1994,NA
10/01/1994,NA
11/01/1994,NA
12/01/1994,NA
01/01/1995,NA
02/01/1995,NA
03/01/1995,NA
04/01/1995,NA
05/01/1995,NA
06/01/1995,NA
07/01/1995,NA
08/01/1995,NA
09/01/1995,NA
10/01/1995,NA
11/01/1995,NA
12/01/1995,NA
01/01/1996,NA
02/01/1996,NA
03/01/1996,NA
04/01/1996,99672
05/01/1996,99672
06/01/1996,99672
07/01/1996,99672
08/01/1996,99672
09/01/1996,99672
10/01/1996,99672
11/01/1996,99672
12/01/1996,99672
01/01/1997,99672
02/01/1997,99672
03/01/1997,99672
04/01/1997,101323
05/01/1997,101323
06/01/1997,101323
07/01/1997,101323
08/01/1997,101323
09/01/1997,101323
10/01/1997,101323
11/01/1997,101323
12/01/1997,101323
01/01/1998,101323
02/01/1998,101323
03/01/1998,101323
04/01/1998,112272
05/01/1998,112272
06/01/1998,112272
07/01/1998,112272
08/01/1998,112272
09/01/1998,112272
10/01/1998,112272
11/01/1998,112272
12/01/1998,112272
01/01/1999,112272
02/01/1999,112272
03/01/1999,112272
04/01/1999,113686
05/01/1999,113686
06/01/1999,113686
07/01/1999,113686
08/01/1999,113686
09/01/1999,113686
10/01/1999,113686
11/01/1999,113686
12/01/1999,113686
01/01/2000,113686
02/01/2000,113686
03/01/2000,113686
04/01/2000,116482
05/01/2000,116482
06/01/2000,116482
07/01/2000,116482
08/01/2000,116482
09/01/2000,116482
10/01/2000,116482
11/01/2000,116482
12/01/2000,116482
01/01/2001,116482
02/01/2001,116482
03/01/2001,116482
04/01/2001,118545
05/01/2001,118545
06/01/2001,118545
07/01/2001,118545
08/01/2001,118545
09/01/2001,118545
10/01/2001,118545
11/01/2001,118545
12/01/2001,118545
01/01/2002,118545
02/01/2002,118545
03/01/2002,118545
04/01/2002,117457
05/01/2002,117457
06/01/2002,117457
07/01/2002,117457
08/01/2002,117457
09/01/2002,117457
10/01/2002,117457
11/01/2002,117457
12/01/2002,117457
01/01/2003,117457
02/01/2003,117457
03/01/2003,117457
04/01/2003,105870
05/01/2003,105870
06/01/2003,105870
07/01/2003,105870
08/01/2003,105870
09/01/2003,105870
10/01/2003,105870
11/01/2003,105870
12/01/2003,105870
01/01/2004,105870
02/01/2004,105870
03/01/2004,105870
04/01/2004,106726
05/01/2004,106726
06/01/2004,106726
07/01/2004,106726
08/01/2004,106726
09/01/2004,106726
10/01/2004,106726
11/01/2004,106726
12/01/2004,106726
01/01/2005,106726
02/01/2005,106726
03/01/2005,106726
04/01/2005,NA
05/01/2005,NA
06/01/2005,NA
07/01/2005,NA
08/01/2005,NA
09/01/2005,NA
10/01/2005,NA
11/01/2005,NA
12/01/2005,NA
01/01/2006,NA
02/01/2006,NA
03/01/2006,NA
04/01/2006,NA
05/01/2006,NA
06/01/2006,NA
07/01/2006,NA
08/01/2006,NA
09/01/2006,NA
10/01/2006,NA
11/01/2006,NA
12/01/2006,NA
01/01/2007,NA
02/01/2007,NA
03/01/2007,NA
04/01/2007,NA
05/01/2007,NA
06/01/2007,NA
07/01/2007,NA
08/01/2007,NA
09/01/2007,NA
10/01/2007,NA
11/01/2007,NA
12/01/2007,NA
01/01/2008,NA
02/01/2008,NA
03/01/2008,NA
04/01/2008,NA
05/01/2008,NA
06/01/2008,NA
07/01/2008,NA
08/01/2008,NA
09/01/2008,NA
10/01/2008,NA
11/01/2008,NA
12/01/2008,NA
01/01/2009,NA
02/01/2009,NA
03/01/2009,NA
04/01/2009,NA
05/01/2009,NA
06/01/2009,NA
07/01/2009,NA
08/01/2009,NA
09/01/2009,NA
10/01/2009,NA
11/01/2009,NA
12/01/2009,NA
01/01/2010,NA
02/01/2010,NA
03/01/2010,NA
04/01/2010,NA
05/01/2010,NA
06/01/2010,NA
07/01/2010,NA
08/01/2010,NA
09/01/2010,NA
10/01/2010,NA
11/01/2010,NA
12/01/2010,NA
01/01/2011,NA
02/01/2011,NA
03/01/2011,NA
04/01/2011,NA
05/01/2011,NA
06/01/2011,NA
07/01/2011,NA
08/01/2011,NA
09/01/2011,NA
10/01/2011,NA
11/01/2011,NA
12/01/2011,NA
01/01/2012,NA
02/01/2012,NA
03/01/2012,NA
04/01/2012,NA
05/01/2012,NA
06/01/2012,NA
07/01/2012,NA
08/01/2012,NA
09/01/2012,NA
10/01/2012,NA
11/01/2012,NA
12/01/2012,NA
