Start,01/01/1992
End,12/01/2012
Frequency,M
Name,CLIENTELE LIMITED - DEFERRED TAXES
Code,53456M(WC03263)
CURRENCY,R
01/01/1992,NA
02/01/1992,NA
03/01/1992,NA
04/01/1992,NA
05/01/1992,NA
06/01/1992,NA
07/01/1992,NA
08/01/1992,NA
09/01/1992,NA
10/01/1992,NA
11/01/1992,NA
12/01/1992,NA
01/01/1993,NA
02/01/1993,NA
03/01/1993,NA
04/01/1993,NA
05/01/1993,NA
06/01/1993,NA
07/01/1993,NA
08/01/1993,NA
09/01/1993,NA
10/01/1993,NA
11/01/1993,NA
12/01/1993,NA
01/01/1994,NA
02/01/1994,NA
03/01/1994,NA
04/01/1994,NA
05/01/1994,NA
06/01/1994,NA
07/01/1994,NA
08/01/1994,NA
09/01/1994,NA
10/01/1994,NA
11/01/1994,NA
12/01/1994,NA
01/01/1995,NA
02/01/1995,NA
03/01/1995,NA
04/01/1995,NA
05/01/1995,NA
06/01/1995,NA
07/01/1995,NA
08/01/1995,NA
09/01/1995,NA
10/01/1995,NA
11/01/1995,NA
12/01/1995,NA
01/01/1996,NA
02/01/1996,NA
03/01/1996,NA
04/01/1996,NA
05/01/1996,NA
06/01/1996,NA
07/01/1996,NA
08/01/1996,NA
09/01/1996,NA
10/01/1996,NA
11/01/1996,NA
12/01/1996,NA
01/01/1997,NA
02/01/1997,NA
03/01/1997,NA
04/01/1997,NA
05/01/1997,NA
06/01/1997,NA
07/01/1997,0
08/01/1997,0
09/01/1997,0
10/01/1997,0
11/01/1997,0
12/01/1997,0
01/01/1998,0
02/01/1998,0
03/01/1998,0
04/01/1998,0
05/01/1998,0
06/01/1998,0
07/01/1998,0
08/01/1998,0
09/01/1998,0
10/01/1998,0
11/01/1998,0
12/01/1998,0
01/01/1999,0
02/01/1999,0
03/01/1999,0
04/01/1999,0
05/01/1999,0
06/01/1999,0
07/01/1999,0
08/01/1999,0
09/01/1999,0
10/01/1999,0
11/01/1999,0
12/01/1999,0
01/01/2000,0
02/01/2000,0
03/01/2000,0
04/01/2000,0
05/01/2000,0
06/01/2000,0
07/01/2000,0
08/01/2000,0
09/01/2000,0
10/01/2000,0
11/01/2000,0
12/01/2000,0
01/01/2001,0
02/01/2001,0
03/01/2001,0
04/01/2001,0
05/01/2001,0
06/01/2001,0
07/01/2001,948
08/01/2001,948
09/01/2001,948
10/01/2001,948
11/01/2001,948
12/01/2001,948
01/01/2002,948
02/01/2002,948
03/01/2002,948
04/01/2002,948
05/01/2002,948
06/01/2002,948
07/01/2002,0
08/01/2002,0
09/01/2002,0
10/01/2002,0
11/01/2002,0
12/01/2002,0
01/01/2003,0
02/01/2003,0
03/01/2003,0
04/01/2003,0
05/01/2003,0
06/01/2003,0
07/01/2003,1252
08/01/2003,1252
09/01/2003,1252
10/01/2003,1252
11/01/2003,1252
12/01/2003,1252
01/01/2004,1252
02/01/2004,1252
03/01/2004,1252
04/01/2004,1252
05/01/2004,1252
06/01/2004,1252
07/01/2004,1757
08/01/2004,1757
09/01/2004,1757
10/01/2004,1757
11/01/2004,1757
12/01/2004,1757
01/01/2005,1757
02/01/2005,1757
03/01/2005,1757
04/01/2005,1757
05/01/2005,1757
06/01/2005,1757
07/01/2005,-3115
08/01/2005,-3115
09/01/2005,-3115
10/01/2005,-3115
11/01/2005,-3115
12/01/2005,-3115
01/01/2006,-3115
02/01/2006,-3115
03/01/2006,-3115
04/01/2006,-3115
05/01/2006,-3115
06/01/2006,-3115
07/01/2006,8035
08/01/2006,8035
09/01/2006,8035
10/01/2006,8035
11/01/2006,8035
12/01/2006,8035
01/01/2007,8035
02/01/2007,8035
03/01/2007,8035
04/01/2007,8035
05/01/2007,8035
06/01/2007,8035
07/01/2007,7202
08/01/2007,7202
09/01/2007,7202
10/01/2007,7202
11/01/2007,7202
12/01/2007,7202
01/01/2008,7202
02/01/2008,7202
03/01/2008,7202
04/01/2008,7202
05/01/2008,7202
06/01/2008,7202
07/01/2008,-12519
08/01/2008,-12519
09/01/2008,-12519
10/01/2008,-12519
11/01/2008,-12519
12/01/2008,-12519
01/01/2009,-12519
02/01/2009,-12519
03/01/2009,-12519
04/01/2009,-12519
05/01/2009,-12519
06/01/2009,-12519
07/01/2009,-5884
08/01/2009,-5884
09/01/2009,-5884
10/01/2009,-5884
11/01/2009,-5884
12/01/2009,-5884
01/01/2010,-5884
02/01/2010,-5884
03/01/2010,-5884
04/01/2010,-5884
05/01/2010,-5884
06/01/2010,-5884
07/01/2010,-7187
08/01/2010,-7187
09/01/2010,-7187
10/01/2010,-7187
11/01/2010,-7187
12/01/2010,-7187
01/01/2011,-7187
02/01/2011,-7187
03/01/2011,-7187
04/01/2011,-7187
05/01/2011,-7187
06/01/2011,-7187
07/01/2011,4599
08/01/2011,4599
09/01/2011,4599
10/01/2011,4599
11/01/2011,4599
12/01/2011,4599
01/01/2012,4599
02/01/2012,4599
03/01/2012,4599
04/01/2012,4599
05/01/2012,4599
06/01/2012,4599
07/01/2012,564
08/01/2012,564
09/01/2012,564
10/01/2012,564
11/01/2012,564
12/01/2012,564
