Start,01/01/1992
End,12/01/2012
Frequency,M
Name,BRIT AMER TOB HLDGS - DEFERRED TAXES
Code,930447(WC03263)
CURRENCY,R
01/01/1992,26151
02/01/1992,26151
03/01/1992,26151
04/01/1992,26151
05/01/1992,26151
06/01/1992,26151
07/01/1992,26151
08/01/1992,26151
09/01/1992,26151
10/01/1992,26151
11/01/1992,26151
12/01/1992,26151
01/01/1993,23279
02/01/1993,23279
03/01/1993,23279
04/01/1993,23279
05/01/1993,23279
06/01/1993,23279
07/01/1993,23279
08/01/1993,23279
09/01/1993,23279
10/01/1993,23279
11/01/1993,23279
12/01/1993,23279
01/01/1994,16826
02/01/1994,16826
03/01/1994,16826
04/01/1994,16826
05/01/1994,16826
06/01/1994,16826
07/01/1994,16826
08/01/1994,16826
09/01/1994,16826
10/01/1994,16826
11/01/1994,16826
12/01/1994,16826
01/01/1995,15617
02/01/1995,15617
03/01/1995,15617
04/01/1995,15617
05/01/1995,15617
06/01/1995,15617
07/01/1995,15617
08/01/1995,15617
09/01/1995,15617
10/01/1995,15617
11/01/1995,15617
12/01/1995,15617
01/01/1996,16241
02/01/1996,16241
03/01/1996,16241
04/01/1996,16241
05/01/1996,16241
06/01/1996,16241
07/01/1996,16241
08/01/1996,16241
09/01/1996,16241
10/01/1996,16241
11/01/1996,16241
12/01/1996,16241
01/01/1997,9221
02/01/1997,9221
03/01/1997,9221
04/01/1997,9221
05/01/1997,9221
06/01/1997,9221
07/01/1997,9221
08/01/1997,9221
09/01/1997,9221
10/01/1997,9221
11/01/1997,9221
12/01/1997,9221
01/01/1998,15416
02/01/1998,15416
03/01/1998,15416
04/01/1998,15416
05/01/1998,15416
06/01/1998,15416
07/01/1998,15416
08/01/1998,15416
09/01/1998,15416
10/01/1998,15416
11/01/1998,15416
12/01/1998,15416
01/01/1999,NA
02/01/1999,NA
03/01/1999,NA
04/01/1999,NA
05/01/1999,NA
06/01/1999,NA
07/01/1999,NA
08/01/1999,NA
09/01/1999,NA
10/01/1999,NA
11/01/1999,NA
12/01/1999,NA
01/01/2000,NA
02/01/2000,NA
03/01/2000,NA
04/01/2000,NA
05/01/2000,NA
06/01/2000,NA
07/01/2000,NA
08/01/2000,NA
09/01/2000,NA
10/01/2000,NA
11/01/2000,NA
12/01/2000,NA
01/01/2001,NA
02/01/2001,NA
03/01/2001,NA
04/01/2001,NA
05/01/2001,NA
06/01/2001,NA
07/01/2001,NA
08/01/2001,NA
09/01/2001,NA
10/01/2001,NA
11/01/2001,NA
12/01/2001,NA
01/01/2002,NA
02/01/2002,NA
03/01/2002,NA
04/01/2002,NA
05/01/2002,NA
06/01/2002,NA
07/01/2002,NA
08/01/2002,NA
09/01/2002,NA
10/01/2002,NA
11/01/2002,NA
12/01/2002,NA
01/01/2003,NA
02/01/2003,NA
03/01/2003,NA
04/01/2003,NA
05/01/2003,NA
06/01/2003,NA
07/01/2003,NA
08/01/2003,NA
09/01/2003,NA
10/01/2003,NA
11/01/2003,NA
12/01/2003,NA
01/01/2004,NA
02/01/2004,NA
03/01/2004,NA
04/01/2004,NA
05/01/2004,NA
06/01/2004,NA
07/01/2004,NA
08/01/2004,NA
09/01/2004,NA
10/01/2004,NA
11/01/2004,NA
12/01/2004,NA
01/01/2005,NA
02/01/2005,NA
03/01/2005,NA
04/01/2005,NA
05/01/2005,NA
06/01/2005,NA
07/01/2005,NA
08/01/2005,NA
09/01/2005,NA
10/01/2005,NA
11/01/2005,NA
12/01/2005,NA
01/01/2006,NA
02/01/2006,NA
03/01/2006,NA
04/01/2006,NA
05/01/2006,NA
06/01/2006,NA
07/01/2006,NA
08/01/2006,NA
09/01/2006,NA
10/01/2006,NA
11/01/2006,NA
12/01/2006,NA
01/01/2007,NA
02/01/2007,NA
03/01/2007,NA
04/01/2007,NA
05/01/2007,NA
06/01/2007,NA
07/01/2007,NA
08/01/2007,NA
09/01/2007,NA
10/01/2007,NA
11/01/2007,NA
12/01/2007,NA
01/01/2008,NA
02/01/2008,NA
03/01/2008,NA
04/01/2008,NA
05/01/2008,NA
06/01/2008,NA
07/01/2008,NA
08/01/2008,NA
09/01/2008,NA
10/01/2008,NA
11/01/2008,NA
12/01/2008,NA
01/01/2009,NA
02/01/2009,NA
03/01/2009,NA
04/01/2009,NA
05/01/2009,NA
06/01/2009,NA
07/01/2009,NA
08/01/2009,NA
09/01/2009,NA
10/01/2009,NA
11/01/2009,NA
12/01/2009,NA
01/01/2010,NA
02/01/2010,NA
03/01/2010,NA
04/01/2010,NA
05/01/2010,NA
06/01/2010,NA
07/01/2010,NA
08/01/2010,NA
09/01/2010,NA
10/01/2010,NA
11/01/2010,NA
12/01/2010,NA
01/01/2011,NA
02/01/2011,NA
03/01/2011,NA
04/01/2011,NA
05/01/2011,NA
06/01/2011,NA
07/01/2011,NA
08/01/2011,NA
09/01/2011,NA
10/01/2011,NA
11/01/2011,NA
12/01/2011,NA
01/01/2012,NA
02/01/2012,NA
03/01/2012,NA
04/01/2012,NA
05/01/2012,NA
06/01/2012,NA
07/01/2012,NA
08/01/2012,NA
09/01/2012,NA
10/01/2012,NA
11/01/2012,NA
12/01/2012,NA
