Start,01/01/1992
End,12/01/2012
Frequency,M
Name,SYCOM PROPERTY FUND
Code,317393(P)
CURRENCY,R
01/01/1992,7.31
02/01/1992,7.86
03/01/1992,7.76
04/01/1992,7.66
05/01/1992,6.96
06/01/1992,6.86
07/01/1992,6.46
08/01/1992,6.76
09/01/1992,6.71
10/01/1992,6.81
11/01/1992,6.96
12/01/1992,6.31
01/01/1993,6.71
02/01/1993,6.31
03/01/1993,6.36
04/01/1993,6.61
05/01/1993,6.31
06/01/1993,5.72
07/01/1993,6.12
08/01/1993,6.07
09/01/1993,5.97
10/01/1993,5.87
11/01/1993,5.47
12/01/1993,5.47
01/01/1994,5.87
02/01/1994,6.56
03/01/1994,6.22
04/01/1994,6.36
05/01/1994,6.36
06/01/1994,6.96
07/01/1994,6.96
08/01/1994,6.76
09/01/1994,6.71
10/01/1994,6.96
11/01/1994,6.56
12/01/1994,6.17
01/01/1995,5.97
02/01/1995,5.47
03/01/1995,5.17
04/01/1995,5.47
05/01/1995,5.47
06/01/1995,4.97
07/01/1995,4.77
08/01/1995,4.77
09/01/1995,4.77
10/01/1995,5.27
11/01/1995,5.77
12/01/1995,6.07
01/01/1996,5.97
02/01/1996,5.87
03/01/1996,5.47
04/01/1996,5.12
05/01/1996,5.17
06/01/1996,4.62
07/01/1996,4.87
08/01/1996,4.72
09/01/1996,4.77
10/01/1996,4.77
11/01/1996,4.92
12/01/1996,4.48
01/01/1997,4.97
02/01/1997,4.72
03/01/1997,5.22
04/01/1997,5.67
05/01/1997,5.37
06/01/1997,4.97
07/01/1997,4.77
08/01/1997,4.97
09/01/1997,5.17
10/01/1997,5.12
11/01/1997,5.07
12/01/1997,4.72
01/01/1998,5.37
02/01/1998,5.27
03/01/1998,5.47
04/01/1998,5.47
05/01/1998,5.52
06/01/1998,5.37
07/01/1998,4.82
08/01/1998,4.18
09/01/1998,3.18
10/01/1998,3.44
11/01/1998,3.63
12/01/1998,3.9
01/01/1999,4.38
02/01/1999,4.57
03/01/1999,4.77
