Start,01/01/1992
End,12/01/2012
Frequency,M
Name,SAIL GP. DEAD - 04/01/05
Code,317322(P)
CURRENCY,R
01/01/1992,0.14
02/01/1992,0.09
03/01/1992,0.09
04/01/1992,0.09
05/01/1992,0.09
06/01/1992,0.09
07/01/1992,0.09
08/01/1992,0.09
09/01/1992,0.09
10/01/1992,0.09
11/01/1992,0.09
12/01/1992,0.09
01/01/1993,0.09
02/01/1993,0.05
03/01/1993,0.05
04/01/1993,0.05
05/01/1993,0.05
06/01/1993,0.05
07/01/1993,0.04
08/01/1993,0.04
09/01/1993,0.04
10/01/1993,0.04
11/01/1993,0.04
12/01/1993,0.14
01/01/1994,0.14
02/01/1994,0.14
03/01/1994,0.14
04/01/1994,0.14
05/01/1994,0.14
06/01/1994,0.14
07/01/1994,0.14
08/01/1994,0.14
09/01/1994,0.14
10/01/1994,0.14
11/01/1994,0.14
12/01/1994,0.14
01/01/1995,0.14
02/01/1995,0.14
03/01/1995,0.14
04/01/1995,0.14
05/01/1995,0.14
06/01/1995,0.14
07/01/1995,0.14
08/01/1995,0.14
09/01/1995,0.14
10/01/1995,0.14
11/01/1995,0.14
12/01/1995,0.14
01/01/1996,0.14
02/01/1996,0.14
03/01/1996,0.14
04/01/1996,0.14
05/01/1996,0.14
06/01/1996,0.14
07/01/1996,0.09
08/01/1996,0.09
09/01/1996,0.09
10/01/1996,0.09
11/01/1996,0.09
12/01/1996,0.09
01/01/1997,0.09
02/01/1997,0.09
03/01/1997,0.09
04/01/1997,0.09
05/01/1997,0.09
06/01/1997,0.09
07/01/1997,0.09
08/01/1997,0.55
09/01/1997,0.6
10/01/1997,0.61
11/01/1997,0.92
12/01/1997,0.69
01/01/1998,1.01
02/01/1998,0.87
03/01/1998,1.28
04/01/1998,1.11
05/01/1998,2.35
06/01/1998,1.45
07/01/1998,1.25
08/01/1998,1.35
09/01/1998,1.05
10/01/1998,0.85
11/01/1998,1
12/01/1998,0.9
01/01/1999,0.9
02/01/1999,0.85
03/01/1999,0.86
