Start,01/01/1992
End,12/01/2012
Frequency,M
Name,AFRICAN & OVERSEAS - NET SALES OR REVENUES
Code,152482(WC01001)
CURRENCY,R
01/01/1992,NA
02/01/1992,NA
03/01/1992,NA
04/01/1992,NA
05/01/1992,NA
06/01/1992,NA
07/01/1992,NA
08/01/1992,NA
09/01/1992,NA
10/01/1992,NA
11/01/1992,NA
12/01/1992,NA
01/01/1993,NA
02/01/1993,NA
03/01/1993,NA
04/01/1993,NA
05/01/1993,NA
06/01/1993,NA
07/01/1993,NA
08/01/1993,NA
09/01/1993,NA
10/01/1993,NA
11/01/1993,NA
12/01/1993,NA
01/01/1994,NA
02/01/1994,NA
03/01/1994,NA
04/01/1994,NA
05/01/1994,NA
06/01/1994,NA
07/01/1994,NA
08/01/1994,NA
09/01/1994,NA
10/01/1994,NA
11/01/1994,NA
12/01/1994,NA
01/01/1995,NA
02/01/1995,NA
03/01/1995,NA
04/01/1995,NA
05/01/1995,NA
06/01/1995,NA
07/01/1995,NA
08/01/1995,NA
09/01/1995,NA
10/01/1995,NA
11/01/1995,NA
12/01/1995,NA
01/01/1996,NA
02/01/1996,NA
03/01/1996,NA
04/01/1996,NA
05/01/1996,NA
06/01/1996,NA
07/01/1996,NA
08/01/1996,NA
09/01/1996,NA
10/01/1996,NA
11/01/1996,NA
12/01/1996,NA
01/01/1997,NA
02/01/1997,NA
03/01/1997,NA
04/01/1997,NA
05/01/1997,NA
06/01/1997,NA
07/01/1997,231914
08/01/1997,231914
09/01/1997,231914
10/01/1997,231914
11/01/1997,231914
12/01/1997,231914
01/01/1998,231914
02/01/1998,231914
03/01/1998,231914
04/01/1998,231914
05/01/1998,231914
06/01/1998,231914
07/01/1998,258415
08/01/1998,258415
09/01/1998,258415
10/01/1998,258415
11/01/1998,258415
12/01/1998,258415
01/01/1999,258415
02/01/1999,258415
03/01/1999,258415
04/01/1999,258415
05/01/1999,258415
06/01/1999,258415
07/01/1999,289104
08/01/1999,289104
09/01/1999,289104
10/01/1999,289104
11/01/1999,289104
12/01/1999,289104
01/01/2000,289104
02/01/2000,289104
03/01/2000,289104
04/01/2000,289104
05/01/2000,289104
06/01/2000,289104
07/01/2000,281133
08/01/2000,281133
09/01/2000,281133
10/01/2000,281133
11/01/2000,281133
12/01/2000,281133
01/01/2001,281133
02/01/2001,281133
03/01/2001,281133
04/01/2001,281133
05/01/2001,281133
06/01/2001,281133
07/01/2001,331347
08/01/2001,331347
09/01/2001,331347
10/01/2001,331347
11/01/2001,331347
12/01/2001,331347
01/01/2002,331347
02/01/2002,331347
03/01/2002,331347
04/01/2002,331347
05/01/2002,331347
06/01/2002,331347
07/01/2002,354764
08/01/2002,354764
09/01/2002,354764
10/01/2002,354764
11/01/2002,354764
12/01/2002,354764
01/01/2003,354764
02/01/2003,354764
03/01/2003,354764
04/01/2003,354764
05/01/2003,354764
06/01/2003,354764
07/01/2003,373612
08/01/2003,373612
09/01/2003,373612
10/01/2003,373612
11/01/2003,373612
12/01/2003,373612
01/01/2004,373612
02/01/2004,373612
03/01/2004,373612
04/01/2004,373612
05/01/2004,373612
06/01/2004,373612
07/01/2004,312569
08/01/2004,312569
09/01/2004,312569
10/01/2004,312569
11/01/2004,312569
12/01/2004,312569
01/01/2005,312569
02/01/2005,312569
03/01/2005,312569
04/01/2005,312569
05/01/2005,312569
06/01/2005,312569
07/01/2005,317570
08/01/2005,317570
09/01/2005,317570
10/01/2005,317570
11/01/2005,317570
12/01/2005,317570
01/01/2006,317570
02/01/2006,317570
03/01/2006,317570
04/01/2006,317570
05/01/2006,317570
06/01/2006,317570
07/01/2006,390594
08/01/2006,390594
09/01/2006,390594
10/01/2006,390594
11/01/2006,390594
12/01/2006,390594
01/01/2007,390594
02/01/2007,390594
03/01/2007,390594
04/01/2007,390594
05/01/2007,390594
06/01/2007,390594
07/01/2007,454126
08/01/2007,454126
09/01/2007,454126
10/01/2007,454126
11/01/2007,454126
12/01/2007,454126
01/01/2008,454126
02/01/2008,454126
03/01/2008,454126
04/01/2008,454126
05/01/2008,454126
06/01/2008,454126
07/01/2008,491023
08/01/2008,491023
09/01/2008,491023
10/01/2008,491023
11/01/2008,491023
12/01/2008,491023
01/01/2009,491023
02/01/2009,491023
03/01/2009,491023
04/01/2009,491023
05/01/2009,491023
06/01/2009,491023
07/01/2009,480850
08/01/2009,480850
09/01/2009,480850
10/01/2009,480850
11/01/2009,480850
12/01/2009,480850
01/01/2010,480850
02/01/2010,480850
03/01/2010,480850
04/01/2010,480850
05/01/2010,480850
06/01/2010,480850
07/01/2010,508078
08/01/2010,508078
09/01/2010,508078
10/01/2010,508078
11/01/2010,508078
12/01/2010,508078
01/01/2011,508078
02/01/2011,508078
03/01/2011,508078
04/01/2011,508078
05/01/2011,508078
06/01/2011,508078
07/01/2011,541310
08/01/2011,541310
09/01/2011,541310
10/01/2011,541310
11/01/2011,541310
12/01/2011,541310
01/01/2012,541310
02/01/2012,541310
03/01/2012,541310
04/01/2012,541310
05/01/2012,541310
06/01/2012,541310
07/01/2012,474438
08/01/2012,474438
09/01/2012,474438
10/01/2012,474438
11/01/2012,474438
12/01/2012,474438
