Start,01/01/1992
End,12/01/2012
Frequency,M
Name,FIRSTRAND LIMITED - NET CASH FLOW-OPERATING ACTIVS
Code,776872(WC04860)
CURRENCY,R
01/01/1992,NA
02/01/1992,NA
03/01/1992,NA
04/01/1992,NA
05/01/1992,NA
06/01/1992,NA
07/01/1992,NA
08/01/1992,NA
09/01/1992,NA
10/01/1992,NA
11/01/1992,NA
12/01/1992,NA
01/01/1993,NA
02/01/1993,NA
03/01/1993,NA
04/01/1993,NA
05/01/1993,NA
06/01/1993,NA
07/01/1993,NA
08/01/1993,NA
09/01/1993,NA
10/01/1993,NA
11/01/1993,NA
12/01/1993,NA
01/01/1994,NA
02/01/1994,NA
03/01/1994,NA
04/01/1994,NA
05/01/1994,NA
06/01/1994,NA
07/01/1994,NA
08/01/1994,NA
09/01/1994,NA
10/01/1994,NA
11/01/1994,NA
12/01/1994,NA
01/01/1995,NA
02/01/1995,NA
03/01/1995,NA
04/01/1995,NA
05/01/1995,NA
06/01/1995,NA
07/01/1995,NA
08/01/1995,NA
09/01/1995,NA
10/01/1995,NA
11/01/1995,NA
12/01/1995,NA
01/01/1996,NA
02/01/1996,NA
03/01/1996,NA
04/01/1996,NA
05/01/1996,NA
06/01/1996,NA
07/01/1996,NA
08/01/1996,NA
09/01/1996,NA
10/01/1996,NA
11/01/1996,NA
12/01/1996,NA
01/01/1997,NA
02/01/1997,NA
03/01/1997,NA
04/01/1997,NA
05/01/1997,NA
06/01/1997,NA
07/01/1997,3029100
08/01/1997,3029100
09/01/1997,3029100
10/01/1997,3029100
11/01/1997,3029100
12/01/1997,3029100
01/01/1998,3029100
02/01/1998,3029100
03/01/1998,3029100
04/01/1998,3029100
05/01/1998,3029100
06/01/1998,3029100
07/01/1998,15075300
08/01/1998,15075300
09/01/1998,15075300
10/01/1998,15075300
11/01/1998,15075300
12/01/1998,15075300
01/01/1999,15075300
02/01/1999,15075300
03/01/1999,15075300
04/01/1999,15075300
05/01/1999,15075300
06/01/1999,15075300
07/01/1999,14126600
