Start,01/01/1992
End,12/01/2012
Frequency,M
Name,DIAMOND CORE - NET CASH FLOW-OPERATING ACTIVS
Code,696085(WC04860)
CURRENCY,R
01/01/1992,NA
02/01/1992,NA
03/01/1992,NA
04/01/1992,NA
05/01/1992,NA
06/01/1992,NA
07/01/1992,NA
08/01/1992,NA
09/01/1992,NA
10/01/1992,NA
11/01/1992,NA
12/01/1992,NA
01/01/1993,NA
02/01/1993,NA
03/01/1993,NA
04/01/1993,NA
05/01/1993,NA
06/01/1993,NA
07/01/1993,NA
08/01/1993,NA
09/01/1993,NA
10/01/1993,NA
11/01/1993,NA
12/01/1993,NA
01/01/1994,NA
02/01/1994,NA
03/01/1994,NA
04/01/1994,NA
05/01/1994,NA
06/01/1994,NA
07/01/1994,NA
08/01/1994,NA
09/01/1994,NA
10/01/1994,NA
11/01/1994,NA
12/01/1994,NA
01/01/1995,NA
02/01/1995,NA
03/01/1995,NA
04/01/1995,NA
05/01/1995,NA
06/01/1995,NA
07/01/1995,NA
08/01/1995,NA
09/01/1995,NA
10/01/1995,NA
11/01/1995,NA
12/01/1995,NA
01/01/1996,NA
02/01/1996,NA
03/01/1996,NA
04/01/1996,NA
05/01/1996,NA
06/01/1996,NA
07/01/1996,NA
08/01/1996,NA
09/01/1996,NA
10/01/1996,NA
11/01/1996,NA
12/01/1996,NA
01/01/1997,NA
02/01/1997,NA
03/01/1997,NA
04/01/1997,NA
05/01/1997,NA
06/01/1997,NA
07/01/1997,NA
08/01/1997,NA
09/01/1997,NA
10/01/1997,NA
11/01/1997,NA
12/01/1997,-1538
01/01/1998,-1538
02/01/1998,-1538
03/01/1998,-1538
04/01/1998,-1538
05/01/1998,-1538
06/01/1998,-1538
07/01/1998,-1538
08/01/1998,-1538
09/01/1998,-1538
10/01/1998,-1538
11/01/1998,-1538
12/01/1998,-5641
01/01/1999,-5641
02/01/1999,-5641
03/01/1999,-5641
04/01/1999,-5641
05/01/1999,-5641
06/01/1999,-5641
07/01/1999,-3161
08/01/1999,-3161
09/01/1999,-3161
10/01/1999,-3161
11/01/1999,-3161
12/01/1999,-3161
01/01/2000,-3161
02/01/2000,-3161
03/01/2000,-3161
04/01/2000,-3161
05/01/2000,-3161
06/01/2000,-3161
07/01/2000,-3429
08/01/2000,-3429
09/01/2000,-3429
10/01/2000,-3429
11/01/2000,-3429
12/01/2000,-3429
01/01/2001,-3429
02/01/2001,-3429
03/01/2001,-3429
04/01/2001,-3429
05/01/2001,-3429
06/01/2001,-3429
07/01/2001,-9041
08/01/2001,-9041
09/01/2001,-9041
10/01/2001,-9041
11/01/2001,-9041
12/01/2001,-9041
01/01/2002,-9041
02/01/2002,-9041
03/01/2002,-9041
04/01/2002,-9041
05/01/2002,-9041
06/01/2002,-9041
07/01/2002,-5937
08/01/2002,-5937
09/01/2002,-5937
10/01/2002,-5937
11/01/2002,-5937
12/01/2002,-5937
01/01/2003,-5937
02/01/2003,-5937
03/01/2003,-5937
04/01/2003,-5937
05/01/2003,-5937
06/01/2003,-5937
07/01/2003,-5759
08/01/2003,-5759
09/01/2003,-5759
10/01/2003,-5759
11/01/2003,-5759
12/01/2003,-5759
01/01/2004,-5759
02/01/2004,-5759
03/01/2004,-5759
04/01/2004,-5759
05/01/2004,-5759
06/01/2004,-5759
07/01/2004,-9475
08/01/2004,-9475
09/01/2004,-9475
10/01/2004,-9475
11/01/2004,-9475
12/01/2004,-9475
01/01/2005,-9475
02/01/2005,-9475
03/01/2005,-9475
04/01/2005,-9475
05/01/2005,-9475
06/01/2005,-9475
07/01/2005,-6887
08/01/2005,-6887
09/01/2005,-6887
10/01/2005,-6887
11/01/2005,-6887
12/01/2005,-6887
01/01/2006,-6887
02/01/2006,-6887
03/01/2006,-6887
04/01/2006,-6887
05/01/2006,-6887
06/01/2006,-6887
07/01/2006,-4573
08/01/2006,-4573
09/01/2006,-4573
10/01/2006,-4573
11/01/2006,-4573
12/01/2006,-4573
01/01/2007,-4573
02/01/2007,-4573
03/01/2007,-4573
04/01/2007,-4573
05/01/2007,-4573
06/01/2007,-4573
07/01/2007,NA
08/01/2007,NA
09/01/2007,NA
10/01/2007,NA
11/01/2007,NA
12/01/2007,NA
01/01/2008,NA
02/01/2008,NA
03/01/2008,NA
04/01/2008,NA
05/01/2008,NA
06/01/2008,NA
07/01/2008,NA
08/01/2008,NA
09/01/2008,NA
10/01/2008,NA
11/01/2008,NA
12/01/2008,NA
01/01/2009,NA
02/01/2009,NA
03/01/2009,NA
04/01/2009,NA
05/01/2009,NA
06/01/2009,NA
07/01/2009,NA
08/01/2009,NA
09/01/2009,NA
10/01/2009,NA
11/01/2009,NA
12/01/2009,NA
01/01/2010,NA
02/01/2010,NA
03/01/2010,NA
04/01/2010,NA
05/01/2010,NA
06/01/2010,NA
07/01/2010,NA
08/01/2010,NA
09/01/2010,NA
10/01/2010,NA
11/01/2010,NA
12/01/2010,NA
01/01/2011,NA
02/01/2011,NA
03/01/2011,NA
04/01/2011,NA
05/01/2011,NA
06/01/2011,NA
07/01/2011,NA
08/01/2011,NA
09/01/2011,NA
10/01/2011,NA
11/01/2011,NA
12/01/2011,NA
01/01/2012,NA
02/01/2012,NA
03/01/2012,NA
04/01/2012,NA
05/01/2012,NA
06/01/2012,NA
07/01/2012,NA
08/01/2012,NA
09/01/2012,NA
10/01/2012,NA
11/01/2012,NA
12/01/2012,NA
