Start,01/01/1992
End,12/01/2012
Frequency,M
Name,TRANSKEI SUN INTL. DEAD - DEAD - TOT RETURN IND
Code,776940(RI)
CURRENCY,R
01/01/1992,117.89
02/01/1992,136.03
03/01/1992,136.03
04/01/1992,133.42
05/01/1992,131.04
06/01/1992,131.04
07/01/1992,119.13
08/01/1992,123.89
09/01/1992,130.21
10/01/1992,100.16
11/01/1992,92.65
12/01/1992,90.14
01/01/1993,90.14
02/01/1993,97.66
03/01/1993,110.18
04/01/1993,105.17
05/01/1993,75.12
06/01/1993,77.62
07/01/1993,95.15
08/01/1993,85.14
09/01/1993,80.13
10/01/1993,70.11
11/01/1993,72.62
12/01/1993,97.66
01/01/1994,97.66
02/01/1994,100.16
03/01/1994,126.45
04/01/1994,115.91
05/01/1994,121.18
06/01/1994,184.41
07/01/1994,158.07
08/01/1994,171.24
09/01/1994,178.35
10/01/1994,159.14
11/01/1994,170.12
12/01/1994,178.35
01/01/1995,219.51
02/01/1995,219.51
03/01/1995,231.76
04/01/1995,209.15
05/01/1995,180.89
06/01/1995,180.89
07/01/1995,158.27
08/01/1995,175.23
09/01/1995,209.15
10/01/1995,178.06
11/01/1995,222.98
12/01/1995,229.01
01/01/1996,229.01
02/01/1996,229.01
03/01/1996,229.01
04/01/1996,229.01
05/01/1996,229.01
06/01/1996,229.01
07/01/1996,229.01
08/01/1996,229.01
09/01/1996,229.01
10/01/1996,229.01
11/01/1996,229.01
12/01/1996,229.01
01/01/1997,229.01
02/01/1997,229.01
03/01/1997,229.01
04/01/1997,229.01
05/01/1997,229.01
06/01/1997,229.01
07/01/1997,229.01
08/01/1997,229.01
09/01/1997,229.01
10/01/1997,229.01
11/01/1997,229.01
12/01/1997,229.01
01/01/1998,229.01
02/01/1998,229.01
03/01/1998,229.01
04/01/1998,229.01
05/01/1998,229.01
06/01/1998,229.01
07/01/1998,229.01
08/01/1998,229.01
09/01/1998,229.01
10/01/1998,229.01
11/01/1998,229.01
12/01/1998,229.01
01/01/1999,229.01
