Start,01/01/1992
End,12/01/2012
Frequency,M
Name,COAL OF AFRICA - TOTAL DEBT
Code,414431(WC03255)
CURRENCY,A$
01/01/1992,NA
02/01/1992,NA
03/01/1992,NA
04/01/1992,NA
05/01/1992,NA
06/01/1992,NA
07/01/1992,NA
08/01/1992,NA
09/01/1992,NA
10/01/1992,NA
11/01/1992,NA
12/01/1992,NA
01/01/1993,NA
02/01/1993,NA
03/01/1993,NA
04/01/1993,NA
05/01/1993,NA
06/01/1993,NA
07/01/1993,NA
08/01/1993,NA
09/01/1993,NA
10/01/1993,NA
11/01/1993,NA
12/01/1993,NA
01/01/1994,NA
02/01/1994,NA
03/01/1994,NA
04/01/1994,NA
05/01/1994,NA
06/01/1994,NA
07/01/1994,NA
08/01/1994,NA
09/01/1994,NA
10/01/1994,NA
11/01/1994,NA
12/01/1994,NA
01/01/1995,NA
02/01/1995,NA
03/01/1995,NA
04/01/1995,NA
05/01/1995,NA
06/01/1995,NA
07/01/1995,NA
08/01/1995,NA
09/01/1995,NA
10/01/1995,NA
11/01/1995,NA
12/01/1995,NA
01/01/1996,NA
02/01/1996,NA
03/01/1996,NA
04/01/1996,NA
05/01/1996,NA
06/01/1996,NA
07/01/1996,NA
08/01/1996,NA
09/01/1996,NA
10/01/1996,NA
11/01/1996,NA
12/01/1996,NA
01/01/1997,NA
02/01/1997,NA
03/01/1997,NA
04/01/1997,NA
05/01/1997,NA
06/01/1997,NA
07/01/1997,NA
08/01/1997,NA
09/01/1997,NA
10/01/1997,NA
11/01/1997,NA
12/01/1997,NA
01/01/1998,NA
02/01/1998,NA
03/01/1998,NA
04/01/1998,NA
05/01/1998,NA
06/01/1998,NA
07/01/1998,2561
08/01/1998,2561
09/01/1998,2561
10/01/1998,2561
11/01/1998,2561
12/01/1998,2561
01/01/1999,2561
02/01/1999,2561
03/01/1999,2561
04/01/1999,2561
05/01/1999,2561
06/01/1999,2561
07/01/1999,2707
08/01/1999,2707
09/01/1999,2707
10/01/1999,2707
11/01/1999,2707
12/01/1999,2707
01/01/2000,2707
02/01/2000,2707
03/01/2000,2707
04/01/2000,2707
05/01/2000,2707
06/01/2000,2707
07/01/2000,0
08/01/2000,0
09/01/2000,0
10/01/2000,0
11/01/2000,0
12/01/2000,0
01/01/2001,0
02/01/2001,0
03/01/2001,0
04/01/2001,0
05/01/2001,0
06/01/2001,0
07/01/2001,0
08/01/2001,0
09/01/2001,0
10/01/2001,0
11/01/2001,0
12/01/2001,0
01/01/2002,0
02/01/2002,0
03/01/2002,0
04/01/2002,0
05/01/2002,0
06/01/2002,0
07/01/2002,0
08/01/2002,0
09/01/2002,0
10/01/2002,0
11/01/2002,0
12/01/2002,0
01/01/2003,0
02/01/2003,0
03/01/2003,0
04/01/2003,0
05/01/2003,0
06/01/2003,0
07/01/2003,10448
08/01/2003,10448
09/01/2003,10448
10/01/2003,10448
11/01/2003,10448
12/01/2003,10448
01/01/2004,10448
02/01/2004,10448
03/01/2004,10448
04/01/2004,10448
05/01/2004,10448
06/01/2004,10448
07/01/2004,6753
08/01/2004,6753
09/01/2004,6753
10/01/2004,6753
11/01/2004,6753
12/01/2004,6753
01/01/2005,6753
02/01/2005,6753
03/01/2005,6753
04/01/2005,6753
05/01/2005,6753
06/01/2005,6753
07/01/2005,5154
08/01/2005,5154
09/01/2005,5154
10/01/2005,5154
11/01/2005,5154
12/01/2005,5154
01/01/2006,5154
02/01/2006,5154
03/01/2006,5154
04/01/2006,5154
05/01/2006,5154
06/01/2006,5154
07/01/2006,506
08/01/2006,506
09/01/2006,506
10/01/2006,506
11/01/2006,506
12/01/2006,506
01/01/2007,506
02/01/2007,506
03/01/2007,506
04/01/2007,506
05/01/2007,506
06/01/2007,506
07/01/2007,188
08/01/2007,188
09/01/2007,188
10/01/2007,188
11/01/2007,188
12/01/2007,188
01/01/2008,188
02/01/2008,188
03/01/2008,188
04/01/2008,188
05/01/2008,188
06/01/2008,188
07/01/2008,0
08/01/2008,0
09/01/2008,0
10/01/2008,0
11/01/2008,0
12/01/2008,0
01/01/2009,0
02/01/2009,0
03/01/2009,0
04/01/2009,0
05/01/2009,0
06/01/2009,0
07/01/2009,26111
08/01/2009,26111
09/01/2009,26111
10/01/2009,26111
11/01/2009,26111
12/01/2009,26111
01/01/2010,26111
02/01/2010,26111
03/01/2010,26111
04/01/2010,26111
05/01/2010,26111
06/01/2010,26111
07/01/2010,38091
08/01/2010,38091
09/01/2010,38091
10/01/2010,38091
11/01/2010,38091
12/01/2010,38091
01/01/2011,38091
02/01/2011,38091
03/01/2011,38091
04/01/2011,38091
05/01/2011,38091
06/01/2011,38091
07/01/2011,47999
08/01/2011,47999
09/01/2011,47999
10/01/2011,47999
11/01/2011,47999
12/01/2011,47999
01/01/2012,47999
02/01/2012,47999
03/01/2012,47999
04/01/2012,47999
05/01/2012,47999
06/01/2012,47999
07/01/2012,2284
08/01/2012,2284
09/01/2012,2284
10/01/2012,2284
11/01/2012,2284
12/01/2012,2284
