Start,01/01/1992
End,12/01/2012
Frequency,M
Name,BEST CUT - TOTAL DEBT
Code,135541(WC03255)
CURRENCY,R
01/01/1992,NA
02/01/1992,NA
03/01/1992,NA
04/01/1992,NA
05/01/1992,NA
06/01/1992,NA
07/01/1992,NA
08/01/1992,NA
09/01/1992,NA
10/01/1992,NA
11/01/1992,NA
12/01/1992,NA
01/01/1993,NA
02/01/1993,NA
03/01/1993,NA
04/01/1993,NA
05/01/1993,NA
06/01/1993,NA
07/01/1993,NA
08/01/1993,NA
09/01/1993,NA
10/01/1993,NA
11/01/1993,NA
12/01/1993,NA
01/01/1994,NA
02/01/1994,NA
03/01/1994,NA
04/01/1994,NA
05/01/1994,NA
06/01/1994,NA
07/01/1994,NA
08/01/1994,NA
09/01/1994,NA
10/01/1994,NA
11/01/1994,NA
12/01/1994,NA
01/01/1995,NA
02/01/1995,NA
03/01/1995,NA
04/01/1995,NA
05/01/1995,NA
06/01/1995,NA
07/01/1995,NA
08/01/1995,NA
09/01/1995,NA
10/01/1995,NA
11/01/1995,NA
12/01/1995,NA
01/01/1996,NA
02/01/1996,NA
03/01/1996,NA
04/01/1996,NA
05/01/1996,NA
06/01/1996,NA
07/01/1996,NA
08/01/1996,NA
09/01/1996,NA
10/01/1996,NA
11/01/1996,NA
12/01/1996,NA
01/01/1997,NA
02/01/1997,NA
03/01/1997,0
04/01/1997,0
05/01/1997,0
06/01/1997,0
07/01/1997,0
08/01/1997,0
09/01/1997,0
10/01/1997,0
11/01/1997,0
12/01/1997,0
01/01/1998,0
02/01/1998,0
03/01/1998,0
04/01/1998,0
05/01/1998,0
06/01/1998,0
07/01/1998,0
08/01/1998,0
09/01/1998,0
10/01/1998,0
11/01/1998,0
12/01/1998,0
01/01/1999,0
02/01/1999,0
03/01/1999,0
04/01/1999,0
05/01/1999,0
06/01/1999,0
07/01/1999,0
08/01/1999,0
09/01/1999,0
10/01/1999,0
11/01/1999,0
12/01/1999,0
01/01/2000,0
02/01/2000,0
03/01/2000,103
04/01/2000,103
05/01/2000,103
06/01/2000,103
07/01/2000,103
08/01/2000,103
09/01/2000,103
10/01/2000,103
11/01/2000,103
12/01/2000,103
01/01/2001,103
02/01/2001,103
03/01/2001,103
04/01/2001,103
05/01/2001,103
06/01/2001,103
07/01/2001,131
08/01/2001,131
09/01/2001,131
10/01/2001,131
11/01/2001,131
12/01/2001,131
01/01/2002,131
02/01/2002,131
03/01/2002,131
04/01/2002,131
05/01/2002,131
06/01/2002,131
07/01/2002,114
08/01/2002,114
09/01/2002,114
10/01/2002,114
11/01/2002,114
12/01/2002,114
01/01/2003,114
02/01/2003,114
03/01/2003,114
04/01/2003,114
05/01/2003,114
06/01/2003,114
07/01/2003,117
08/01/2003,117
09/01/2003,117
10/01/2003,117
11/01/2003,117
12/01/2003,117
01/01/2004,117
02/01/2004,117
03/01/2004,117
04/01/2004,117
05/01/2004,117
06/01/2004,117
07/01/2004,70
08/01/2004,70
09/01/2004,70
10/01/2004,70
11/01/2004,70
12/01/2004,70
01/01/2005,70
02/01/2005,70
03/01/2005,70
04/01/2005,70
05/01/2005,70
06/01/2005,70
07/01/2005,0
08/01/2005,0
09/01/2005,0
10/01/2005,0
11/01/2005,0
12/01/2005,0
01/01/2006,0
02/01/2006,0
03/01/2006,0
04/01/2006,0
05/01/2006,0
06/01/2006,0
07/01/2006,1084
08/01/2006,1084
09/01/2006,1084
10/01/2006,1084
11/01/2006,1084
12/01/2006,1084
01/01/2007,1084
02/01/2007,1084
03/01/2007,1084
04/01/2007,1084
05/01/2007,1084
06/01/2007,1084
07/01/2007,30225
08/01/2007,30225
09/01/2007,30225
10/01/2007,30225
11/01/2007,30225
12/01/2007,30225
01/01/2008,30225
02/01/2008,30225
03/01/2008,30225
04/01/2008,30225
05/01/2008,30225
06/01/2008,30225
07/01/2008,23457
08/01/2008,23457
09/01/2008,23457
10/01/2008,23457
11/01/2008,23457
12/01/2008,23457
01/01/2009,23457
02/01/2009,23457
03/01/2009,23457
04/01/2009,23457
05/01/2009,23457
06/01/2009,23457
07/01/2009,NA
08/01/2009,NA
09/01/2009,NA
10/01/2009,NA
11/01/2009,NA
12/01/2009,NA
01/01/2010,NA
02/01/2010,NA
03/01/2010,NA
04/01/2010,NA
05/01/2010,NA
06/01/2010,NA
07/01/2010,NA
08/01/2010,NA
09/01/2010,NA
10/01/2010,NA
11/01/2010,NA
12/01/2010,NA
01/01/2011,NA
02/01/2011,NA
03/01/2011,NA
04/01/2011,NA
05/01/2011,NA
06/01/2011,NA
07/01/2011,NA
08/01/2011,NA
09/01/2011,NA
10/01/2011,NA
11/01/2011,NA
12/01/2011,NA
01/01/2012,NA
02/01/2012,NA
03/01/2012,NA
04/01/2012,NA
05/01/2012,NA
06/01/2012,NA
07/01/2012,NA
08/01/2012,NA
09/01/2012,NA
10/01/2012,NA
11/01/2012,NA
12/01/2012,NA
