Start,01/01/1992
End,12/01/2012
Frequency,M
Name,GROUP FIVE - 12MTH TRAILING EPS
Code,317425(EPS1TR12)
CURRENCY,R
01/01/1992,NA
02/01/1992,NA
03/01/1992,NA
04/01/1992,NA
05/01/1992,NA
06/01/1992,0.72
07/01/1992,0.72
08/01/1992,NA
09/01/1992,0.685
10/01/1992,0.683
11/01/1992,0.68
12/01/1992,0.678
01/01/1993,0.675
02/01/1993,0.672
03/01/1993,0.67
04/01/1993,1.41
05/01/1993,1.49
06/01/1993,1.57
07/01/1993,1.65
08/01/1993,NA
09/01/1993,NA
10/01/1993,NA
11/01/1993,0.907
12/01/1993,0.921
01/01/1994,0.935
02/01/1994,0.949
03/01/1994,0.963
04/01/1994,0.977
05/01/1994,0.992
06/01/1994,0.52
07/01/1994,0.49
08/01/1994,0.515
09/01/1994,0.54
10/01/1994,0.565
11/01/1994,0.557
12/01/1994,0.573
01/01/1995,0.59
02/01/1995,0.582
03/01/1995,0.603
04/01/1995,0.625
05/01/1995,0.647
06/01/1995,0.623
07/01/1995,0.6
08/01/1995,0.619
09/01/1995,0.625
10/01/1995,0.642
11/01/1995,0.707
12/01/1995,0.741
01/01/1996,0.765
02/01/1996,0.789
03/01/1996,0.813
04/01/1996,0.83
05/01/1996,0.828
06/01/1996,0.822
07/01/1996,0.89
08/01/1996,0.877
09/01/1996,0.895
10/01/1996,0.905
11/01/1996,0.923
12/01/1996,0.872
01/01/1997,0.87
02/01/1997,0.875
03/01/1997,0.9
04/01/1997,0.907
05/01/1997,0.915
06/01/1997,0.932
07/01/1997,0.83
08/01/1997,0.85
09/01/1997,0.87
10/01/1997,0.625
11/01/1997,0.65
12/01/1997,0.67
01/01/1998,0.685
02/01/1998,0.695
03/01/1998,0.713
04/01/1998,0.692
05/01/1998,0.712
06/01/1998,0.731
07/01/1998,0.74
08/01/1998,0.723
09/01/1998,0.717
10/01/1998,0.915
11/01/1998,0.93
12/01/1998,0.933
01/01/1999,0.94
02/01/1999,0.947
