Start,01/01/1992
End,12/01/2012
Frequency,M
Name,NASPERS
Code,152214(P)
CURRENCY,R
01/01/1992,NA
02/01/1992,NA
03/01/1992,NA
04/01/1992,NA
05/01/1992,NA
06/01/1992,NA
07/01/1992,NA
08/01/1992,NA
09/01/1992,NA
10/01/1992,NA
11/01/1992,NA
12/01/1992,NA
01/01/1993,NA
02/01/1993,NA
03/01/1993,NA
04/01/1993,NA
05/01/1993,NA
06/01/1993,NA
07/01/1993,NA
08/01/1993,NA
09/01/1993,NA
10/01/1993,NA
11/01/1993,NA
12/01/1993,NA
01/01/1994,NA
02/01/1994,NA
03/01/1994,NA
04/01/1994,NA
05/01/1994,NA
06/01/1994,NA
07/01/1994,NA
08/01/1994,NA
09/01/1994,NA
10/01/1994,NA
11/01/1994,NA
12/01/1994,NA
01/01/1995,NA
02/01/1995,NA
03/01/1995,NA
04/01/1995,NA
05/01/1995,NA
06/01/1995,NA
07/01/1995,NA
08/01/1995,NA
09/01/1995,NA
10/01/1995,NA
11/01/1995,NA
12/01/1995,NA
01/01/1996,NA
02/01/1996,NA
03/01/1996,NA
04/01/1996,38.25
05/01/1996,42.8
06/01/1996,40
07/01/1996,47.4
08/01/1996,46.8
09/01/1996,47.2
10/01/1996,44.4
11/01/1996,43.6
12/01/1996,40.25
01/01/1997,43.25
02/01/1997,39
03/01/1997,41.5
04/01/1997,45
05/01/1997,42.5
06/01/1997,45
07/01/1997,51.5
08/01/1997,52.5
09/01/1997,50.5
10/01/1997,49.6
11/01/1997,47.5
12/01/1997,40.5
01/01/1998,40
02/01/1998,40.7
03/01/1998,35.65
04/01/1998,41.2
05/01/1998,48.55
06/01/1998,48.5
07/01/1998,38.35
08/01/1998,36.9
09/01/1998,26.5
10/01/1998,18.45
11/01/1998,22.25
12/01/1998,20.25
01/01/1999,23
02/01/1999,24.25
03/01/1999,24.1
04/01/1999,30.5
05/01/1999,31.4
06/01/1999,28.85
07/01/1999,36.9
08/01/1999,31.2
09/01/1999,29.6
10/01/1999,28.4
11/01/1999,39.25
12/01/1999,53
01/01/2000,56
02/01/2000,81
03/01/2000,95
04/01/2000,81.5
05/01/2000,70
06/01/2000,60.3
07/01/2000,56.8
08/01/2000,60.4
09/01/2000,65.5
10/01/2000,59.3
11/01/2000,59.3
12/01/2000,30.5
01/01/2001,30.75
02/01/2001,40.05
03/01/2001,31.5
04/01/2001,26.5
05/01/2001,26.5
06/01/2001,29.05
07/01/2001,32
08/01/2001,27
09/01/2001,26.55
10/01/2001,14.7
11/01/2001,18.7
12/01/2001,22.25
01/01/2002,19.7
02/01/2002,16.1
03/01/2002,13.65
04/01/2002,12.3
05/01/2002,17.25
06/01/2002,21.2
07/01/2002,18.73
08/01/2002,17.6
09/01/2002,18
10/01/2002,18.8
11/01/2002,20.5
12/01/2002,24.5
01/01/2003,23.6
02/01/2003,23.3
03/01/2003,22.8
04/01/2003,19.86
05/01/2003,21.74
06/01/2003,25.4
07/01/2003,26.45
08/01/2003,27.29
09/01/2003,27.8
10/01/2003,27.75
11/01/2003,32.85
12/01/2003,38.49
01/01/2004,41.52
02/01/2004,45.5
03/01/2004,41.99
04/01/2004,43.95
05/01/2004,47
06/01/2004,47.4
07/01/2004,45.85
08/01/2004,44.85
09/01/2004,48.2
10/01/2004,52
11/01/2004,56.8
12/01/2004,67
01/01/2005,74.5
02/01/2005,75.8
03/01/2005,78.86
04/01/2005,73.25
05/01/2005,73.18
06/01/2005,82.01
07/01/2005,83
08/01/2005,97
09/01/2005,104
10/01/2005,102.5
11/01/2005,98.5
12/01/2005,104.5
01/01/2006,112.01
02/01/2006,130.5
03/01/2006,122.55
04/01/2006,128
05/01/2006,132
06/01/2006,122.74
07/01/2006,120
08/01/2006,118
09/01/2006,124.6
10/01/2006,119.9
11/01/2006,136
12/01/2006,145.7
01/01/2007,166
02/01/2007,180
03/01/2007,168.5
04/01/2007,180
05/01/2007,179
06/01/2007,191
07/01/2007,182.5
08/01/2007,174
09/01/2007,184
10/01/2007,192.78
11/01/2007,200.99
12/01/2007,183
01/01/2008,162
02/01/2008,142
03/01/2008,145.98
04/01/2008,146
05/01/2008,164.26
06/01/2008,181
07/01/2008,173.44
08/01/2008,174
09/01/2008,191.02
10/01/2008,159.75
11/01/2008,164.99
12/01/2008,151.05
01/01/2009,166.25
02/01/2009,151.5
03/01/2009,152.59
04/01/2009,160
05/01/2009,173.82
06/01/2009,197.1
07/01/2009,206.14
08/01/2009,233.7
09/01/2009,251
10/01/2009,255.71
11/01/2009,281.1
12/01/2009,279.99
01/01/2010,300
02/01/2010,269.9
03/01/2010,292.5
04/01/2010,321.1
05/01/2010,304
06/01/2010,299.33
07/01/2010,250
08/01/2010,314
09/01/2010,305
10/01/2010,333
11/01/2010,367.7
12/01/2010,360.02
01/01/2011,390.92
02/01/2011,380
03/01/2011,397
04/01/2011,376
05/01/2011,395
06/01/2011,400.5
07/01/2011,380.32
08/01/2011,368.8
09/01/2011,370.37
10/01/2011,347
11/01/2011,374.8
12/01/2011,354
01/01/2012,353.19
02/01/2012,399.9
03/01/2012,414.4
04/01/2012,448
05/01/2012,468.45
06/01/2012,451
07/01/2012,436.83
08/01/2012,462.92
09/01/2012,486.81
10/01/2012,524.37
11/01/2012,560
12/01/2012,547.53
