Start,01/01/1992
End,12/01/2012
Frequency,M
Name,A M MOOLLA GP.
Code,878786(P)
CURRENCY,R
01/01/1992,NA
02/01/1992,NA
03/01/1992,NA
04/01/1992,NA
05/01/1992,NA
06/01/1992,NA
07/01/1992,NA
08/01/1992,NA
09/01/1992,NA
10/01/1992,NA
11/01/1992,NA
12/01/1992,NA
01/01/1993,NA
02/01/1993,NA
03/01/1993,NA
04/01/1993,NA
05/01/1993,NA
06/01/1993,NA
07/01/1993,NA
08/01/1993,NA
09/01/1993,NA
10/01/1993,NA
11/01/1993,NA
12/01/1993,NA
01/01/1994,NA
02/01/1994,NA
03/01/1994,NA
04/01/1994,NA
05/01/1994,NA
06/01/1994,NA
07/01/1994,NA
08/01/1994,NA
09/01/1994,NA
10/01/1994,NA
11/01/1994,NA
12/01/1994,NA
01/01/1995,NA
02/01/1995,NA
03/01/1995,NA
04/01/1995,NA
05/01/1995,NA
06/01/1995,NA
07/01/1995,NA
08/01/1995,NA
09/01/1995,NA
10/01/1995,NA
11/01/1995,NA
12/01/1995,NA
01/01/1996,NA
02/01/1996,NA
03/01/1996,NA
04/01/1996,NA
05/01/1996,NA
06/01/1996,NA
07/01/1996,NA
08/01/1996,NA
09/01/1996,NA
10/01/1996,NA
11/01/1996,NA
12/01/1996,NA
01/01/1997,NA
02/01/1997,NA
03/01/1997,NA
04/01/1997,NA
05/01/1997,NA
06/01/1997,NA
07/01/1997,NA
08/01/1997,NA
09/01/1997,NA
10/01/1997,NA
11/01/1997,15
12/01/1997,11.1
01/01/1998,14
02/01/1998,13.5
03/01/1998,13
04/01/1998,12
05/01/1998,15.9
06/01/1998,13.6
07/01/1998,9.9
08/01/1998,8.7
09/01/1998,5.5
10/01/1998,5.5
11/01/1998,10
12/01/1998,8.4
01/01/1999,7.2
02/01/1999,4.6
03/01/1999,5
04/01/1999,5.5
05/01/1999,6
06/01/1999,4.8
07/01/1999,4.5
08/01/1999,3.5
09/01/1999,2.9
10/01/1999,2.6
11/01/1999,2.4
12/01/1999,2.05
01/01/2000,2.2
02/01/2000,2.35
03/01/2000,2
04/01/2000,2.05
05/01/2000,1.6
06/01/2000,1.6
07/01/2000,1.7
08/01/2000,1.81
09/01/2000,2.1
10/01/2000,1.95
11/01/2000,2
12/01/2000,2.25
01/01/2001,2.7
02/01/2001,3
03/01/2001,3.08
04/01/2001,3.08
05/01/2001,3.08
06/01/2001,3.08
07/01/2001,3.08
08/01/2001,3.08
09/01/2001,3.08
10/01/2001,3.08
11/01/2001,3.08
12/01/2001,3.08
01/01/2002,3.08
02/01/2002,3.08
03/01/2002,3.08
04/01/2002,3.08
05/01/2002,3.08
06/01/2002,3.08
07/01/2002,3.08
08/01/2002,3.08
09/01/2002,3.08
10/01/2002,3.08
11/01/2002,3.08
12/01/2002,3.08
01/01/2003,3.08
02/01/2003,3.08
03/01/2003,3.08
04/01/2003,3.08
05/01/2003,3.08
06/01/2003,3.08
07/01/2003,3.08
08/01/2003,3.08
09/01/2003,3.08
10/01/2003,3.08
11/01/2003,3.08
12/01/2003,3.08
01/01/2004,3.08
02/01/2004,3.08
03/01/2004,3.08
04/01/2004,3.08
05/01/2004,3.08
06/01/2004,3.08
07/01/2004,3.08
08/01/2004,3.08
09/01/2004,3.08
10/01/2004,3.08
11/01/2004,3.08
12/01/2004,3.08
01/01/2005,3.08
02/01/2005,3.08
03/01/2005,3.08
04/01/2005,3.08
05/01/2005,3.08
06/01/2005,3.08
07/01/2005,3.08
08/01/2005,3.08
09/01/2005,3.08
10/01/2005,3.08
11/01/2005,3.08
12/01/2005,3.08
01/01/2006,3.08
02/01/2006,3.08
03/01/2006,3.08
04/01/2006,3.08
05/01/2006,3.08
06/01/2006,3.08
07/01/2006,3.08
08/01/2006,3.08
09/01/2006,3.08
10/01/2006,3.08
11/01/2006,3.08
12/01/2006,3.08
01/01/2007,3.08
02/01/2007,3.08
03/01/2007,3.08
04/01/2007,3.08
05/01/2007,3.08
06/01/2007,3.08
07/01/2007,3.08
08/01/2007,3.08
09/01/2007,3.08
10/01/2007,3.08
11/01/2007,3.08
12/01/2007,3.08
01/01/2008,3.08
02/01/2008,3.08
03/01/2008,3.08
04/01/2008,3.08
05/01/2008,3.08
06/01/2008,3.08
07/01/2008,3.08
08/01/2008,3.08
09/01/2008,3.08
10/01/2008,3.08
11/01/2008,3.08
12/01/2008,3.08
01/01/2009,3.08
02/01/2009,3.08
03/01/2009,3.08
04/01/2009,3.08
05/01/2009,3.08
06/01/2009,3.08
07/01/2009,3.08
08/01/2009,3.08
09/01/2009,3.08
10/01/2009,3.08
11/01/2009,3.08
12/01/2009,3.08
01/01/2010,3.08
02/01/2010,3.08
03/01/2010,3.08
04/01/2010,3.08
05/01/2010,3.08
06/01/2010,3.08
07/01/2010,3.08
08/01/2010,3.08
09/01/2010,3.08
10/01/2010,3.08
11/01/2010,3.08
12/01/2010,3.08
01/01/2011,3.08
02/01/2011,3.08
03/01/2011,3.08
04/01/2011,3.08
05/01/2011,3.08
06/01/2011,3.08
07/01/2011,3.08
08/01/2011,3.08
09/01/2011,3.08
10/01/2011,3.08
11/01/2011,3.08
12/01/2011,3.08
01/01/2012,3.08
02/01/2012,3.08
03/01/2012,3.08
04/01/2012,3.08
05/01/2012,3.08
06/01/2012,3.08
07/01/2012,3.08
08/01/2012,3.08
09/01/2012,3.08
10/01/2012,3.08
11/01/2012,3.08
12/01/2012,3.08
