me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Fincials,,526768,526768,526768,526768,526768,526768,526768,526768,526768,526768,526768,526768,526768,526768,526768,526768,526768,526768,526768,526768,526768,526768,526768,526768,526768,526768,526768,616630,616630,616630,616630,616630,616630,616630,616630,616630,616630,616630,616630,959181,959181,959181,959181,959181,959181,959181,959181,959181,959181,959181,959181,1020658,1020658,1020658,1020658,1020658,1020658,1020658,1020658,1020658,1020658,1020658,1020658,1268898,1268898,1268898,1268898,1268898,1268898,1268898,1268898,1268898,1268898,1268898,1268898,3223237,3223237,3223237,3223237,3223237,3223237,3223237,3223237,3223237,3223237,3223237,3223237,3199211,3199211,3199211,3199211,3199211,3199211,3199211,3199211,3199211,3199211,3199211,3199211,3342968,3342968,3342968,3342968,3342968,3342968,3342968,3342968,3342968,3342968,3342968,3342968,3679242,3679242,3679242,3679242,3679242,3679242,3679242,3679242,3679242,3679242,3679242,3679242,3812829,3812829,3812829,3812829,3812829,3812829,3812829,3812829,3812829,3812829,3812829,3812829,5478498,5478498,5478498,5478498,5478498,5478498,5478498,5478498,5478498,5478498,5478498,5478498,7149018,7149018,7149018,7149018,7149018,7149018,7149018,7149018,7149018
Excess return,Fincials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,-0.119546284,-0.1317152,-0.124033367,-0.126147753,-0.140694278,-0.1397088,-0.066640348,-0.080996008,-0.14792734,-0.077569759,-0.028506084,-0.022267446,-0.182914901,0.025431736,-0.084070539,-0.090697669,-0.131999847,0.014710756,-0.059432108,0.007782193,-0.166103036,-0.129978619,-0.125147366,-0.109228709,-0.125538437,-0.109201113,-0.072350733,-0.099277432,-0.061776779,-0.1267571,0.005226836,-0.024499814,-0.119287771,-0.050464439,-0.103195389,-0.121309463,-0.040044464,-0.059575041,-0.086835977,-0.023013029,-0.079818656,-0.125456,-0.163234728,-0.038280538,-0.07047494,-0.041939275,-0.056363977,-0.074998666,-0.149794512,-0.295836199,-0.127254,-0.036720221,-0.096374871,-0.088157704,-0.027106537,-0.101338881,-0.025339465,-0.097911415,-0.052392366,-0.068899942,-0.100836487,-0.182799418,-0.129611368,-0.134434689,-0.091892951,-0.035968117,-0.208130565,-0.110934356,-0.222876589,-0.161517207,-0.165830246,-0.234906743,-0.242331537,-0.155855472,0.047887451,-0.032145196,-0.151698869,-0.197119157,0.001537938,-0.008352971,-0.101647866,-0.164492872,-0.073033806,-0.092959668,-0.118215,-0.140626716,-0.026387554,-0.079466068,-0.1194986,-0.110931624,-0.118806641,-0.050296349,-0.134425782,-0.080285334,-0.075349026,-0.089018982,-0.151543553,-0.105834659,-0.070628218,-0.116482357,-0.065094724,-0.103445329,-0.126177844,-0.129433858,-0.155651626,-0.165995899,-0.070237144,-0.063936051,-0.166371011,-0.064472127,-0.095260813,-0.082915091,-0.063000339,-0.115774934,-0.105136527,-0.093590561,-0.055535882,-0.09953574,-0.097529825,-0.114311381,-0.083340254,-0.002630055,0.001694664,-0.055382831,-0.122873306,-0.128413093,-0.048154555,-0.068261054,-0.074703097,-0.072187881,-0.001346258,-0.023587674,-0.200502133,-0.03714144,-0.127832267,-0.122503978,-0.008028508,-0.037047849,-0.129764284,0.021499144
Risk premium,Fincials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Fincials,,,,,,,,,,,,,,,,,1.7971,0.2202,0.2304,0.2959,0.2957,0.295,0.2926,0.2739,0.3022,0.2801,0.1685,0.1796,0.0714,0.0663,0.096,0.1117,0.1211,0.2553,0.2555,0.2875,0.2628,0.262,0.2661,0.2677,0.2689,0.249,0.2549,0.2625,0.2847,0.2827,0.3517,0.3516,0.317,0.3338,0.4264,0.4608,0.7928,0.7928,0.7959,0.7892,0.7563,0.7014,0.712,0.7035,0.7012,0.6295,0.6342,0.6353,0.6564,0.6129,0.6403,0.658,0.6499,0.5976,0.5965,0.5965,0.577,0.5714,0.5813,0.5507,0.5499,0.6362,0.6615,0.681,0.6971,0.7602,0.8463,0.8016,0.8873,0.7496,0.7306,0.6669,0.6362,0.7473,0.4355,0.3781,0.4063,0.4777,0.4716,0.4672,0.4604,0.4799,0.4598,0.464,0.448,0.455,0.5006,0.5071,0.4729,0.4722,0.4541,0.4747,0.4515,0.4939,0.4959,0.5246,0.5387,0.5449,0.6513,0.6792,0.6806,0.6393,0.6462,0.6165,0.6399,0.6425,0.6251,0.626,0.6681,0.6552,0.5746,0.5582,0.5085,0.4797,0.4788,0.4756,0.4909,0.4716,0.4689,0.4676,0.4275,0.4115,0.3899,0.3938,0.3271,0.269,0.2813,0.3388,0.2963,0.3265,0.3298,0.2523,0.026,0.0241,-0.0266,-0.0358,0.0206,0.0027,0.057,-0.0884,
VO monthly avg,Fincials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,152,201.56,15.25,6.33,8.64,8.56,61.18,346.62,172.4,51.55,95.06,87.14,47.8,29.3,108.88,66.15,35.7,97.63,122.64,221.71,120.02,21.06,42.24,53.84,75.02,85.72,110.5,88.59,106.46,118.74,77.07,119.62,158.9,76.15,52.43,184.8,133.28,31.17,49.1,61.86,135.79,82.26,190.6,94.3,89.76,125.36,88.92,46.71,62.85,80.19,106.7,230.14,240.45,83.58,147.23,134.68,26.93,38.65,88.99,75.33,7.04,268.62,240.98,114.1,32.33,300.72,341.64,208.38,53.52,101.1,177.78,45.85,185.05,210.38,240.75,244.21,159.61,65.56,110.44,137.24,165.6,206.41,347.11,350.36,163.36,273.44,79.06,88.31,148.16,163.63,177.17,139.17,124.81,127.58,185.62,90.31,58.31,74.68,105.17,274.97,237.13,185.6,275.89,340.8,134.79,214.44,105.37,185.69,42.53,184.96,244.96,194.57,184.72,196.33,159.38,98.46,163.4,180.73,175.15,139.29,215.5,118.91,158.02,203.12,117.56,88.22,138.87,142.79,143.18,92.72,198.44,323.7,204.95,255.9,320.95,200.97,254.87,293.3,98,109.74,234.42
Total assets,Fincials,,945218,945218,945218,945218,945218,945218,945218,945218,945218,945218,945218,945218,945218,945218,945218,945218,945218,945218,945218,945218,945218,945218,945218,945218,945218,945218,945218,1199973,1199973,1199973,1199973,1199973,1199973,1199973,1199973,1199973,1199973,1199973,1199973,1907749,1907749,1907749,1907749,1907749,1907749,1907749,1907749,1907749,1907749,1907749,1907749,2388217,2388217,2388217,2388217,2388217,2388217,2388217,2388217,2388217,2388217,2388217,2388217,3345073,3345073,3345073,3345073,3345073,3345073,3345073,3345073,3345073,3345073,3345073,3345073,6399956,6399956,6399956,6399956,6399956,6399956,6399956,6399956,6399956,6399956,6399956,6399956,6348590,6348590,6348590,6348590,6348590,6348590,6348590,6348590,6348590,6348590,6348590,6348590,7034321,7034321,7034321,7034321,7034321,7034321,7034321,7034321,7034321,7034321,7034321,7034321,8291569,8291569,8291569,8291569,8291569,8291569,8291569,8291569,8291569,8291569,8291569,8291569,8957128,8957128,8957128,8957128,8957128,8957128,8957128,8957128,8957128,8957128,8957128,8957128,9944458,9944458,9944458,9944458,9944458,9944458,9944458,9944458,9944458,9944458,9944458,9944458,12569835,12569835,12569835,12569835,12569835,12569835,12569835,12569835,12569835
Net sales,Fincials,,119975,119975,119975,119975,119975,119975,119975,119975,119975,119975,119975,119975,119975,119975,119975,119975,119975,119975,119975,119975,119975,119975,119975,119975,119975,119975,119975,137988,137988,137988,137988,137988,137988,137988,137988,137988,137988,137988,137988,152198,152198,152198,152198,152198,152198,152198,152198,152198,152198,152198,152198,213045,213045,213045,213045,213045,213045,213045,213045,213045,213045,213045,213045,245107,245107,245107,245107,245107,245107,245107,245107,245107,245107,245107,245107,427594,427594,427594,427594,427594,427594,427594,427594,427594,427594,427594,427594,558332,558332,558332,558332,558332,558332,558332,558332,558332,558332,558332,558332,552151,552151,552151,552151,552151,552151,552151,552151,552151,552151,552151,552151,624298,624298,624298,624298,624298,624298,624298,624298,624298,624298,624298,624298,754484,754484,754484,754484,754484,754484,754484,754484,754484,754484,754484,754484,777219,777219,777219,777219,777219,777219,777219,777219,777219,777219,777219,777219,679829,679829,679829,679829,679829,679829,679829,679829,679829
common equity,Fincials,,418450,418450,418450,418450,418450,418450,418450,418450,418450,418450,418450,418450,418450,418450,418450,418450,418450,418450,418450,418450,418450,418450,418450,418450,418450,418450,418450,583343,583343,583343,583343,583343,583343,583343,583343,583343,583343,583343,583343,948568,948568,948568,948568,948568,948568,948568,948568,948568,948568,948568,948568,1367559,1367559,1367559,1367559,1367559,1367559,1367559,1367559,1367559,1367559,1367559,1367559,2076175,2076175,2076175,2076175,2076175,2076175,2076175,2076175,2076175,2076175,2076175,2076175,3176719,3176719,3176719,3176719,3176719,3176719,3176719,3176719,3176719,3176719,3176719,3176719,3149379,3149379,3149379,3149379,3149379,3149379,3149379,3149379,3149379,3149379,3149379,3149379,3691353,3691353,3691353,3691353,3691353,3691353,3691353,3691353,3691353,3691353,3691353,3691353,4612327,4612327,4612327,4612327,4612327,4612327,4612327,4612327,4612327,4612327,4612327,4612327,5144299,5144299,5144299,5144299,5144299,5144299,5144299,5144299,5144299,5144299,5144299,5144299,4465960,4465960,4465960,4465960,4465960,4465960,4465960,4465960,4465960,4465960,4465960,4465960,5420817,5420817,5420817,5420817,5420817,5420817,5420817,5420817,5420817
Turnover ratio,Fincials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0.38%,0.51%,0.04%,0.02%,0.02%,0.02%,0.15%,0.87%,0.43%,0.13%,0.24%,0.22%,0.12%,0.07%,0.27%,0.13%,0.07%,0.19%,0.24%,0.44%,0.24%,0.04%,0.08%,0.11%,0.15%,0.17%,0.22%,0.18%,0.2%,0.22%,0.14%,0.22%,0.29%,0.13%,0.09%,0.3%,0.2%,0.05%,0.07%,0.09%,0.2%,0.12%,0.28%,0.14%,0.13%,0.18%,0.13%,0.07%,0.09%,0.12%,0.14%,0.3%,0.3%,0.1%,0.18%,0.17%,0.03%,0.04%,0.09%,0.08%,0.01%,0.27%,0.24%,0.11%,0.03%,0.26%,0.25%,0.15%,0.04%,0.07%,0.13%,0.03%,0.13%,0.14%,0.17%,0.17%,0.11%,0.05%,0.08%,0.09%,0.11%,0.14%,0.24%,0.24%,0.11%,0.19%,0.05%,0.06%,0.1%,0.11%,0.11%,0.09%,0.08%,0.08%,0.12%,0.06%,0.04%,0.05%,0.07%,0.16%,0.14%,0.11%,0.17%,0.2%,0.08%,0.12%,0.06%,0.11%,0.02%,0.11%,0.14%,0.11%,0.11%,0.11%,0.09%,0.06%,0.1%,0.11%,0.1%,0.08%,0.12%,0.07%,0.09%,0.11%,0.07%,0.05%,0.08%,0.08%,0.08%,0.05%,0.11%,0.18%,0.11%,0.14%,0.17%,0.11%,0.14%,0.16%,0.05%,0.06%,0.13%
Return monthly,Fincials,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,-0.05,0.010526316,0,0.005208333,0.005181347,-0.010309278,-0.009375,0.055415352,0.042542592,-0.03058104,0.031545741,0.081708716,0.080130754,-0.082938001,0.125579736,0.018066561,0.013231631,-0.021815947,0.121407256,0.050980392,0.115138593,-0.053597036,-0.018814319,-0.011582266,0.007811991,-0.007751437,0.011457587,0.048786767,0.023258668,0.060633321,0,0.114277636,0.076271186,-0.018058371,0.053298761,0.012035011,0.011936937,0.094101936,0.070466659,0.041883623,0.105533871,0.045469544,0,-0.041314228,0.080395062,0.04348356,0.070815325,0.058359923,0.040454534,-0.033581812,-0.169797299,0,0.090903479,0.021673929,0.029771796,0.089072963,0.013162119,0.087208735,0.017060485,0.059051734,0.045643758,0.024244113,-0.055424918,-0.000658368,-0.007967389,0.036649649,0.102898783,-0.071879765,0.031115544,-0.085901789,-0.023239407,-0.029315546,-0.094126143,-0.088251637,-0.036618972,0.162907751,0.081951704,-0.030603769,-0.083908357,0.104221538,0.100002229,0.014185834,-0.049475472,0.041098194,0.023564332,0,-0.020338916,0.092609746,0.038076632,0,0.008326676,0.001549459,0.068598151,-0.015810082,0.036056366,0.042400774,0.031869118,-0.029414853,0.017247241,0.051411382,0.005895443,0.053581176,0.020015271,-0.005988344,-0.002770158,-0.028574126,-0.039714599,0.053600856,0.061054249,-0.041093411,0.054127673,0.018305787,0.031820409,0.045570761,-0.006660534,0.004126273,0.014686139,0.052624918,0.00875496,0.008678975,-0.009828881,0.014884246,0.088583645,0.093954064,0.030824469,-0.038976306,-0.043991193,0.037039845,0.015655846,0.009916403,0.013739519,0.074648642,0.049850326,-0.123183833,0.03958276,-0.048237667,-0.045456178,0.068091592,0.046593151,-0.056233484,0.021499144
