me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Industrials,2994915,2994915,2994915,3373151,3373151,3373151,3373151,3373151,3373151,3373151,3373151,3373151,3373151,3373151,3373151,2503184,2503184,2503184,2503184,2503184,2503184,2503184,2503184,2503184,2503184,2503184,2503184,2399000,2399000,2399000,2399000,2399000,2399000,2399000,2399000,2399000,2399000,2399000,2399000,3098000,3098000,3098000,3098000,3098000,3098000,3098000,3098000,3098000,3098000,3098000,3098000,3399000,3399000,3399000,3399000,3399000,3399000,3399000,3399000,3399000,3399000,3399000,3399000,3522000,3522000,3522000,3522000,3522000,3522000,3522000,3522000,3522000,3522000,3522000,3522000,5437000,5437000,5437000,5437000,5437000,5437000,5437000,5437000,5437000,5437000,5437000,5437000,7051000,7051000,7051000,7051000,7051000,7051000,7051000,7051000,7051000,7051000,7051000,7051000,5972000,5972000,5972000,5972000,5972000,5972000,5972000,5972000,5972000,5972000,5972000,5972000,5903000,5903000,5903000,5903000,5903000,5903000,5903000,5903000,5903000,5903000,5903000,5903000,6328000,6328000,6328000,6328000,6328000,6328000,6328000,6328000,6328000,6328000,6328000,6328000,7637000,7637000,7637000,7637000,7637000,7637000,7637000,7637000,7637000,7637000,7637000,7637000,11452000,11452000,11452000,11452000,11452000,11452000,11452000,11452000,11452000,11452000
Excess return,Industrials,,-0.018897523,-0.119043884,-0.248058308,-0.161121084,-0.045445617,-0.097384749,-0.196143042,-0.115989873,-0.211636048,-0.133621117,-0.171160366,-0.152263408,-0.183481402,-0.204859993,-0.193973274,-0.047948157,-0.135728119,-0.144412436,-0.164305391,-0.168641267,-0.154888784,-0.090053067,-0.124106257,-0.082028851,-0.149406044,-0.176321625,-0.17874073,-0.105897233,-0.029171355,-0.054970032,-0.149521824,-0.103252002,-0.06188954,-0.11657597,-0.031959637,-0.075577756,-0.139264242,-0.114850638,-0.089752704,-0.099139411,-0.123676747,-0.04884192,-0.188165964,-0.151156072,-0.033627342,0.040208021,-0.011266769,-0.111864322,-0.102442064,-0.163199899,-0.12327415,-0.146938076,0.070615043,-0.100844262,0.043850809,-0.11464174,-0.003085049,-0.118704822,-0.113117915,-0.099434733,-0.055359504,-0.103242119,-0.018676054,-0.112183164,-0.111036294,-0.262624264,-0.037481556,-0.1348183,-0.096693062,-0.026834011,-0.073522894,-0.053956546,0.009783827,-0.017518693,-0.078964905,-0.154092812,0.023278658,-0.134159483,-0.153124977,-0.273623495,0.043344392,-0.101820768,-0.21218329,-0.086399236,-0.335333311,-0.177484518,-0.049992599,-0.203544349,-0.010066035,-0.24872153,-0.186150193,-0.113438402,-0.264125069,-0.408393588,-0.1120482,-0.220849648,-0.08529041,-0.340924773,-0.100633212,-0.046408438,-0.100442655,-0.001974125,-0.062481329,-0.145760185,-0.148875344,-0.06339509,-0.235522018,-0.107478753,-0.108499113,-0.237182713,-0.076174642,-0.141394927,-0.237230066,-0.174763134,-0.081115639,-0.1434324,-0.065564041,-0.080910874,-0.157670295,-0.176394884,-0.092788154,-0.178998799,-0.175449171,0.014633843,-0.212717346,-0.064029485,-0.180328558,-0.159006632,-0.100349365,-0.186933344,-0.093114449,-0.184152717,-0.103009455,-0.088936359,-0.107697707,-0.080712063,-0.178938689,-0.059869762,-0.055722419,-0.101321406,-0.122948876,-0.092792414,-0.116455826,-0.151213581,-0.022196328,-0.119529243,-0.130443446,-0.10060356,-0.121047144,-0.066312277,-0.163607307,0.01667185,0.042127647,-0.140950982,-0.143567295,-0.002101723
Risk premium,Industrials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Industrials,0.7521,0.7433,0.7663,0.7016,0.8623,0.8019,0.8154,0.8148,0.7852,0.8192,0.7454,0.701,0.7039,0.6626,0.6726,0.5838,0.5838,0.5999,0.6221,0.5871,0.5886,0.5819,0.575,0.5001,0.504,0.517,0.4967,0.4932,0.5341,0.5293,0.5153,0.5112,0.471,0.4588,0.4955,0.5305,0.5142,0.5423,0.5429,0.5364,0.5367,0.476,0.464,0.4376,0.4701,0.4469,0.5027,0.503,0.4835,0.401,0.3212,0.3842,0.4414,0.4384,0.5512,0.6028,0.6634,0.7369,0.7812,0.7382,0.741,0.7462,0.7684,0.7914,0.7733,0.8092,0.7994,0.7816,0.7641,0.8465,0.8455,0.8465,0.8259,0.8554,0.8209,0.6413,0.6006,0.6552,0.5836,0.6814,0.6438,0.6362,0.768,0.7242,1.0505,0.7399,0.5971,0.5805,0.6206,0.8137,0.8367,0.8593,0.8431,1.0124,1.0056,0.9466,0.9114,0.9571,0.9444,0.9625,0.9136,0.8944,0.9009,0.9038,0.8624,0.88,0.8607,0.8948,0.831,0.9383,0.971,0.9941,0.9497,0.9547,0.9849,1.0159,1.0148,0.8565,0.8589,0.8215,0.6871,0.6972,0.7115,0.7182,0.8645,0.8307,0.8246,0.8344,0.7839,0.6001,0.6023,0.6178,0.6522,0.6048,0.5927,0.6045,0.5793,0.5405,0.5073,0.504,0.4016,0.3543,0.345,0.3765,0.4775,0.51,0.5034,0.4092,0.374,0.3765,0.3126,0.3376,0.4616,0.6242,0.6366,0.5823,
VO monthly avg,Industrials,6.5,6.82,77.85,7.5,13.6,14.48,17.47,53.19,20.66,12.29,18.94,38.14,4.98,20.49,26.12,33.35,62.71,12.65,12.32,11.58,31.54,21.38,54.88,25.26,60.56,11.91,24.47,11.93,7.63,28.13,54.91,12.3,45.65,47.5,17.71,45.16,21.35,19.32,4.58,29.94,43.74,40.41,77.46,16.2,169.05,97.52,160.59,85.74,59.63,60.59,65.05,32.18,109.03,81.73,38.65,112.5,226.63,84.03,38.09,74.06,78.57,28.15,50.21,38.38,44,30,31.19,62.27,23.44,30.01,26.44,25.11,33.74,27.59,39.34,24.41,99.73,50.49,61.08,22.01,26.77,72.65,99.22,64.02,24.46,52.48,86.05,73.18,65.49,118.82,102.3,85.55,49.32,58.8,98.99,55.41,47.58,44.35,55.22,140.29,65.63,122.92,256.81,115.34,49.79,34.63,85.75,50.29,50.7,71.41,64.19,51.05,50.85,143.28,94.34,139.5,33.92,85.07,46.31,47.95,64.6,41.04,75.71,46.7,34.38,18.33,108.26,27.09,15.86,30.76,113.25,53.42,58,60.29,43.06,57.62,51.04,29.75,25,97.11,30.24,24.42,9.5,35.24,47.17,73.81,22.28,9.84,11.15,16.98,56.56,7.29,42.43,32.7,6.79,30.89,21.35
Total assets,Industrials,6158209,6158209,6158209,6954006,6954006,6954006,6954006,6954006,6954006,6954006,6954006,6954006,6954006,6954006,6954006,6060860,6060860,6060860,6060860,6060860,6060860,6060860,6060860,6060860,6060860,6060860,6060860,5956000,5956000,5956000,5956000,5956000,5956000,5956000,5956000,5956000,5956000,5956000,5956000,6664000,6664000,6664000,6664000,6664000,6664000,6664000,6664000,6664000,6664000,6664000,6664000,7433000,7433000,7433000,7433000,7433000,7433000,7433000,7433000,7433000,7433000,7433000,7433000,8268000,8268000,8268000,8268000,8268000,8268000,8268000,8268000,8268000,8268000,8268000,8268000,10783000,10783000,10783000,10783000,10783000,10783000,10783000,10783000,10783000,10783000,10783000,10783000,13351000,13351000,13351000,13351000,13351000,13351000,13351000,13351000,13351000,13351000,13351000,13351000,12327000,12327000,12327000,12327000,12327000,12327000,12327000,12327000,12327000,12327000,12327000,12327000,12217000,12217000,12217000,12217000,12217000,12217000,12217000,12217000,12217000,12217000,12217000,12217000,12141000,12141000,12141000,12141000,12141000,12141000,12141000,12141000,12141000,12141000,12141000,12141000,12857000,12857000,12857000,12857000,12857000,12857000,12857000,12857000,12857000,12857000,12857000,12857000,15966000,15966000,15966000,15966000,15966000,15966000,15966000,15966000,15966000,15966000
Net sales,Industrials,8973640,8973640,8973640,9899547,9899547,9899547,9899547,9899547,9899547,9899547,9899547,9899547,9899547,9899547,9899547,11397337,11397337,11397337,11397337,11397337,11397337,11397337,11397337,11397337,11397337,11397337,11397337,10045000,10045000,10045000,10045000,10045000,10045000,10045000,10045000,10045000,10045000,10045000,10045000,12206000,12206000,12206000,12206000,12206000,12206000,12206000,12206000,12206000,12206000,12206000,12206000,13969000,13969000,13969000,13969000,13969000,13969000,13969000,13969000,13969000,13969000,13969000,13969000,17126000,17126000,17126000,17126000,17126000,17126000,17126000,17126000,17126000,17126000,17126000,17126000,21431000,21431000,21431000,21431000,21431000,21431000,21431000,21431000,21431000,21431000,21431000,21431000,24768000,24768000,24768000,24768000,24768000,24768000,24768000,24768000,24768000,24768000,24768000,24768000,22336000,22336000,22336000,22336000,22336000,22336000,22336000,22336000,22336000,22336000,22336000,22336000,22810000,22810000,22810000,22810000,22810000,22810000,22810000,22810000,22810000,22810000,22810000,22810000,23563000,23563000,23563000,23563000,23563000,23563000,23563000,23563000,23563000,23563000,23563000,23563000,24769000,24769000,24769000,24769000,24769000,24769000,24769000,24769000,24769000,24769000,24769000,24769000,27772000,27772000,27772000,27772000,27772000,27772000,27772000,27772000,27772000,27772000
common equity,Industrials,1666547,1666547,1666547,1945075,1945075,1945075,1945075,1945075,1945075,1945075,1945075,1945075,1945075,1945075,1945075,2266999,2266999,2266999,2266999,2266999,2266999,2266999,2266999,2266999,2266999,2266999,2266999,2475000,2475000,2475000,2475000,2475000,2475000,2475000,2475000,2475000,2475000,2475000,2475000,2612000,2612000,2612000,2612000,2612000,2612000,2612000,2612000,2612000,2612000,2612000,2612000,2931000,2931000,2931000,2931000,2931000,2931000,2931000,2931000,2931000,2931000,2931000,2931000,3528000,3528000,3528000,3528000,3528000,3528000,3528000,3528000,3528000,3528000,3528000,3528000,4469000,4469000,4469000,4469000,4469000,4469000,4469000,4469000,4469000,4469000,4469000,4469000,4873000,4873000,4873000,4873000,4873000,4873000,4873000,4873000,4873000,4873000,4873000,4873000,4745000,4745000,4745000,4745000,4745000,4745000,4745000,4745000,4745000,4745000,4745000,4745000,5075000,5075000,5075000,5075000,5075000,5075000,5075000,5075000,5075000,5075000,5075000,5075000,5003000,5003000,5003000,5003000,5003000,5003000,5003000,5003000,5003000,5003000,5003000,5003000,4741000,4741000,4741000,4741000,4741000,4741000,4741000,4741000,4741000,4741000,4741000,4741000,4256000,4256000,4256000,4256000,4256000,4256000,4256000,4256000,4256000,4256000
Turnover ratio,Industrials,0.01%,0.01%,0.08%,0.01%,0.01%,0.01%,0.02%,0.05%,0.02%,0.01%,0.02%,0.04%,0.01%,0.02%,0.03%,0.03%,0.06%,0.01%,0.01%,0.01%,0.03%,0.02%,0.06%,0.03%,0.06%,0.01%,0.03%,0.01%,0.01%,0.03%,0.06%,0.01%,0.05%,0.05%,0.02%,0.05%,0.02%,0.02%,0%,0.03%,0.05%,0.04%,0.08%,0.02%,0.17%,0.1%,0.17%,0.09%,0.06%,0.06%,0.07%,0.03%,0.11%,0.08%,0.04%,0.12%,0.23%,0.09%,0.04%,0.08%,0.08%,0.03%,0.05%,0.04%,0.05%,0.03%,0.03%,0.06%,0.02%,0.03%,0.03%,0.03%,0.03%,0.03%,0.04%,0.03%,0.1%,0.05%,0.06%,0.02%,0.03%,0.07%,0.1%,0.07%,0.03%,0.05%,0.08%,0.07%,0.06%,0.11%,0.1%,0.08%,0.05%,0.06%,0.09%,0.05%,0.05%,0.04%,0.05%,0.13%,0.06%,0.12%,0.24%,0.11%,0.05%,0.03%,0.08%,0.05%,0.05%,0.07%,0.06%,0.05%,0.05%,0.14%,0.09%,0.13%,0.03%,0.08%,0.04%,0.05%,0.06%,0.04%,0.07%,0.04%,0.03%,0.02%,0.1%,0.03%,0.02%,0.03%,0.11%,0.05%,0.05%,0.06%,0.04%,0.05%,0.05%,0.03%,0.02%,0.09%,0.03%,0.02%,0.01%,0.03%,0.04%,0.07%,0.02%,0.01%,0.01%,0.02%,0.05%,0.01%,0.04%,0.03%,0.01%,0.03%,0.02%
Return monthly,Industrials,,0.151530377,0.046033016,-0.081757508,0.013703816,0.122974083,0.062485451,-0.038810642,0.040377727,-0.052926448,0.018639083,-0.024397366,0.007482292,-0.019837602,-0.037986193,-0.024993874,0.106631243,0.018265581,0.011979864,-0.016718091,-0.018859467,-0.006429084,0.058071933,0.012200043,0.054223149,-0.017135044,-0.046529525,-0.04876913,0.025651067,0.099974545,0.071593868,-0.022216224,0.022720998,0.06111486,0.00524053,0.093761863,0.047616844,-0.009099342,0.013752062,0.040740496,0.034772689,0.008411253,0.08499008,-0.055997164,-0.016939772,0.099127358,0.176478121,0.107322231,-0.000603822,0.003020936,-0.066064299,-0.01286955,-0.035829876,0.182434243,0.013781338,0.160827209,0.00805246,0.124439651,0.011110778,0.010988685,0.021748267,0.065951096,0.017967081,0.105882146,0.010634736,0.017543306,-0.126562064,0.097559244,0,0.037036438,0.106782489,0.058406606,0.076225154,0.140224027,0.112548007,0.038186995,-0.036355012,0.149556258,-0.011692683,-0.024146777,-0.150514095,0.164074992,0.032113232,-0.08080869,0.065932264,-0.198969611,-0.047617218,0.081078901,-0.063746549,0.148197065,-0.10420943,-0.040814293,0.028176898,-0.109343869,-0.261540788,0.0208376,-0.084081448,0.06060689,-0.195377573,0.044904288,0.099448362,0.045454545,0.143532575,0.081508071,-0.003678985,-0.003685344,0.08147901,-0.088699618,0.035324247,0.038113787,-0.090909713,0.071153658,0.005386173,-0.089283966,-0.030664434,0.062136061,0,0.066795459,0.055949826,-0.024565795,-0.046757584,0.037735446,-0.047274299,-0.045802571,0.151997343,-0.076383246,0.070320315,-0.049361358,-0.026920932,0.015806935,-0.070038444,0.025106951,-0.065714117,0.013542945,0.027153741,0.007135793,0.033333837,-0.072587189,0.038740138,0.043479581,-0.010420606,-0.033677976,-0.004357414,-0.028886326,-0.055881081,0.073983672,-0.022665043,-0.044563846,-0.00524156,-0.021527644,0.031781523,-0.060488507,0.12150265,0.157402247,-0.020795182,-0.027782395,-0.002101723
