me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Consumer Goods,256980,256980,256980,252405,252405,252405,252405,252405,252405,252405,252405,252405,252405,252405,252405,320287,320287,320287,320287,320287,320287,320287,320287,320287,320287,320287,320287,440652,440652,440652,440652,440652,440652,440652,440652,440652,440652,440652,440652,440652,440652,440652,440652,379861,379861,379861,379861,379861,379861,379861,379861,379861,379861,379861,379861,421658,421658,421658,421658,421658,421658,421658,421658,421658,421658,421658,421658,327312,327312,327312,327312,327312,327312,327312,327312,327312,327312,327312,327312,270107,270107,270107,270107,270107,270107,270107,270107,270107,270107,270107,270107,89107,89107,89107,89107,89107,89107,89107,89107,89107,89107,89107,89107,99507,99507,99507,99507,99507,99507,99507,99507,99507,99507,99507,99507,121890,121890,121890,121890,121890,121890,121890,121890,121890,121890,121890,121890,170300,170300,170300,170300,170300,170300,170300,170300,170300,170300,170300,170300,,,,,,,,,,,,,,,,,,
Excess return,Consumer Goods,,0.035286483,-0.271273622,-0.208463636,-0.2217382,-0.162662069,-0.303427403,-0.3339663,-0.199067343,-0.193216263,0.044336955,-0.1501335,-0.1654661,-0.312815117,0.15329017,-0.1868021,0.161148175,-0.130682584,-0.099984783,-0.257379639,-0.135743419,-0.097598281,-0.104325746,-0.038433389,-0.098913061,-0.13389306,-0.122624188,-0.23332796,-0.060535494,-0.179501755,-0.105500879,-0.000840773,0.066328689,0.081850472,0.070886493,-0.095943454,0.087155803,-0.095737836,-0.172512143,-0.075951995,-0.129141672,-0.166059076,-0.076045664,-0.019256231,-0.150469586,0.075240401,-0.05553251,0.074207184,-0.046612028,-0.156232846,-0.140871814,-0.294476635,-0.152008602,-0.075851379,-0.116596579,-0.015024891,-0.215162687,-0.110061127,-0.207340203,-0.141686767,-0.051724425,-0.073171708,-0.058649081,-0.081919883,-0.024333911,-0.264843858,-0.283241025,-0.204898163,-0.009568498,-0.131388387,-0.136788135,-0.0703409,-0.031527434,-0.162080123,-0.1346783,-0.264254523,-0.111460903,-0.361388851,-0.155523535,-0.29789259,-0.145655336,-0.112048396,-0.220110289,-0.221413918,-0.191385023,-0.423834926,-0.350073991,-0.031785616,-0.055417408,-0.200241025,-0.191781632,-0.32791348,-0.283395775,-0.100923363,-0.255441537,0.051816076,0.019558039,-0.060191163,-0.143412071,-0.182726212,-0.1167697,-0.035741224,-0.206704712,0.163756357,-0.162223284,-0.127654619,-0.021549007,-0.21256722,-0.033164463,-0.170935942,-0.202450109,-0.043964563,-0.051076586,-0.242935527,-0.16006929,-0.037068549,-0.134476511,-0.068372481,-0.155665341,-0.160230421,-0.066739467,-0.085805439,-0.221045193,-0.186682998,-0.2353217,-0.132579447,-0.1392008,-0.081776042,-0.184283103,0.023455691,-0.124605451,-0.100866727,0.005455932,-0.099457116,0.137810908,0.133776445,-0.039062368,-0.381566059,-0.0884417,0.087394476,-0.134944052,-0.01748027,-0.190909612,0.242861639,-0.048953381,-0.078790606,-0.017451799,-0.0752326,-0.073785873,-0.067492108,-0.051915203,0,0,0,0,0,0
Risk premium,Consumer Goods,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Consumer Goods,1.0911,1.1646,1.0717,1.1176,1.0962,1.2137,1.2423,1.2214,1.114,1.0047,0.9499,0.7545,0.7947,0.8896,0.8834,0.8667,0.8659,0.8246,0.8073,0.8539,0.7711,0.767,0.8138,0.7108,0.7052,0.6944,0.8314,0.8232,0.6762,0.5935,0.6179,0.6823,0.5652,0.6333,0.7232,0.9138,0.8668,0.7748,0.783,0.7878,0.7904,0.6925,0.7005,0.6422,0.6822,0.675,0.7308,0.7308,0.7164,0.6641,0.6223,0.6846,0.9177,0.9145,0.9096,1.0687,0.9692,0.9488,0.852,0.8521,0.808,0.791,0.7824,0.8107,0.8908,0.9701,1.0651,1.0969,1.0482,1.0138,1.0113,1.0436,1.0394,1.06,0.8941,1.0046,1.0783,1.0454,1.0026,0.9832,1.0434,0.9151,0.9516,0.7932,1.1741,0.6946,0.4847,0.4059,0.3968,0.4377,0.6425,0.5649,0.3531,0.4327,0.4242,0.395,0.3614,0.3357,0.3223,0.3326,0.4519,0.4677,0.6521,0.6477,0.6698,0.7078,0.6904,0.7099,0.6264,0.8584,0.9002,0.8891,0.9256,0.926,0.8605,0.976,0.9606,0.8873,0.9112,0.9217,1.0113,1.2092,1.2217,1.2215,1.2439,1.2239,0.9016,0.9361,0.7764,0.5893,0.589,0.5053,0.4583,0.4056,0.3143,0.3377,0.4534,0.4193,0.3459,0.3245,0.2401,0.1247,0.2498,0.1411,0.1611,0.188,0.1656,0.2402,0.0751,0.0932,,,,,,,
VO monthly avg,Consumer Goods,1.2,67.49,56.09,26.79,6.58,21.88,24.35,22.88,33.41,29.65,79.13,14.9,21.65,54.06,40.55,13.1,37.9,40.42,36.91,31.7,5.47,23.11,18.13,13.75,33.88,50.94,37.44,23.39,23.83,26.14,89.84,32.3,59.64,37.4,52.97,72.97,1411.74,158.79,101.69,105.1,114.39,732.03,222.47,330.51,103.34,96.06,397.39,528.59,345.41,339.42,292.86,125.15,243.84,154.1,100.9,234.94,401.81,11124.2,485.37,600.03,518.48,720.99,818.06,514.9,482.01,481.55,389.09,280.99,285.3,426.34,224.69,603.24,1467.2,363.57,668.73,790.52,792.95,638.6,606.51,343.54,86.93,271.71,643.47,364.73,122.4,102.34,347.84,387.52,347.68,182.5,257.73,117.05,284.14,635.73,190.89,100.66,85.23,466.95,177.84,611.87,228.49,284.92,66.02,193.7,198.03,435.9,313.36,1684.57,258.39,47.84,670.36,1396.42,402.16,283.34,365.93,55.58,290.34,317.46,193.12,187.77,458.13,274.27,138.98,309.97,110.09,94.81,82.03,73.29,53.35,255.47,108.91,192.04,106.36,266.93,252.91,289.13,93.04,204.5,333.35,184.2,254.3,89.24,252.11,398.64,156.04,109.89,217.5,89.43,657.3,178.42,243.69,0,0,0,0,0,0
Total assets,Consumer Goods,453438,453438,453438,467771,467771,467771,467771,467771,467771,467771,467771,467771,467771,467771,467771,560535,560535,560535,560535,560535,560535,560535,560535,560535,560535,560535,560535,763587,763587,763587,763587,763587,763587,763587,763587,763587,763587,763587,763587,763587,763587,763587,763587,793566,793566,793566,793566,793566,793566,793566,793566,793566,793566,793566,793566,938660,938660,938660,938660,938660,938660,938660,938660,938660,938660,938660,938660,878475,878475,878475,878475,878475,878475,878475,878475,878475,878475,878475,878475,776444,776444,776444,776444,776444,776444,776444,776444,776444,776444,776444,776444,527779,527779,527779,527779,527779,527779,527779,527779,527779,527779,527779,527779,564642,564642,564642,564642,564642,564642,564642,564642,564642,564642,564642,564642,616860,616860,616860,616860,616860,616860,616860,616860,616860,616860,616860,616860,714700,714700,714700,714700,714700,714700,714700,714700,714700,714700,714700,714700,,,,,,,,,,,,,,,,,,
Net sales,Consumer Goods,719780,719780,719780,862338,862338,862338,862338,862338,862338,862338,862338,862338,862338,862338,862338,1100777,1100777,1100777,1100777,1100777,1100777,1100777,1100777,1100777,1100777,1100777,1100777,1501755,1501755,1501755,1501755,1501755,1501755,1501755,1501755,1501755,1501755,1501755,1501755,1501755,1501755,1501755,1501755,1798174,1798174,1798174,1798174,1798174,1798174,1798174,1798174,1798174,1798174,1798174,1798174,2150771,2150771,2150771,2150771,2150771,2150771,2150771,2150771,2150771,2150771,2150771,2150771,1979662,1979662,1979662,1979662,1979662,1979662,1979662,1979662,1979662,1979662,1979662,1979662,1662931,1662931,1662931,1662931,1662931,1662931,1662931,1662931,1662931,1662931,1662931,1662931,1044294,1044294,1044294,1044294,1044294,1044294,1044294,1044294,1044294,1044294,1044294,1044294,759095,759095,759095,759095,759095,759095,759095,759095,759095,759095,759095,759095,826423,826423,826423,826423,826423,826423,826423,826423,826423,826423,826423,826423,995700,995700,995700,995700,995700,995700,995700,995700,995700,995700,995700,995700,,,,,,,,,,,,,,,,,,
common equity,Consumer Goods,196458,196458,196458,215366,215366,215366,215366,215366,215366,215366,215366,215366,215366,215366,215366,240248,240248,240248,240248,240248,240248,240248,240248,240248,240248,240248,240248,322935,322935,322935,322935,322935,322935,322935,322935,322935,322935,322935,322935,322935,322935,322935,322935,413705,413705,413705,413705,413705,413705,413705,413705,413705,413705,413705,413705,517002,517002,517002,517002,517002,517002,517002,517002,517002,517002,517002,517002,551163,551163,551163,551163,551163,551163,551163,551163,551163,551163,551163,551163,506337,506337,506337,506337,506337,506337,506337,506337,506337,506337,506337,506337,438672,438672,438672,438672,438672,438672,438672,438672,438672,438672,438672,438672,465135,465135,465135,465135,465135,465135,465135,465135,465135,465135,465135,465135,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,544400,544400,544400,544400,544400,544400,544400,544400,544400,544400,544400,544400,,,,,,,,,,,,,,,,,,
Turnover ratio,Consumer Goods,0%,0.03%,0.03%,0.01%,0%,0.01%,0.01%,0.01%,0.02%,0.01%,0.04%,0.01%,0.01%,0.03%,0.02%,0.01%,0.02%,0.02%,0.02%,0.02%,0%,0.01%,0.01%,0.01%,0.02%,0.02%,0.02%,0.01%,0.01%,0.01%,0.04%,0.02%,0.03%,0.02%,0.02%,0.03%,0.67%,0.07%,0.05%,0.05%,0.05%,0.34%,0.1%,0.16%,0.05%,0.05%,0.19%,0.25%,0.16%,0.16%,0.14%,0.06%,0.11%,0.07%,0.05%,0.11%,0.19%,5.24%,0.23%,0.28%,0.24%,0.34%,0.39%,0.24%,0.23%,0.23%,0.18%,0.13%,0.13%,0.2%,0.11%,0.28%,0.69%,0.17%,0.32%,0.37%,0.37%,0.3%,0.29%,0.16%,0.04%,0.13%,0.3%,0.17%,0.06%,0.05%,0.16%,0.18%,0.16%,0.09%,0.12%,0.06%,0.13%,0.3%,0.09%,0.05%,0.04%,0.22%,0.08%,0.29%,0.11%,0.13%,0.03%,0.09%,0.09%,0.21%,0.15%,0.79%,0.12%,0.02%,0.32%,0.66%,0.19%,0.13%,0.17%,0.03%,0.14%,0.15%,0.09%,0.09%,0.22%,0.13%,0.07%,0.15%,0.05%,0.04%,0.04%,0.03%,0.03%,0.12%,0.05%,0.09%,0.05%,0.13%,0.12%,0.14%,0.04%,0.1%,0.16%,0.09%,0.12%,0.04%,0.12%,0.19%,0.07%,0.05%,0.1%,0.04%,0.31%,0.08%,0.11%,0%,0%,0%,0%,0%,0%
Return monthly,Consumer Goods,,0.232256283,-0.086956522,-0.015954836,-0.0321776,0.031701031,-0.116662503,-0.1510181,-0.021985343,-0.022820163,0.209480655,0,0,-0.134870317,0.33344437,0,0.333499875,0.037467216,0.068075117,-0.092983939,0.025535881,0.062522719,0.058843654,0.111147011,0.050014539,0.00955414,0.028254012,-0.08256636,0.079965106,-0.046311255,0.027526821,0.137244127,0.198236289,0.215848372,0.207048093,0.053925946,0.232564203,0.049074564,-0.028783143,0.070379405,0.020753528,-0.020331576,0.072685836,0.125802369,-0.002890986,0.222365401,0.09510789,0.207147584,0.079321172,-0.034194546,-0.024766914,-0.165146835,-0.010893502,0.065962121,0.020608221,0.131303209,-0.073203087,0.030813273,-0.073064203,-0.010404467,0.073679575,0.050961292,0.063442119,0.043854217,0.105886489,-0.126127558,-0.130439725,-0.049993463,0.143148102,0.012881013,0.007273765,0.0740059,0.112104766,-0.018750123,0,-0.124214723,0.036371997,-0.210528651,-0.006659735,-0.14990099,0.002628864,0.026252904,-0.074609489,-0.085692318,-0.031266723,-0.290325126,-0.227287891,0.088286084,0.070280992,-0.065665925,-0.059504132,-0.20112478,-0.172650475,0.017336737,-0.145216937,0.149951076,0.121676239,0.046557937,-0.037057171,-0.076872412,0,0.083273876,-0.076872412,0.291611457,-0.032275884,0.006686781,0.112596193,-0.07739352,0.096748737,-0.029356742,-0.060637509,0.096748737,0.094186214,-0.096797527,-0.02380779,0.103669451,0.005541289,0.065927419,-0.015509741,-0.020813321,0.083322433,0.076974161,-0.057178093,-0.025328498,-0.074056,0.028526253,0,0.055598258,-0.052669903,0.138931591,-0.008548451,0.010267173,0.111678832,0.004545684,0.236361808,0.231801545,0.067051832,-0.282850159,0,0.175287976,-0.054217752,0.05732583,-0.108472212,0.315600939,0.026445919,-0.002896606,0.058131001,0,0.002745427,0.014179492,0.026484797,0,0,0,0,0,0
