me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Fincials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317942,317942,317942,317942,317942,317942,317942,317942,317942,317942,317942,317942,338863,338863,338863,338863,338863,338863,338863,338863,338863,338863,338863,338863,419011,419011,419011,419011,419011,419011,419011,419011,419011,419011,419011,419011,496040,496040,496040,496040,496040,496040,496040,496040,496040,496040,496040,496040,663627,663627,663627,663627,663627,663627,663627,663627,663627,663627,663627,663627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excess return,Fincials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020605086,-0.090073812,-0.111577257,-0.1402139,-0.1311451,-0.063670299,-0.146303066,-0.190438006,-0.018511815,-0.129268972,-0.163042094,-0.074920554,-0.150839189,-0.039985966,-0.05868416,-0.127675193,-0.099852259,-0.048285938,0.03276215,-0.113222663,-0.13225593,-0.056511134,-0.040204861,-0.027436164,-0.139504906,-0.068294883,-0.015920922,-0.285022663,-0.201027153,0.006794246,-0.21148336,-0.067821494,0.006277518,-0.014337969,-0.122399259,-0.040485399,-0.111841,-0.018356727,-0.120038347,-0.244200127,-0.1296334,-0.054775246,-0.050486396,-0.173091601,-0.212379293,-0.115607683,-0.217966067,-0.088834007,-0.208358876,-0.1588427,-0.184700143,-0.1419622,-0.04093895,-0.088359259,-0.078760694,-0.1429628,-0.08265136,0.035006053,-0.139549993,-0.159108848,-0.055824428,-0.07686831,-0.132169385,-0.157681311,-0.057220031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risk premium,Fincials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Fincials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4363,0.1748,0.2318,0.5653,0.8277,0.6999,0.7347,0.9266,0.9351,0.9416,0.9639,0.9735,0.6884,0.6923,0.6745,0.6488,0.6455,0.7791,0.7626,0.7632,0.7224,0.7323,0.6612,0.6218,0.616,0.543,0.5272,0.5533,0.5866,0.6132,0.5374,0.534,0.5198,0.512,0.49,0.4462,0.557,0.5728,0.6773,0.721,0.6918,0.5115,0.4945,0.684,0.5784,0.6794,0.7822,0.8529,0.9492,0.9229,0.9221,0.6494,0.5827,0.451,0.4673,0.436,0.4453,0.4519,0.4596,0.4679,0.4745,0.4212,0.4249,0.4346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VO monthly avg,Fincials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.57,243,586.03,173.58,132.4,149.81,258.86,295.05,279.9,504,324.33,307.82,349.01,367.32,343.51,136.98,146.92,237.05,184.28,731.34,246.92,859.66,113.47,247.9,37.76,694.8,168.26,679.07,306.44,406.82,172.13,208.37,359.6,170.15,133.23,68.35,347.63,132.38,70.31,205.46,114.39,801.08,1127.11,165.34,64.86,202.96,353.33,368.55,287.89,1103.27,41.09,117.88,60.41,114.6,55.51,125.21,170.08,3849.22,198.23,85.35,183.54,173.88,246.5,149.55,340.3,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total assets,Fincials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656007,656007,656007,656007,656007,656007,656007,656007,656007,656007,656007,656007,792277,792277,792277,792277,792277,792277,792277,792277,792277,792277,792277,792277,997381,997381,997381,997381,997381,997381,997381,997381,997381,997381,997381,997381,1386476,1386476,1386476,1386476,1386476,1386476,1386476,1386476,1386476,1386476,1386476,1386476,2757628,2757628,2757628,2757628,2757628,2757628,2757628,2757628,2757628,2757628,2757628,2757628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net sales,Fincials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64951,64951,64951,64951,64951,64951,64951,64951,64951,64951,64951,64951,99448,99448,99448,99448,99448,99448,99448,99448,99448,99448,99448,99448,103620,103620,103620,103620,103620,103620,103620,103620,103620,103620,103620,103620,123338,123338,123338,123338,123338,123338,123338,123338,123338,123338,123338,123338,257745,257745,257745,257745,257745,257745,257745,257745,257745,257745,257745,257745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
common equity,Fincials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338065,338065,338065,338065,338065,338065,338065,338065,338065,338065,338065,338065,453414,453414,453414,453414,453414,453414,453414,453414,453414,453414,453414,453414,578370,578370,578370,578370,578370,578370,578370,578370,578370,578370,578370,578370,890436,890436,890436,890436,890436,890436,890436,890436,890436,890436,890436,890436,2094001,2094001,2094001,2094001,2094001,2094001,2094001,2094001,2094001,2094001,2094001,2094001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnover ratio,Fincials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15%,0.15%,0.37%,0.11%,0.08%,0.09%,0.16%,0.19%,0.18%,0.32%,0.2%,0.19%,0.22%,0.21%,0.2%,0.08%,0.08%,0.14%,0.11%,0.42%,0.14%,0.49%,0.07%,0.14%,0.02%,0.4%,0.09%,0.36%,0.16%,0.22%,0.09%,0.11%,0.19%,0.09%,0.07%,0.04%,0.19%,0.06%,0.03%,0.09%,0.05%,0.35%,0.5%,0.07%,0.03%,0.08%,0.1%,0.08%,0.06%,0.23%,0.01%,0.02%,0.01%,0.02%,0.01%,0.02%,0.03%,0.76%,0.04%,0.02%,0.04%,0.03%,0.05%,0.03%,0.07%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Fincials,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,-0.020605086,0.021038588,0.005126143,0,0.0256,0.085023401,0.004583034,-0.027462206,0.127299485,0.010851828,-0.022116394,0.063309946,-0.021269989,0.086928934,0.06800934,-0.006900793,0.019814241,0.081697362,0.16190595,0.015458937,-0.00914473,0.064123766,0.075750739,0.084537236,-0.025996906,0.040014117,0.094892678,-0.164464763,-0.078271353,0.132105846,-0.09722716,0.046170506,0.117624918,0.096068031,-0.014979259,0.065975201,0,0.097629673,0.007631553,-0.113077127,0,0.059999254,0.061317104,-0.044449601,-0.090190093,0.013344517,-0.078937467,0.057148693,-0.054059276,0,-0.019607843,-0.00925,0.08697115,0.028553741,0.041679206,-0.0319948,0.01865254,0.142825753,-0.024995193,-0.043581148,0.058969072,0.03796729,-0.015850685,-0.041551511,0.029829969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
