me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Fincials,127959,127959,127959,127959,127959,127959,127959,588642,588642,588642,588642,588642,588642,588642,588642,588642,588642,588642,588642,799434,799434,799434,799434,799434,799434,799434,799434,799434,799434,799434,799434,1062766,1062766,1062766,1062766,1062766,1062766,1062766,1062766,1062766,1062766,1062766,1062766,1468879,1468879,1468879,1468879,1468879,1468879,1468879,1468879,1468879,1468879,1468879,1468879,2295814,2295814,2295814,2295814,2295814,2295814,2295814,2295814,2295814,2295814,2295814,2295814,2862113,2862113,2862113,2862113,2862113,2862113,2862113,2862113,2862113,2862113,2862113,2862113,2716448,2716448,2716448,2716448,2716448,2716448,2716448,2716448,2716448,2716448,2716448,2716448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excess return,Fincials,,0,0,0,0,0,0,0,0,0,-0.043355734,-0.071754696,-0.190350596,-0.154119695,-0.13750489,-0.192027934,-0.036391954,-0.051205094,-0.168473202,-0.077159123,-0.090002585,-0.153504711,-0.086710914,-0.033095472,-0.109992284,-0.088346761,-0.091562364,-0.066940297,-0.130091461,-0.054781018,-0.05617613,-0.106150878,-0.124131992,-0.082599281,0.001787218,-0.086714125,-0.072308115,-0.152288909,-0.088786156,-0.116121899,-0.12149061,-0.096684441,-0.118162171,-0.114380763,-0.091641341,-0.119189281,-0.097560312,-0.001713333,-0.083759339,-0.080692455,-0.109780097,-0.11937039,-0.111467896,-0.061452769,-0.105383462,-0.073550566,-0.034959526,-0.065206412,-0.061586461,-0.18362054,0.012921292,-0.070063341,-0.030116638,-0.047427406,-0.113988672,-0.155506289,-0.248522068,-0.146955525,0.046883723,-0.060401336,-0.1092481,-0.064845729,-0.071848116,-0.065430926,-0.132447757,-0.04309901,-0.093820223,-0.201772933,-0.145590634,-0.127145925,-0.071808818,-0.049933018,-0.105017515,-0.111852205,-0.199838899,-0.238007882,-0.104803963,-0.151081921,-0.24121996,-0.194584243,-0.256189425,0.123281727,-0.066484249,-0.136026044,-0.185476802,-0.012717819,-0.048593021,-0.118786304,-0.140555384,-0.079049127,-0.024370862,-0.17709553,-0.134251909,0.04465911,-0.136631202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risk premium,Fincials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Fincials,,,,,,,,,,,0.4473,-0.0382,0.2996,0.3873,0.5836,0.1125,0.1018,0.1135,0.2179,0.2119,0.2247,0.21,0.2118,0.1885,0.1768,0.1547,0.132,0.1416,0.1673,0.1672,0.1542,0.1544,0.1559,0.2535,0.2262,0.317,0.2836,0.3366,0.354,0.3577,0.3584,0.3485,0.3508,0.423,0.4024,0.4,0.4422,0.4421,0.458,0.4894,0.5919,0.542,0.6374,0.6395,0.6461,0.6586,0.6299,0.498,0.4402,0.5505,0.5479,0.4718,0.4591,0.4372,0.4763,0.4563,0.4012,0.4458,0.4641,0.4588,0.4587,0.4681,0.457,0.4691,0.447,0.496,0.5363,0.5991,0.663,0.6632,0.72,0.8109,0.7727,0.7184,0.8921,0.9378,0.912,0.8644,0.8283,0.8777,0.5191,0.4317,0.4358,0.4777,0.4763,0.4581,0.4535,0.469,0.4408,0.4565,0.4015,0.3992,0.4615,0.4486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VO monthly avg,Fincials,0,0,0,0,0,0,0,0,0,283.23,234.09,165.46,114.59,603.85,228.78,104.78,232.73,143.85,124.68,74.64,88.04,49.98,155.05,158.85,233.63,62.97,381.4,191.73,206.25,176.54,396.86,313.99,170.4,201.41,585.92,601.45,316.87,316.95,256.78,544.86,340.2,452.88,145.38,511.5,506.25,382.26,357.44,539.89,293.6,359.3,242.98,324.43,314.13,385.4,281.49,271.88,217.79,556.69,673.91,375.78,362.71,200.06,552.46,552.37,293.18,556.85,1131.79,848.06,684.69,391.59,443.23,323.24,273.01,334.86,443.74,277.97,783.75,1206.62,341.56,357.62,603.34,306.57,280.22,437.23,214.66,478.9,366.89,386.96,302.24,402.18,382.45,605.18,774.56,409.28,370.75,826.76,1663.7,610.54,578.13,677.25,222.85,604.63,542.8,458.48,173.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total assets,Fincials,397688,397688,397688,397688,397688,397688,397688,1687718,1687718,1687718,1687718,1687718,1687718,1687718,1687718,1687718,1687718,1687718,1687718,2245693,2245693,2245693,2245693,2245693,2245693,2245693,2245693,2245693,2245693,2245693,2245693,3158727,3158727,3158727,3158727,3158727,3158727,3158727,3158727,3158727,3158727,3158727,3158727,4378743,4378743,4378743,4378743,4378743,4378743,4378743,4378743,4378743,4378743,4378743,4378743,7078430,7078430,7078430,7078430,7078430,7078430,7078430,7078430,7078430,7078430,7078430,7078430,9748129,9748129,9748129,9748129,9748129,9748129,9748129,9748129,9748129,9748129,9748129,9748129,10197665,10197665,10197665,10197665,10197665,10197665,10197665,10197665,10197665,10197665,10197665,10197665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net sales,Fincials,70952,70952,70952,70952,70952,70952,70952,424472,424472,424472,424472,424472,424472,424472,424472,424472,424472,424472,424472,597338,597338,597338,597338,597338,597338,597338,597338,597338,597338,597338,597338,685743,685743,685743,685743,685743,685743,685743,685743,685743,685743,685743,685743,763710,763710,763710,763710,763710,763710,763710,763710,763710,763710,763710,763710,1016702,1016702,1016702,1016702,1016702,1016702,1016702,1016702,1016702,1016702,1016702,1016702,1210072,1210072,1210072,1210072,1210072,1210072,1210072,1210072,1210072,1210072,1210072,1210072,1321142,1321142,1321142,1321142,1321142,1321142,1321142,1321142,1321142,1321142,1321142,1321142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
common equity,Fincials,269729,269729,269729,269729,269729,269729,269729,1099076,1099076,1099076,1099076,1099076,1099076,1099076,1099076,1099076,1099076,1099076,1099076,1446259,1446259,1446259,1446259,1446259,1446259,1446259,1446259,1446259,1446259,1446259,1446259,2095961,2095961,2095961,2095961,2095961,2095961,2095961,2095961,2095961,2095961,2095961,2095961,2909864,2909864,2909864,2909864,2909864,2909864,2909864,2909864,2909864,2909864,2909864,2909864,4782616,4782616,4782616,4782616,4782616,4782616,4782616,4782616,4782616,4782616,4782616,4782616,6886016,6886016,6886016,6886016,6886016,6886016,6886016,6886016,6886016,6886016,6886016,6886016,7481217,7481217,7481217,7481217,7481217,7481217,7481217,7481217,7481217,7481217,7481217,7481217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnover ratio,Fincials,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.35%,0.29%,0.21%,0.14%,0.75%,0.28%,0.13%,0.28%,0.17%,0.13%,0.08%,0.09%,0.05%,0.15%,0.15%,0.21%,0.06%,0.31%,0.16%,0.16%,0.14%,0.3%,0.24%,0.13%,0.15%,0.42%,0.41%,0.2%,0.2%,0.17%,0.35%,0.22%,0.29%,0.09%,0.29%,0.29%,0.22%,0.2%,0.3%,0.16%,0.2%,0.13%,0.17%,0.17%,0.2%,0.15%,0.14%,0.11%,0.29%,0.35%,0.2%,0.18%,0.1%,0.24%,0.22%,0.12%,0.22%,0.45%,0.34%,0.27%,0.16%,0.18%,0.13%,0.11%,0.13%,0.18%,0.11%,0.31%,0.48%,0.13%,0.14%,0.23%,0.12%,0.11%,0.17%,0.08%,0.18%,0.14%,0.15%,0.11%,0.15%,0.14%,0.23%,0.27%,0.14%,0.13%,0.29%,0.58%,0.21%,0.2%,0.24%,0.08%,0.21%,0.19%,0.14%,0.05%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Fincials,,  ,  ,  ,  ,  ,  ,  ,  ,  ,-0.043355734,0.028438704,-0.056075796,-0.007819795,0.02376191,-0.052740434,0.087821446,0.072145406,-0.037545502,0.046790577,0.036853515,-0.028474711,0.038532486,0.083580028,0.005646116,0.021099339,0.015253636,0.040880503,-0.021651561,0.051552582,0.04763847,-0.001323678,-0.018010292,0.027471219,0.106637818,0.025556875,0.036358685,-0.035083109,0.027915844,0.003113201,0.00118859,0.027371059,0.008538229,0.016868237,0.038309859,0.010610719,0.034898288,0.113038967,0.025894661,0.030339745,0.004409603,0.00097561,0.011988304,0.063035731,0.015220838,0.046941234,0.085624174,0.047267588,0.046746139,-0.07133904,0.121938992,0.033960059,0.071606662,0.054816194,-0.009881772,-0.049159389,-0.137546468,-0.033070125,0.162802023,0.048903064,0,0.043244571,0.035092884,0.040672374,-0.025936757,0.06489899,0.019866677,-0.079029633,-0.018121634,0.000685675,0.056101182,0.081803682,0.029212585,0.019156995,-0.057486599,-0.089176482,0.044902037,-0.002124721,-0.08833706,-0.032289143,-0.131686125,0.241678827,0.049471151,-0.014930944,-0.071969902,0.089392481,0.059327479,-0.003639304,-0.026734984,0.034610373,0.089223638,-0.06239593,-0.016427409,0.15997091,-0.048881202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
