me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Consumer Goods,648286,648286,648286,648286,648286,648286,648286,648286,648286,648286,922169,922169,922169,922169,922169,922169,922169,922169,922169,922169,922169,922169,707851,707851,707851,707851,707851,707851,707851,707851,707851,707851,707851,707851,1063133,1063133,1063133,1063133,1063133,1063133,1063133,1063133,1063133,1063133,1063133,1063133,886250,886250,886250,886250,886250,886250,886250,886250,886250,886250,886250,886250,1050034,1050034,1050034,1050034,1050034,1050034,1050034,1050034,1050034,1050034,1050034,1050034,1554136,1554136,1554136,1554136,1554136,1554136,1554136,1554136,1554136,1554136,1554136,1554136,1827140,1827140,1827140,1827140,1827140,1827140,1827140,1827140,1827140,1827140,1827140,1827140,1806533,1806533,1806533,1806533,1806533,1806533,1806533,1806533,1806533,1806533,1806533,1806533,1681933,1681933,1681933,1681933,1681933,1681933,1681933,1681933,1681933,1681933,1681933,1681933,1799488,1799488,1799488,1799488,1799488,1799488,1799488,1799488,1799488,1799488,1799488,1799488,1968858,1968858,1968858,1968858,1968858,1968858,1968858,1968858,1968858,1968858,1968858,1968858,2226654,2226654,2226654,2226654,2226654,2226654,2226654,2226654,2226654,2226654,2226654,2226654,,,
Excess return,Consumer Goods,,0,0,0,0,0.240788346,-0.04904964,-0.134867977,-0.142039094,-0.1580796,-0.052823473,0.019947509,-0.240287277,-0.204861496,-0.308306598,-0.093951012,-0.069356647,-0.008178891,-0.164510469,-0.048202388,-0.196524177,-0.119861561,-0.105027541,0.019027148,-0.120696242,0.003638378,-0.116513247,-0.260320945,-0.218764957,0.165810801,-0.138061729,0.030790903,-0.067760185,-0.050992611,-0.026844361,-0.117638865,-0.095399988,-0.12851007,-0.066917274,0.015298616,-0.193829582,-0.223943294,-0.073331925,-0.174886556,-0.079341339,-0.067298049,-0.006820905,-0.050994584,0.030697504,-0.161085615,-0.129140906,-0.203530805,-0.065572148,-0.030247412,-0.0960312,-0.050181505,-0.016643673,-0.126222148,-0.168023176,-0.073450767,0.008355168,0.002115699,-0.042982064,-0.118385709,0.029093242,-0.229769922,-0.199049588,-0.125449821,-0.050882802,-0.112798283,-0.014371526,-0.03323705,-0.01371463,-0.071369767,-0.243992118,-0.01923555,-0.132356649,-0.013297736,-0.151395187,-0.145736987,-0.195742217,-0.166202617,-0.046117526,-0.024541373,-0.12006425,-0.350307697,-0.173341043,-0.322778385,-0.107901124,-0.232976767,-0.166416958,-0.124745417,-0.020388192,-0.200940436,-0.217372046,-0.094640093,-0.057307334,-0.138814337,-0.168730972,-0.078825002,-0.048071462,-0.131350388,-0.139344997,-0.006154864,-0.16009176,-0.13043829,-0.171377553,-0.083569272,-0.158118101,-0.111982288,-0.045019595,-0.069328632,-0.149667789,-0.119445034,-0.097144616,-0.108237328,-0.174541603,-0.080749978,-0.119037732,0.004292754,-0.098311654,-0.105470303,-0.126960357,-0.136293752,-0.035484048,-0.137858683,-0.12551413,-0.124938455,-0.156918854,-0.153976382,-0.107361393,-0.086393663,-0.073013799,-0.114447776,-0.079393128,-0.099246725,-0.124948453,-0.118070869,-0.134352168,-0.186417454,-0.060310246,-0.104164019,-0.172159778,0.02133179,-0.105051207,-0.19811108,-0.058820342,-0.024139261,-0.076982102,-0.138323371,-0.080134301,-0.056307982,-0.070607325,-0.066809566,-0.015890527,0.008713328,-0.054116847
Risk premium,Consumer Goods,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Consumer Goods,,,,,,1.6139,1.6446,0.808,0.9,0.8092,0.7739,0.4266,0.5013,0.4053,0.4011,0.389,0.3861,0.4378,0.3952,0.3564,0.3611,0.3613,0.3761,0.3852,0.3596,0.3693,0.4724,0.4858,0.6976,0.6785,0.7067,0.7226,0.7086,0.7225,0.6782,0.8335,0.7901,0.8897,0.8677,0.8836,0.8685,1.0004,0.9868,1.0236,1.025,0.9996,0.9783,0.977,1.0495,1.0342,0.9649,0.8482,0.5146,0.5121,0.4576,0.4913,0.406,0.4286,0.4263,0.4816,0.5252,0.5799,0.5446,0.5025,0.5775,0.6393,0.6371,0.6461,0.6297,0.6999,0.6978,0.7498,0.7324,0.7805,0.7632,0.8994,0.8598,0.8663,0.9225,0.9489,1.1173,1.0999,0.8827,0.7343,1.1019,0.9052,1.0925,0.9962,0.967,0.9881,0.8317,0.7924,0.7225,0.7434,0.7268,0.7003,0.7083,0.7182,0.6757,0.6886,0.6307,0.6346,0.6841,0.6782,0.6673,0.6443,0.6724,0.6844,0.6206,0.6754,0.6486,0.642,0.6459,0.6453,0.6547,0.6727,0.6695,0.6279,0.6045,0.6016,0.5693,0.5622,0.5691,0.5745,0.6226,0.642,0.5254,0.5527,0.5783,0.5849,0.5866,0.5794,0.5231,0.4891,0.4844,0.4722,0.4984,0.4955,0.4202,0.4275,0.3724,0.3576,0.4072,0.3563,0.2574,0.226,0.2143,0.1717,0.1311,0.1123,0.1307,0.1352,0.0892,0.0409,-0.0159,0.0127,
VO monthly avg,Consumer Goods,0,0,0,0,551.41,458.97,112.95,176.93,176.29,50.95,33.53,41.51,60.91,52.99,126.55,102.4,175.53,153.54,99.46,57,28.25,28.82,53.5,68.94,7.13,16.72,38.29,30.94,32.5,115.08,56.56,158.14,51.26,80.9,85.5,84.18,70.77,97.61,80.39,69.9,58.49,71.3,142.36,98.37,38.25,68.4,60.14,80.76,68.53,57.52,73.07,46.85,41.99,73.24,95.2,60.39,107.16,128.87,70.19,62.86,71.71,56.91,117.53,114.66,85.68,78.88,112.88,74.43,90.52,72.17,68.48,108.53,75.84,58.45,145.83,142.85,63.5,94.75,90.42,51.4,140.37,96.89,100.08,111.05,57.58,87.83,122.9,52.69,72.95,87.07,108.84,126.85,68.42,70.94,127.72,75.48,75.55,44.12,50.09,43.21,108.2,40.39,28.13,91.27,87.11,57.99,68.58,88.74,72.81,134.07,72.94,62.42,44.75,95.62,78.58,43.74,42.36,41.34,48.91,78.77,50.5,102.5,60.87,89.35,53.38,38.04,50.08,46.09,73.87,109.94,75.09,52.78,43.39,140.07,90.92,110.15,132.25,64.42,79.09,75.42,128.57,72.51,95.29,54.06,39.23,90.33,101.06,66.93,70.64,116.39,80.3,51.58,45.54,48.01,44.78,146.62,48
Total assets,Consumer Goods,1014352,1014352,1014352,1014352,1014352,1014352,1014352,1014352,1014352,1014352,1388781,1388781,1388781,1388781,1388781,1388781,1388781,1388781,1388781,1388781,1388781,1388781,1316077,1316077,1316077,1316077,1316077,1316077,1316077,1316077,1316077,1316077,1316077,1316077,1827961,1827961,1827961,1827961,1827961,1827961,1827961,1827961,1827961,1827961,1827961,1827961,1801621,1801621,1801621,1801621,1801621,1801621,1801621,1801621,1801621,1801621,1801621,1801621,2170988,2170988,2170988,2170988,2170988,2170988,2170988,2170988,2170988,2170988,2170988,2170988,2861649,2861649,2861649,2861649,2861649,2861649,2861649,2861649,2861649,2861649,2861649,2861649,3155290,3155290,3155290,3155290,3155290,3155290,3155290,3155290,3155290,3155290,3155290,3155290,3172982,3172982,3172982,3172982,3172982,3172982,3172982,3172982,3172982,3172982,3172982,3172982,3128130,3128130,3128130,3128130,3128130,3128130,3128130,3128130,3128130,3128130,3128130,3128130,3385120,3385120,3385120,3385120,3385120,3385120,3385120,3385120,3385120,3385120,3385120,3385120,3564829,3564829,3564829,3564829,3564829,3564829,3564829,3564829,3564829,3564829,3564829,3564829,3954334,3954334,3954334,3954334,3954334,3954334,3954334,3954334,3954334,3954334,3954334,3954334,,,
Net sales,Consumer Goods,2792490,2792490,2792490,2792490,2792490,2792490,2792490,2792490,2792490,2792490,3692129,3692129,3692129,3692129,3692129,3692129,3692129,3692129,3692129,3692129,3692129,3692129,3947030,3947030,3947030,3947030,3947030,3947030,3947030,3947030,3947030,3947030,3947030,3947030,4053142,4053142,4053142,4053142,4053142,4053142,4053142,4053142,4053142,4053142,4053142,4053142,4602391,4602391,4602391,4602391,4602391,4602391,4602391,4602391,4602391,4602391,4602391,4602391,5183664,5183664,5183664,5183664,5183664,5183664,5183664,5183664,5183664,5183664,5183664,5183664,6329311,6329311,6329311,6329311,6329311,6329311,6329311,6329311,6329311,6329311,6329311,6329311,8184205,8184205,8184205,8184205,8184205,8184205,8184205,8184205,8184205,8184205,8184205,8184205,8833638,8833638,8833638,8833638,8833638,8833638,8833638,8833638,8833638,8833638,8833638,8833638,8367874,8367874,8367874,8367874,8367874,8367874,8367874,8367874,8367874,8367874,8367874,8367874,8605904,8605904,8605904,8605904,8605904,8605904,8605904,8605904,8605904,8605904,8605904,8605904,8160078,8160078,8160078,8160078,8160078,8160078,8160078,8160078,8160078,8160078,8160078,8160078,8523976,8523976,8523976,8523976,8523976,8523976,8523976,8523976,8523976,8523976,8523976,8523976,,,
common equity,Consumer Goods,366020,366020,366020,366020,366020,366020,366020,366020,366020,366020,462417,462417,462417,462417,462417,462417,462417,462417,462417,462417,462417,462417,599395,599395,599395,599395,599395,599395,599395,599395,599395,599395,599395,599395,754953,754953,754953,754953,754953,754953,754953,754953,754953,754953,754953,754953,906092,906092,906092,906092,906092,906092,906092,906092,906092,906092,906092,906092,1101622,1101622,1101622,1101622,1101622,1101622,1101622,1101622,1101622,1101622,1101622,1101622,1287063,1287063,1287063,1287063,1287063,1287063,1287063,1287063,1287063,1287063,1287063,1287063,1302887,1302887,1302887,1302887,1302887,1302887,1302887,1302887,1302887,1302887,1302887,1302887,1346044,1346044,1346044,1346044,1346044,1346044,1346044,1346044,1346044,1346044,1346044,1346044,1424091,1424091,1424091,1424091,1424091,1424091,1424091,1424091,1424091,1424091,1424091,1424091,1574194,1574194,1574194,1574194,1574194,1574194,1574194,1574194,1574194,1574194,1574194,1574194,1585227,1585227,1585227,1585227,1585227,1585227,1585227,1585227,1585227,1585227,1585227,1585227,1713726,1713726,1713726,1713726,1713726,1713726,1713726,1713726,1713726,1713726,1713726,1713726,,,
Turnover ratio,Consumer Goods,  ,  ,  ,  ,1.28%,1.07%,0.26%,0.41%,0.41%,0.12%,0.08%,0.1%,0.14%,0.12%,0.29%,0.24%,0.41%,0.36%,0.23%,0.13%,0.07%,0.07%,0.12%,0.16%,0.02%,0.04%,0.09%,0.07%,0.08%,0.27%,0.13%,0.37%,0.12%,0.19%,0.2%,0.2%,0.17%,0.23%,0.19%,0.16%,0.14%,0.17%,0.32%,0.22%,0.09%,0.16%,0.14%,0.18%,0.16%,0.13%,0.17%,0.11%,0.1%,0.17%,0.22%,0.14%,0.24%,0.29%,0.16%,0.14%,0.16%,0.13%,0.26%,0.26%,0.19%,0.18%,0.26%,0.17%,0.21%,0.16%,0.16%,0.25%,0.17%,0.14%,0.34%,0.33%,0.15%,0.22%,0.21%,0.12%,0.32%,0.23%,0.23%,0.26%,0.14%,0.21%,0.29%,0.13%,0.17%,0.21%,0.26%,0.3%,0.16%,0.17%,0.3%,0.18%,0.18%,0.1%,0.12%,0.1%,0.26%,0.1%,0.07%,0.22%,0.21%,0.14%,0.16%,0.21%,0.17%,0.32%,0.17%,0.15%,0.11%,0.23%,0.19%,0.1%,0.1%,0.1%,0.12%,0.19%,0.12%,0.24%,0.14%,0.21%,0.13%,0.09%,0.12%,0.11%,0.18%,0.26%,0.18%,0.13%,0.1%,0.33%,0.22%,0.26%,0.31%,0.15%,0.19%,0.18%,0.31%,0.17%,0.23%,0.13%,0.09%,0.21%,0.24%,0.16%,0.17%,0.28%,0.19%,0.12%,0.11%,0.11%,0.11%,0.35%,0.11%
Return monthly,Consumer Goods,,  ,  ,  ,  ,0.240788346,0.16306016,0.022036023,0.021560906,0,0.101232227,0.149423309,-0.093305377,-0.057427596,-0.158537298,0.062755988,0.072767653,0.135602509,-0.022412869,0.084850812,-0.061074877,0.014700339,0.030566759,0.148094748,0.006458558,0.126604278,0.011747953,-0.130815545,-0.076916157,0.304356301,0.000560371,0.171414703,0.073181615,0.088624889,0.106482239,0.027171635,0.045176312,0.02354103,0.082147826,0.167665416,-0.039014082,-0.058818094,0.093436475,-0.005799756,0.089833661,0.100276751,0.159411995,0.097456416,0.177616004,-0.015731015,0.008547794,-0.063894205,0.050147652,0.086214888,0.0126976,0.059770395,0.089834327,-0.018120348,-0.060566276,0.034490033,0.115942768,0.112949399,0.064127736,-0.012028209,0.139575742,-0.111894022,-0.073212288,0.001054479,0.075468298,0.011695417,0.109939874,0.09260035,0.11057657,0.054351733,-0.117560518,0.11417665,0.001710751,0.126279164,-0.007577687,0.0000937127,-0.042802317,-0.016258917,0.095042574,0.107469527,0.03550545,-0.203530097,-0.012263543,-0.165517785,0.053719876,-0.063726467,-0.022219858,0.016375783,0.113629308,-0.063106236,-0.088083646,0.022728807,0.066665566,-0.007967737,-0.040111872,0.049456798,0.079962638,-0.001820588,-0.007496697,0.123621736,-0.03030186,-0.0000973895,-0.038366353,0.049997928,-0.028570301,0.018067912,0.080942205,0.055817368,-0.022026089,0.009008866,0.026151484,0.013392772,-0.052863103,0.037207722,0.001795768,0.123543554,0.023904246,0.016548297,-0.004207057,-0.015700252,0.086639752,-0.013412683,-0.01001393,-0.011718355,-0.037785954,-0.038777682,0.008544407,0.029408537,0.037291501,-0.005184476,0.029874072,0.007251875,-0.015999253,-0.014554369,-0.041229568,-0.092034954,0.028750954,-0.014685219,-0.079806178,0.10762869,-0.023585007,-0.11982308,0.019830558,0.046777839,0.003077198,-0.055448471,0.006499799,0.034059618,0.010762275,0.011717134,0.063157773,0.088613428,-0.054116847
