me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Industrials,241811,241811,241811,276553,276553,276553,276553,276553,276553,276553,276553,276553,276553,276553,276553,595952,595952,595952,595952,595952,595952,595952,595952,595952,595952,595952,595952,528085,528085,528085,528085,528085,528085,528085,528085,528085,528085,528085,528085,554349,554349,554349,554349,554349,554349,554349,554349,554349,554349,554349,554349,682483,682483,682483,682483,682483,682483,682483,682483,682483,682483,682483,682483,878370,878370,878370,878370,878370,878370,878370,878370,878370,878370,878370,878370,1185131,1185131,1185131,1185131,1185131,1185131,1185131,1185131,1185131,1185131,1185131,1185131,1178321,1178321,1178321,1178321,1178321,1178321,1178321,1178321,1178321,1178321,1178321,1178321,1012176,1012176,1012176,1012176,1012176,1012176,1012176,1012176,1012176,1012176,1012176,1012176,1050632,1050632,1050632,1050632,1050632,1050632,1050632,1050632,1050632,1050632,1050632,1050632,1133409,1133409,1133409,1133409,1133409,1133409,1133409,1133409,1133409,1133409,1133409,1133409,1114189,1114189,1114189,1114189,1114189,1114189,1114189,1114189,1114189,1114189,1114189,1114189,1036108,1036108,1036108,1036108,1036108,1036108,1036108,1036108,1036108,1036108
Excess return,Industrials,,0.092865814,-0.24813359,-0.101934386,-0.043929866,-0.101433316,-0.10726179,0.147458635,0.047454082,0.083137358,-0.204630776,-0.155383301,-0.100493874,-0.1380217,-0.272252166,-0.1413413,-0.261314049,0.169212385,-0.126672659,-0.129993943,-0.233953387,-0.066160612,-0.1272027,0.209483877,-0.026195884,-0.094032589,-0.065409442,-0.142771728,-0.135435272,-0.01389341,-0.100673944,0.061938769,-0.1228482,-0.102370095,-0.010160043,0.074066893,-0.004910196,-0.069832741,-0.239111038,-0.060191262,-0.090990257,-0.256297318,-0.082903714,-0.133954841,-0.091832069,-0.131417497,-0.014536963,0.032291728,-0.003616309,-0.164736915,-0.049786969,-0.244459106,-0.079004303,-0.044964443,-0.190319519,0.003148543,-0.19942721,-0.091656243,-0.148845608,-0.094466495,0.023101151,-0.095813289,-0.101054829,-0.098108682,-0.16171946,-0.197287628,-0.168563407,-0.051567627,-0.098353668,-0.098990107,-0.213737306,-0.087929892,-0.078732613,-0.098379012,-0.159010974,-0.114851595,-0.112063311,-0.030209002,-0.045630029,-0.228316335,-0.206555962,-0.148111863,-0.125525384,-0.238706366,-0.223190544,-0.194930791,-0.239466445,-0.248687532,-0.121304336,-0.045707608,-0.158848574,-0.140810684,-0.316754878,-0.100618311,-0.12588591,-0.031505343,-0.010082763,-0.117475357,-0.158922121,0.160129053,-0.282683686,-0.078043588,-0.012940318,-0.119175466,0.038153972,-0.231879756,-0.006293775,-0.228936389,-0.076726843,-0.149920864,-0.051762801,0.150064447,-0.207436413,-0.302635543,-0.175486954,-0.073753063,-0.357994173,-0.025641915,-0.1759551,-0.13557306,-0.111375709,-0.223244778,-0.20560633,-0.207060692,-0.121875735,-0.166267342,-0.143323005,-0.248988728,-0.217714806,-0.234510831,-0.185911352,-0.221625514,-0.105068508,-0.15296293,-0.262875838,-0.102704231,-0.190050405,-0.118704498,-0.067000187,-0.150830044,-0.050035748,-0.090508869,-0.088193576,-0.064151406,-0.059990033,-0.072914601,-0.093911741,-0.0830383,-0.132892862,-0.078477101,-0.143007533,-0.185493882,-0.131620851,-0.191510494,0.158748843,-0.041091264,-0.040254237
Risk premium,Industrials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Industrials,0.8768,0.6693,0.5788,0.671,0.5874,0.5575,0.333,0.3759,0.2512,0.1559,0.1335,0.3083,0.3112,0.2559,0.2293,0.1451,0.1402,0.1386,0.2068,0.2516,0.2237,0.2275,0.2429,0.1028,0.1179,0.1188,0.0929,0.1014,0.1837,0.2534,0.3023,0.2512,0.4214,0.4653,0.5234,0.5924,0.5904,0.6718,0.6689,0.6678,0.6334,0.6309,0.6249,0.6832,0.6554,0.629,0.6804,0.6796,0.6826,0.7015,0.7338,0.6603,0.6955,0.6888,0.6765,0.7163,0.6652,0.6529,0.6796,0.7507,0.6611,0.6941,0.6786,0.7118,0.7248,0.7857,0.7287,0.7275,0.737,0.7097,0.7088,0.7436,0.7296,0.7201,0.6413,0.7713,0.7576,0.6669,0.6057,0.6502,0.6408,0.6298,0.7642,0.6926,0.7324,0.479,0.5351,0.5116,0.5473,0.5492,0.5682,0.5725,0.4487,0.4172,0.4126,0.3955,0.3885,0.3924,0.6086,0.5819,0.5938,0.5834,0.572,0.604,0.6157,0.6528,0.6227,0.611,0.5934,0.739,0.8178,0.8314,0.8623,0.8735,0.8805,1.076,1.0911,1.2203,1.2191,1.2136,1.4324,1.2782,1.2836,1.2691,1.5129,1.4647,1.7198,1.678,1.6292,1.3979,1.3925,1.3256,1.3216,1.0783,1.0305,1.0088,0.8654,0.8587,0.6115,0.6231,0.4124,0.4443,0.4579,0.3756,0.3468,0.3612,0.3478,0.3641,0.4223,0.4734,0.3852,0.3797,0.2622,0.4029,0.3568,0.4169,
VO monthly avg,Industrials,16.9,7.17,17.82,33.9,39.58,7.49,69.73,6.2,4.07,44.52,15.85,12.62,8.27,44.19,57.72,239.95,1.86,24.7,11.25,85.98,6.02,1.09,21.9,196.13,20.11,52.56,82.76,210.99,48.67,68.07,231.15,2483.4,63.26,141.89,54.23,57.71,29.34,157.62,134.39,61.98,87.01,110.41,459.56,227.98,167.11,160.44,185.49,495.95,227.25,181.6,184.22,98.1,118.93,188.32,69.68,177.19,183.29,228.71,214.37,254.25,156.23,151.28,242.68,84.56,142.46,256.38,141.01,218.63,457.47,95.26,259.5,215.26,168.08,208.95,594.59,359.94,164.1,330.9,268.17,290.25,223.86,185.06,288.58,118.1,237.36,414.6,275.99,283.16,1443.97,358.39,251.38,178.55,144.83,104.48,29.14,83.75,64.01,14.02,48.58,51.25,71.32,11.12,37.95,28.57,22.46,6.64,80.28,34.42,31.81,119.26,76.37,17.78,9.67,10.64,75.73,27.12,17.72,26.53,107.73,35.6,200.76,30.02,33.07,54.56,44.98,6.7,88.43,31.44,12.59,33.54,16.4,78.6,17.48,12.69,62.03,10.13,19.89,157.94,36.16,147.64,43.85,152.7,70.76,96.33,17.01,69.63,47.89,36.1,85.08,137.89,47.67,26.47,79.01,261.33,353.89,114.15,61.36
Total assets,Industrials,442139,442139,442139,495264,495264,495264,495264,495264,495264,495264,495264,495264,495264,495264,495264,890647,890647,890647,890647,890647,890647,890647,890647,890647,890647,890647,890647,915355,915355,915355,915355,915355,915355,915355,915355,915355,915355,915355,915355,1076687,1076687,1076687,1076687,1076687,1076687,1076687,1076687,1076687,1076687,1076687,1076687,1414222,1414222,1414222,1414222,1414222,1414222,1414222,1414222,1414222,1414222,1414222,1414222,1772403,1772403,1772403,1772403,1772403,1772403,1772403,1772403,1772403,1772403,1772403,1772403,2047343,2047343,2047343,2047343,2047343,2047343,2047343,2047343,2047343,2047343,2047343,2047343,2047803,2047803,2047803,2047803,2047803,2047803,2047803,2047803,2047803,2047803,2047803,2047803,2003511,2003511,2003511,2003511,2003511,2003511,2003511,2003511,2003511,2003511,2003511,2003511,2131176,2131176,2131176,2131176,2131176,2131176,2131176,2131176,2131176,2131176,2131176,2131176,2154024,2154024,2154024,2154024,2154024,2154024,2154024,2154024,2154024,2154024,2154024,2154024,2368454,2368454,2368454,2368454,2368454,2368454,2368454,2368454,2368454,2368454,2368454,2368454,2250856,2250856,2250856,2250856,2250856,2250856,2250856,2250856,2250856,2250856
Net sales,Industrials,697418,697418,697418,816247,816247,816247,816247,816247,816247,816247,816247,816247,816247,816247,816247,1348440,1348440,1348440,1348440,1348440,1348440,1348440,1348440,1348440,1348440,1348440,1348440,1351637,1351637,1351637,1351637,1351637,1351637,1351637,1351637,1351637,1351637,1351637,1351637,1650227,1650227,1650227,1650227,1650227,1650227,1650227,1650227,1650227,1650227,1650227,1650227,1873962,1873962,1873962,1873962,1873962,1873962,1873962,1873962,1873962,1873962,1873962,1873962,2223131,2223131,2223131,2223131,2223131,2223131,2223131,2223131,2223131,2223131,2223131,2223131,2820875,2820875,2820875,2820875,2820875,2820875,2820875,2820875,2820875,2820875,2820875,2820875,2749771,2749771,2749771,2749771,2749771,2749771,2749771,2749771,2749771,2749771,2749771,2749771,2613000,2613000,2613000,2613000,2613000,2613000,2613000,2613000,2613000,2613000,2613000,2613000,2705377,2705377,2705377,2705377,2705377,2705377,2705377,2705377,2705377,2705377,2705377,2705377,2517754,2517754,2517754,2517754,2517754,2517754,2517754,2517754,2517754,2517754,2517754,2517754,2614983,2614983,2614983,2614983,2614983,2614983,2614983,2614983,2614983,2614983,2614983,2614983,2528694,2528694,2528694,2528694,2528694,2528694,2528694,2528694,2528694,2528694
common equity,Industrials,185159,185159,185159,200052,200052,200052,200052,200052,200052,200052,200052,200052,200052,200052,200052,248681,248681,248681,248681,248681,248681,248681,248681,248681,248681,248681,248681,331969,331969,331969,331969,331969,331969,331969,331969,331969,331969,331969,331969,498788,498788,498788,498788,498788,498788,498788,498788,498788,498788,498788,498788,708125,708125,708125,708125,708125,708125,708125,708125,708125,708125,708125,708125,862884,862884,862884,862884,862884,862884,862884,862884,862884,862884,862884,862884,683745,683745,683745,683745,683745,683745,683745,683745,683745,683745,683745,683745,697520,697520,697520,697520,697520,697520,697520,697520,697520,697520,697520,697520,815797,815797,815797,815797,815797,815797,815797,815797,815797,815797,815797,815797,898083,898083,898083,898083,898083,898083,898083,898083,898083,898083,898083,898083,825423,825423,825423,825423,825423,825423,825423,825423,825423,825423,825423,825423,1048584,1048584,1048584,1048584,1048584,1048584,1048584,1048584,1048584,1048584,1048584,1048584,1014517,1014517,1014517,1014517,1014517,1014517,1014517,1014517,1014517,1014517
Turnover ratio,Industrials,0.02%,0.01%,0.02%,0.03%,0.04%,0.01%,0.06%,0.01%,0%,0.04%,0.01%,0.01%,0.01%,0.04%,0.05%,0.22%,0%,0.02%,0.01%,0.08%,0.01%,0%,0.02%,0.18%,0.02%,0.05%,0.08%,0.2%,0.05%,0.06%,0.21%,2.3%,0.06%,0.13%,0.05%,0.05%,0.03%,0.15%,0.12%,0.06%,0.08%,0.1%,0.43%,0.21%,0.15%,0.15%,0.17%,0.46%,0.21%,0.15%,0.15%,0.07%,0.09%,0.14%,0.05%,0.13%,0.14%,0.17%,0.16%,0.19%,0.12%,0.11%,0.18%,0.06%,0.11%,0.19%,0.1%,0.16%,0.34%,0.07%,0.19%,0.16%,0.12%,0.15%,0.44%,0.27%,0.12%,0.24%,0.2%,0.21%,0.17%,0.14%,0.21%,0.09%,0.18%,0.31%,0.2%,0.21%,1.07%,0.27%,0.19%,0.13%,0.11%,0.08%,0.02%,0.06%,0.05%,0.01%,0.04%,0.04%,0.05%,0.01%,0.03%,0.02%,0.02%,0%,0.06%,0.03%,0.02%,0.09%,0.06%,0.01%,0.01%,0.01%,0.06%,0.02%,0.01%,0.02%,0.08%,0.03%,0.15%,0.02%,0.02%,0.04%,0.03%,0%,0.07%,0.02%,0.01%,0.02%,0.01%,0.06%,0.01%,0.01%,0.05%,0.01%,0.01%,0.12%,0.03%,0.11%,0.03%,0.11%,0.05%,0.07%,0.01%,0.05%,0.04%,0.03%,0.06%,0.1%,0.04%,0.02%,0.06%,0.19%,0.26%,0.08%,0.05%
Return monthly,Industrials,,0.258631714,-0.09486919,0.062438614,0.113576334,0.051589184,0.02221721,0.277140335,0.170179682,0.200059058,-0.090920276,-0.033360401,0.034511726,0,-0.133306266,0,-0.134681449,0.294144185,0.003555741,-0.003543143,-0.107160287,0.059971888,0,0.320760277,0.085731816,0.013151811,0.038943258,-0.037483528,-0.025962172,0.09787079,0.012470956,0.172864369,0,0.021043805,0.113414157,0.203688093,0.123085004,0.068490659,-0.102570338,0.078580138,0.049013943,-0.114450618,0.061064986,0.013686759,0.054058131,0.012809503,0.132928237,0.162006528,0.120187491,-0.040342415,0.073342431,-0.116660206,0.048112197,0.082629957,-0.067800019,0.127275443,-0.07661961,0.030576457,-0.025430808,0.030427605,0.139250451,0.022215011,0.014496971,0.021434718,-0.04195706,-0.070188528,-0.036955307,0.080064873,0.034757332,0.026120993,-0.088732906,0.037516908,0.045382187,0.023537288,-0.040259074,0.010490305,0.015565489,0.096805698,0.078229071,-0.101303735,-0.083635562,-0.027784463,0.008169216,-0.109322566,-0.090899344,-0.075003791,-0.113505145,-0.121956732,0.013875564,0.095891992,-0.031251974,-0.013543184,-0.199986778,0.016665289,-0.01639211,0.066661157,0.093742737,-0.007154157,-0.034530321,0.281688753,-0.156974286,0.048260612,0.111845682,0.005926534,0.164693072,-0.101003356,0.123586325,-0.099993389,0.051107357,-0.015863864,0.084858599,0.287142647,-0.066161513,-0.159805043,-0.037965454,0.073284937,-0.209754873,0.129636985,-0.0164018,0.02223374,0.065215491,-0.056118178,-0.03783953,-0.042707392,0.056336965,0.010008758,0.047424395,-0.064874728,-0.032375206,-0.068093131,-0.019233852,-0.058812714,0.055542292,-0.00658003,-0.119204338,0.037600169,-0.057980205,0.007693602,0.038174313,-0.044124744,0.041545452,0.004432031,0.007354124,0.023361394,0.027108367,0.013890999,-0.006850341,0,-0.034487962,0.027147099,-0.040339933,-0.079722782,-0.039352251,-0.090177794,0.261277243,0.064273436,-0.040254237
