me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Basic Materials,14495,14495,14495,14495,14495,14495,14495,13407,13407,13407,13407,13407,13407,13407,13407,13407,13407,13407,13407,9273,9273,9273,9273,9273,9273,9273,9273,9273,9273,9273,9273,22744,22744,22744,22744,22744,22744,22744,22744,22744,22744,22744,22744,18476,18476,18476,18476,18476,18476,18476,18476,18476,18476,18476,18476,19482,19482,19482,19482,19482,19482,19482,19482,19482,19482,19482,19482,19769,19769,19769,19769,19769,19769,19769,19769,19769,19769,19769,19769,21996,21996,21996,21996,21996,21996,21996,21996,21996,21996,21996,21996,25734,25734,25734,25734,25734,25734,25734,25734,25734,25734,25734,25734,34816,34816,34816,34816,34816,34816,34816,34816,34816,34816,34816,34816,36064,36064,36064,36064,36064,36064,36064,36064,36064,36064,36064,36064,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,806,806,806,806,806,806,806,806,806,806,806,806,,,,,,
Excess return,Basic Materials,,8.118842009,-0.381427104,-0.924951791,-0.3260247,-0.99078738,-0.329201529,-0.699526792,-0.717822812,-0.883896144,-0.629990744,-0.026356553,0.124985465,-0.601811355,-0.607405237,-0.504618829,-0.638858037,-0.662119571,-0.854552333,-0.5326811,-0.5346299,-0.286407141,-0.625730099,-0.325240645,-0.094018121,-0.551634982,-0.523466602,0.055535559,-0.587909797,-0.1872949,-0.1844357,-0.1897197,-0.1930113,-0.429648173,0,0,0,0,0,0,0,0,0,0,1.3317426,-0.354802398,1.092385759,-0.1392845,-0.223612045,0.167607859,-0.202561899,-0.1014397,-0.177192545,-0.318015041,-0.0630916,-0.0159307,-0.207416651,0.145515198,-0.386824202,-0.052904,-0.0350179,-0.291962359,-0.0423017,-0.0423684,-0.352998573,0.4847489,-0.367635173,-0.0229827,-0.5186967,0.9473956,-0.0535813,-0.551069,-0.0554322,-0.0540275,-0.0850595,0.91254,-0.0796291,0.436191,0.263365814,-0.0718246,-0.0427151,0.0141146,-0.291632959,-0.356244373,0.4234742,-0.417227873,-0.0608886,0.4130956,-0.1103012,0.545960627,0.087105298,-0.1388973,-0.443479902,0.106307059,-0.545808697,0.191465114,-0.1531104,-0.423907359,-0.474915073,-0.1374924,-0.131203,-0.1284084,0.3554424,0.517400627,-0.1565775,-0.1553078,-0.1497818,-0.353170498,-0.391681859,0.183074114,0.358824217,-0.423846097,-0.082062445,-0.153548611,-0.467429311,-0.166200618,-0.217474987,-0.001445228,-0.177318448,-0.203215482,-0.285292806,-0.245325805,-0.064236148,-0.068817831,-0.276697134,-0.148197,-0.2243612,0.149339659,-0.00501865,-0.045866066,-0.13996886,-0.0733402,-0.035855448,-0.164728929,-0.154565823,-0.14644274,-0.1176747,-0.307925516,-0.259341967,0.0605082,0.264340686,-0.407862233,-0.238702754,0.266975964,-0.112147233,-0.395745528,-0.2840815,0.2332441,-0.683504637,0.0481023,-0.359348667,0.4044413,-0.2424819,-0.132420396,-0.2465401,-0.510267418,0
Risk premium,Basic Materials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Basic Materials,6.138,6.5931,6.39,6.4914,6.4369,7.2383,6.9086,6.6172,6.3031,6.5594,6.0447,6.7395,6.7781,6.5517,6.5338,7.1296,7.1394,7.4472,6.413,6.6997,6.6973,6.7299,6.5719,1.7393,1.8128,1.8767,1.4633,1.507,1.4414,1.4523,1.4339,1.5019,1.5351,,,,,,,,,,,1.225,1.0898,0.8032,0.8316,0.8315,0.5071,0.0249,0.4105,0.2419,-0.2694,-0.2668,-0.2668,-1.0011,-0.6329,-0.4288,-0.4215,-0.392,-0.6267,-0.5034,-0.4841,-0.5132,-0.8992,-0.9103,-0.851,-0.9971,-1.0791,-0.4412,-0.4249,-0.437,-0.3606,-0.3575,0.1065,0.17,-0.0043,-0.257,-0.2673,-0.2258,-0.6323,-1.5042,-0.6872,-1.0326,-0.0734,-0.1281,-0.4978,-0.0412,0.1524,0.1824,0.3285,0.7571,0.3524,0.8265,1.0017,1.0716,1.1708,1.4116,0.8463,0.8348,0.681,0.6168,0.9652,0.9524,1.0925,1.0406,0.9386,1.0019,0.8231,0.9786,0.8703,0.8934,0.8063,0.8692,0.8614,1.2747,1.2876,0.9737,1.0066,0.9136,0.4305,0.4777,0.4717,0.4709,0.946,1.019,-0.1276,-0.1602,-0.1595,-0.1565,-0.1552,-0.0946,0.1728,0.4358,0.4403,0.4649,0.6369,0.3984,0.4131,0.5086,0.2363,0.1203,0.2882,0.5208,0.2153,0.3389,0.3005,0.8993,1.1852,1.2079,1.814,1.8049,2.0513,2.5455,2.6427,3.1091,
VO monthly avg,Basic Materials,0,19.36,46.88,18.96,4.28,3.33,2.71,1.47,2.09,0.44,1.38,2.85,2.39,4.47,2.36,1.3,6.37,4.59,3.51,1.75,1.32,1.68,0.86,1.96,2.53,4.47,1.38,0.45,0.97,1.03,1.54,1.2,3.51,1.84,0,0,0,0,0,0,0,0,0,0,5.64,3.97,14.43,7.96,1.85,8.02,7.82,7.39,6.31,5.07,7.04,6.6,4.24,7.84,9.31,9,12.91,13.05,9.58,13.83,4.17,15.64,7.41,6.04,7.4,7.17,15.07,7.6,10.34,11.07,10.33,5.06,19.6,61.99,7.65,8.99,6.03,2.27,7.6,8.72,2.88,4.77,4.39,17.15,6.74,12.11,6.41,5.41,2.41,4.83,4.05,4.95,2.06,2.63,2.04,1.09,0.61,1.33,1.76,4.97,5.38,2.1,2.67,4.96,3.53,3.45,40.86,48.95,10.42,11.26,4.84,3.89,10.79,33.19,10.27,4.8,4,2.52,1.56,1.21,2.79,5.92,7.39,6.37,59.74,27.5,29.76,27.45,72.89,13.53,17.41,32.27,1.47,32.18,16.19,23.35,13.95,1.25,7.76,14.06,35.06,14.57,24.27,9.34,25.56,22.32,12.47,5.99,4.89,105.27,25.28,22.41,50.35
Total assets,Basic Materials,14574,14574,14574,14574,14574,14574,14574,14597,14597,14597,14597,14597,14597,14597,14597,14597,14597,14597,14597,14991,14991,14991,14991,14991,14991,14991,14991,14991,14991,14991,14991,24123,24123,24123,24123,24123,24123,24123,24123,24123,24123,24123,24123,31323,31323,31323,31323,31323,31323,31323,31323,31323,31323,31323,31323,30294,30294,30294,30294,30294,30294,30294,30294,30294,30294,30294,30294,24586,24586,24586,24586,24586,24586,24586,24586,24586,24586,24586,24586,22741,22741,22741,22741,22741,22741,22741,22741,22741,22741,22741,22741,49849,49849,49849,49849,49849,49849,49849,49849,49849,49849,49849,49849,36307,36307,36307,36307,36307,36307,36307,36307,36307,36307,36307,36307,36348,36348,36348,36348,36348,36348,36348,36348,36348,36348,36348,36348,46465,46465,46465,46465,46465,46465,46465,46465,46465,46465,46465,46465,36367,36367,36367,36367,36367,36367,36367,36367,36367,36367,36367,36367,,,,,,
Net sales,Basic Materials,2031,2031,2031,2031,2031,2031,2031,4399,4399,4399,4399,4399,4399,4399,4399,4399,4399,4399,4399,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358,22340,22340,22340,22340,22340,22340,22340,22340,22340,22340,22340,22340,32345,32345,32345,32345,32345,32345,32345,32345,32345,32345,32345,32345,28126,28126,28126,28126,28126,28126,28126,28126,28126,28126,28126,28126,14799,14799,14799,14799,14799,14799,14799,14799,14799,14799,14799,14799,0,0,0,0,0,0,0,0,0,0,0,0,956,956,956,956,956,956,956,956,956,956,956,956,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
common equity,Basic Materials,79,79,79,79,79,79,79,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,5718,5718,5718,5718,5718,5718,5718,5718,5718,5718,5718,5718,1379,1379,1379,1379,1379,1379,1379,1379,1379,1379,1379,1379,12847,12847,12847,12847,12847,12847,12847,12847,12847,12847,12847,12847,10812,10812,10812,10812,10812,10812,10812,10812,10812,10812,10812,10812,4817,4817,4817,4817,4817,4817,4817,4817,4817,4817,4817,4817,745,745,745,745,745,745,745,745,745,745,745,745,24115,24115,24115,24115,24115,24115,24115,24115,24115,24115,24115,24115,1491,1491,1491,1491,1491,1491,1491,1491,1491,1491,1491,1491,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,46122,46122,46122,46122,46122,46122,46122,46122,46122,46122,46122,46122,36920,36920,36920,36920,36920,36920,36920,36920,36920,36920,36920,36920,,,,,,
Turnover ratio,Basic Materials,0%,0.01%,0.03%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.31%,0.07%,0.07%,0.03%,0.02%,0.01%,0.04%,0.01%,0.01%,0%,0%,0%,0%,0%,0.01%,0.01%,0.01%,0.05%,0.02%,0.02%,0.02%,0.06%,0.01%,0.01%,0.03%,0%,0.03%,0.01%,0.02%,0.01%,0%,0.01%,0.01%,0.03%,0.01%,0.02%,0.01%,0.02%,0.02%,0.01%,0%,0%,0.09%,0.02%,0.02%,0.04%
Return monthly,Basic Materials,,8.657807309,0.137942896,-0.393893591,0.2,-0.41687448,0.214540271,-0.176643192,-0.213827512,-0.363553944,-0.143874644,0.500831947,0.667405765,-0.067154255,-0.071275837,0.076745971,-0.071275837,-0.076745971,-0.333333333,0,0,0.249376559,-0.099800399,-0.110864745,0.124688279,-0.333702882,-0.332778702,0.249376559,-0.399201597,0,0,0,0,-0.335548173,0,0,0,0,0,0,0,0,0,0,1.505,-0.199600798,1.249376559,0,-0.110864745,0.249376559,-0.099800399,0,-0.110864745,-0.250623441,0,0,-0.166389351,0.199600798,-0.332778702,0,0,-0.249376559,0,0,-0.335548173,0.505,-0.335548173,0,-0.5,1,0,-0.5,0,0,0,1,0,0.505,0.332225914,0,0,0,-0.249376559,-0.335548173,0.505,-0.335548173,0,0.505,0,0.664451827,0.199600798,0,-0.332778702,0.249376559,-0.399201597,0.332225914,0,-0.249376559,-0.335548173,0,0,0,0.505,0.664451827,0,0,0,-0.199600798,-0.249376559,0.332225914,0.498753117,-0.282861897,0.055684455,-0.010989011,-0.331111111,-0.006644518,-0.056856187,0.138297872,-0.031152648,-0.064308682,-0.171821306,-0.128630705,0.052380952,0.045248869,-0.134199134,0,-0.15,0.217647059,0.06763285,0.022624434,-0.07079646,0,0.052380952,-0.058823529,-0.048076923,-0.04040404,0,-0.210526316,-0.166666667,0.16,0.344827586,-0.333333333,-0.153846154,0.363636364,-0.033333333,-0.310344828,-0.2,0.35,-0.537037037,0.2,-0.166666667,0.6,-0.0375,0.103896104,0,-0.235294118,0
