me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Consumer Goods,230886,230886,230886,230886,230886,230886,230886,312140,312140,312140,312140,312140,312140,312140,312140,312140,312140,312140,312140,333438,333438,333438,333438,333438,333438,333438,333438,333438,333438,333438,333438,395041,395041,395041,395041,395041,395041,395041,395041,395041,395041,395041,395041,543690,543690,543690,543690,543690,543690,543690,543690,543690,543690,543690,543690,603207,603207,603207,603207,603207,603207,603207,603207,603207,603207,603207,603207,642771,642771,642771,642771,642771,642771,642771,642771,642771,642771,642771,642771,1087029,1087029,1087029,1087029,1087029,1087029,1087029,1087029,1087029,1087029,1087029,1087029,1078861,1078861,1078861,1078861,1078861,1078861,1078861,1078861,1078861,1078861,1078861,1078861,1102334,1102334,1102334,1102334,1102334,1102334,1102334,1102334,1102334,1102334,1102334,1102334,1287832,1287832,1287832,1287832,1287832,1287832,1287832,1287832,1287832,1287832,1287832,1287832,926829,926829,926829,926829,926829,926829,926829,926829,926829,926829,926829,926829,949326,949326,949326,949326,949326,949326,949326,949326,949326,949326,949326,949326,,,,,,
Excess return,Consumer Goods,,0.038961735,0.420126659,-0.377767191,-0.122387717,0.131148078,-0.073908017,-0.036161229,0.173435286,-0.137007117,0.086502838,-0.118214149,-0.181885489,-0.109205301,-0.1770168,-0.209615985,-0.1706885,-0.047083367,-0.193562204,-0.02779756,0.153991504,-0.081371065,-0.027188354,0.043005506,-0.145570524,-0.117928301,0.288121303,-0.164585792,-0.167398859,-0.075825212,0.012421979,0.091357731,-0.127422488,-0.201385655,0.205894044,-0.150619456,-0.094027941,-0.313951877,-0.001288453,-0.088133422,-0.02394427,-0.10652267,-0.13856131,-0.095380185,-0.107535098,-0.079932527,0.047993482,0.056795247,-0.161111932,-0.155950466,-0.158625414,-0.13960563,-0.016839507,-0.027591149,-0.099891358,0.001349163,-0.19271635,0.004873517,-0.104328946,-0.168006176,-0.050179093,0.044827716,-0.047103596,-0.151042285,-0.183722967,-0.181311061,-0.229776753,-0.116745902,-0.068867947,-0.14861355,-0.091903267,-0.06011277,-0.044879302,-0.072269185,-0.121996019,0.028709325,-0.059510995,-0.205681228,-0.124845073,-0.113931671,-0.17038666,-0.106597571,-0.096759322,-0.258968041,-0.246291923,-0.323875967,-0.09560711,-0.126997903,-0.006237097,-0.207794686,-0.295678461,-0.120299352,-0.133107433,-0.03266152,-0.116189357,-0.186931615,-0.076847926,-0.027340848,-0.163271851,0.110009348,-0.150484789,-0.108711105,-0.167873984,-0.050460928,-0.114862781,-0.047963341,-0.192727656,-0.110289283,-0.067730948,-0.147480817,-0.132184248,-0.081980473,-0.113985713,-0.168287153,-0.039820125,-0.145847238,-0.191154368,0.020992832,0.099529164,-0.178725993,-0.086109931,-0.180804328,-0.204340367,-0.012123823,-0.116135698,-0.086487668,-0.150724252,-0.158916312,-0.110768141,-0.006100775,-0.105131814,-0.031719193,-0.057890028,-0.118378566,-0.163413608,0.025145575,-0.041120875,-0.11065241,-0.046206449,0.000379576,0.010396341,-0.143754996,-0.091621825,-0.082584457,-0.018693191,-0.213268619,-0.073846158,-0.0993226,-0.002983131,-0.159993338,0.079589397,-0.110229569,0.026501253,0.026695777,-0.002350261,-0.024978685,-0.042500651
Risk premium,Consumer Goods,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Consumer Goods,0.6713,0.594,0.7376,0.7162,0.8768,0.7684,0.6121,0.6958,0.7327,0.8604,0.7957,0.66,0.6536,0.8292,0.8336,0.8418,0.8395,0.887,0.6829,0.8752,0.737,0.7317,0.6841,0.7228,0.7405,0.6421,0.5919,0.6092,0.4682,0.4766,0.5138,0.414,0.3116,0.4652,0.5301,0.6175,0.5227,0.5597,0.5762,0.5666,0.5593,0.6849,0.6783,0.5093,0.4906,0.4798,0.5035,0.5048,0.4923,0.7321,0.7156,0.571,0.7372,0.7357,0.6983,0.6302,0.664,0.4171,0.4058,0.4249,0.6118,0.5812,0.5299,0.5899,0.6613,0.6666,0.6818,0.6896,0.6971,0.7136,0.7118,0.7079,0.6929,0.7228,0.7675,1.0397,1.0634,1.0258,0.9373,0.9546,0.8982,0.9239,1.0329,0.9593,1.1295,1.1323,1.1115,1.1739,1.1559,1.2694,1.0464,1.041,0.7017,0.6683,0.6489,0.6287,0.5952,0.6015,0.6688,0.658,0.6424,0.6455,0.6592,0.6593,0.6604,0.6179,0.5995,0.5832,0.536,0.5288,0.5321,0.5035,0.492,0.4807,0.468,0.6297,0.6851,0.7566,0.7641,0.7646,0.906,0.7334,0.697,0.6922,0.7092,0.7222,0.7245,0.7255,0.619,0.6447,0.6501,0.6163,0.5564,0.5598,0.4992,0.4952,0.4466,0.49,0.5302,0.5454,0.3705,0.1673,0.1533,0.092,-0.0955,-0.0124,0.0289,0.0365,-0.1019,-0.2509,-0.3371,-0.3217,-0.2155,-0.2811,-0.2749,-0.3155,
VO monthly avg,Consumer Goods,0,1.59,15.55,8.81,30.4,23.81,32.45,11.73,35.74,20.12,7.4,6.29,36.91,5.51,38.67,6.76,8.73,25.56,6.17,6.45,81.77,35.03,22.05,18.13,6.13,21.29,22.85,20.67,9.22,11.06,20.09,16.57,8.72,16.25,32.91,120.05,16,15.47,56.43,29.73,18.12,21.8,13.87,15.39,36.58,11.07,16.25,20.33,10.68,43.73,25.01,22.2,22.87,48.12,27.89,23.51,15.27,17.68,28.22,29.56,23.98,19.08,25.07,40.67,94.66,83.07,41.3,21.79,81.58,68.85,57.67,15.13,11.88,9.82,29.57,13.8,22.16,42.83,44.45,14.27,24.62,26.61,39.44,68.5,39.76,50.73,12.37,104.43,11.78,29.66,25.81,29.47,47.28,25,46.09,11.57,17.96,6.39,10.74,30.48,22.95,43.6,12.31,31.92,19.69,23.51,25.82,14.14,29.83,36.16,28.37,19.16,24.74,20.9,21.97,8.27,11.64,20.1,33.17,9.45,15.35,11.72,21.26,22.39,36.21,45.54,24.87,15.95,19.08,12.14,25.88,17.99,24.75,14.12,19.9,59.64,45.44,43.01,56.16,37.21,53.64,55.36,43.62,39.5,25.6,50.14,67.63,68.08,69.67,72.89,80.34,53.03,64.06,53.57,40.24,24.5,17.02
Total assets,Consumer Goods,318371,318371,318371,318371,318371,318371,318371,412696,412696,412696,412696,412696,412696,412696,412696,412696,412696,412696,412696,470402,470402,470402,470402,470402,470402,470402,470402,470402,470402,470402,470402,577801,577801,577801,577801,577801,577801,577801,577801,577801,577801,577801,577801,762887,762887,762887,762887,762887,762887,762887,762887,762887,762887,762887,762887,889991,889991,889991,889991,889991,889991,889991,889991,889991,889991,889991,889991,1026028,1026028,1026028,1026028,1026028,1026028,1026028,1026028,1026028,1026028,1026028,1026028,1592138,1592138,1592138,1592138,1592138,1592138,1592138,1592138,1592138,1592138,1592138,1592138,1707095,1707095,1707095,1707095,1707095,1707095,1707095,1707095,1707095,1707095,1707095,1707095,1851940,1851940,1851940,1851940,1851940,1851940,1851940,1851940,1851940,1851940,1851940,1851940,2125950,2125950,2125950,2125950,2125950,2125950,2125950,2125950,2125950,2125950,2125950,2125950,1914911,1914911,1914911,1914911,1914911,1914911,1914911,1914911,1914911,1914911,1914911,1914911,2065762,2065762,2065762,2065762,2065762,2065762,2065762,2065762,2065762,2065762,2065762,2065762,,,,,,
Net sales,Consumer Goods,982544,982544,982544,982544,982544,982544,982544,1122692,1122692,1122692,1122692,1122692,1122692,1122692,1122692,1122692,1122692,1122692,1122692,1394783,1394783,1394783,1394783,1394783,1394783,1394783,1394783,1394783,1394783,1394783,1394783,1635233,1635233,1635233,1635233,1635233,1635233,1635233,1635233,1635233,1635233,1635233,1635233,2208902,2208902,2208902,2208902,2208902,2208902,2208902,2208902,2208902,2208902,2208902,2208902,2710417,2710417,2710417,2710417,2710417,2710417,2710417,2710417,2710417,2710417,2710417,2710417,3448386,3448386,3448386,3448386,3448386,3448386,3448386,3448386,3448386,3448386,3448386,3448386,4043493,4043493,4043493,4043493,4043493,4043493,4043493,4043493,4043493,4043493,4043493,4043493,5065843,5065843,5065843,5065843,5065843,5065843,5065843,5065843,5065843,5065843,5065843,5065843,5369146,5369146,5369146,5369146,5369146,5369146,5369146,5369146,5369146,5369146,5369146,5369146,5667494,5667494,5667494,5667494,5667494,5667494,5667494,5667494,5667494,5667494,5667494,5667494,6310052,6310052,6310052,6310052,6310052,6310052,6310052,6310052,6310052,6310052,6310052,6310052,6376945,6376945,6376945,6376945,6376945,6376945,6376945,6376945,6376945,6376945,6376945,6376945,,,,,,
common equity,Consumer Goods,80896,80896,80896,80896,80896,80896,80896,92290,92290,92290,92290,92290,92290,92290,92290,92290,92290,92290,92290,125046,125046,125046,125046,125046,125046,125046,125046,125046,125046,125046,125046,166190,166190,166190,166190,166190,166190,166190,166190,166190,166190,166190,166190,198361,198361,198361,198361,198361,198361,198361,198361,198361,198361,198361,198361,258848,258848,258848,258848,258848,258848,258848,258848,258848,258848,258848,258848,351182,351182,351182,351182,351182,351182,351182,351182,351182,351182,351182,351182,470967,470967,470967,470967,470967,470967,470967,470967,470967,470967,470967,470967,584555,584555,584555,584555,584555,584555,584555,584555,584555,584555,584555,584555,697466,697466,697466,697466,697466,697466,697466,697466,697466,697466,697466,697466,783255,783255,783255,783255,783255,783255,783255,783255,783255,783255,783255,783255,976674,976674,976674,976674,976674,976674,976674,976674,976674,976674,976674,976674,1102976,1102976,1102976,1102976,1102976,1102976,1102976,1102976,1102976,1102976,1102976,1102976,,,,,,
Turnover ratio,Consumer Goods,0%,0.01%,0.07%,0.04%,0.13%,0.1%,0.14%,0.05%,0.15%,0.09%,0.03%,0.03%,0.16%,0.02%,0.17%,0.03%,0.04%,0.11%,0.03%,0.03%,0.35%,0.15%,0.09%,0.08%,0.03%,0.09%,0.1%,0.09%,0.04%,0.05%,0.09%,0.07%,0.04%,0.07%,0.14%,0.52%,0.07%,0.07%,0.24%,0.13%,0.08%,0.09%,0.06%,0.07%,0.16%,0.05%,0.07%,0.09%,0.05%,0.19%,0.1%,0.09%,0.09%,0.19%,0.11%,0.09%,0.06%,0.07%,0.11%,0.11%,0.09%,0.07%,0.1%,0.16%,0.37%,0.32%,0.16%,0.08%,0.32%,0.27%,0.22%,0.06%,0.05%,0.04%,0.11%,0.05%,0.09%,0.17%,0.17%,0.06%,0.1%,0.1%,0.15%,0.27%,0.15%,0.2%,0.05%,0.4%,0.05%,0.11%,0.1%,0.11%,0.18%,0.1%,0.18%,0.04%,0.07%,0.02%,0.04%,0.12%,0.09%,0.17%,0.05%,0.12%,0.08%,0.09%,0.1%,0.05%,0.12%,0.14%,0.11%,0.07%,0.1%,0.08%,0.09%,0.03%,0.05%,0.08%,0.13%,0.04%,0.06%,0.05%,0.08%,0.09%,0.14%,0.18%,0.1%,0.06%,0.08%,0.05%,0.1%,0.07%,0.1%,0.06%,0.08%,0.24%,0.18%,0.17%,0.22%,0.15%,0.21%,0.22%,0.17%,0.16%,0.1%,0.2%,0.27%,0.27%,0.28%,0.29%,0.32%,0.21%,0.25%,0.21%,0.16%,0.1%,0.07%
Return monthly,Consumer Goods,,0.199983735,0.583395459,-0.210546591,0.053350683,0.297457278,0.073154283,0.113674171,0.326495386,0.024298083,0.241931938,0.025965851,-0.025308689,0.064934299,0,-0.024382585,0,0.124997633,-0.033339504,0.13794004,0.313122504,0.076526035,0.127809946,0.193341906,0.005580976,0.022223999,0.423911003,-0.027306192,-0.040002259,0.050000588,0.138891379,0.212539731,-0.011491688,-0.077978055,0.329890344,-0.019416956,0.029702159,-0.182690777,0.129412147,0.044262378,0.11139163,0.03872603,0.00877159,0.041305715,0.027972702,0.054894873,0.184313982,0.175497647,-0.049297032,-0.029628166,-0.036642614,-0.01743263,0.112904093,0.102957951,0.024001542,0.120051763,-0.06998435,0.112250817,0.001836454,-0.063637476,0.062864307,0.155743316,0.059080104,-0.039178585,-0.067961067,-0.061715261,-0.101123353,0.012498898,0.061729353,-0.02325675,0.033290133,0.06308493,0.076923398,0.049817215,0.004706481,0.170960425,0.087383205,-0.056055828,0.019904827,0.032258129,-0.03125006,0.032258129,0.053863378,-0.112782141,-0.088983423,-0.162791067,0.06666739,0.041457797,0.167284603,-0.020822486,-0.137955261,0.036483648,-0.000400333,0.10044138,0.008191343,-0.074073515,0.039999674,0.096153652,-0.035087451,0.236363348,-0.021713589,0.021505395,-0.037594384,0.078124972,0.014492419,0.080714359,-0.064309156,0.016902317,0.056487052,-0.026666417,-0.013561948,0.034440027,0.003960287,-0.050203053,0.071713875,-0.026926138,-0.068493068,0.147058632,0.230417464,-0.049206193,0.057318069,-0.048000128,-0.073529367,0.115884777,0.011443902,0.043010932,-0.022680752,-0.034809812,0.010928859,0.112865325,0.014774486,0.086407707,0.054513172,-0.004661166,-0.053214008,0.133093175,0.064564925,-0.00748241,0.053846151,0.102189776,0.099337841,-0.066265096,-0.015263925,-0.012938457,0.040540309,-0.149999819,-0.006875458,-0.0369231,0.062397169,-0.100000038,0.136752097,-0.048646669,0.088674753,0.084936477,0.060381039,0.034244815,-0.042500651
