me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179398,179398,179398,179398,179398,179398,179398,179398,179398,179398,179398,179398,775498,775498,775498,775498,775498,775498,775498,775498,775498,775498,775498,775498,617430,617430,617430,617430,617430,617430,617430,617430,617430,617430,617430,617430,668525,668525,668525,668525,668525,668525,668525,668525,668525,668525,668525,668525,827625,827625,827625,827625,827625,827625,827625,827625,827625,827625,827625,827625,1191982,1191982,1191982,1191982,1191982,1191982,1191982,1191982,1191982,1191982,1191982,1191982,,,,
Excess return,Industrials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103444709,-0.27234208,-0.212523327,-0.265602009,-0.141229895,-0.153326007,-0.1346715,-0.454243495,0.255171102,-0.1859506,-0.18243641,-0.1062116,-0.397209266,0.033860558,0.062019618,-0.3531317,-0.420375814,0.20298993,-0.217904591,-0.0056285,-0.1175994,-0.017644279,-0.210038529,-0.1187748,-0.13862718,-0.203618054,0.096925933,0.147071382,-0.102375636,-0.244245767,-0.260142715,-0.008580107,-0.13226836,-0.1479947,-0.029390434,0.121118738,0.008282454,-0.170831,-0.248132733,-0.129806744,-0.157802897,-0.123726092,-0.1461371,-0.1441342,-0.18443961,-0.068847209,-0.037568433,-0.082930795,-0.212364456,-0.09157605,-0.034743238,-0.081341355,-0.077042272,-0.089931283,-0.112448679,-0.137170686,-0.048503217,-0.087163846,-0.147639734,-0.012722658,0.049731002,-0.085057824,-0.123535714,0.066752732,-0.185463408,-0.075927187,-0.126604934,-0.065696397,-0.15613815,-0.005983927,-0.093735398,-0.107545144,0.00442741
Risk premium,Industrials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6429,0.1201,0.2262,0.2947,0.3243,0.2494,0.6805,0.7498,0.6516,0.6262,0.6349,0.5232,0.4826,0.3302,0.0931,0.0259,0.3624,0.3697,0.4642,0.4695,0.4738,0.4461,0.4493,0.4496,0.4504,0.5459,0.6398,0.6497,0.6972,0.7207,0.5949,0.6097,0.5761,0.5769,0.5199,0.5655,0.9399,1.337,1.3238,1.2945,1.0062,1.0031,1.0117,1.0434,0.9581,1.1053,1.1077,1.1671,1.1061,0.9226,0.8963,0.901,0.779,0.6548,0.531,0.5374,0.7172,0.7065,0.7315,0.6536,0.6329,0.7211,0.7,0.8045,0.7297,0.7184,0.6812,0.667,0.7998,0.7476,0.7512,0.6641,
VO monthly avg,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.02,28.63,23.31,43.69,8.76,14.02,3.82,0.38,6.78,66.28,7.07,10.54,65.36,0.26,0.15,0.1,2.25,10.26,5.14,0.57,3.42,5.11,15.53,28.07,69.42,5.31,74.43,15.46,7.05,4.05,6.53,10.15,6.56,6.21,1.5,2.8,63.54,9.93,48.33,140.69,15.37,17.81,8.72,11.34,17.59,10.88,13.49,24.17,9.8,22.04,12.45,154.39,131.67,46.24,47.42,22.34,92.68,219.56,90.35,99.4,90,354.15,75.37,12.1,44.19,55.58,90.65,119.44,88.68,45.07,56.98,107.44,62.73,94.78
Total assets,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445762,445762,445762,445762,445762,445762,445762,445762,445762,445762,445762,445762,1538371,1538371,1538371,1538371,1538371,1538371,1538371,1538371,1538371,1538371,1538371,1538371,1453347,1453347,1453347,1453347,1453347,1453347,1453347,1453347,1453347,1453347,1453347,1453347,1614835,1614835,1614835,1614835,1614835,1614835,1614835,1614835,1614835,1614835,1614835,1614835,1974128,1974128,1974128,1974128,1974128,1974128,1974128,1974128,1974128,1974128,1974128,1974128,2771973,2771973,2771973,2771973,2771973,2771973,2771973,2771973,2771973,2771973,2771973,2771973,,,,
Net sales,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201344,201344,201344,201344,201344,201344,201344,201344,201344,201344,201344,201344,745323,745323,745323,745323,745323,745323,745323,745323,745323,745323,745323,745323,1229748,1229748,1229748,1229748,1229748,1229748,1229748,1229748,1229748,1229748,1229748,1229748,1445556,1445556,1445556,1445556,1445556,1445556,1445556,1445556,1445556,1445556,1445556,1445556,1553522,1553522,1553522,1553522,1553522,1553522,1553522,1553522,1553522,1553522,1553522,1553522,2037402,2037402,2037402,2037402,2037402,2037402,2037402,2037402,2037402,2037402,2037402,2037402,,,,
common equity,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266364,266364,266364,266364,266364,266364,266364,266364,266364,266364,266364,266364,762873,762873,762873,762873,762873,762873,762873,762873,762873,762873,762873,762873,835917,835917,835917,835917,835917,835917,835917,835917,835917,835917,835917,835917,946310,946310,946310,946310,946310,946310,946310,946310,946310,946310,946310,946310,1146491,1146491,1146491,1146491,1146491,1146491,1146491,1146491,1146491,1146491,1146491,1146491,1578905,1578905,1578905,1578905,1578905,1578905,1578905,1578905,1578905,1578905,1578905,1578905,,,,
Turnover ratio,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01%,0.01%,0%,0.01%,0%,0%,0%,0%,0%,0.01%,0%,0%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.01%,0%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.01%,0%,0%,0.01%,0%,0%,0%,0.01%,0.02%,0.01%,0.01%,0.02%,0.01%,0.02%,0.01%,0.13%,0.11%,0.04%,0.04%,0.02%,0.08%,0.19%,0.08%,0.09%,0.08%,0.31%,0.07%,0.01%,0.04%,0.05%,0.07%,0.09%,0.07%,0.03%,0.04%,0.08%,0.05%,0.07%
Return monthly,Industrials,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.103444709,-0.17502578,-0.106022727,-0.152535909,-0.020098995,-0.030613807,0,-0.315806095,0.384721902,-0.0555,-0.05893771,0,-0.287455466,0.140263158,0.153934918,-0.2666,-0.309244614,0.31583103,-0.099909991,0.111,0,0.100210021,-0.091082629,0,-0.01980198,-0.081726354,0.222333333,0.272702482,0.028497964,-0.111041667,-0.140614015,0.109080993,-0.01647406,-0.03325,0.086113266,0.238095238,0.153846154,0,-0.077833333,0.036146756,-0.011512297,0.023469208,0,0,-0.04137931,0.079136691,0.111166667,0.069896505,-0.065330156,0.04499775,0.100473662,0.052171645,0.049584728,0.023621117,-0.012345679,-0.035864486,0.062280383,0.024295654,-0.034855234,0.092304142,0.154853702,0.024421476,-0.014285714,0.177536232,-0.067692308,0.045132013,-0.005289334,0.058174603,-0.03000075,0.117064873,0.033640202,0.013393156,0.00442741
