me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7274,7274,7274,7274,7274,7274,7891.5,7891.5,7891.5,7891.5,7891.5,7891.5,7440,7440,7440,7440,7440,7440,9356.8,9356.8,9356.8,9356.8,9356.8,9356.8,8277,8277,8277,8277,8277,8277,5511.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excess return,Technology,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379318589,-0.257842832,-0.155689629,0.047758104,-0.085922344,-0.173458299,-0.017900243,-0.113686611,-0.133267876,-0.1041292,-0.201378268,-0.3351696,0.077128037,0.03096508,-0.113827131,-0.075491,-0.033566899,-0.272316102,0.148140386,-0.083237526,-0.0958581,-0.0955145,-0.214153579,-0.0963594,-0.1010088,-0.300096938,-0.08819851,0.043257807,-0.1089811,-0.1043375,0.360878825,-0.10045833,-0.081203672,-0.0784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risk premium,Technology,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2685,-0.2415,-0.2884,-0.3175,-0.3931,-0.3731,-0.1263,-0.1349,0.0362,0.2084,0.1066,0.1892,0.1631,0.1896,0.2403,0.257,0.1238,0.1005,0.1285,0.1289,0.1287,0.0915,0.0923,0.0938,0.1676,0.2008,0.3117,0.3114,0.3497,0.2625,0.2251,0.1822,0.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VO monthly avg,Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.43,39.45,40.5,32.14,20.32,17.08,10.48,9.08,7.58,3.37,0.57,0.54,0.58,3.76,7.2,32.82,38.55,30.17,6.16,4.64,3.57,0,0,0.44,0,0,21.44,0.07,0.36,0,0.75,50.63,6.01,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total assets,Technology,21783,21783,21783,21783,21783,21783,21783,33387.2,33387.2,33387.2,33387.2,33387.2,33387.2,36976,36976,36976,36976,36976,36976,43015,43015,43015,43015,43015,43015,42617,42617,42617,42617,42617,42617,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,43057.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net sales,Technology,28268,28268,28268,28268,28268,28268,28268,30333.1,30333.1,30333.1,30333.1,30333.1,30333.1,34958,34958,34958,34958,34958,34958,36073.6,36073.6,36073.6,36073.6,36073.6,36073.6,46476,46476,46476,46476,46476,46476,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,38468.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common equity,Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14509,14509,14509,14509,14509,14509,25257.5,25257.5,25257.5,25257.5,25257.5,25257.5,29235,29235,29235,29235,29235,29235,33274.7,33274.7,33274.7,33274.7,33274.7,33274.7,33911,33911,33911,33911,33911,33911,37545.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turnover ratio,Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36%,0.08%,0.08%,0.06%,0.04%,0.03%,0.02%,0.02%,0.02%,0.01%,0%,0%,0%,0.01%,0.01%,0.07%,0.08%,0.06%,0.01%,0.01%,0.01%,0%,0%,0%,0%,0%,0.04%,0%,0%,0%,0%,0.1%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Technology,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.379318589,-0.183307332,-0.081608829,0.122255604,-0.009987644,-0.089963599,0.065942857,-0.030985311,-0.042487276,0,-0.111162468,-0.25,0.166753337,0.12850988,-0.012638231,0.0256,0.062532501,-0.176434602,0.244985886,0.011933174,0,0,-0.117688679,0,0,-0.199946538,0.01653859,0.147576007,0,0,0.457110125,-0.00972973,0.009825328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
