me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Fincials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431680,431680,431680,431680,431680,431680,431680,431680,431680,431680,431680,431680,512177,512177,512177,512177,512177,512177,512177,512177,512177,512177,512177,512177,621334,621334,621334,621334,621334,621334,621334,621334,621334,621334,621334,621334,1713595,1713595,1713595,1713595,1713595,1713595,1713595,1713595,1713595,1713595,1713595,1713595,1940847,1940847,1940847,1940847,1940847,1940847,1940847,1940847,1940847,1940847,1940847,1940847,2074958,2074958,2074958,2074958,2074958,2074958,2074958,2074958,2074958,2074958,2074958,2074958,2380458,2380458,2380458,2380458,2380458,2380458,2380458,2380458,2380458,2380458,2380458,2380458,2796026,2796026,2796026,2796026,2796026,2796026,2796026,2796026,2796026,2796026,2796026,2796026,3587125,3587125,3587125,3587125,3587125,3587125,3587125,3587125,3587125,3587125,3587125,3587125,3524577,3524577,3524577,3524577,3524577,3524577,3524577,3524577,3524577,3524577,3524577,3524577,,,,,,
Excess return,Fincials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111722365,-0.091818728,-0.108754184,-0.077147429,-0.124607782,-0.107409171,-0.105268915,-0.104108718,-0.099778048,-0.114612638,0.027930064,-0.017071478,-0.094374464,-0.015435768,-0.150794394,-0.082115261,-0.080931939,-0.098185389,-0.066344381,-0.005935987,-0.080979357,-0.074096861,-0.1045766,-0.029560956,-0.009780936,-0.021669902,-0.055610129,-0.108507225,-0.114026738,-0.322335797,-0.110675348,0.065060281,-0.174079276,-0.027359842,-0.138678475,-0.092196178,-0.03522995,-0.081127762,-0.084075771,-0.023487058,-0.198751872,-0.133493489,-0.101098943,-0.102328565,-0.052360124,-0.092321469,-0.203657143,-0.121517649,-0.271829892,-0.098524147,-0.225211429,-0.204223172,-0.232201851,-0.202423003,0.0356416,-0.00708912,-0.140576362,-0.132500962,-0.060528493,-0.073452818,-0.12229607,-0.117772409,-0.117577461,-0.069023019,-0.157983254,-0.101542555,-0.041296162,-0.069984783,-0.107017159,-0.095738238,-0.103578617,-0.10080742,-0.084621197,-0.121434955,-0.040214611,-0.08245506,-0.101253804,-0.089953778,-0.019412108,-0.114525892,-0.080978925,-0.02958702,-0.10910817,-0.118751077,-0.121328341,-0.150735261,-0.088755641,-0.09429878,-0.074460213,-0.144037255,-0.107142059,-0.174701484,-0.139211737,-0.068897123,-0.149126136,-0.101500679,-0.061365838,-0.122587328,-0.07573035,-0.108497466,-0.114122527,-0.082973297,-0.078767599,-0.053587801,-0.097814723,-0.115527037,-0.052016136,-0.075913227,-0.12189993,-0.080547503,-0.079177971,-0.040700131,-0.185917797,-0.030047697,-0.122669899,-0.106855267,-0.004766699,-0.069990904,-0.111902744,-0.010380792
Risk premium,Fincials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Fincials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3438,-0.0546,0.2081,0.0874,0.1032,0.1159,0.1365,0.2543,0.2022,0.1837,0.4671,0.4438,0.444,0.4673,0.5193,0.4545,0.4551,0.4542,0.4682,0.4601,0.398,0.3857,0.3867,0.4282,0.522,0.4746,0.4793,0.4829,0.4873,0.475,0.4928,0.5437,0.5889,0.5371,0.5388,0.5566,0.549,0.5405,0.4891,0.5583,0.5928,0.6049,0.6143,0.603,0.7411,0.818,0.892,0.7007,0.8707,0.8712,0.9312,0.9428,0.9183,0.9909,0.6389,0.5257,0.5452,0.5247,0.538,0.5273,0.526,0.5078,0.4285,0.4367,0.4081,0.4029,0.4409,0.4465,0.4173,0.4233,0.4135,0.4211,0.3743,0.3406,0.3207,0.3344,0.332,0.3316,0.4509,0.4029,0.3795,0.3657,0.3721,0.3618,0.3438,0.4135,0.4229,0.4259,0.5123,0.5339,0.4711,0.4802,0.5329,0.5515,0.548,0.5353,0.5859,0.596,0.5945,0.5996,0.6194,0.651,0.5894,0.603,0.7067,0.6464,0.6685,0.743,0.7328,0.7223,0.7186,0.6597,0.4305,0.3094,0.2606,0.2554,0.1565,0.0505,0.0883,-0.0102,
VO monthly avg,Fincials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.1,749.72,322.03,134.92,386.86,269.97,161.5,203.56,159.81,782.81,860.97,444.52,176.73,78.47,363.22,249.44,285.2,678.14,462.74,525.05,1244.89,591.21,700.55,505.54,268.32,556.33,606.23,609.12,321.54,353.65,476.45,359.46,533.12,495.75,467.37,789.51,121.14,169.54,329.46,633.45,1021.75,1369.67,282.02,377.49,246.26,566.55,558.42,660.08,315.97,591.86,584.67,274.59,385.47,1208.15,847.9,402.55,868.95,668.25,599.89,463.1,801.78,610.67,486.14,1356.61,617.59,487.35,624.38,314.31,479.91,570.05,406.28,875.03,685.08,1177.02,812.34,719.39,411.11,398.67,962.59,578.53,604.37,825.81,749.44,479.56,413.62,595.29,444.09,734.33,707.89,296.83,818.29,695.29,977.29,759.68,1061.49,791.31,560.2,596.78,846.78,1079.22,570.79,531.02,887.42,1095.64,557.79,648.76,807.29,411.9,453.92,420.75,401.54,665.48,469.31,954.22,837.49,758.95,916.62,765.16,435.2,480.6,670.34
Total assets,Fincials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933427,1933427,1933427,1933427,1933427,1933427,1933427,1933427,1933427,1933427,1933427,1933427,2300783,2300783,2300783,2300783,2300783,2300783,2300783,2300783,2300783,2300783,2300783,2300783,3104599,3104599,3104599,3104599,3104599,3104599,3104599,3104599,3104599,3104599,3104599,3104599,7410546,7410546,7410546,7410546,7410546,7410546,7410546,7410546,7410546,7410546,7410546,7410546,7791887,7791887,7791887,7791887,7791887,7791887,7791887,7791887,7791887,7791887,7791887,7791887,7813310,7813310,7813310,7813310,7813310,7813310,7813310,7813310,7813310,7813310,7813310,7813310,8106123,8106123,8106123,8106123,8106123,8106123,8106123,8106123,8106123,8106123,8106123,8106123,8635876,8635876,8635876,8635876,8635876,8635876,8635876,8635876,8635876,8635876,8635876,8635876,9362346,9362346,9362346,9362346,9362346,9362346,9362346,9362346,9362346,9362346,9362346,9362346,10114739,10114739,10114739,10114739,10114739,10114739,10114739,10114739,10114739,10114739,10114739,10114739,,,,,,
Net sales,Fincials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179669,179669,179669,179669,179669,179669,179669,179669,179669,179669,179669,179669,407088,407088,407088,407088,407088,407088,407088,407088,407088,407088,407088,407088,451950,451950,451950,451950,451950,451950,451950,451950,451950,451950,451950,451950,631000,631000,631000,631000,631000,631000,631000,631000,631000,631000,631000,631000,944198,944198,944198,944198,944198,944198,944198,944198,944198,944198,944198,944198,1082688,1082688,1082688,1082688,1082688,1082688,1082688,1082688,1082688,1082688,1082688,1082688,1162179,1162179,1162179,1162179,1162179,1162179,1162179,1162179,1162179,1162179,1162179,1162179,1223960,1223960,1223960,1223960,1223960,1223960,1223960,1223960,1223960,1223960,1223960,1223960,1253379,1253379,1253379,1253379,1253379,1253379,1253379,1253379,1253379,1253379,1253379,1253379,1342244,1342244,1342244,1342244,1342244,1342244,1342244,1342244,1342244,1342244,1342244,1342244,,,,,,
common equity,Fincials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1501747,1501747,1501747,1501747,1501747,1501747,1501747,1501747,1501747,1501747,1501747,1501747,1788606,1788606,1788606,1788606,1788606,1788606,1788606,1788606,1788606,1788606,1788606,1788606,2483265,2483265,2483265,2483265,2483265,2483265,2483265,2483265,2483265,2483265,2483265,2483265,5606951,5606951,5606951,5606951,5606951,5606951,5606951,5606951,5606951,5606951,5606951,5606951,5761040,5761040,5761040,5761040,5761040,5761040,5761040,5761040,5761040,5761040,5761040,5761040,5538352,5538352,5538352,5538352,5538352,5538352,5538352,5538352,5538352,5538352,5538352,5538352,5525665,5525665,5525665,5525665,5525665,5525665,5525665,5525665,5525665,5525665,5525665,5525665,5836091,5836091,5836091,5836091,5836091,5836091,5836091,5836091,5836091,5836091,5836091,5836091,5773227,5773227,5773227,5773227,5773227,5773227,5773227,5773227,5773227,5773227,5773227,5773227,6593674,6593674,6593674,6593674,6593674,6593674,6593674,6593674,6593674,6593674,6593674,6593674,,,,,,
Turnover ratio,Fincials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12%,0.29%,0.12%,0.05%,0.15%,0.1%,0.06%,0.07%,0.06%,0.27%,0.3%,0.16%,0.06%,0.03%,0.13%,0.09%,0.1%,0.24%,0.16%,0.18%,0.43%,0.21%,0.24%,0.18%,0.09%,0.19%,0.21%,0.21%,0.11%,0.12%,0.17%,0.13%,0.18%,0.16%,0.13%,0.22%,0.03%,0.05%,0.09%,0.18%,0.21%,0.28%,0.06%,0.08%,0.05%,0.12%,0.11%,0.13%,0.06%,0.12%,0.12%,0.06%,0.08%,0.25%,0.17%,0.08%,0.18%,0.14%,0.12%,0.09%,0.16%,0.12%,0.1%,0.28%,0.13%,0.1%,0.13%,0.06%,0.1%,0.12%,0.08%,0.18%,0.14%,0.24%,0.17%,0.15%,0.08%,0.08%,0.2%,0.12%,0.12%,0.16%,0.15%,0.09%,0.08%,0.12%,0.09%,0.14%,0.14%,0.06%,0.16%,0.14%,0.19%,0.15%,0.21%,0.16%,0.11%,0.12%,0.17%,0.21%,0.11%,0.1%,0.18%,0.22%,0.11%,0.13%,0.16%,0.08%,0.09%,0.08%,0.08%,0.13%,0.09%,0.19%,0.17%,0.15%,0.18%,0.15%,0.09%,0.1%,0.14%
Return monthly,Fincials,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,-0.019162165,0.015691572,-0.006547984,0.029454171,-0.015206082,0.005790329,0.015351985,0.013229882,0.016395052,0.019414662,0.142789464,0.091700522,0.015265436,0.094180132,-0.035960894,0.029856039,0.031882661,0.011211211,0.041641919,0.100038013,0.024419743,0.030865239,0,0.077825044,0.094418864,0.081325998,0.049512571,-0.003707325,-0.006501738,-0.205589397,0.009377752,0.188840981,-0.059841976,0.086934558,-0.025012675,0.020540822,0.07537155,0.028035538,0.027847129,0.093759342,-0.075643172,-0.009092589,0.022940057,0.026910735,0.079823876,0.049424531,-0.073763043,0.019486451,-0.127194292,0.052391453,-0.071315029,-0.045670272,-0.062775151,-0.070372303,0.1599607,0.11575848,-0.016520262,-0.015106962,0.045941407,0.039035182,-0.00470467,-0.004726909,-0.005165361,0.044987281,-0.043050554,0.014984145,0.073883338,0.044055117,0.009400741,0.020962262,0.013400683,0.01322348,0.024336603,-0.016130855,0.065552589,0.02541094,0.007436996,0.020502922,0.085220592,-0.011117392,0.020460175,0.07660528,-0.00496477,-0.010741677,-0.008677841,-0.037192561,0.022476059,0.02087612,0.043175487,-0.031957955,0.001510541,-0.058428784,-0.026117237,0.044576877,-0.036102236,0.012761021,0.054632162,-0.006383828,0.03879445,0.008074734,-0.000809527,0.020808903,0.026671401,0.056534299,0.009858477,-0.006711537,0.058642864,0.035503173,-0.01234503,0.029874297,0.022483129,0.058221369,-0.090625597,0.064770103,-0.024729699,-0.021245767,0.074364801,0.015621996,-0.033445344,-0.010380792
