me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Oil & Gas,398579,398579,398579,398579,861516,861516,861516,861516,861516,861516,861516,861516,861516,861516,861516,861516,812629,812629,812629,812629,812629,812629,812629,812629,812629,812629,812629,812629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excess return,Oil & Gas,,-0.154342924,-0.179542848,-0.176508233,0.023642934,-0.10349169,0.105517757,-0.22464178,-0.032721173,-0.148348895,-0.137723966,-0.054516778,-0.021130985,-0.1654771,-0.042544094,-0.070483501,-0.304905302,-0.128046143,-0.102687828,-0.201326957,-0.1466444,0.139732757,-0.1458003,-0.1497568,-0.171960007,-0.139279687,-0.123106185,-0.096508652,-0.163295152,-0.065404294,-0.112325446,-0.11187478,-0.115096639,-0.1305959,-0.106782997,-0.135686349,-0.247043198,-0.225642004,-0.175593741,-0.207671045,-0.059020715,-0.197310272,-0.051591632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risk premium,Oil & Gas,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Oil & Gas,0.8641,0.7916,0.748,0.7123,0.6629,0.6722,0.7035,0.7213,0.7027,0.592,0.6085,0.7593,0.7709,0.6917,0.6835,0.6736,0.6739,0.6547,0.6768,0.582,0.5388,0.5427,0.5381,0.7136,0.7182,0.7184,0.6595,0.6676,0.6327,0.6267,0.6131,0.5836,0.6098,0.5793,0.562,0.3893,0.3432,0.2941,0.2967,0.2841,0.2771,0.1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VO monthly avg,Oil & Gas,4.3,75.5,99.8,105.54,54.19,90.3,148.94,202.66,109,45.96,44.35,67.82,97.1,58.75,39.27,146.55,52.11,67.16,52.11,77.35,55.01,887.62,291.61,243.13,1.09,12.3,32.71,19.62,16.74,3.34,4.05,10.03,2.67,0.7,3.54,30.58,11.53,3.4,3.96,6.68,6.65,5.23,23.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total assets,Oil & Gas,1563701,1563701,1563701,1563701,2751896,2751896,2751896,2751896,2751896,2751896,2751896,2751896,2751896,2751896,2751896,2751896,2357028,2357028,2357028,2357028,2357028,2357028,2357028,2357028,2357028,2357028,2357028,2357028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net sales,Oil & Gas,1014534,1014534,1014534,1014534,1356022,1356022,1356022,1356022,1356022,1356022,1356022,1356022,1356022,1356022,1356022,1356022,1740482,1740482,1740482,1740482,1740482,1740482,1740482,1740482,1740482,1740482,1740482,1740482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
common equity,Oil & Gas,1165122,1165122,1165122,1165122,1890380,1890380,1890380,1890380,1890380,1890380,1890380,1890380,1890380,1890380,1890380,1890380,1544399,1544399,1544399,1544399,1544399,1544399,1544399,1544399,1544399,1544399,1544399,1544399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnover ratio,Oil & Gas,0%,0.07%,0.1%,0.1%,0.05%,0.09%,0.15%,0.2%,0.11%,0.04%,0.04%,0.07%,0.1%,0.06%,0.04%,0.14%,0.05%,0.07%,0.05%,0.08%,0.05%,0.86%,0.28%,0.24%,0%,0.01%,0.03%,0.02%,0.02%,0%,0%,0.01%,0%,0%,0%,0.03%,0.01%,0%,0%,0.01%,0.01%,0.01%,0.02%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Oil & Gas,,0.019127876,-0.015618848,-0.009533333,0.185905634,0.05675691,0.258338257,-0.07319988,0.118448927,-0.003952895,0.005911534,0.095919122,0.142835715,0,0.125016406,0.104153299,-0.144649602,0.029399957,0.057150572,-0.054060957,0,0.285722857,0,0,-0.022213407,0.005679513,0.016942315,0.044450148,-0.025535052,0.069877806,0.020399854,0.01999202,0.019620761,0,0.019223003,-0.018860449,-0.134621598,-0.111113704,-0.062501641,-0.093072745,0.058536585,-0.083328472,0.053008368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Def tax,Oil & Gas,65135,65135,65135,65135,121534,121534,121534,121534,121534,121534,121534,121534,121534,121534,121534,121534,186755,186755,186755,186755,186755,186755,186755,186755,186755,186755,186755,186755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price monthly,Oil & Gas,15.7,16,15.75,15.6,18.5,19.55,24.6,22.8,25.5,25.4,25.55,28,32,32,36,39.75,34,35,37,35,35,45,45,45,44,44.25,45,47,45.8,49,50,51,52,52,53,52,45,40,37.5,34.01,36,33,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75
MV monthly,Oil & Gas,1588.7,1619.06,1602.18,1586.92,1881.93,1988.74,2505.27,2328.35,2604.08,2595.91,2610.16,2860.44,3269.08,3271.32,3690.84,4090.8,3501.99,3605.85,3812.64,3608.99,3608.99,4643.95,4654,4654,4550.58,4576.44,4654,4860.85,4736.74,5067.7,5171.12,5274.54,5377.96,5377.96,5481.38,5377.96,4654,4136.89,3878.34,3517.39,3723.21,3412.94,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93,3593.93
