me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Basic Materials,2588719,2573718,2573718,2573718,2573718,2573718,2573718,2573718,2573718,2573718,2573718,2573718,2573718,1648465,1648465,1648465,1648465,1648465,1648465,1648465,1648465,1648465,1648465,1648465,1648465,1528790,1528790,1528790,1528790,1528790,1528790,1528790,1528790,1528790,1528790,1528790,1528790,1392000,1392000,1392000,1392000,1392000,1392000,1392000,1392000,1392000,1392000,1392000,1392000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2698000,2698000,2698000,2698000,2698000,2698000,2698000,2698000,2698000,2698000,2698000,2698000,1545000,1545000,1545000,1545000,1545000,1545000,1545000,1545000,1545000,1545000,1545000,1545000,2495000,2495000,2495000,2495000,2495000,2495000,2495000,2495000,2495000,2495000,2495000,2495000,1823000,1823000,1823000,1823000,1823000,1823000,1823000,1823000,1823000,1823000,1823000,1823000,1499000,1499000,1499000,1499000,1499000,1499000,1499000,1499000,1499000,1499000,1499000,1499000,1671000,1671000,1671000,1671000,1671000,1671000,1671000,1671000,1671000,1671000,1671000,1671000,1850000,1850000,1850000,1850000,1850000,1850000,1850000,1850000,1850000,1850000,1850000,1850000,2065000,2065000,2065000,2065000,2065000,2065000,2065000,2065000,2065000,2065000,2065000,2065000
Excess return,Basic Materials,,-0.119975113,-0.294878345,-0.233826445,-0.091716142,-0.096660728,-0.140863786,-0.171073742,-0.274094176,-0.144280784,-0.151983,-0.07063841,0.014288074,-0.102667149,-0.15311582,-0.069785105,-0.254986803,-0.176006553,-0.181873524,-0.137619602,-0.1547525,-0.150325561,-0.129015165,-0.115245121,-0.152714485,-0.144735529,-0.166715181,-0.165467646,-0.262473927,-0.027166458,-0.202515868,-0.146470294,-0.13595767,-0.083016176,-0.092235313,-0.159712466,-0.109895341,-0.106106676,0.105850254,-0.020475821,-0.114291978,-0.303091927,-0.10116109,-0.143195964,0.287329184,-0.088631889,0.050149602,0.180823975,-0.1472524,-0.1455814,0.058087165,-0.128461846,0.064490917,0.074176386,-0.388654888,-0.0299481,-0.060598745,0.008854286,0.089890398,0.079939694,-0.065499629,-0.005868924,-0.186052411,-0.076362658,-0.166713261,-0.329383188,-0.101868054,-0.294731384,-0.133478798,-0.059079551,-0.0822431,-0.128369185,-0.008900993,-0.167363813,-0.039498424,-0.115904511,0.02220983,-0.140964312,-0.14085695,-0.042846295,-0.14734262,-0.03118942,-0.159399122,-0.182335877,-0.127712128,-0.29449813,0.261391453,-0.064460279,-0.147056354,-0.181516155,-0.190448656,-0.252144606,-0.229353836,-0.170075384,-0.727845195,-0.113076331,-0.1881069,-0.362673732,0.208157157,-0.157118024,-0.218781594,-0.208381781,-0.137086364,-0.089887131,-0.034908745,-0.170043524,-0.27836258,-0.177435988,-0.132625897,-0.170034505,-0.044130553,0.049321372,-0.083160021,-0.224670066,-0.105278946,-0.036547794,-0.22066789,-0.01400732,-0.066821563,-0.139783182,-0.138611586,-0.082675427,-0.058777467,-0.390931699,-0.343094747,-0.12580984,-0.201835394,-0.300496836,-0.192010161,-0.225298667,-0.190741743,-0.156280598,-0.170064213,-0.066657395,-0.158641795,-0.441022168,-0.002053903,-0.421967364,-0.10773593,-0.192630939,-0.260838272,-0.205669969,-0.243664843,-0.233936094,-0.268827016,-0.091895883,-0.072628683,0.225458063,-0.265723925,-0.143287414,-0.14135274,-0.161960921,-0.211331002,0.029283286,-0.216327098,-0.067227155,-0.034662254
Risk premium,Basic Materials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Basic Materials,1.148,1.177,1.1355,0.9142,0.8659,0.8839,0.854,0.8107,0.7402,0.7181,0.741,0.826,0.8116,0.6868,0.6878,0.7574,0.7574,0.7659,0.6646,0.7042,0.6675,0.6676,0.6333,0.6327,0.6291,0.6327,0.6138,0.63,0.6539,0.6744,0.6625,0.7023,0.7434,0.7312,0.7231,0.6078,0.6204,0.6275,0.6007,0.5953,0.5943,0.6652,0.666,0.9492,0.9514,0.9072,1.041,1.0415,1.0548,1.0378,1.0121,0.7203,0.7979,0.779,0.8293,0.915,0.9336,0.8686,0.8999,0.7941,0.8638,0.9728,0.9195,0.9075,0.9922,1.0226,0.9158,0.8843,0.8762,0.823,0.8237,0.8358,0.8398,0.8126,0.782,1.0541,1.0515,1.007,0.8772,0.893,0.8344,1.1794,1.1708,1.0436,1.0941,1.7048,1.6042,1.514,1.4972,1.5456,1.3745,1.4644,1.276,1.6613,1.6807,1.6877,1.7263,1.3246,1.2209,1.2024,1.0651,1.0508,1.0192,1.0346,1.0313,0.9612,0.9555,0.9729,0.9602,0.6726,0.7857,0.7745,0.7669,0.7553,0.7837,0.8387,0.8565,0.2922,0.3074,0.2962,0.6417,0.6981,0.7781,0.7748,0.9514,0.9615,1.0604,1.0268,1.0374,1.0189,1.0186,1.0005,1.0565,0.9047,1.0239,1.0946,1.2536,1.3635,1.3423,1.319,1.2625,1.1635,1.1381,1.1032,1.3108,1.1033,0.9691,1.1171,1.0146,0.8888,0.8147,0.8048,0.9015,1.0447,0.9593,0.9212,
VO monthly avg,Basic Materials,55.3,40.83,48.2,37.83,8.8,140.39,106.54,33.24,20.78,29.63,7.12,40.63,53.44,11.78,135.49,58.22,155.33,34.51,8.14,41.53,64.15,41.7,19.91,53.4,17.9,41.16,38.38,10.02,10.8,12.58,27.42,8.55,35.07,7.73,16.2,40.98,49.12,40.26,52.69,27.12,36.39,27.43,18.74,49.7,77.78,38.26,62.66,98.16,52.72,61.79,268.46,107.29,152.38,107.74,203.63,194.67,365.91,201.29,193.29,244.43,94.49,197.44,169.51,132.83,54.96,282,241.4,153.41,135.92,138.43,87.66,84.2,104.87,133.52,120.65,127.46,98.5,84.7,114.77,127.27,65.05,51.68,47.43,36.07,30.93,38.6,190.72,139.94,78.18,154.9,367.23,148.34,65.13,193.88,74.24,50.99,45.6,37.78,47.77,60.79,48.5,59.68,42.87,57.25,56.87,83.86,62.73,98.31,83.4,168.63,52.82,58.74,85.08,156.87,133.48,67.92,67.96,92.19,18.41,88.76,24.34,125.01,21.55,109.21,94.66,43.57,84.26,43.87,41.86,19.77,28.77,7.03,16.51,4.09,5.18,15.64,4.84,33.01,9.79,5.44,3.15,2.94,3.27,1.93,2.13,25.01,17.47,28.09,11.97,16.38,13.73,10.36,13.18,7.23,12.67,5.85,18.42
Total assets,Basic Materials,4487946,3981072,3981072,3981072,3981072,3981072,3981072,3981072,3981072,3981072,3981072,3981072,3981072,3297672,3297672,3297672,3297672,3297672,3297672,3297672,3297672,3297672,3297672,3297672,3297672,3158654,3158654,3158654,3158654,3158654,3158654,3158654,3158654,3158654,3158654,3158654,3158654,3729000,3729000,3729000,3729000,3729000,3729000,3729000,3729000,3729000,3729000,3729000,3729000,3899000,3899000,3899000,3899000,3899000,3899000,3899000,3899000,3899000,3899000,3899000,3899000,4569000,4569000,4569000,4569000,4569000,4569000,4569000,4569000,4569000,4569000,4569000,4569000,4924000,4924000,4924000,4924000,4924000,4924000,4924000,4924000,4924000,4924000,4924000,4924000,5337000,5337000,5337000,5337000,5337000,5337000,5337000,5337000,5337000,5337000,5337000,5337000,4897000,4897000,4897000,4897000,4897000,4897000,4897000,4897000,4897000,4897000,4897000,4897000,4009000,4009000,4009000,4009000,4009000,4009000,4009000,4009000,4009000,4009000,4009000,4009000,4291000,4291000,4291000,4291000,4291000,4291000,4291000,4291000,4291000,4291000,4291000,4291000,3588000,3588000,3588000,3588000,3588000,3588000,3588000,3588000,3588000,3588000,3588000,3588000,3526000,3526000,3526000,3526000,3526000,3526000,3526000,3526000,3526000,3526000,3526000,3526000
Net sales,Basic Materials,4521895,4427501,4427501,4427501,4427501,4427501,4427501,4427501,4427501,4427501,4427501,4427501,4427501,4011745,4011745,4011745,4011745,4011745,4011745,4011745,4011745,4011745,4011745,4011745,4011745,3701996,3701996,3701996,3701996,3701996,3701996,3701996,3701996,3701996,3701996,3701996,3701996,5036000,5036000,5036000,5036000,5036000,5036000,5036000,5036000,5036000,5036000,5036000,5036000,7155000,7155000,7155000,7155000,7155000,7155000,7155000,7155000,7155000,7155000,7155000,7155000,6901000,6901000,6901000,6901000,6901000,6901000,6901000,6901000,6901000,6901000,6901000,6901000,7158000,7158000,7158000,7158000,7158000,7158000,7158000,7158000,7158000,7158000,7158000,7158000,9310000,9310000,9310000,9310000,9310000,9310000,9310000,9310000,9310000,9310000,9310000,9310000,4252000,4252000,4252000,4252000,4252000,4252000,4252000,4252000,4252000,4252000,4252000,4252000,5125000,5125000,5125000,5125000,5125000,5125000,5125000,5125000,5125000,5125000,5125000,5125000,5587000,5587000,5587000,5587000,5587000,5587000,5587000,5587000,5587000,5587000,5587000,5587000,4346000,4346000,4346000,4346000,4346000,4346000,4346000,4346000,4346000,4346000,4346000,4346000,5190000,5190000,5190000,5190000,5190000,5190000,5190000,5190000,5190000,5190000,5190000,5190000
common equity,Basic Materials,1899227,1407354,1407354,1407354,1407354,1407354,1407354,1407354,1407354,1407354,1407354,1407354,1407354,1649207,1649207,1649207,1649207,1649207,1649207,1649207,1649207,1649207,1649207,1649207,1649207,1629864,1629864,1629864,1629864,1629864,1629864,1629864,1629864,1629864,1629864,1629864,1629864,2337000,2337000,2337000,2337000,2337000,2337000,2337000,2337000,2337000,2337000,2337000,2337000,1325000,1325000,1325000,1325000,1325000,1325000,1325000,1325000,1325000,1325000,1325000,1325000,1871000,1871000,1871000,1871000,1871000,1871000,1871000,1871000,1871000,1871000,1871000,1871000,3379000,3379000,3379000,3379000,3379000,3379000,3379000,3379000,3379000,3379000,3379000,3379000,2842000,2842000,2842000,2842000,2842000,2842000,2842000,2842000,2842000,2842000,2842000,2842000,3074000,3074000,3074000,3074000,3074000,3074000,3074000,3074000,3074000,3074000,3074000,3074000,2510000,2510000,2510000,2510000,2510000,2510000,2510000,2510000,2510000,2510000,2510000,2510000,2620000,2620000,2620000,2620000,2620000,2620000,2620000,2620000,2620000,2620000,2620000,2620000,1738000,1738000,1738000,1738000,1738000,1738000,1738000,1738000,1738000,1738000,1738000,1738000,1461000,1461000,1461000,1461000,1461000,1461000,1461000,1461000,1461000,1461000,1461000,1461000
Turnover ratio,Basic Materials,0.06%,0.04%,0.05%,0.04%,0.01%,0.14%,0.11%,0.03%,0.02%,0.03%,0.01%,0.04%,0.05%,0.01%,0.14%,0.06%,0.16%,0.04%,0.01%,0.04%,0.07%,0.04%,0.02%,0.05%,0.02%,0.04%,0.04%,0.01%,0.01%,0.01%,0.03%,0.01%,0.04%,0.01%,0.02%,0.04%,0.05%,0.04%,0.05%,0.03%,0.04%,0.03%,0.02%,0.05%,0.08%,0.04%,0.06%,0.1%,0.05%,0.06%,0.27%,0.11%,0.15%,0.11%,0.21%,0.2%,0.37%,0.2%,0.19%,0.25%,0.1%,0.2%,0.17%,0.13%,0.06%,0.28%,0.24%,0.15%,0.14%,0.14%,0.09%,0.08%,0.11%,0.13%,0.12%,0.13%,0.1%,0.09%,0.12%,0.13%,0.07%,0.05%,0.05%,0.04%,0.03%,0.04%,0.19%,0.14%,0.08%,0.16%,0.37%,0.15%,0.07%,0.2%,0.07%,0.05%,0.05%,0.04%,0.05%,0.06%,0.05%,0.06%,0.04%,0.06%,0.06%,0.08%,0.06%,0.1%,0.08%,0.17%,0.05%,0.06%,0.09%,0.16%,0.13%,0.07%,0.07%,0.09%,0.02%,0.09%,0.02%,0.13%,0.02%,0.11%,0.1%,0.04%,0.08%,0.04%,0.04%,0.02%,0.03%,0.01%,0.02%,0%,0.01%,0.02%,0%,0.03%,0.01%,0.01%,0%,0%,0%,0%,0%,0.03%,0.02%,0.03%,0.01%,0.02%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.02%
Return monthly,Basic Materials,,0.077775887,-0.106541845,-0.054131845,0.083335558,0.076924972,0.021438214,-0.013999642,-0.120561576,0.008059516,0,0.08399959,0.180818874,0.062501251,0.01471558,0.110131095,-0.089470603,-0.011554853,-0.022803724,0.017344998,0,0.003533239,0.022782735,0.029414979,-0.008581185,-0.005175429,-0.029545781,-0.026877646,-0.123378227,0.111120742,-0.066678368,-0.007125394,0.00717653,0.057149424,0.043919987,-0.029121066,0.019989859,0.029425824,0.238094354,0.113728079,0.023248922,-0.159084327,0.04539691,0.021203636,0.451867384,0.073121711,0.220332602,0.333338475,0,0,0.198749465,0.003117054,0.198058617,0.207453386,-0.256508988,0.1066969,0.079118055,0.144676086,0.227184098,0.207567994,0.063419771,0.129717476,-0.055323911,0.055509842,-0.030104661,-0.187359388,0.041527346,-0.153220484,0.008401802,0.073169449,0.05,0.002886215,0.122156407,-0.039620013,0.088117576,0.027253789,0.16835433,0.007476688,0.00010665,0.099462705,-0.01222542,0.12376278,-0.0000887222,-0.030839077,0.027366172,-0.09734573,0.454706053,0.125421721,0.047967246,0.022856645,-0.012055156,-0.068687406,-0.060465836,0.025586516,-0.538461095,0.066498769,0,-0.193623932,0.371123857,0.003533176,-0.063380294,-0.052631381,0.015873236,0.062342669,0.117813155,-0.019737924,-0.12751608,-0.025693288,0.018316703,-0.040160705,0.090468547,0.182814872,0.052104679,-0.089286166,0.026144154,0.095540306,-0.08720839,0.08280128,0.035294637,-0.039772582,-0.011834486,0.047904873,0.077142833,-0.257719299,-0.200256547,0.01876466,-0.052630194,-0.157408436,-0.043953961,-0.082757967,-0.047619943,-0.013949098,-0.026154713,0.068788705,-0.015386095,-0.295312368,0.154472897,-0.263766864,0.04347897,-0.042083939,-0.115700772,-0.065419469,-0.105264543,-0.100584494,-0.120996616,0.041662017,0.053574617,0.355935363,-0.130004125,-0.011493014,-0.01162664,-0.029408521,-0.078786502,0.171049386,-0.075841198,0.069908445,-0.034662254
