me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Consumer Goods,50404,50404,50404,49743,49743,49743,49743,49743,49743,49743,49743,49743,49743,49743,49743,62491,62491,62491,62491,62491,62491,62491,62491,62491,62491,62491,62491,182053,182053,182053,182053,182053,182053,182053,182053,182053,182053,182053,182053,198986,198986,198986,198986,198986,198986,198986,198986,198986,198986,198986,198986,274886,274886,274886,274886,274886,274886,274886,274886,274886,274886,274886,274886,365080,365080,365080,365080,365080,365080,365080,365080,365080,365080,365080,365080,441214,441214,441214,441214,441214,441214,441214,441214,441214,441214,441214,441214,556158,556158,556158,556158,556158,556158,556158,556158,556158,556158,556158,556158,482111,482111,482111,482111,482111,482111,482111,482111,482111,482111,482111,482111,427910,427910,427910,427910,427910,427910,427910,427910,427910,427910,427910,427910,372211,372211,372211,372211,372211,372211,372211,372211,372211,372211,372211,372211,498792,498792,498792,498792,498792,498792,498792,498792,498792,498792,498792,498792,,,,,,,,,,
Excess return,Consumer Goods,,-0.15789434,-0.278977544,-0.228476549,-0.279034716,0.105886659,-0.129704805,-0.197528852,-0.129246587,-0.345655982,-0.105890044,-0.047587207,-0.205383828,-0.128923351,-0.123547849,-0.133349286,-0.248293461,-0.123000276,-0.087986901,-0.009779154,0.016596563,-0.289930271,0.145547016,-0.101961936,-0.197991662,-0.108275306,-0.176429225,-0.210491442,0.131194489,-0.171597667,-0.133965026,-0.147399525,-0.089085419,-0.161926681,0.387357794,-0.050455944,-0.091802474,-0.045729054,-0.174066519,0.023775064,-0.0029135,-0.11300431,-0.103515021,-0.114328071,-0.055623383,0.067382298,0.011992631,-0.032283106,-0.109108508,-0.093430187,-0.121104821,-0.220460236,-0.144540695,-0.1421096,-0.161748076,0.101856507,-0.121779924,0.066135651,-0.19230639,-0.053674991,-0.023208675,-0.048065782,-0.040972593,-0.103065364,-0.054799286,-0.264870897,-0.266682992,0.00394539,-0.113407897,-0.086973984,-0.15590245,-0.089400743,-0.066801417,0.022523406,-0.1299533,-0.136738252,-0.04281739,0.015763484,-0.203139242,-0.255570801,-0.151987418,-0.087706145,0.004751363,-0.117924059,-0.138126663,-0.323208846,-0.136546469,-0.237184715,-0.197793868,-0.04067623,-0.266043377,-0.129195835,0.000479073,-0.20679152,-0.210088544,-0.085553845,-0.064986184,-0.072597347,-0.206681893,-0.148382865,-0.022076923,-0.012820296,-0.146672768,-0.027549429,-0.164578774,-0.1407107,0.11903318,-0.260361048,-0.011067193,-0.08475204,-0.082324555,-0.103895892,-0.0242434,-0.076263025,-0.187392494,0.036010877,-0.120521791,0.08871237,-0.073459515,-0.115648102,-0.129275358,-0.290968845,-0.132610428,-0.164597308,-0.036101991,-0.094892361,-0.13505845,-0.106559613,-0.155902013,-0.211191282,-0.123578557,-0.114629209,-0.074761242,-0.113940867,-0.184754135,0.001066387,-0.064877378,-0.121071831,0.045383067,-0.087112631,-0.034158591,-0.042455956,-0.128141728,-0.077078275,-0.092047097,0.009166148,-0.019308097,-0.056135026,-0.085795197,-0.018137265,-0.1082305,-0.069275429,-0.122653195,-0.046723216,-0.106329137,-0.124211373,-0.010421181
Risk premium,Consumer Goods,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Consumer Goods,1.3161,1.2655,1.1937,0.933,0.9288,0.8574,0.8731,0.876,0.9533,0.9006,0.8912,0.806,0.794,0.7722,0.7792,0.7738,0.7726,0.7369,0.5939,0.5966,0.5933,0.5598,0.5432,0.5735,0.5622,0.5708,0.7081,0.6765,0.4789,0.456,0.4369,0.4335,0.2923,0.5808,0.6055,0.7102,0.7172,0.7283,0.7076,0.6851,0.6895,0.8254,0.8182,0.7139,0.7712,0.7975,0.7466,0.7472,0.7454,0.6572,0.5929,0.7518,0.9241,0.9192,1.0587,1.0479,1.0865,0.7601,0.8013,0.797,0.7324,0.7704,0.737,0.8343,0.9435,0.9913,0.9002,0.887,0.8261,0.8882,0.888,0.8933,0.8789,0.9094,0.8191,1.0021,0.9539,1.0128,0.9451,0.9634,0.7725,0.7373,0.7509,0.6525,0.9481,0.8567,0.9412,0.8085,0.8417,0.9736,0.9189,0.9066,0.8552,0.8459,0.8453,0.8127,0.7852,0.7989,0.7206,0.7386,0.7551,0.7674,0.7709,0.7615,0.7311,0.8089,0.7869,0.8102,0.7444,0.8153,0.7708,0.7945,0.7249,0.7394,0.7746,0.7716,0.8421,0.8145,0.8204,0.7918,0.8675,1.0073,1.0195,1.0256,1.0162,1.0212,1.0751,1.1121,1.1585,0.9006,0.8989,0.8561,0.8665,0.9122,0.8463,0.8728,0.944,0.9225,0.8672,0.8749,0.617,0.5381,0.5352,0.55,0.4352,0.4077,0.3916,0.3933,0.479,0.4849,0.4735,0.4618,0.3375,0.3715,0.4092,0.4159,
VO monthly avg,Consumer Goods,29.3,8.7,4.83,20.71,26.61,17.06,6.79,5.79,20.45,19.86,16.81,88.8,28.34,43.38,7.79,2.99,7.94,14.87,3.63,6,107.87,2.75,5.42,3.89,1.79,6.19,5.41,4.1,2.07,2.36,58.47,8.54,23.98,19.4,93.1,43.4,60.79,57.37,59.04,36.73,64.73,145.36,71.1,56.54,120.62,151.92,128.82,63.2,41.02,63.67,45.35,50.78,45.27,128.16,42.49,61.41,178.53,41.55,89.39,150.7,106.78,84.38,77.11,48.11,73.31,110.86,107.36,117.05,213.17,69.72,57.4,57.25,88.13,102.38,93.2,371.24,19.36,157.48,113.77,132.5,89.74,185.63,96.36,189.37,71.72,141.7,58.74,57.42,47.65,56.14,77.07,84.91,38.64,54.78,70.13,29.03,38.26,39.31,44.87,31.57,29.91,25.05,30.26,23.18,68.88,57.24,97.72,46.93,61.34,51.55,25.1,52.63,18.29,28.85,28.73,106.26,35.91,37.43,55.08,96.25,32.45,50.09,87.78,78.12,44.56,57.43,72.98,118.16,49.25,23.75,45.79,38.55,28.26,90.18,57.04,45.04,16.32,23.45,122.59,62.94,66.65,87.63,55.29,43.52,43.85,84.35,96.79,76.97,160.63,216.33,287.35,104.54,43.74,74.04,115.43,93.71,92.15
Total assets,Consumer Goods,114369,114369,114369,125402,125402,125402,125402,125402,125402,125402,125402,125402,125402,125402,125402,143935,143935,143935,143935,143935,143935,143935,143935,143935,143935,143935,143935,319975,319975,319975,319975,319975,319975,319975,319975,319975,319975,319975,319975,368447,368447,368447,368447,368447,368447,368447,368447,368447,368447,368447,368447,523120,523120,523120,523120,523120,523120,523120,523120,523120,523120,523120,523120,668560,668560,668560,668560,668560,668560,668560,668560,668560,668560,668560,668560,849525,849525,849525,849525,849525,849525,849525,849525,849525,849525,849525,849525,1048449,1048449,1048449,1048449,1048449,1048449,1048449,1048449,1048449,1048449,1048449,1048449,1066037,1066037,1066037,1066037,1066037,1066037,1066037,1066037,1066037,1066037,1066037,1066037,1136504,1136504,1136504,1136504,1136504,1136504,1136504,1136504,1136504,1136504,1136504,1136504,1212581,1212581,1212581,1212581,1212581,1212581,1212581,1212581,1212581,1212581,1212581,1212581,1498880,1498880,1498880,1498880,1498880,1498880,1498880,1498880,1498880,1498880,1498880,1498880,,,,,,,,,,
Net sales,Consumer Goods,235534,235534,235534,253865,253865,253865,253865,253865,253865,253865,253865,253865,253865,253865,253865,291063,291063,291063,291063,291063,291063,291063,291063,291063,291063,291063,291063,362988,362988,362988,362988,362988,362988,362988,362988,362988,362988,362988,362988,464727,464727,464727,464727,464727,464727,464727,464727,464727,464727,464727,464727,669178,669178,669178,669178,669178,669178,669178,669178,669178,669178,669178,669178,872151,872151,872151,872151,872151,872151,872151,872151,872151,872151,872151,872151,1190301,1190301,1190301,1190301,1190301,1190301,1190301,1190301,1190301,1190301,1190301,1190301,1549244,1549244,1549244,1549244,1549244,1549244,1549244,1549244,1549244,1549244,1549244,1549244,1674330,1674330,1674330,1674330,1674330,1674330,1674330,1674330,1674330,1674330,1674330,1674330,1878036,1878036,1878036,1878036,1878036,1878036,1878036,1878036,1878036,1878036,1878036,1878036,2155615,2155615,2155615,2155615,2155615,2155615,2155615,2155615,2155615,2155615,2155615,2155615,2516287,2516287,2516287,2516287,2516287,2516287,2516287,2516287,2516287,2516287,2516287,2516287,,,,,,,,,,
common equity,Consumer Goods,63821,63821,63821,75516,75516,75516,75516,75516,75516,75516,75516,75516,75516,75516,75516,81301,81301,81301,81301,81301,81301,81301,81301,81301,81301,81301,81301,137779,137779,137779,137779,137779,137779,137779,137779,137779,137779,137779,137779,169461,169461,169461,169461,169461,169461,169461,169461,169461,169461,169461,169461,248234,248234,248234,248234,248234,248234,248234,248234,248234,248234,248234,248234,303480,303480,303480,303480,303480,303480,303480,303480,303480,303480,303480,303480,405872,405872,405872,405872,405872,405872,405872,405872,405872,405872,405872,405872,492279,492279,492279,492279,492279,492279,492279,492279,492279,492279,492279,492279,583641,583641,583641,583641,583641,583641,583641,583641,583641,583641,583641,583641,703674,703674,703674,703674,703674,703674,703674,703674,703674,703674,703674,703674,834792,834792,834792,834792,834792,834792,834792,834792,834792,834792,834792,834792,991743,991743,991743,991743,991743,991743,991743,991743,991743,991743,991743,991743,,,,,,,,,,
Turnover ratio,Consumer Goods,0.05%,0.01%,0.01%,0.03%,0.04%,0.03%,0.01%,0.01%,0.03%,0.03%,0.03%,0.14%,0.04%,0.07%,0.01%,0%,0.01%,0.02%,0.01%,0.01%,0.17%,0%,0.01%,0.01%,0%,0.01%,0.01%,0.01%,0%,0%,0.09%,0.01%,0.04%,0.03%,0.14%,0.07%,0.07%,0.07%,0.07%,0.04%,0.07%,0.17%,0.08%,0.06%,0.14%,0.17%,0.15%,0.07%,0.05%,0.07%,0.05%,0.06%,0.05%,0.15%,0.05%,0.07%,0.2%,0.05%,0.1%,0.17%,0.12%,0.1%,0.09%,0.05%,0.08%,0.13%,0.12%,0.13%,0.24%,0.08%,0.07%,0.07%,0.1%,0.12%,0.11%,0.42%,0.02%,0.18%,0.13%,0.15%,0.1%,0.21%,0.11%,0.22%,0.08%,0.16%,0.07%,0.07%,0.05%,0.06%,0.09%,0.1%,0.04%,0.06%,0.08%,0.03%,0.04%,0.04%,0.05%,0.04%,0.03%,0.03%,0.03%,0.03%,0.08%,0.07%,0.11%,0.05%,0.06%,0.05%,0.03%,0.06%,0.02%,0.03%,0.03%,0.11%,0.04%,0.04%,0.06%,0.1%,0.03%,0.05%,0.09%,0.08%,0.05%,0.06%,0.08%,0.12%,0.05%,0.02%,0.05%,0.04%,0.03%,0.09%,0.06%,0.05%,0.02%,0.02%,0.13%,0.06%,0.07%,0.09%,0.06%,0.04%,0.04%,0.09%,0.1%,0.08%,0.16%,0.22%,0.29%,0.11%,0.04%,0.07%,0.12%,0.09%,0.09%
Return monthly,Consumer Goods,,0.04543216,-0.086974444,-0.047597549,-0.100020316,0.277802859,0.033800495,-0.036340852,0.037711313,-0.181818182,0.055555556,0.105790793,-0.039961828,0.041625249,0.050041751,0.047600114,-0.081819661,0.039624424,0.066628799,0.138406646,0.166674463,-0.142862871,0.291668616,0.038968564,-0.058073062,0.027385094,-0.033318925,-0.068971942,0.259265189,-0.047069667,-0.012340326,-0.024989025,0.025629481,-0.031236281,0.516104294,0.086586656,0.044181126,0.096153846,-0.035087719,0.163636364,0.140625,0.04109589,0.052631579,0.035247629,0.097562217,0.222224798,0.163628431,0.101690494,0.018651692,0.028173413,-0.006852121,-0.086896836,-0.003022395,0,-0.015149976,0.246874207,0.027569576,0.195121951,-0.06122449,0.074136009,0.097432525,0.074769418,0.078258407,0.024195536,0.078741214,-0.124818997,-0.124270392,0.14562639,0.025316403,0.049382616,-0.01960845,0.045477157,0.066719283,0.156365606,0,0.003144048,0.09717831,0.164569884,-0.057897942,-0.108826601,-0.020769918,0.039393755,0.137608063,0.008933441,0.007753637,-0.179486746,0.014999131,-0.091749215,-0.044066768,0.12766057,-0.116352677,0.019119965,0.142856673,-0.06249982,-0.073334644,0.038896255,0.063831416,0.063333353,-0.075234093,-0.016951065,0.113794377,0.125075904,-0.009356068,0.107475071,-0.030769474,0,0.25925788,-0.118868448,0.126280007,0.05411186,0.051335845,0.030857608,0.1083753,0.058119175,-0.056542694,0.163871677,0.012030509,0.21842587,0.060975685,0.015585298,0.011727142,-0.140908945,0.018518072,-0.015584508,0.110818609,0.053443239,0.01507285,0.041902687,-0.000216513,-0.076103482,0.012002143,0.018605091,0.057178258,0.021977733,-0.052687235,0.132802787,0.072144622,0.009345669,0.166666667,0.035456069,0.070312409,0.058394344,-0.027724128,0.021421725,0.000620503,0.098901248,0.070512703,0.028742874,0.016181803,0.088211435,0,0.041667971,-0.025640695,0.052631284,-0.000499537,-0.018909673,-0.010421181
