me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Technology,155708,155708,155708,155708,155708,155708,155708,155708,155708,155708,155708,155708,155708,223968,223968,223968,223968,223968,223968,223968,223968,223968,223968,223968,223968,109451,109451,109451,109451,109451,109451,109451,109451,109451,109451,109451,109451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excess return,Technology,,0.095699231,-0.171038742,-0.310494236,-0.316105949,0.367060307,0.020333886,-0.297565293,-0.170009084,-0.431656183,-0.630467709,0.269809973,-0.008952066,-0.068740189,-0.403577384,-0.382987426,0.408867354,-0.455882195,-0.457219271,-0.424852954,-0.439439795,-0.576178035,-0.243037354,-0.336452161,-0.585107276,0.230874597,-0.329262362,-0.523775286,-0.697836067,0.294588842,-0.366893555,-0.2043861,-0.022065549,-0.53704608,-0.4358749,-0.1702751,-0.515691233,0.3075785,-0.527021333,-0.479976163,0.8157761,-0.1946596,-0.6976888,-0.1958933,-0.1952381,-0.1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risk premium,Technology,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Technology,0.9797,0.9997,1.0077,0.9704,1.1213,0.9939,1.0059,0.9935,1.1186,0.951,1.1927,1.3041,1.285,1.1631,1.1655,0.9928,0.9995,1.1683,1.2322,1.2201,1.3052,1.305,1.3247,1.2928,1.095,1.1107,1.3931,1.447,1.5999,1.6855,1.6785,1.7347,2.005,1.7641,1.5123,1.2377,1.4533,1.5305,1.576,1.3001,1.3353,1.4692,1.4776,1.4491,1.4387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VO monthly avg,Technology,43.7,673.26,641.63,399.87,219.37,736.22,1414.32,643.06,589.9,473.23,701.46,2651,1222.24,2159.01,966.57,496.79,1686.44,846.37,937.03,797.3,495.12,776.02,691.59,1105.68,657.9,678.74,199.83,380.22,231.63,517.55,357.02,490.19,181.23,154.13,589.9,283.99,413.72,326.54,943.27,315.95,625.15,181.56,351.87,318.87,470.57,86.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total assets,Technology,610112,610112,610112,610112,610112,610112,610112,610112,610112,610112,610112,610112,610112,260623,260623,260623,260623,260623,260623,260623,260623,260623,260623,260623,260623,63030,63030,63030,63030,63030,63030,63030,63030,63030,63030,63030,63030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net sales,Technology,407413,407413,407413,407413,407413,407413,407413,407413,407413,407413,407413,407413,407413,347903,347903,347903,347903,347903,347903,347903,347903,347903,347903,347903,347903,192584,192584,192584,192584,192584,192584,192584,192584,192584,192584,192584,192584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
common equity,Technology,425798,425798,425798,425798,425798,425798,425798,425798,425798,425798,425798,425798,425798,36655,36655,36655,36655,36655,36655,36655,36655,36655,36655,36655,36655,-46421,-46421,-46421,-46421,-46421,-46421,-46421,-46421,-46421,-46421,-46421,-46421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnover ratio,Technology,0.01%,0.17%,0.16%,0.1%,0.06%,0.19%,0.36%,0.16%,0.15%,0.12%,0.17%,0.65%,0.3%,0.53%,0.24%,0.12%,0.39%,0.19%,0.21%,0.18%,0.11%,0.18%,0.16%,0.25%,0.15%,0.15%,0.05%,0.09%,0.05%,0.12%,0.08%,0.11%,0.04%,0.03%,0.13%,0.06%,0.09%,0.07%,0.21%,0.01%,0.02%,0.01%,0.01%,0.01%,0.02%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Technology,,0.282280331,0.009246358,-0.127259036,-0.124964049,0.547576007,0.192205586,-0.128974793,0.007362716,-0.264643183,-0.450027609,0.454568273,0.187402934,0.126435111,-0.205650884,-0.188241026,0.589635854,-0.266079295,-0.262390671,-0.237386654,-0.244512195,-0.382163035,-0.047681254,-0.150205761,-0.411622276,0.400548697,-0.142997062,-0.333714286,-0.499142367,0.496575342,-0.167048055,0,0.200549451,-0.33180778,-0.25,0,-0.333333333,0.5,-0.333333333,-0.301369863,1,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
