me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Industrials,1068461,1187347,1187347,1187347,1187347,1187347,1187347,1187347,1187347,1187347,1187347,1187347,1187347,1379930,1379930,1379930,1379930,1379930,1379930,1379930,1379930,1379930,1379930,1379930,1379930,1471393,1471393,1471393,1471393,1471393,1471393,1471393,1471393,1471393,1471393,1471393,1471393,1736388,1736388,1736388,1736388,1736388,1736388,1736388,1736388,1736388,1736388,1736388,1736388,2965335,2965335,2965335,2965335,2965335,2965335,2965335,2965335,2965335,2965335,2965335,2965335,4377364,4377364,4377364,4377364,4377364,4377364,4377364,4377364,4377364,4377364,4377364,4377364,6351016,6351016,6351016,6351016,6351016,6351016,6351016,6351016,6351016,6351016,6351016,6351016,7049212,7049212,7049212,7049212,7049212,7049212,7049212,7049212,7049212,7049212,7049212,7049212,6635885,6635885,6635885,6635885,6635885,6635885,6635885,6635885,6635885,6635885,6635885,6635885,8101821,8101821,8101821,8101821,8101821,8101821,8101821,8101821,8101821,8101821,8101821,8101821,11029794,11029794,11029794,11029794,11029794,11029794,11029794,11029794,11029794,11029794,11029794,11029794,11725177,11725177,11725177,11725177,11725177,11725177,11725177,11725177,11725177,11725177,11725177,11725177,16189688,16189688,16189688,16189688,16189688,16189688,16189688,16189688,16189688,16189688,16189688,16189688
Excess return,Industrials,,-0.119222539,-0.219118486,-0.029474438,-0.104989875,-0.129980381,-0.193204395,-0.211057347,0.13556875,-0.1498644,-0.056948964,-0.103614431,-0.0244427,-0.048978055,-0.059103242,-0.19522251,-0.180751964,-0.230796727,-0.177892834,-0.111430359,-0.018226185,-0.166268859,-0.095629425,-0.068034753,-0.140634618,-0.24126778,-0.052560567,-0.161600742,-0.195232369,-0.130074943,-0.126558202,-0.090169146,0.075770543,-0.047012407,0.089048866,0.001816294,-0.141987204,0.034030156,0.145559805,0.044026941,-0.165901852,-0.213132216,-0.090659912,0.023999769,-0.145849761,0.020619369,-0.049027365,0.157835186,-0.1247173,-0.099402436,0.033933796,-0.171903893,-0.243068915,0.046297096,-0.219636457,-0.067847622,0.008722023,-0.095043169,-0.1092775,-0.104707928,-0.066049619,-0.041615841,-0.151988392,-0.137611409,-0.150651904,-0.238630097,-0.18266176,-0.119715463,-0.091083627,-0.025029252,-0.101672452,-0.135589798,-0.087568446,-0.044699282,-0.123470988,-0.108270475,0.044360984,0.055704501,-0.178647011,-0.047772861,-0.087159015,-0.066166166,-0.156264712,-0.158778386,-0.190937809,-0.309759322,0.03506007,-0.244473851,-0.009332106,-0.162172768,-0.180626789,-0.260563995,-0.132444656,-0.448865071,-0.388634549,-0.24491716,0.012347154,-0.300414421,-0.179093712,-0.190880243,-0.010735071,-0.046587081,-0.252467708,-0.070885698,-0.060119605,-0.220490682,-0.03416737,-0.180576912,-0.168874916,-0.315684653,-0.181202961,-0.093785898,-0.087499316,-0.238787131,-0.204805709,-0.073426598,-0.131997471,-0.031924349,-0.12641233,-0.077622976,-0.09683053,-0.311416301,-0.208259056,-0.17611346,-0.170456029,-0.17844627,-0.17955049,-0.154864087,-0.091981514,-0.090645062,-0.131651401,-0.120529772,-0.207177255,-0.06258846,-0.125184978,-0.114571765,-0.098593776,-0.1969711,-0.178552587,-0.162086153,0.031558718,-0.14912494,-0.071518517,-0.0763619,-0.084973895,-0.059658788,-0.03186982,0.028263349,-0.177235338,-0.044631372,-0.075459003,-0.032098612,-0.104554941,-0.049195888,-0.159767667,-0.047563034,0.08015383
Risk premium,Industrials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Industrials,0.6568,0.7103,0.6318,0.6467,0.487,0.6582,0.6637,0.7207,0.6875,0.6788,0.6387,0.755,0.7429,0.6409,0.6328,0.7349,0.7348,0.7427,0.6749,0.6015,0.6108,0.6087,0.6526,0.6468,0.6877,0.6596,0.7829,0.7925,0.697,0.6721,0.6672,0.6514,0.6359,0.7256,0.7683,0.6981,0.7461,0.7372,0.7264,0.7423,0.7407,0.7945,0.8095,0.6765,0.7122,0.7027,0.7915,0.7924,0.6971,0.7468,0.7038,0.7708,1.093,1.0834,1.076,1.0714,0.9253,0.8408,0.9636,0.9092,0.9285,1.0374,0.9735,0.9494,0.9899,1.0529,1.1406,1.1378,1.094,1.0132,1.0139,1.0126,1.0075,0.9698,0.9024,0.6323,0.5766,0.6387,0.6238,0.6162,0.7014,0.699,0.7407,0.7428,0.9636,1.1404,1.2811,1.3046,1.2924,1.2686,1.2602,1.2673,1.4281,1.4553,1.4548,1.4777,1.4976,1.3971,1.2155,1.2386,1.1957,1.1955,1.1742,1.1854,1.2112,1.2322,1.2298,1.2281,1.227,1.1848,1.1563,1.1198,1.1388,1.1384,1.1496,1.0034,1.0093,0.8968,0.882,0.8839,0.9948,1.1813,1.1869,1.2007,1.165,1.1517,1.1536,1.0999,1.0069,0.8365,0.8377,0.8661,0.8076,0.814,0.8008,0.8219,0.8179,0.7948,0.7945,0.832,0.7657,0.8224,0.8366,0.8173,0.7135,0.6714,0.639,0.6968,0.7212,0.6113,0.6558,0.654,0.7205,0.8246,0.7749,0.6825,
VO monthly avg,Industrials,0,18.92,8.37,96.68,490.72,140.27,53.06,56.46,24.34,35.12,412.25,28.63,98.1,17.3,32.91,19.3,703.86,4.49,11.73,13.02,23.09,14.72,10.24,21.72,13.68,8.27,4.47,14.81,8.56,138.77,32.89,0.05,50.11,15.8,26.14,2400.47,17.22,21.66,223.47,1524.65,837.12,580.34,805.11,977.37,536.72,743.29,865.96,972.82,675.3,629.75,493.62,623.1,684.18,777.49,1020.37,1051.96,2060.48,1314.54,798.21,973.92,560.74,565.4,1096.2,1189,1471.05,1042.47,1470.29,818.23,744.6,822.92,855.43,886.7,811.5,818.85,1095.74,890.78,768.4,1472.97,1180.39,1215.19,823.35,3423.17,1236.75,1209.77,659.88,858.91,1014.74,1130.61,1016.25,1171.66,1208.26,1322.1,1372.12,1728.59,2376.82,1614.75,1138.16,1539.1,1066.65,936.54,1157.49,1135.71,1259.77,1100.11,2298.91,1030.52,1542.72,1022.59,757.52,1077.58,1561.87,1292.38,1287.94,1211.84,1156.28,690.22,1328.43,802.69,677.15,922.54,406.06,930.48,1057.24,857.62,569.7,1156.9,1102.54,1122.42,907.41,642.96,775.65,1220.97,799.39,729.08,480.91,626.22,296.24,434.28,1084.3,500.9,462.5,668.05,598.74,447.29,582.11,630.12,746.03,912.39,996.79,482.87,702.39,398.55,358.52,697.14,707.31,568.05,549.34
Total assets,Industrials,1641265,1933936,1933936,1933936,1933936,1933936,1933936,1933936,1933936,1933936,1933936,1933936,1933936,1917593,1917593,1917593,1917593,1917593,1917593,1917593,1917593,1917593,1917593,1917593,1917593,2093750,2093750,2093750,2093750,2093750,2093750,2093750,2093750,2093750,2093750,2093750,2093750,2592108,2592108,2592108,2592108,2592108,2592108,2592108,2592108,2592108,2592108,2592108,2592108,4909287,4909287,4909287,4909287,4909287,4909287,4909287,4909287,4909287,4909287,4909287,4909287,7200152,7200152,7200152,7200152,7200152,7200152,7200152,7200152,7200152,7200152,7200152,7200152,9789991,9789991,9789991,9789991,9789991,9789991,9789991,9789991,9789991,9789991,9789991,9789991,13824223,13824223,13824223,13824223,13824223,13824223,13824223,13824223,13824223,13824223,13824223,13824223,12472011,12472011,12472011,12472011,12472011,12472011,12472011,12472011,12472011,12472011,12472011,12472011,14072536,14072536,14072536,14072536,14072536,14072536,14072536,14072536,14072536,14072536,14072536,14072536,20340899,20340899,20340899,20340899,20340899,20340899,20340899,20340899,20340899,20340899,20340899,20340899,21966066,21966066,21966066,21966066,21966066,21966066,21966066,21966066,21966066,21966066,21966066,21966066,28322355,28322355,28322355,28322355,28322355,28322355,28322355,28322355,28322355,28322355,28322355,28322355
Net sales,Industrials,1474451,1761776,1761776,1761776,1761776,1761776,1761776,1761776,1761776,1761776,1761776,1761776,1761776,2163594,2163594,2163594,2163594,2163594,2163594,2163594,2163594,2163594,2163594,2163594,2163594,1976418,1976418,1976418,1976418,1976418,1976418,1976418,1976418,1976418,1976418,1976418,1976418,3012454,3012454,3012454,3012454,3012454,3012454,3012454,3012454,3012454,3012454,3012454,3012454,7449145,7449145,7449145,7449145,7449145,7449145,7449145,7449145,7449145,7449145,7449145,7449145,12507237,12507237,12507237,12507237,12507237,12507237,12507237,12507237,12507237,12507237,12507237,12507237,17077359,17077359,17077359,17077359,17077359,17077359,17077359,17077359,17077359,17077359,17077359,17077359,33736910,33736910,33736910,33736910,33736910,33736910,33736910,33736910,33736910,33736910,33736910,33736910,27692041,27692041,27692041,27692041,27692041,27692041,27692041,27692041,27692041,27692041,27692041,27692041,30202885,30202885,30202885,30202885,30202885,30202885,30202885,30202885,30202885,30202885,30202885,30202885,35885258,35885258,35885258,35885258,35885258,35885258,35885258,35885258,35885258,35885258,35885258,35885258,27262223,27262223,27262223,27262223,27262223,27262223,27262223,27262223,27262223,27262223,27262223,27262223,15662026,15662026,15662026,15662026,15662026,15662026,15662026,15662026,15662026,15662026,15662026,15662026
common equity,Industrials,535058,719588,719588,719588,719588,719588,719588,719588,719588,719588,719588,719588,719588,521499,521499,521499,521499,521499,521499,521499,521499,521499,521499,521499,521499,608952,608952,608952,608952,608952,608952,608952,608952,608952,608952,608952,608952,842800,842800,842800,842800,842800,842800,842800,842800,842800,842800,842800,842800,1937197,1937197,1937197,1937197,1937197,1937197,1937197,1937197,1937197,1937197,1937197,1937197,2824541,2824541,2824541,2824541,2824541,2824541,2824541,2824541,2824541,2824541,2824541,2824541,3378330,3378330,3378330,3378330,3378330,3378330,3378330,3378330,3378330,3378330,3378330,3378330,6712694,6712694,6712694,6712694,6712694,6712694,6712694,6712694,6712694,6712694,6712694,6712694,5737978,5737978,5737978,5737978,5737978,5737978,5737978,5737978,5737978,5737978,5737978,5737978,5856859,5856859,5856859,5856859,5856859,5856859,5856859,5856859,5856859,5856859,5856859,5856859,9216767,9216767,9216767,9216767,9216767,9216767,9216767,9216767,9216767,9216767,9216767,9216767,10114354,10114354,10114354,10114354,10114354,10114354,10114354,10114354,10114354,10114354,10114354,10114354,12036426,12036426,12036426,12036426,12036426,12036426,12036426,12036426,12036426,12036426,12036426,12036426
Turnover ratio,Industrials,0%,0.05%,0.02%,0.23%,1.18%,0.34%,0.13%,0.14%,0.06%,0.08%,0.99%,0.07%,0.24%,0.04%,0.08%,0.05%,1.69%,0.01%,0.03%,0.03%,0.06%,0.04%,0.02%,0.05%,0.03%,0.02%,0.01%,0.04%,0.02%,0.33%,0.08%,0%,0.12%,0.04%,0.06%,5.76%,0.04%,0.06%,0.26%,1.72%,0.95%,0.65%,0.9%,1.09%,0.6%,0.83%,0.97%,1.08%,0.74%,0.69%,0.54%,0.68%,0.75%,0.85%,1.11%,1.15%,2.24%,1.43%,0.87%,0.21%,0.12%,0.12%,0.24%,0.26%,0.32%,0.22%,0.32%,0.18%,0.16%,0.18%,0.18%,0.19%,0.17%,0.17%,0.23%,0.19%,0.16%,0.31%,0.25%,0.26%,0.17%,0.72%,0.26%,0.26%,0.14%,0.18%,0.21%,0.24%,0.21%,0.25%,0.25%,0.28%,0.29%,0.36%,0.5%,0.34%,0.24%,0.32%,0.22%,0.2%,0.24%,0.24%,0.27%,0.24%,0.5%,0.22%,0.33%,0.22%,0.16%,0.23%,0.34%,0.28%,0.28%,0.26%,0.25%,0.15%,0.29%,0.17%,0.15%,0.2%,0.09%,0.2%,0.23%,0.18%,0.12%,0.25%,0.24%,0.24%,0.2%,0.14%,0.13%,0.2%,0.13%,0.12%,0.08%,0.1%,0.05%,0.07%,0.18%,0.08%,0.08%,0.11%,0.1%,0.07%,0.1%,0.11%,0.12%,0.15%,0.16%,0.08%,0.12%,0.07%,0.06%,0.12%,0.12%,0.09%,0.09%
Return monthly,Industrials,,0.049126361,-0.062515086,0.133367662,0.046191125,0.029386219,-0.042891295,-0.059653247,0.28578125,0,0.088589136,0.046550569,0.13776,0.113298645,0.105263158,-0.01672381,-0.016659564,-0.067806627,-0.018174134,0.037064141,0.132954215,-0.016120759,0.057384375,0.077513647,0.007190482,-0.10001298,0.095262133,-0.012773242,-0.053421369,0.008067357,0.009575398,0.045969054,0.212132243,0.092800393,0.228051766,0.138096594,-0.004182904,0.176473756,0.285723005,0.187491841,-0.019137752,-0.060978716,0.064938588,0.171219269,0.003618839,0.169489469,0.105437135,0.294656386,0,0.027845964,0.155173196,-0.037143493,-0.090909915,0.198751296,-0.071948457,0.078650578,0.147915923,0.039027231,0.0320293,0.030171672,0.066945881,0.098040359,-0.017857892,-0.003099209,-0.014188204,-0.094697397,-0.02510396,0.037765937,0.064518373,0.119202348,0.042553248,0.006804002,0.054054054,0.092948118,0.011730212,0.008314425,0.160586784,0.180942601,-0.053647611,0.077097739,0.039579185,0.058520834,-0.024050612,-0.026231986,-0.044081009,-0.148164122,0.20801937,-0.067784051,0.172789094,0.024749032,-0.009434189,-0.089524095,0.046025644,-0.266181171,-0.213482149,-0.07857206,0.186045954,-0.126797121,-0.016467212,-0.027948443,0.152894029,0.118279419,-0.089743108,0.090844502,0.103935995,-0.053112082,0.13396003,-0.012756612,-0.001123916,-0.153542253,-0.023256061,0.061461502,0.071195084,-0.079267931,-0.050330909,0.069037602,0.011088429,0.102974051,0.01190367,0.059412724,0.05219187,-0.150394401,-0.046584356,-0.01606936,-0.014161029,-0.02188917,-0.02447369,-0.007170387,0.054153186,0.040404438,0.0000736989,0.013334528,-0.078948455,0.06714354,0.004015422,0.013957935,0.030483924,-0.0745987,-0.061849087,-0.042220153,0.145397818,-0.03036374,0.047887283,0.038978,0.025226605,0.046689412,0.07353718,0.132261749,-0.059999738,0.069680528,0.044256397,0.090953388,0.016586559,0.078703912,-0.030898967,0.074534466,0.08015383
