me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Fincials,85361,85361,85361,85361,1880807,1880807,1880807,1880807,1880807,1880807,1880807,1880807,1880807,1880807,1880807,1880807,1880807,1880807,1880807,5406487,5406487,5406487,5406487,5406487,5406487,5406487,5406487,5406487,5406487,5406487,5406487,6811433,6811433,6811433,6811433,6811433,6811433,6811433,6811433,6811433,6811433,6811433,6811433,9609175,9609175,9609175,9609175,9609175,9609175,9609175,9609175,9609175,9609175,9609175,9609175,15505222,15505222,15505222,15505222,15505222,15505222,15505222,15505222,15505222,15505222,15505222,15505222,22903000,22903000,22903000,22903000,22903000,22903000,22903000,22903000,22903000,22903000,22903000,22903000,29156000,29156000,29156000,29156000,29156000,29156000,29156000,29156000,29156000,29156000,29156000,29156000,30929000,30929000,30929000,30929000,30929000,30929000,30929000,30929000,30929000,30929000,30929000,30929000,35645000,35645000,35645000,35645000,35645000,35645000,35645000,35645000,35645000,35645000,35645000,35645000,45933000,45933000,45933000,45933000,45933000,45933000,45933000,45933000,45933000,45933000,45933000,45933000,52712000,52712000,52712000,52712000,52712000,52712000,52712000,52712000,52712000,52712000,52712000,52712000,61461000,61461000,61461000,61461000,61461000,61461000,61461000,61461000,61461000,61461000,61461000,61461000,,,,,,
Excess return,Fincials,,-0.195889394,-0.1445074,-0.1404645,-0.029303592,0.038393529,-0.049035156,-0.169547115,-0.115611352,-0.181332683,-0.108754834,-0.108389482,-0.272897577,-0.146344,-0.183488651,-0.069924113,-0.083006008,-0.032755431,-0.214489225,-0.149177614,-0.118290355,-0.110029092,-0.034010732,-0.100823916,-0.100522671,-0.076951705,-0.073947172,-0.0735696,-0.178807373,-0.105144689,-0.007764534,-0.099937178,-0.157454086,-0.119255728,0.052117522,-0.180679601,-0.091980481,-0.139992869,-0.101766315,-0.148542278,-0.078757214,-0.131206,-0.150266815,-0.100453906,-0.086755319,-0.121521413,-0.136394251,0.107504772,-0.109438974,-0.090742748,-0.037757577,-0.140661191,-0.102936345,-0.110719796,-0.088760894,-0.094433804,-0.05368926,-0.093737513,-0.130294446,-0.118488191,-0.010273156,-0.036607899,-0.021757946,-0.027806286,-0.138853304,-0.205998052,-0.243515821,-0.148430529,-0.005487112,-0.164513903,0.01523515,-0.092255001,-0.121191129,-0.004203627,-0.038888096,-0.096168201,-0.050125919,-0.156853419,-0.167909695,-0.069714355,-0.153905329,-0.053543884,-0.125116595,-0.153806215,-0.167743212,-0.247372361,-0.107450603,-0.171824034,-0.214827088,-0.216398914,-0.206735579,0.06963115,-0.023156408,-0.13549092,-0.166929339,0.063899377,-0.111032187,-0.152429643,-0.191065942,-0.10831339,-0.07806245,-0.162198605,-0.156364777,-0.069301153,-0.105150511,-0.098154844,-0.090463792,-0.12187843,-0.111517412,-0.13641524,-0.048857019,-0.056697367,-0.082579628,-0.119742119,-0.093328257,-0.044273596,-0.098497858,-0.054579578,-0.10382919,-0.106136809,-0.068678595,-0.178639564,-0.131527254,-0.056897225,-0.064987593,-0.126026534,-0.105624735,-0.107782864,-0.079973079,-0.154475391,-0.076749843,-0.120328785,-0.107873462,-0.047023923,-0.08828242,-0.113868277,-0.071672336,-0.133087165,-0.004756248,-0.012768537,-0.042346217,-0.187725145,-0.170258697,-0.078485964,-0.1141569,-0.081535045,-0.025488548,-0.086090253,0.004784272,-0.230632901,-0.051846371,-0.151979721,-0.125451719,-0.004431349,-0.048424618,-0.131277503,0.009980943
Risk premium,Fincials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Fincials,0.5191,0.4426,0.4398,0.2915,0.2135,0.2479,0.3011,0.2869,0.3344,0.384,0.3902,0.4181,0.4169,0.388,0.3832,0.3833,0.381,0.4384,0.4344,0.44,0.435,0.423,0.4091,0.4142,0.3984,0.387,0.3264,0.3356,0.3193,0.2951,0.2987,0.2951,0.2435,0.3421,0.3411,0.482,0.4672,0.4933,0.5072,0.4964,0.4821,0.462,0.4647,0.4632,0.4327,0.4526,0.5821,0.5822,0.6205,0.6796,0.7474,0.6584,0.7932,0.7943,0.7969,0.8412,0.7501,0.6476,0.63,0.6811,0.7087,0.5855,0.5864,0.6101,0.6764,0.6605,0.6817,0.6973,0.7374,0.6385,0.6384,0.6272,0.6204,0.5866,0.5323,0.6317,0.6496,0.6914,0.6885,0.7029,0.8402,0.8368,0.8341,0.7352,0.86,0.8739,0.8876,0.8238,0.8011,0.8808,0.5006,0.4502,0.466,0.4984,0.5133,0.5091,0.5183,0.5423,0.5076,0.514,0.4691,0.4667,0.4855,0.4876,0.4741,0.4819,0.4794,0.476,0.4485,0.4362,0.4217,0.4406,0.4363,0.4339,0.5668,0.5494,0.5404,0.5109,0.5196,0.5306,0.4724,0.4912,0.4869,0.4892,0.5693,0.5627,0.5528,0.5443,0.6038,0.6019,0.6003,0.5996,0.6226,0.6563,0.6697,0.6826,0.7005,0.7381,0.7813,0.7951,0.8928,0.8349,0.8395,0.8307,0.7763,0.7246,0.7316,0.6127,0.2803,0.2509,0.2036,0.193,0.0801,-0.0148,0.0452,-0.0805,
VO monthly avg,Fincials,0,3.39,0.08,2.77,1.63,15.24,12.39,25.21,4.44,109.91,194,57.94,233.54,110.12,63.09,254.73,75.35,137.85,68.89,125.07,107.34,94.93,39.38,31.2,70.03,48.35,261.93,68.15,61.93,60.25,58.9,229.89,2017.94,212.41,732.29,990.87,240.97,566.21,3822.49,855.78,1086.89,736.98,284.49,896.2,800.15,2357.73,2839.26,1173.99,1846.32,892.22,871.93,860.5,914.83,675.21,1404.28,646.95,736.05,6192.33,866.03,1729.67,1704.62,664.7,736.04,1177.84,927.91,936.03,3020.11,1480.57,1410.28,1441.8,1205.72,2120.61,1199.16,2237.67,2069.31,1707.4,1248.57,1748.68,1489.8,1934.21,1653.87,1798.85,2180.03,12913,989.26,1682.39,1352.12,1910.53,1556.29,2677.62,1973.1,2178.07,2028.78,2184.2,3017.76,4241.14,3440.05,2267.36,2181.78,4699.95,2030.05,3627.62,2431.81,2345.93,2757.06,3045.95,3666.22,2761.52,2439.47,3205.91,4165.92,3895.57,2145.09,3330.54,3007.68,2981.17,3063.64,3208.32,2378.31,2910.4,2176.44,2679.16,3162.3,3216.71,2039.5,2738.57,3348.22,4180.88,3803.15,4653.14,2601.2,2511.46,2428.25,4218.27,3308.25,5086.05,2289.39,2519.32,4020.54,3237.73,2120.18,3449.78,3040.18,2160.58,2144.14,2087.4,2423.88,2901.02,2482.88,5150.06,8593.61,4130.88,4002.31,5866.51,3116.3,3133.14,3643.49
Total assets,Fincials,132902,132902,132902,132902,1886082,1886082,1886082,1886082,1886082,1886082,1886082,1886082,1886082,1886082,1886082,1886082,1886082,1886082,1886082,5423651,5423651,5423651,5423651,5423651,5423651,5423651,5423651,5423651,5423651,5423651,5423651,6842062,6842062,6842062,6842062,6842062,6842062,6842062,6842062,6842062,6842062,6842062,6842062,9642193,9642193,9642193,9642193,9642193,9642193,9642193,9642193,9642193,9642193,9642193,9642193,15544132,15544132,15544132,15544132,15544132,15544132,15544132,15544132,15544132,15544132,15544132,15544132,22957000,22957000,22957000,22957000,22957000,22957000,22957000,22957000,22957000,22957000,22957000,22957000,30657000,30657000,30657000,30657000,30657000,30657000,30657000,30657000,30657000,30657000,30657000,30657000,32365000,32365000,32365000,32365000,32365000,32365000,32365000,32365000,32365000,32365000,32365000,32365000,37691000,37691000,37691000,37691000,37691000,37691000,37691000,37691000,37691000,37691000,37691000,37691000,48731000,48731000,48731000,48731000,48731000,48731000,48731000,48731000,48731000,48731000,48731000,48731000,55786000,55786000,55786000,55786000,55786000,55786000,55786000,55786000,55786000,55786000,55786000,55786000,64154000,64154000,64154000,64154000,64154000,64154000,64154000,64154000,64154000,64154000,64154000,64154000,,,,,,
Net sales,Fincials,19780,19780,19780,19780,250616,250616,250616,250616,250616,250616,250616,250616,250616,250616,250616,250616,250616,250616,250616,452982,452982,452982,452982,452982,452982,452982,452982,452982,452982,452982,452982,920457,920457,920457,920457,920457,920457,920457,920457,920457,920457,920457,920457,1181714,1181714,1181714,1181714,1181714,1181714,1181714,1181714,1181714,1181714,1181714,1181714,1380172,1380172,1380172,1380172,1380172,1380172,1380172,1380172,1380172,1380172,1380172,1380172,2362000,2362000,2362000,2362000,2362000,2362000,2362000,2362000,2362000,2362000,2362000,2362000,3008000,3008000,3008000,3008000,3008000,3008000,3008000,3008000,3008000,3008000,3008000,3008000,3430000,3430000,3430000,3430000,3430000,3430000,3430000,3430000,3430000,3430000,3430000,3430000,4206000,4206000,4206000,4206000,4206000,4206000,4206000,4206000,4206000,4206000,4206000,4206000,4640000,4640000,4640000,4640000,4640000,4640000,4640000,4640000,4640000,4640000,4640000,4640000,5290000,5290000,5290000,5290000,5290000,5290000,5290000,5290000,5290000,5290000,5290000,5290000,5782000,5782000,5782000,5782000,5782000,5782000,5782000,5782000,5782000,5782000,5782000,5782000,,,,,,
common equity,Fincials,47541,47541,47541,47541,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275,17164,17164,17164,17164,17164,17164,17164,17164,17164,17164,17164,17164,30629,30629,30629,30629,30629,30629,30629,30629,30629,30629,30629,30629,33018,33018,33018,33018,33018,33018,33018,33018,33018,33018,33018,33018,38910,38910,38910,38910,38910,38910,38910,38910,38910,38910,38910,38910,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,1501000,1501000,1501000,1501000,1501000,1501000,1501000,1501000,1501000,1501000,1501000,1501000,1436000,1436000,1436000,1436000,1436000,1436000,1436000,1436000,1436000,1436000,1436000,1436000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1421000,1421000,1421000,1421000,1421000,1421000,1421000,1421000,1421000,1421000,1421000,1421000,893000,893000,893000,893000,893000,893000,893000,893000,893000,893000,893000,893000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,,,,,,
Turnover ratio,Fincials,0%,0.01%,0%,0.01%,0%,0.04%,0.04%,0.07%,0.01%,0.01%,0.02%,0%,0.02%,0.01%,0.01%,0.02%,0.03%,0.06%,0.03%,0.05%,0.04%,0.04%,0.02%,0.01%,0.02%,0.01%,0.08%,0.02%,0.02%,0.02%,0.02%,0.07%,0.38%,0.03%,0.12%,0.16%,0.04%,0.09%,0.68%,0.14%,0.18%,0.12%,0.05%,0.15%,0.13%,0.38%,0.46%,0.19%,0.28%,0.14%,0.13%,0.13%,0.14%,0.1%,0.21%,0.09%,0.1%,0.88%,0.12%,0.25%,0.24%,0.09%,0.1%,0.17%,0.13%,0.13%,0.39%,0.19%,0.16%,0.16%,0.13%,0.22%,0.12%,0.23%,0.21%,0.17%,0.12%,0.16%,0.14%,0.18%,0.15%,0.17%,0.2%,1.09%,0.08%,0.13%,0.11%,0.15%,0.12%,0.21%,0.15%,0.17%,0.16%,0.17%,0.24%,0.33%,0.24%,0.16%,0.15%,0.33%,0.14%,0.26%,0.17%,0.17%,0.2%,0.2%,0.24%,0.18%,0.16%,0.21%,0.27%,0.25%,0.14%,0.22%,0.19%,0.19%,0.2%,0.2%,0.15%,0.19%,0.14%,0.17%,0.2%,0.2%,0.13%,0.17%,0.21%,0.25%,0.22%,0.27%,0.15%,0.15%,0.14%,0.25%,0.19%,0.29%,0.13%,0.14%,0.23%,0.19%,0.12%,0.2%,0.17%,0.12%,0.12%,0.12%,0.14%,0.16%,0.14%,0.28%,0.45%,0.22%,0.21%,0.3%,0.16%,0.16%,0.19%
Return monthly,Fincials,,-0.044405594,0,0,0.104646908,0.171911229,0.078434144,-0.045472415,0.012355848,-0.050040683,0.021127766,0.020550818,-0.131232877,0,-0.034847051,0.086423787,0.058796992,0.111063769,-0.069922025,-0.010857614,0.021814645,0.028419908,0.103662568,0.030070684,0.029076529,0.047129295,0.045116028,0.0464732,-0.060791473,0.009246611,0.105153566,0.013754122,-0.045813586,-0.003603428,0.164206822,-0.058013601,0.028253119,-0.012914969,0.024587285,-0.020569078,0.051715086,0,-0.016390715,0.033327694,0.045104781,0.011592387,0.004878049,0.231083372,0.010452526,0.032272052,0.086228623,-0.012981991,0.030335255,0.023521104,0.041343806,0.037561796,0.07446704,0.028161287,-0.010004446,0.002021109,0.108874944,0.074578601,0.087985254,0.085330014,-0.022140104,-0.086786552,-0.114868721,-0.018700629,0.127649088,-0.043888403,0.13580435,0.025858599,-0.003955929,0.109302173,0.072996804,0.020378899,0.070698881,-0.028295219,-0.038834195,0.060618345,-0.018422729,0.079824516,0.012981705,-0.021738615,-0.027413212,-0.102566661,0.040718197,-0.025424634,-0.063657788,-0.053908514,-0.083397779,0.18919375,0.094701592,-0.01309172,-0.051091439,0.169222677,0.000970713,-0.032664743,-0.073037142,0.00896861,0.03979085,-0.043246505,-0.037028277,0.048467647,0.012467789,0.021954856,0.030388408,-0.00144043,0.007188088,-0.02143464,0.062810081,0.055760433,0.031857272,-0.004606419,0.024430143,0.069588604,0.015047342,0.056007122,0.01165561,0.008640991,0.047432605,-0.061093964,-0.013952554,0.058322375,0.053778307,-0.006576434,0.011601665,0.004908036,0.040766321,-0.038205691,0.040019057,-0.003253985,0.008700338,0.072772977,0.03265868,0.005885523,0.050009164,-0.014286865,0.111115652,0.104772763,0.079500183,-0.068176445,-0.050670197,0.037698136,0,0.028164755,0.085752252,0.012609847,0.094243172,-0.139026201,0.039380429,-0.057970721,-0.044655419,0.070586251,0.034472982,-0.057249003,0.009980943
