me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Industrials,329345,329345,329345,329345,329345,329345,329345,329345,329345,329345,329345,329345,348377,348377,348377,348377,348377,348377,348377,348377,348377,348377,348377,348377,330915,330915,330915,330915,330915,330915,330915,330915,330915,330915,330915,330915,331246,331246,331246,331246,331246,331246,331246,331246,331246,331246,331246,331246,369464,369464,369464,369464,369464,369464,369464,369464,369464,369464,369464,369464,469183,469183,469183,469183,469183,469183,469183,469183,469183,469183,469183,469183,2755951,2755951,2755951,2755951,2755951,2755951,2755951,2755951,2755951,2755951,2755951,2755951,2796533,2796533,2796533,2796533,2796533,2796533,2796533,2796533,2796533,2796533,2796533,2796533,2510367,2510367,2510367,2510367,2510367,2510367,2510367,2510367,2510367,2510367,2510367,2510367,2710332,2710332,2710332,2710332,2710332,2710332,2710332,2710332,2710332,2710332,2710332,2710332,3001583,3001583,3001583,3001583,3001583,3001583,3001583,3001583,3001583,3001583,3001583,3001583,3012166,3012166,3012166,3012166,3012166,3012166,3012166,3012166,3012166,3012166,3012166,3012166,979572,979572,979572,979572,979572,979572,979572,979572,979572,979572,979572,979572,
Excess return,Industrials,,0.089346954,-0.216998565,-0.1766643,-0.118887757,-0.1708137,-0.125551686,0.009316268,-0.13085918,-0.219758306,-0.048842877,-0.125681352,-0.064045816,0.047638401,-0.156444528,-0.244134019,-0.208165722,-0.063576035,-0.174612931,-0.10489677,-0.106662831,-0.034199603,-0.117019807,-0.088807601,-0.140090488,-0.020574069,-0.179848299,-0.18694404,-0.102378363,-0.129245099,-0.151804172,0.052117531,-0.13466073,-0.1270175,0.036632593,-0.051977303,-0.200048191,0.013412175,-0.03972295,-0.186310125,-0.080859989,-0.270492968,-0.108101234,-0.056480523,-0.13723464,-0.038542461,-0.080764083,-0.006084727,-0.13396032,-0.123423874,-0.020503909,-0.129699844,-0.150293211,-0.049454334,-0.141679625,-0.075092808,-0.093243433,-0.057969653,-0.174975029,-0.158698756,-0.057360423,-0.093909946,0.048862736,-0.13099752,-0.137094645,-0.172813533,-0.141632908,0.068778609,-0.165548593,-0.130467237,0.007460614,-0.079957267,0.023390948,0.089119568,-0.088976171,-0.059611293,-0.026186041,-0.067211356,-0.063119907,-0.135440719,-0.047395684,-0.072944002,-0.072502068,-0.115034915,-0.080389619,-0.335589678,-0.07138431,-0.167959185,-0.039434245,-0.13356544,-0.191184647,-0.150798,-0.114535384,-0.250523086,-0.33180464,-0.150097189,-0.013219512,-0.167712476,-0.403332285,-0.13012449,-0.02914395,-0.183966025,-0.059412741,-0.015061372,-0.124405193,-0.135435807,-0.150563411,-0.005488065,-0.1439559,-0.157577111,-0.077440232,-0.059609182,-0.109493474,-0.218833348,-0.113250397,-0.149970277,-0.126175796,-0.033756744,0.011506562,-0.121223419,-0.135319894,-0.09595208,-0.093690324,-0.15307548,-0.075532349,-0.137380416,-0.167287813,-0.148051926,-0.169089784,-0.081578981,-0.101776753,-0.046874454,-0.144678478,0.170539709,-0.1241114,-0.151316024,-0.105818277,-0.110144798,-0.080681124,-0.185745645,-0.046220021,-0.14193715,-0.157538948,-0.081809054,-0.099460657,-0.122771319,-0.278287734,-0.145690195,-0.198955121,-0.118427965,-0.112253685,-0.112858634,-0.119605611,-0.054821248,-0.110365407,-0.123444401,0.01302485
Risk premium,Industrials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Industrials,0.9437,1.0101,0.9417,0.8661,0.9305,0.8399,0.7211,0.713,0.7127,0.7452,0.7059,0.6607,0.6276,0.6159,0.6164,0.6129,0.6112,0.6527,0.5712,0.6046,0.5615,0.5618,0.5208,0.4117,0.3823,0.4055,0.4558,0.4564,0.4138,0.4832,0.5312,0.5222,0.4527,0.5225,0.5545,0.4674,0.5265,0.5414,0.5692,0.5615,0.5472,0.6188,0.6274,0.6165,0.6453,0.6378,0.667,0.6674,0.7472,0.7348,0.6533,0.6692,0.8366,0.8335,0.7648,0.7959,0.7796,0.7242,0.8482,0.842,0.7836,0.5914,0.546,0.5743,0.57,0.5936,0.5271,0.4957,0.4752,0.464,0.4637,0.4751,0.4458,0.4278,0.376,0.2101,0.2127,0.2148,0.2243,0.2219,0.1215,-0.0295,0.0981,0.1,0.5473,0.7276,0.836,0.8533,0.8494,0.8915,0.8831,0.946,0.9023,0.996,0.9935,0.9413,0.9345,1.0514,0.94,0.9595,0.8648,0.8508,0.8852,0.8804,0.8937,0.8771,0.8963,0.9033,0.8493,0.8718,0.8552,0.834,0.8442,0.8358,0.8327,0.8377,0.8559,0.7557,0.7561,0.7287,0.402,0.4927,0.5196,0.5273,0.7287,0.755,0.6791,0.7083,0.6605,0.6227,0.6279,0.6406,0.8346,0.8667,0.8877,0.8891,0.8115,0.8372,0.9581,0.9661,0.9601,0.8241,0.8314,0.9495,0.9682,1.0839,1.0726,1.0995,0.959,0.8406,0.8031,0.7991,0.919,1.0488,1.0368,0.7284,
VO monthly avg,Industrials,0,8.5,7.25,4.15,12.43,6.49,20.04,1.68,4.6,22.79,1.36,11.69,1.15,3.37,4.09,4.02,8.67,57.25,19.44,28.81,2.53,9.93,33.02,93.16,19.77,15.83,21.53,17.13,7.2,11.9,2.75,28.25,7.78,17.04,14.16,11.01,27.97,156.45,69.64,27.43,54.96,32.98,64.31,98.86,84.22,84.36,15.57,60.05,33.8,32.55,24.97,53.93,35.88,24.78,31.5,15.02,49.21,26.47,67,59.94,39.46,51,24.52,47.74,42.6,53.61,27.3,51.17,28.58,66.29,106.75,48.51,77.93,22.24,70.48,55.5,55.51,124.95,135.4,115.06,34,31.79,58.1,53.47,58.81,23.94,55.35,100.79,47.3,33.36,57.23,43.65,64.34,38.51,56.71,25.03,40.31,34.92,67.49,214.47,18.25,22.3,73.23,28.2,29.84,35.99,93.54,39.13,27,29.22,82.19,44.31,15.97,29.2,27.58,32.7,37.85,61.25,44.98,93.05,110.94,31.74,19.31,39.97,16.69,16.5,57.87,30.63,27.56,37.07,15.64,22.7,31.39,42.58,28.25,31.38,16.64,51.06,42.5,35.54,30.28,20.5,65.39,60.41,33,18.42,141.32,78.16,74.32,58.03,42.23,81.65,48.25,28.52,40.67,26.33,18.04
Total assets,Industrials,687806,687806,687806,687806,687806,687806,687806,687806,687806,687806,687806,687806,764812,764812,764812,764812,764812,764812,764812,764812,764812,764812,764812,764812,812303,812303,812303,812303,812303,812303,812303,812303,812303,812303,812303,812303,868071,868071,868071,868071,868071,868071,868071,868071,868071,868071,868071,868071,989096,989096,989096,989096,989096,989096,989096,989096,989096,989096,989096,989096,1219089,1219089,1219089,1219089,1219089,1219089,1219089,1219089,1219089,1219089,1219089,1219089,3591362,3591362,3591362,3591362,3591362,3591362,3591362,3591362,3591362,3591362,3591362,3591362,3851277,3851277,3851277,3851277,3851277,3851277,3851277,3851277,3851277,3851277,3851277,3851277,3694719,3694719,3694719,3694719,3694719,3694719,3694719,3694719,3694719,3694719,3694719,3694719,4023862,4023862,4023862,4023862,4023862,4023862,4023862,4023862,4023862,4023862,4023862,4023862,4526337,4526337,4526337,4526337,4526337,4526337,4526337,4526337,4526337,4526337,4526337,4526337,4708038,4708038,4708038,4708038,4708038,4708038,4708038,4708038,4708038,4708038,4708038,4708038,2814443,2814443,2814443,2814443,2814443,2814443,2814443,2814443,2814443,2814443,2814443,2814443,
Net sales,Industrials,1073420,1073420,1073420,1073420,1073420,1073420,1073420,1073420,1073420,1073420,1073420,1073420,1451263,1451263,1451263,1451263,1451263,1451263,1451263,1451263,1451263,1451263,1451263,1451263,1476900,1476900,1476900,1476900,1476900,1476900,1476900,1476900,1476900,1476900,1476900,1476900,1448378,1448378,1448378,1448378,1448378,1448378,1448378,1448378,1448378,1448378,1448378,1448378,1549207,1549207,1549207,1549207,1549207,1549207,1549207,1549207,1549207,1549207,1549207,1549207,1837834,1837834,1837834,1837834,1837834,1837834,1837834,1837834,1837834,1837834,1837834,1837834,2226868,2226868,2226868,2226868,2226868,2226868,2226868,2226868,2226868,2226868,2226868,2226868,2765661,2765661,2765661,2765661,2765661,2765661,2765661,2765661,2765661,2765661,2765661,2765661,2420308,2420308,2420308,2420308,2420308,2420308,2420308,2420308,2420308,2420308,2420308,2420308,2457932,2457932,2457932,2457932,2457932,2457932,2457932,2457932,2457932,2457932,2457932,2457932,3182270,3182270,3182270,3182270,3182270,3182270,3182270,3182270,3182270,3182270,3182270,3182270,3492369,3492369,3492369,3492369,3492369,3492369,3492369,3492369,3492369,3492369,3492369,3492369,3942216,3942216,3942216,3942216,3942216,3942216,3942216,3942216,3942216,3942216,3942216,3942216,
common equity,Industrials,320217,320217,320217,320217,320217,320217,320217,320217,320217,320217,320217,320217,396027,396027,396027,396027,396027,396027,396027,396027,396027,396027,396027,396027,457857,457857,457857,457857,457857,457857,457857,457857,457857,457857,457857,457857,510911,510911,510911,510911,510911,510911,510911,510911,510911,510911,510911,510911,595750,595750,595750,595750,595750,595750,595750,595750,595750,595750,595750,595750,728365,728365,728365,728365,728365,728365,728365,728365,728365,728365,728365,728365,806847,806847,806847,806847,806847,806847,806847,806847,806847,806847,806847,806847,1015050,1015050,1015050,1015050,1015050,1015050,1015050,1015050,1015050,1015050,1015050,1015050,1150094,1150094,1150094,1150094,1150094,1150094,1150094,1150094,1150094,1150094,1150094,1150094,1286799,1286799,1286799,1286799,1286799,1286799,1286799,1286799,1286799,1286799,1286799,1286799,1493950,1493950,1493950,1493950,1493950,1493950,1493950,1493950,1493950,1493950,1493950,1493950,1669811,1669811,1669811,1669811,1669811,1669811,1669811,1669811,1669811,1669811,1669811,1669811,1815647,1815647,1815647,1815647,1815647,1815647,1815647,1815647,1815647,1815647,1815647,1815647,
Turnover ratio,Industrials,0%,0.03%,0.02%,0.01%,0.04%,0.02%,0.07%,0.01%,0.02%,0.07%,0%,0.04%,0%,0.01%,0.01%,0.01%,0.03%,0.19%,0.06%,0.09%,0.01%,0.03%,0.11%,0.31%,0.06%,0.05%,0.07%,0.05%,0.02%,0.04%,0.01%,0.09%,0.02%,0.05%,0.04%,0.03%,0.09%,0.5%,0.22%,0.09%,0.17%,0.1%,0.2%,0.31%,0.26%,0.26%,0.05%,0.19%,0.11%,0.1%,0.08%,0.17%,0.11%,0.08%,0.1%,0.05%,0.15%,0.08%,0.21%,0.19%,0.12%,0.16%,0.08%,0.15%,0.13%,0.17%,0.08%,0.16%,0.09%,0.2%,0.33%,0.15%,0.24%,0.07%,0.22%,0.17%,0.17%,0.38%,0.41%,0.35%,0.1%,0.1%,0.18%,0.16%,0.18%,0.07%,0.17%,0.3%,0.14%,0.1%,0.17%,0.13%,0.19%,0.12%,0.17%,0.07%,0.12%,0.1%,0.2%,0.64%,0.05%,0.07%,0.22%,0.08%,0.09%,0.11%,0.28%,0.12%,0.08%,0.09%,0.24%,0.13%,0.05%,0.09%,0.08%,0.1%,0.11%,0.18%,0.13%,0.27%,0.33%,0.09%,0.06%,0.12%,0.05%,0.05%,0.17%,0.09%,0.08%,0.11%,0.05%,0.07%,0.09%,0.12%,0.08%,0.09%,0.05%,0.15%,0.12%,0.1%,0.09%,0.06%,0.19%,0.18%,0.1%,0.05%,0.41%,0.23%,0.22%,0.17%,0.12%,0.24%,0.14%,0.08%,0.12%,0.08%,0.05%
Return monthly,Industrials,,0.276583254,-0.040871465,0,0.060233743,0,0.028377614,0.160235268,0.02094092,-0.065710706,0.100928823,0.018542748,0.090892984,0.208340101,0.006888672,-0.073321319,-0.051860122,0.093744065,-0.021427331,0.04379303,0.041411669,0.112993797,0.027690593,0.041929499,-0.011505588,0.104672431,-0.052632899,-0.05929084,0.021591037,-0.003003499,-0.024238572,0.180116131,-0.00984063,0,0.162166093,0.069768897,-0.076078691,0.143520375,0.09053665,-0.054235625,0.053713611,-0.129408568,0.036024966,0.086958977,0.00801926,0.106238939,0.065856917,0.122861473,-0.00608672,0.003068526,0.097553991,-0.001340244,-0.014287411,0.087256166,-0.013597225,0.054048892,0.036771367,0.068754947,-0.040938429,-0.028052756,0.066506377,0.017648254,0.156060736,-0.02011662,-0.027084645,-0.057816733,-0.022725608,0.185807709,-0.048930993,-0.020835237,0.117023714,0.028574033,0.129626348,0.192620968,0.013061829,0.030375007,0.067114059,0.031321044,0.036710993,-0.035411019,0.042808816,0.005847498,0.019228232,-0.022984915,0.040240281,-0.200000878,0.07353369,-0.019701285,0.114777955,0.02959906,-0.043749347,0,0.030809516,-0.096775086,-0.18571414,-0.017545289,0.125003988,-0.015874276,-0.258062285,0.01522401,0.11363845,-0.040815625,0.085104859,0.127453828,0.019647907,0.009571493,-0.003446511,0.141869835,0,-0.015153711,0.061537368,0.077632818,0.030641126,-0.078377948,0.021259703,-0.017945177,0.007245904,0.092252356,0.141890862,0.006034681,-0.023643894,0.02168802,0.025944476,-0.03545558,0.053275751,-0.005815416,-0.042104513,-0.025029026,-0.044778284,0.036001119,0.016730947,0.072783346,-0.014748678,0.303591809,0.0105637,-0.018552724,0.022856223,0.014898802,0.046329176,-0.057431345,0.079866279,-0.02306885,-0.038460748,0.041859446,0.026785943,0.009564381,-0.145563934,-0.016321695,-0.066738121,0.010329835,0.016741615,0.019334666,0.014041389,0.087203152,0.035002993,0.001544799,0.01302485
