me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Technology,127944,144687,144687,144687,144687,144687,144687,144687,144687,144687,144687,144687,144687,119713,119713,119713,119713,119713,119713,119713,119713,119713,119713,119713,119713,94899,94899,94899,94899,94899,94899,94899,94899,94899,94899,94899,94899,76293,76293,76293,76293,76293,76293,76293,76293,76293,76293,76293,76293,80530,80530,80530,80530,80530,80530,80530,80530,80530,80530,80530,80530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excess return,Technology,,-0.353672803,-0.660409155,-0.957558119,0.611945294,-0.648876902,-0.55606587,-0.713193871,-0.246185859,-0.436434983,-0.57361851,0.443958782,0.074191513,-0.856459961,-0.252156151,0.748612608,0.605676349,-0.214680158,-0.2780264,-0.81374639,-0.110133112,-0.085212497,-0.244045027,-0.1042643,-0.487841731,0.2172535,-0.354100876,0.20390343,-0.155324811,-0.1876792,-0.417009091,-0.161929286,-0.109154204,-0.104965049,-0.086450553,-0.11478938,-0.264275421,-0.042446601,-0.228880493,0.036249401,-0.290788294,-0.0966757,-0.0975755,-0.2201689,-0.119982084,-0.233217346,-0.106146964,0.119757382,-0.0885805,-0.208059724,-0.139211372,-0.149924769,0.00452598,-0.224322164,-0.149954072,-0.0892627,0.271639627,-0.244491722,-0.333712187,-0.047054361,0.119768849,-0.238968338,-0.140926798,0.035892523,-0.133852929,-0.139900957,0.097455815,-0.182861011,0.039555825,1.100852777,-0.09566372,-0.019558141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risk premium,Technology,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Technology,1.8452,1.7264,2.079,2.5467,2.7845,2.7957,2.9366,2.9114,2.6787,2.5063,2.7846,2.5438,2.6603,2.8063,2.7746,2.6233,2.6224,2.4965,2.5528,2.7838,2.7614,2.7511,2.7602,3.1661,2.9092,2.9055,1.8524,1.8511,1.6327,1.4584,1.3997,1.4201,1.5273,1.3939,1.0683,0.7794,0.693,0.7286,0.6268,0.6671,0.663,-0.0861,-0.1115,-0.1497,-0.2102,-0.1993,-0.1933,-0.193,0.1235,-0.0003,0.565,0.4694,0.1796,0.1768,0.1723,0.1629,0.0271,0.1014,0.1865,0.3826,0.2,0.3447,0.4218,0.3123,0.3396,0.3528,0.3999,0.4464,0.3468,0.1964,0.1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VO monthly avg,Technology,62.3,266.21,342.26,310.92,333.69,217.57,1093.62,297.14,180.82,84.88,231.8,351.96,122.16,709.41,455.74,316.5,264.19,1077.05,43.29,13.71,3.11,15.74,18.31,6.98,7.08,9.47,7.56,272.59,5.5,5.45,1.63,1.55,0.5,1.5,208.91,17.96,11,3.01,1.79,1.79,1.25,2415.83,5.4,21.66,28.34,1.8,8.13,10.31,1.52,1.69,2.72,1.86,2.76,22.59,2.46,6.97,9.64,5.45,11.21,7.78,2.73,5,9.6,2.77,2.82,0.51,7.14,9.8,14.35,86.47,9.6,20.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total assets,Technology,541029,375498,375498,375498,375498,375498,375498,375498,375498,375498,375498,375498,375498,241641,241641,241641,241641,241641,241641,241641,241641,241641,241641,241641,241641,186859,186859,186859,186859,186859,186859,186859,186859,186859,186859,186859,186859,148598,148598,148598,148598,148598,148598,148598,148598,148598,148598,148598,148598,172614,172614,172614,172614,172614,172614,172614,172614,172614,172614,172614,172614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net sales,Technology,235639,249785,249785,249785,249785,249785,249785,249785,249785,249785,249785,249785,249785,299554,299554,299554,299554,299554,299554,299554,299554,299554,299554,299554,299554,240739,240739,240739,240739,240739,240739,240739,240739,240739,240739,240739,240739,198945,198945,198945,198945,198945,198945,198945,198945,198945,198945,198945,198945,211410,211410,211410,211410,211410,211410,211410,211410,211410,211410,211410,211410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
common equity,Technology,413085,230811,230811,230811,230811,230811,230811,230811,230811,230811,230811,230811,230811,121928,121928,121928,121928,121928,121928,121928,121928,121928,121928,121928,121928,91960,91960,91960,91960,91960,91960,91960,91960,91960,91960,91960,91960,72299,72299,72299,72299,72299,72299,72299,72299,72299,72299,72299,72299,92078,92078,92078,92078,92078,92078,92078,92078,92078,92078,92078,92078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnover ratio,Technology,0.06%,0.24%,0.3%,0.28%,0.3%,0.19%,0.97%,0.26%,0.16%,0.08%,0.21%,0.31%,0.11%,0.63%,0.4%,0.28%,0.23%,0.95%,0.04%,0.01%,0%,0.01%,0.02%,0.01%,0.01%,0.01%,0.01%,0.24%,0%,0%,0%,0%,0%,0%,0.18%,0.02%,0.01%,0%,0%,0%,0%,2.13%,0%,0.02%,0.02%,0%,0.01%,0.01%,0%,0%,0%,0%,0%,0.02%,0%,0.01%,0.01%,0%,0.01%,0.01%,0%,0%,0.01%,0%,0%,0%,0.01%,0.01%,0.01%,0.08%,0.01%,0.02%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Technology,,-0.121309603,-0.412632155,-0.675016019,0.907868794,-0.354847802,-0.26256007,-0.423775671,0.029472241,-0.171438083,-0.29288871,0.706818182,0.357190413,-0.557763061,0.047143649,1.046080508,0.888687549,0.058799342,0,-0.52776699,0.176535088,0.199906803,0.041747573,0.2,-0.200062131,0.5,-0.138899676,0.41942273,0.045435289,0,-0.234727991,0.022637014,0.083365696,0.076950651,0.071452347,0.02661282,-0.129816421,0.099455199,-0.094992093,0.174976701,-0.148919294,0,0,-0.125,-0.028624684,-0.141173246,-0.013724864,0.194498382,0,-0.127878624,-0.026716372,-0.034152569,0.09914078,-0.128983764,-0.059199172,0,0.354246927,-0.157003522,-0.241362687,0.054649439,0.206868849,-0.142952238,-0.041553398,0.130267423,-0.038358129,-0.040074557,0.208349515,-0.068937811,0.148084225,1.193625977,-0.00294682,0.059041859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
