me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Industrials,111466,116000,116000,116000,116000,116000,116000,116000,116000,116000,116000,116000,116000,151584,151584,151584,151584,151584,151584,151584,151584,151584,151584,151584,151584,326810,326810,326810,326810,326810,326810,326810,326810,326810,326810,326810,326810,450102,450102,450102,450102,450102,450102,450102,450102,450102,450102,450102,450102,586722,586722,586722,586722,586722,586722,586722,586722,586722,586722,586722,586722,828055,828055,828055,828055,828055,828055,828055,828055,828055,828055,828055,828055,905847,905847,905847,905847,905847,905847,905847,905847,905847,905847,905847,905847,992406,992406,992406,992406,992406,992406,992406,992406,992406,992406,992406,992406,669575,669575,669575,669575,669575,669575,669575,669575,669575,669575,669575,669575,1100637,1100637,1100637,1100637,1100637,1100637,1100637,1100637,1100637,1100637,1100637,1100637,1161934,1161934,1161934,1161934,1161934,1161934,1161934,1161934,1161934,1161934,1161934,1161934,1035939,1035939,1035939,1035939,1035939,1035939,1035939,1035939,1035939,1035939,1035939,1035939,772230,772230,772230,772230,772230,772230,772230,772230,772230,772230,772230,772230
Excess return,Industrials,,-0.255898857,0.023694797,0.065658784,-0.1800154,-0.057223312,-0.151619787,-0.011345781,0.053629294,-0.276780235,0.167331223,-0.055477347,-0.115989803,-0.150841135,-0.311833056,-0.04979011,0.060403504,-0.113456097,-0.226188205,-0.104993124,0.301295208,0.049795069,-0.089103396,0.093646552,-0.170368217,-0.020240089,-0.099354168,-0.238763354,-0.14315485,-0.052424912,-0.093869635,-0.064179871,0.046579026,-0.1366313,-0.005318646,-0.017066855,-0.015185307,-0.231603095,-0.176755063,0.051697285,-0.169926477,-0.209946148,-0.026732292,-0.063496335,-0.132790468,-0.019037497,0.057286047,-0.04465551,-0.065682562,-0.066347578,-0.162302259,-0.143917028,-0.077188395,-0.113879036,-0.091351988,0.018560024,-0.113340854,-0.147293344,-0.119087176,-0.05633599,-0.018440614,0.029791122,-0.128832293,0.015076657,-0.113334504,-0.230102058,-0.249618013,-0.088521471,0.003213307,-0.188868633,-0.093228402,-0.040201405,-0.116760837,-0.086364446,-0.126753853,0.119657193,-0.088792901,-0.159355306,-0.023137904,0.010101089,-0.196689349,-0.311645616,-0.186359301,-0.262191239,-0.203275562,-0.340341291,-0.1537821,-0.194741452,-0.162751455,-0.25872503,-0.309851721,-0.249723027,-0.000183854,-0.171044402,-0.487889202,-0.066099393,-0.022046582,0.044386974,-0.345601553,-0.124281251,-0.04711806,0.006212092,-0.340828217,0.093175636,-0.138492189,-0.141920651,-0.060683508,-0.100387478,-0.100619324,-0.303437746,-0.186929854,-0.162518483,-0.076253629,-0.214879043,-0.165134818,-0.186519784,-0.213251637,-0.195178955,-0.096229544,-0.079820375,0.263957012,-0.509257343,-0.121239287,-0.321446459,-0.117149144,-0.242575481,-0.243603477,-0.308661782,-0.250267044,-0.154125951,-0.108086683,-0.382592794,0.034581086,-0.12683251,-0.14214123,0.007956482,-0.113415526,-0.172744772,-0.154441064,-0.144769921,-0.098548469,-0.208799131,-0.214579798,0.005165125,-0.0999756,-0.105128406,0.101794294,-0.296365248,-0.040001155,-0.205351457,-0.138657178,-0.05918343,-0.033459417,-0.013097221,-0.002039035,-0.076361136,0.165052712
Risk premium,Industrials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Industrials,0.452,0.4924,0.3292,0.1052,0.0558,0.0962,0.0894,0.1434,0.2526,0.3127,0.3428,0.4071,0.4128,0.3265,0.3276,0.2811,0.2812,0.3471,0.3312,0.4702,0.4211,0.4228,0.4242,0.519,0.4988,0.5024,0.8636,0.875,0.8093,0.8384,0.8313,0.8325,0.6617,0.6751,0.7079,0.8132,0.7429,0.8539,0.836,0.852,0.8574,0.8614,0.8602,0.6705,0.6917,0.662,0.6092,0.6093,0.6647,0.636,0.5435,0.5004,0.3939,0.3916,0.4212,0.3373,0.234,0.1927,0.1574,0.207,0.3138,0.4455,0.4695,0.4271,0.5065,0.6049,0.6178,0.6478,0.6265,0.7161,0.7136,0.7244,0.7359,0.7664,0.827,1.0996,1.1078,0.9838,0.861,0.8952,1.0459,1.0014,1.121,1.0166,1.2305,0.9833,0.9767,0.9165,0.8836,1.025,1.0364,0.9534,0.7702,1.0132,1.0034,1.0205,0.9421,1.0165,0.846,0.8502,0.9183,0.9221,1.0382,1.0425,1.1186,1.1355,1.1317,1.1428,1.1236,1.2409,1.1843,1.1965,1.1993,1.1959,1.1265,1.3131,1.2246,1.0072,0.9965,1.1474,1.3841,1.5329,1.5689,1.5693,1.5124,1.5222,1.4284,1.444,1.3611,1.2344,1.2154,1.0703,1.0065,1.068,0.9733,0.9839,0.9882,1.017,1.154,1.1667,1.4386,1.3859,1.4313,0.8483,0.5512,0.3346,0.3244,0.278,0.0971,0.148,0.0522,0.0622,0.0756,-0.0346,-0.0275,0.1753,
VO monthly avg,Industrials,33,20.19,4.64,77.37,71.53,11.4,214.71,61.8,112,32.82,18.76,49.57,51.19,13.53,9.76,487.24,44.06,124.01,23.55,52.03,25,118.14,15.84,104.33,26.56,46.5,39.54,26.2,11.2,54.99,53.23,51.8,183.99,133.3,133.33,323.82,143.55,80.79,281.93,376.74,124.84,113.12,161.25,274.88,271.8,223.12,241.72,277.69,109.4,249.95,247.68,256.03,402.74,110.45,209.26,257.37,240.75,128.07,97.82,106.14,152.98,291.68,188.24,166.1,292.28,181.89,199.53,322.85,139.72,144.42,92.02,135.47,105.94,65.96,437.01,227.84,209.53,201.15,580.71,627.21,463.49,362.76,368.85,548.71,213.07,207.23,436.58,506.41,224.74,741.8,268.13,309.54,248.64,505.48,184.53,167.48,146.53,159.37,21.38,93.31,92.5,343.71,310.22,411.08,182.08,44.02,110,69.61,71.03,217.03,379.64,223.74,491.45,449,395.61,193.04,236.76,102.76,176.65,138.28,88.45,52.39,107.87,136.77,70.93,114.81,225.38,117.4,164.39,68.04,314.66,104.17,218.58,64.39,119.31,182.67,90.4,141.65,220.71,99.05,56.68,250.02,127.65,43.96,37.47,185.44,98.73,148.98,61.61,85.56,98.83,46.15,172.45,184.5,159.99,211.38,144.45
Total assets,Industrials,190400,212568,212568,212568,212568,212568,212568,212568,212568,212568,212568,212568,212568,275740,275740,275740,275740,275740,275740,275740,275740,275740,275740,275740,275740,713137,713137,713137,713137,713137,713137,713137,713137,713137,713137,713137,713137,946801,946801,946801,946801,946801,946801,946801,946801,946801,946801,946801,946801,1178071,1178071,1178071,1178071,1178071,1178071,1178071,1178071,1178071,1178071,1178071,1178071,1575335,1575335,1575335,1575335,1575335,1575335,1575335,1575335,1575335,1575335,1575335,1575335,1841986,1841986,1841986,1841986,1841986,1841986,1841986,1841986,1841986,1841986,1841986,1841986,2018171,2018171,2018171,2018171,2018171,2018171,2018171,2018171,2018171,2018171,2018171,2018171,1696927,1696927,1696927,1696927,1696927,1696927,1696927,1696927,1696927,1696927,1696927,1696927,2154014,2154014,2154014,2154014,2154014,2154014,2154014,2154014,2154014,2154014,2154014,2154014,1945883,1945883,1945883,1945883,1945883,1945883,1945883,1945883,1945883,1945883,1945883,1945883,1825887,1825887,1825887,1825887,1825887,1825887,1825887,1825887,1825887,1825887,1825887,1825887,1518973,1518973,1518973,1518973,1518973,1518973,1518973,1518973,1518973,1518973,1518973,1518973
Net sales,Industrials,518995,593757,593757,593757,593757,593757,593757,593757,593757,593757,593757,593757,593757,752764,752764,752764,752764,752764,752764,752764,752764,752764,752764,752764,752764,1140019,1140019,1140019,1140019,1140019,1140019,1140019,1140019,1140019,1140019,1140019,1140019,2168337,2168337,2168337,2168337,2168337,2168337,2168337,2168337,2168337,2168337,2168337,2168337,2683398,2683398,2683398,2683398,2683398,2683398,2683398,2683398,2683398,2683398,2683398,2683398,3368388,3368388,3368388,3368388,3368388,3368388,3368388,3368388,3368388,3368388,3368388,3368388,4180355,4180355,4180355,4180355,4180355,4180355,4180355,4180355,4180355,4180355,4180355,4180355,4610920,4610920,4610920,4610920,4610920,4610920,4610920,4610920,4610920,4610920,4610920,4610920,3920511,3920511,3920511,3920511,3920511,3920511,3920511,3920511,3920511,3920511,3920511,3920511,3928761,3928761,3928761,3928761,3928761,3928761,3928761,3928761,3928761,3928761,3928761,3928761,4229538,4229538,4229538,4229538,4229538,4229538,4229538,4229538,4229538,4229538,4229538,4229538,4493085,4493085,4493085,4493085,4493085,4493085,4493085,4493085,4493085,4493085,4493085,4493085,4464056,4464056,4464056,4464056,4464056,4464056,4464056,4464056,4464056,4464056,4464056,4464056
common equity,Industrials,78934,96568,96568,96568,96568,96568,96568,96568,96568,96568,96568,96568,96568,124156,124156,124156,124156,124156,124156,124156,124156,124156,124156,124156,124156,386327,386327,386327,386327,386327,386327,386327,386327,386327,386327,386327,386327,496699,496699,496699,496699,496699,496699,496699,496699,496699,496699,496699,496699,591227,591227,591227,591227,591227,591227,591227,591227,591227,591227,591227,591227,747158,747158,747158,747158,747158,747158,747158,747158,747158,747158,747158,747158,936017,936017,936017,936017,936017,936017,936017,936017,936017,936017,936017,936017,1024486,1024486,1024486,1024486,1024486,1024486,1024486,1024486,1024486,1024486,1024486,1024486,1027230,1027230,1027230,1027230,1027230,1027230,1027230,1027230,1027230,1027230,1027230,1027230,1053255,1053255,1053255,1053255,1053255,1053255,1053255,1053255,1053255,1053255,1053255,1053255,783827,783827,783827,783827,783827,783827,783827,783827,783827,783827,783827,783827,789948,789948,789948,789948,789948,789948,789948,789948,789948,789948,789948,789948,746743,746743,746743,746743,746743,746743,746743,746743,746743,746743,746743,746743
Turnover ratio,Industrials,0.04%,0.03%,0.01%,0.1%,0.09%,0.01%,0.29%,0.08%,0.15%,0.04%,0.03%,0.07%,0.07%,0.02%,0.01%,0.65%,0.06%,0.17%,0.03%,0.07%,0.03%,0.16%,0.02%,0.14%,0.04%,0.06%,0.05%,0.03%,0.01%,0.07%,0.07%,0.07%,0.24%,0.09%,0.09%,0.22%,0.1%,0.05%,0.19%,0.25%,0.08%,0.08%,0.11%,0.18%,0.18%,0.15%,0.16%,0.18%,0.07%,0.17%,0.16%,0.17%,0.26%,0.07%,0.14%,0.17%,0.16%,0.08%,0.06%,0.07%,0.1%,0.19%,0.12%,0.11%,0.19%,0.12%,0.13%,0.21%,0.09%,0.09%,0.06%,0.09%,0.07%,0.04%,0.28%,0.15%,0.14%,0.13%,0.38%,0.41%,0.3%,0.24%,0.25%,0.37%,0.15%,0.14%,0.3%,0.35%,0.15%,0.51%,0.18%,0.21%,0.17%,0.35%,0.13%,0.12%,0.11%,0.12%,0.02%,0.07%,0.07%,0.25%,0.22%,0.3%,0.13%,0.03%,0.08%,0.05%,0.05%,0.16%,0.27%,0.16%,0.36%,0.32%,0.29%,0.14%,0.17%,0.07%,0.13%,0.1%,0.06%,0.04%,0.08%,0.1%,0.05%,0.08%,0.16%,0.08%,0.12%,0.05%,0.23%,0.08%,0.16%,0.05%,0.09%,0.13%,0.07%,0.1%,0.16%,0.07%,0.04%,0.18%,0.09%,0.03%,0.03%,0.13%,0.07%,0.11%,0.04%,0.06%,0.07%,0.03%,0.12%,0.13%,0.12%,0.15%,0.1%
Return monthly,Industrials,,-0.101277657,0.161234397,0.194386384,-0.056,0.066737288,-0.037487587,0.103688419,0.176443094,-0.149980135,0.294227623,0.072769953,0.025416597,-0.008371635,-0.166694256,0.10011919,0.195919104,0.024611203,-0.088122605,0.035229476,0.440524508,0.188231469,0.049521204,0.231143552,-0.034443817,0.111111111,0.053552632,-0.084738354,0.00573105,0.096194288,0.052602265,0.083367629,0.184566126,0,0.129879054,0.126464745,0.122417393,-0.081807395,-0.029687063,0.202073285,-0.015810277,-0.053577948,0.132060308,0.083345165,0.015386632,0.127268503,0.200265647,0.08063039,0.056993538,0.053920422,-0.051161759,-0.026191828,0.030927305,-0.005008236,0.015083612,0.118809924,-0.017698854,-0.054053244,-0.028570976,0.03430501,0.075828786,0.132157622,-0.026453793,0.116683957,-0.007325004,-0.114393358,-0.124996613,0.038089929,0.129362807,-0.063354333,0.032078398,0.084035795,0.007750863,0.038468754,0.003697147,0.265681993,0.060898499,-0.012375906,0.116805096,0.152548689,-0.048247649,-0.167907416,-0.030186301,-0.112395439,-0.039604062,-0.188643391,0,-0.042501952,-0.006384655,-0.08715003,-0.152758521,-0.098458827,0.136838746,-0.016212802,-0.341175002,0.071442107,0.116655718,0.194026474,-0.206253553,0.014181349,0.09903484,0.153854392,-0.186671617,0.245903136,0.019729611,0.019365849,0.101263592,0.062058922,0.060617476,-0.137761046,-0.027218954,-0.002438983,0.086252271,-0.051737343,-0.012115318,-0.024544484,-0.056601837,-0.053325355,0.049299956,0.073815825,0.437505312,-0.326084643,0.064501413,-0.138180559,0.061032056,-0.062676881,-0.071214277,-0.139289782,-0.081817744,0.001991249,0.047433517,-0.235863894,0.175340586,0.01890149,-0.00207333,0.146692182,0.026391074,-0.036373772,-0.015089064,-0.003817821,0.057683331,-0.054537431,-0.057707898,0.122458025,0,-0.019998606,0.187381494,-0.218751248,0.037916145,-0.120227457,-0.056968578,0.02658517,0.047053383,0.060672979,0.076278465,0.013782764,0.165052712
