me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Consumer Goods,63929,63929,63929,63929,63929,63929,63929,63929,63929,63929,73559,73559,73559,73559,73559,73559,73559,73559,73559,73559,73559,73559,74302,74302,74302,74302,74302,74302,74302,74302,74302,74302,74302,74302,70211,70211,70211,70211,70211,70211,70211,70211,70211,70211,70211,70211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excess return,Consumer Goods,,0.20771388,-0.140169039,-0.086453978,0.006323909,-0.024973242,-0.1080716,-0.286332983,-0.162293942,0.220192078,-0.150619881,0.038652454,0.083070511,-0.090723353,-0.242281642,0.112159319,-0.1502891,-0.074345465,-0.368231956,0.076296198,-0.196389031,0.02526961,-0.173822611,0.036215909,0.047155407,-0.159384459,-0.216651685,-0.1259333,-0.06525889,-0.058252396,0.086576066,-0.21802313,-0.025302198,0.08376675,0.097083541,0.037663634,-0.001875535,-0.031702148,-0.022802596,-0.264919998,-0.0000615645,-0.153863492,-0.160877051,-0.038612617,-0.158589246,0.002541498,-0.122509445,0.059314823,0.084807341,-0.177161865,-0.204380319,0.006579032,-0.163802217,-0.05920379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risk premium,Consumer Goods,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Consumer Goods,-0.3928,-0.4086,-0.3041,-0.2133,-0.288,-0.2301,-0.0068,-0.0232,-0.1791,-0.2824,-0.1466,0.1999,0.2893,0.5782,0.5281,0.5166,0.5157,0.6747,0.457,0.435,0.3945,0.4037,0.4712,0.4069,0.4651,0.502,0.4325,0.4291,0.4344,0.3023,0.2502,0.2928,0.4603,0.5437,0.4931,0.3791,0.3522,0.4043,0.4197,0.4026,0.3962,0.5277,0.5339,0.546,0.5785,0.5669,0.6811,0.6795,0.5866,0.4251,0.3228,0.4321,0.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VO monthly avg,Consumer Goods,0,25.12,15.65,12.25,5.33,4.71,11.95,2.8,17.45,10.68,0.4,3.94,15.12,20.88,8.14,2.84,10.96,11.88,14.91,5.34,6.4,20.65,0.83,19.12,16.77,13.81,6.27,6.02,0.17,254.63,7.67,9.02,15.62,21.56,14.46,14.63,13.47,23.39,21.74,23.99,10.84,8.36,3.98,9.57,4.81,5.71,8.13,7.93,10.39,11.04,12.3,15.94,7.41,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total assets,Consumer Goods,110585,110585,110585,110585,110585,110585,110585,110585,110585,110585,125477,125477,125477,125477,125477,125477,125477,125477,125477,125477,125477,125477,130152,130152,130152,130152,130152,130152,130152,130152,130152,130152,130152,130152,141571,141571,141571,141571,141571,141571,141571,141571,141571,141571,141571,141571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net sales,Consumer Goods,356632,356632,356632,356632,356632,356632,356632,356632,356632,356632,387415,387415,387415,387415,387415,387415,387415,387415,387415,387415,387415,387415,461947,461947,461947,461947,461947,461947,461947,461947,461947,461947,461947,461947,440530,440530,440530,440530,440530,440530,440530,440530,440530,440530,440530,440530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
common equity,Consumer Goods,46655,46655,46655,46655,46655,46655,46655,46655,46655,46655,51908,51908,51908,51908,51908,51908,51908,51908,51908,51908,51908,51908,55836,55836,55836,55836,55836,55836,55836,55836,55836,55836,55836,55836,71331,71331,71331,71331,71331,71331,71331,71331,71331,71331,71331,71331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnover ratio,Consumer Goods,0%,0.07%,0.04%,0.03%,0.01%,0.01%,0.03%,0.01%,0.05%,0.03%,0%,0.01%,0.04%,0.05%,0.02%,0.01%,0.03%,0.03%,0.04%,0.01%,0.02%,0.05%,0%,0.05%,0.04%,0.04%,0.02%,0.02%,0%,0.69%,0.02%,0.03%,0.05%,0.06%,0.04%,0.04%,0.04%,0.07%,0.07%,0.07%,0.03%,0.03%,0.01%,0.03%,0.01%,0.02%,0.02%,0.02%,0.03%,0.03%,0.04%,0.05%,0.02%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Consumer Goods,,0.30557208,-0.042527339,0.022208122,0.108679909,0.078430458,0,-0.181794583,-0.066677242,0.309500878,-0.054555681,0.153846154,0.216696411,0.067603247,-0.084511342,0.276905119,0,0.084360635,-0.222240956,0.214301198,-0.058835531,0.16250271,-0.032237011,0.166650609,0.180956707,-0.028058459,-0.090904185,0,0.06000831,0.056592504,0.196438666,-0.10447673,0.099996702,0.21211985,0.218748841,0.153846934,0.111113065,0.089768752,0.098038504,-0.142856198,0.124999036,-0.018518392,-0.022641351,0.100385383,-0.017543746,0.142856198,0.024999855,0.189023323,0.202563141,-0.070180565,-0.107143919,0.120001332,-0.047616217,0.02499621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
