me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Technology,449170,449170,449170,449170,449170,449170,449170,632413,632413,632413,632413,632413,632413,632413,632413,632413,632413,632413,632413,544261,544261,544261,544261,544261,544261,544261,544261,544261,544261,544261,544261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excess return,Technology,,0.088591385,-0.068205359,-0.28609887,-0.157355729,-0.172458,-0.275038874,-0.143884077,-0.1627054,-0.216807757,-0.318359742,-0.335528746,-0.179120096,-0.1660693,-0.184251487,-0.547003462,-0.1654973,-0.12210488,-0.262923803,-0.300433235,-0.375205299,0.074980393,-0.411366725,-0.2666189,-0.1113607,0.351694354,-0.1301722,-0.248702223,-0.0787858,-0.56154898,-0.346718908,-0.070137044,0.3342601,-0.463145522,0.015690489,-0.261699911,-0.05916611,-0.283914874,-0.128066369,-0.07851694,-0.008826266,-0.271393836,-0.205023567,-0.1107047,-0.1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risk premium,Technology,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Technology,0.8105,0.8093,0.97,0.8351,0.8088,0.866,0.8796,0.8496,0.8858,0.8867,0.6719,0.5849,0.6239,0.7011,0.7501,0.7574,0.7571,0.7284,0.7874,0.6492,0.5946,0.6196,0.5767,0.3003,0.1089,0.1113,0.0494,0.0432,-0.3034,-0.2701,-0.2214,-0.1094,-0.0327,0.1048,0.1777,0.1857,0.1552,0.1291,0.1442,0.1114,0.0957,-0.1328,-0.1236,0.0969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VO monthly avg,Technology,1,32.68,27.93,14.42,10.44,23.22,67.57,27.5,15.94,6.46,8.4,15.31,10.84,6.35,6.15,12.13,7.8,14.84,5.47,3.2,9.52,8.9,2.27,2.66,1.92,6.41,19.05,11.65,0,1.54,6.5,22.58,16.35,4.75,28.55,25.81,8.95,21.26,69.13,96.42,683.71,16.79,22.69,27.83,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total assets,Technology,498896,498896,498896,498896,498896,498896,498896,751758,751758,751758,751758,751758,751758,751758,751758,751758,751758,751758,751758,384420,384420,384420,384420,384420,384420,384420,384420,384420,384420,384420,384420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net sales,Technology,75344,75344,75344,75344,75344,75344,75344,141321,141321,141321,141321,141321,141321,141321,141321,141321,141321,141321,141321,446181,446181,446181,446181,446181,446181,446181,446181,446181,446181,446181,446181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
common equity,Technology,48837,48837,48837,48837,48837,48837,48837,87437,87437,87437,87437,87437,87437,87437,87437,87437,87437,87437,87437,-159898,-159898,-159898,-159898,-159898,-159898,-159898,-159898,-159898,-159898,-159898,-159898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnover ratio,Technology,0%,0.04%,0.03%,0.02%,0.01%,0.03%,0.07%,0.03%,0.02%,0.01%,0.01%,0.02%,0.01%,0.01%,0.01%,0.01%,0.01%,0.02%,0.01%,0%,0.01%,0.01%,0%,0%,0%,0.01%,0.02%,0.01%,0%,0%,0.01%,0.02%,0.02%,0.01%,0.03%,0.03%,0.01%,0.02%,0.07%,0.1%,0.74%,0.02%,0.02%,0.03%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Technology,,0.263177285,0.109704641,-0.11138757,0.014098671,0,-0.111124074,0.015640723,0,-0.053845657,-0.170730042,-0.196080046,-0.024414396,0,-0.012495187,-0.367087262,0,0.03998432,-0.096117603,-0.148933635,-0.225045499,0.225815193,-0.263134625,-0.1429,0,0.458406254,-0.02856,-0.147080623,0,-0.48276528,-0.266567108,0.018070756,0.4285,-0.362443122,0.117485589,-0.157700811,0.04141149,-0.179781574,-0.024581769,0.02520126,0.097302834,-0.177660236,-0.108210367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
