me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Industrials,20841,20841,20841,5353,5353,5353,5353,5353,5353,5353,5353,5353,5353,5353,5353,8969,8969,8969,8969,8969,8969,8969,8969,8969,8969,8969,8969,25547,25547,25547,25547,25547,25547,25547,25547,25547,25547,25547,25547,30112,30112,30112,30112,30112,30112,30112,30112,30112,30112,30112,30112,39259,39259,39259,39259,39259,39259,39259,39259,39259,39259,39259,39259,65805,65805,65805,65805,65805,65805,65805,65805,65805,65805,65805,65805,80066,80066,80066,80066,80066,80066,80066,80066,80066,80066,80066,80066,125874,125874,125874,125874,125874,125874,125874,125874,125874,125874,125874,125874,181282,181282,181282,181282,181282,181282,181282,181282,181282,181282,181282,181282,184200,184200,184200,184200,184200,184200,184200,184200,184200,184200,184200,184200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excess return,Industrials,,0.329546028,0.489964887,-0.57352953,-0.515839313,0.801377228,-0.1895432,-0.1950064,0.305927553,-0.36894998,0.015841065,-0.36988688,-0.2139761,-0.006265135,-0.213204,-0.709339639,-0.526766213,0.819891928,0.075016727,-0.1628837,-0.76111287,-0.1572734,0.341025528,0.197971343,0.108368127,-0.343747765,-0.397413527,-0.1480778,-0.1786597,0.82568733,-0.00389982,-0.1598514,-0.299442433,-0.33106498,0.22038363,-0.6441705,0.53647068,-0.081303167,-0.471707359,0.271980361,-0.450706201,-0.401733233,0.072303859,-0.141269406,-0.2522216,-0.445019101,2.630299233,0.124702429,-0.27582749,-0.076868492,-0.302894303,-0.114778658,-0.18161686,-0.024729004,-0.023832643,-0.041952156,0.150451236,-0.283810703,-0.122436028,0.171844741,0.240665073,0.118852685,-0.037579118,-0.21095133,0.137813803,-0.055990184,-0.127769699,0.004561216,-0.005095537,-0.029837537,-0.236000432,-0.195654949,0.078255186,0.10177316,0.10842103,-0.18113597,-0.137266626,-0.206803996,-0.1120781,-0.252428251,-0.2447771,-0.219290315,-0.049254968,-0.223071159,-0.1010873,-0.065656924,-0.17524508,-0.073143143,-0.075472924,-0.375053482,-0.1001664,-0.055896106,-0.24926211,0.110575931,-0.0829204,-0.062855,-0.185741985,0.354022635,-0.245457224,-0.116273995,-0.25148761,-0.0912447,-0.601361436,0.099088165,-0.01665611,-0.25084762,-0.36985058,-0.0978966,-0.0935181,0.285343553,-0.36592598,0.032413594,-0.424025821,0.241922959,-0.0765123,-0.435178488,0.9443518,-0.243362152,-0.0497317,-0.182052529,0.220787633,-0.393146021,-0.21936688,0.35107793,-0.156256133,-0.20811308,-0.60444117,0.0019817,-0.0352421,-0.5520286,-0.0528239,-0.0523738,-0.07735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risk premium,Industrials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Industrials,0.7863,0.7141,0.964,0.8116,0.9974,1.2517,1.2864,1.4128,1.3911,1.5092,1.2541,1.5955,1.5647,1.3415,1.408,1.2195,1.2137,0.9848,0.9209,0.8299,0.7732,0.7218,0.7176,0.4917,0.5931,0.6968,0.7727,0.7806,1.2819,1.266,1.2154,1.0278,0.9557,1.1142,1.4177,1.9535,1.9592,2.0355,2.0189,2.0795,2.0415,2.4873,2.4863,2.5597,2.3432,1.8798,1.9307,1.9337,1.7721,1.3911,1.3829,1.4764,0.1184,0.1129,0.1028,-0.1209,-0.4973,-0.5626,-1.3196,-1.1252,-1.1538,-0.743,-0.897,-1.2876,-1.1594,-1.1178,-0.9598,-0.9805,-0.8538,0.4836,0.4867,0.4966,0.4938,0.5119,0.4857,0.2398,0.2877,0.3138,0.4187,0.4763,0.9046,0.8009,0.959,0.3128,0.2371,0.147,0.2927,0.2087,0.129,0.158,0.1328,0.1302,-0.0929,-0.0262,-0.0092,-0.165,-0.2966,-0.1734,-0.1149,-0.1373,-0.0544,0.0269,0.1987,0.2224,0.1951,0.1137,0.1052,0.1182,0.0487,0.0296,0.131,0.1187,0.0616,0.0606,-0.0879,-0.3055,-0.3786,-0.5526,-0.5241,-0.3866,-0.3461,-0.423,-0.5445,-0.5584,-1.1044,-0.6771,-1.2327,-1.2759,-0.7533,-0.4178,-0.4147,-0.4274,,,,,,,,,,,,,,,,,,,,,,,,,
VO monthly avg,Industrials,0,34.5,161.45,26.75,4.88,13.95,56.83,15.76,50.96,74.71,13.87,18.62,28.63,56.03,51.58,16.91,97.74,171.55,18.75,12.85,20.53,40.96,10.12,39.16,30,18.36,21.88,0.4,4.25,31.58,16.96,7.47,21.02,23.98,44.61,45.05,56.45,198.37,28.02,57.75,66.48,16.18,13.09,21.17,23.99,52.17,309.39,253.18,54.21,71.43,55.05,87.79,49.99,87.08,25.88,38.04,106.43,342.5,100.73,88.71,87.16,77.48,55.51,71.16,49.91,47.14,18.39,52.38,32.12,15.14,108.67,22.55,29.22,55.91,44.68,23.57,32.7,45.42,24.95,57.22,55.7,96.55,92.4,7.81,15.1,87.81,33.18,32.82,17.98,9.08,181.61,5.05,6.95,1.05,2.27,0.06,8.39,0.02,11.12,0,1.1,52.85,79.14,138.8,46.2,41,7.6,126.48,77.75,22.16,21.21,26.94,12.57,19.17,6.9,33.1,617.9,38.53,46.45,20.77,31.82,114.27,20,24.49,80.25,28.5,223.22,168.47,104.39,22.89,100.05,55.46,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total assets,Industrials,47957,47957,47957,25765,25765,25765,25765,25765,25765,25765,25765,25765,25765,25765,25765,32505,32505,32505,32505,32505,32505,32505,32505,32505,32505,32505,32505,52209,52209,52209,52209,52209,52209,52209,52209,52209,52209,52209,52209,67245,67245,67245,67245,67245,67245,67245,67245,67245,67245,67245,67245,95990,95990,95990,95990,95990,95990,95990,95990,95990,95990,95990,95990,131855,131855,131855,131855,131855,131855,131855,131855,131855,131855,131855,131855,145225,145225,145225,145225,145225,145225,145225,145225,145225,145225,145225,145225,190146,190146,190146,190146,190146,190146,190146,190146,190146,190146,190146,190146,162263,162263,162263,162263,162263,162263,162263,162263,162263,162263,162263,162263,126799,126799,126799,126799,126799,126799,126799,126799,126799,126799,126799,126799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net sales,Industrials,45218,45218,45218,45693,45693,45693,45693,45693,45693,45693,45693,45693,45693,45693,45693,61873,61873,61873,61873,61873,61873,61873,61873,61873,61873,61873,61873,67170,67170,67170,67170,67170,67170,67170,67170,67170,67170,67170,67170,94474,94474,94474,94474,94474,94474,94474,94474,94474,94474,94474,94474,120883,120883,120883,120883,120883,120883,120883,120883,120883,120883,120883,120883,198215,198215,198215,198215,198215,198215,198215,198215,198215,198215,198215,198215,245398,245398,245398,245398,245398,245398,245398,245398,245398,245398,245398,245398,246555,246555,246555,246555,246555,246555,246555,246555,246555,246555,246555,246555,238843,238843,238843,238843,238843,238843,238843,238843,238843,238843,238843,238843,187706,187706,187706,187706,187706,187706,187706,187706,187706,187706,187706,187706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
common equity,Industrials,27116,27116,27116,20412,20412,20412,20412,20412,20412,20412,20412,20412,20412,20412,20412,23536,23536,23536,23536,23536,23536,23536,23536,23536,23536,23536,23536,26662,26662,26662,26662,26662,26662,26662,26662,26662,26662,26662,26662,37133,37133,37133,37133,37133,37133,37133,37133,37133,37133,37133,37133,56731,56731,56731,56731,56731,56731,56731,56731,56731,56731,56731,56731,66050,66050,66050,66050,66050,66050,66050,66050,66050,66050,66050,66050,65159,65159,65159,65159,65159,65159,65159,65159,65159,65159,65159,65159,64272,64272,64272,64272,64272,64272,64272,64272,64272,64272,64272,64272,-19019,-19019,-19019,-19019,-19019,-19019,-19019,-19019,-19019,-19019,-19019,-19019,-57401,-57401,-57401,-57401,-57401,-57401,-57401,-57401,-57401,-57401,-57401,-57401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnover ratio,Industrials,0%,0.03%,0.13%,0.01%,0%,0.01%,0.02%,0.01%,0.02%,0.03%,0.01%,0.01%,0.01%,0.02%,0.02%,0.01%,0.04%,0.07%,0.01%,0.01%,0.01%,0.02%,0%,0.02%,0.01%,0.01%,0.01%,0%,0%,0.01%,0.01%,0%,0.01%,0.01%,0.02%,0.02%,0.02%,0.08%,0.01%,0.02%,0.03%,0.01%,0.01%,0.01%,0.01%,0.02%,0.12%,0.1%,0.02%,0.03%,0.02%,0.03%,0.02%,0.03%,0.01%,0.02%,0.04%,0.14%,0.04%,0.03%,0.03%,0.03%,0.02%,0.03%,0.02%,0.02%,0.01%,0.02%,0.01%,0.01%,0.04%,0.01%,0.01%,0.02%,0.02%,0.01%,0.01%,0.02%,0.01%,0.02%,0.02%,0.04%,0.04%,0%,0.01%,0.03%,0.01%,0.01%,0.01%,0%,0.07%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.02%,0.03%,0.06%,0.02%,0.02%,0%,0.05%,0.03%,0.01%,0.01%,0.01%,0%,0.01%,0%,0.01%,0.25%,0.02%,0.02%,0.01%,0.01%,0.05%,0.01%,0.01%,0.03%,0.01%,0.09%,0.07%,0.04%,0.01%,0.04%,0.02%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Industrials,,0.498134328,0.667496887,-0.40029873,-0.332503113,0.998134328,0,0,0.500466853,-0.16677038,0.200149365,-0.16677038,0,0.200149365,0,-0.500311139,-0.332503113,0.998134328,0.250233427,0,-0.59970127,0,0.498134328,0.333748443,0.250233427,-0.200149365,-0.250233427,0,0,1.00124533,0.16677038,0,-0.142933333,-0.16677038,0.40029873,-0.4288,0.75070028,0.142933333,-0.250116659,0.499688861,-0.221991701,-0.142933333,0.333540759,0.124591694,0,-0.221991701,2.856533333,0.333425529,-0.08338519,0.090970808,-0.138871603,0.064434542,-0.09085766,0.066583696,0.062543757,0.029431144,0.200021336,-0.238154503,-0.124970828,0.178557141,0.242475673,0.146343685,-0.021290118,-0.21737013,0.138871603,-0.048811584,-0.102537099,0.028589716,0.027795063,0.081029263,-0.124988332,-0.085769149,0.187514586,0.21057286,0.21737013,-0.08927857,-0.039241526,-0.102034596,0,-0.136371351,-0.1052373,-0.088183615,0.096712032,-0.117614759,0,0.033354076,-0.06455498,0.034504957,0.033354076,-0.258099482,0,0.043506494,-0.16661481,0.199925331,0,0,-0.125077785,0.428698435,-0.166645924,-0.040023895,-0.16661481,0,-0.500093336,0.200149365,0.08338519,-0.15393452,-0.27257298,0,0,0.374708353,-0.27257298,0.124591694,-0.333195021,0.333540759,0,-0.375174988,1,-0.199775952,0,-0.125058329,0.285333333,-0.333195021,-0.16677038,0.40029873,-0.142933333,-0.16677038,-0.59970127,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
