me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Basic Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,404,404,404,404,404,404,404,404,404,404,404,16545,16545,16545,16545,16545,16545,16545,16545,16545,16545,16545,16545,16545,8031,8031,8031,8031,8031,8031,8031,8031,8031,8031,8031,8031,18814,18814,18814,18814,18814,18814,18814,18814,18814,18814,18814,18814,195201,195201,195201,195201,195201,195201,195201,195201,195201,195201,195201,195201,682765,682765,682765,682765,682765,682765,682765,682765,682765,682765,682765,682765,691592,691592,691592,691592,691592,691592,691592,691592,691592,691592,691592,691592,938506,938506,938506,938506,938506,938506,938506,938506,938506
Excess return,Basic Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203,-0.162744698,-0.469447531,-0.183891871,-0.296105683,-0.332132712,0.394537397,-0.206924732,-0.158883967,-0.182538142,-0.19649532,-0.156496573,-0.213564398,-0.176489452,-0.14790816,-0.221064878,-0.29017429,-0.236100568,-0.226841391,-0.056021533,-0.054373353,-0.125881747,-0.125401213,-0.231545654,-0.129092731,-0.142239766,-0.156482967,-0.137887301,-0.17049802,-0.0934726,-0.081505081,-0.113885828,-0.239306374,-0.082190527,-0.29406034,-0.056694958,-0.135824286,-0.14818071,-0.130578716,-0.10727,-0.270269075,-0.019026965,-0.098612412,-0.135875154,-0.094446968,-0.156014921,-0.08058886,0.002966684,-0.06775529,-0.194682483,-0.243333132,-0.209750883,-0.286661418,0.045529183,-0.239080967,-0.259825137,0.019954603,-0.339121766,-0.049398636,-0.290637203,-0.185750484,-0.152916858,0.170494031,-0.192993721,-0.090623942,-0.103826492,0.011048501,0.347593583
Risk premium,Basic Materials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Basic Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2048,1.6955,1.6696,1.1774,1.1111,1.9429,1.7249,1.7238,1.6328,1.0597,1.0229,0.7884,0.7912,0.712,0.6824,0.6723,0.6181,0.604,0.624,0.5997,0.6005,0.5938,0.5955,0.5963,0.5951,0.4352,0.3271,0.2903,0.1398,0.1702,0.1844,0.2572,0.2584,0.3055,0.3069,0.3402,0.3434,0.2999,0.3034,0.39,0.6303,0.6338,0.5905,0.7058,0.7137,0.6696,0.695,0.6744,0.6721,0.7503,0.7316,0.9259,1.089,1.044,1.0284,1.0551,1.1734,1.1014,1.191,0.9668,0.8546,1.0794,1.0687,0.9737,0.9117,0.788,0.951,
VO monthly avg,Basic Materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.38,252.81,120.49,168.06,280.97,122.23,120.89,167.93,375.25,162.94,21.27,23.98,14.1,30.77,16.58,64.6,30.91,44.04,86.5,71.52,7.64,448.25,42.73,13.98,149.81,28.88,32.13,92.32,18.36,13.21,47.38,41.24,65.06,146.02,287.46,63.51,50.88,46.52,49.2,41.95,32.12,31.03,11.05,46.93,32.33,137.53,90.48,56.54,70.89,73.3,52.26,47.8,39.04,129.33,94.27,56.54,81.98,36.31,39.98,54.13,48.45,36.15,93.22,54.19,30.28,21.92,106.61,78.44,100.12
Total assets,Basic Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,80,80,80,80,80,80,80,80,80,80,80,353283,353283,353283,353283,353283,353283,353283,353283,353283,353283,353283,353283,353283,445221,445221,445221,445221,445221,445221,445221,445221,445221,445221,445221,445221,473163,473163,473163,473163,473163,473163,473163,473163,473163,473163,473163,473163,776747,776747,776747,776747,776747,776747,776747,776747,776747,776747,776747,776747,1523301,1523301,1523301,1523301,1523301,1523301,1523301,1523301,1523301,1523301,1523301,1523301,1377628,1377628,1377628,1377628,1377628,1377628,1377628,1377628,1377628,1377628,1377628,1377628,1854723,1854723,1854723,1854723,1854723,1854723,1854723,1854723,1854723
Net sales,Basic Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5424,5424,5424,5424,5424,5424,5424,5424,5424,5424,5424,5424,21957,21957,21957,21957,21957,21957,21957,21957,21957,21957,21957,21957,35163,35163,35163,35163,35163,35163,35163,35163,35163,35163,35163,35163,474366,474366,474366,474366,474366,474366,474366,474366,474366,474366,474366,474366,918807,918807,918807,918807,918807,918807,918807,918807,918807,918807,918807,918807,1372605,1372605,1372605,1372605,1372605,1372605,1372605,1372605,1372605
common equity,Basic Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-324,-324,-324,-324,-324,-324,-324,-324,-324,-324,-324,-324,336738,336738,336738,336738,336738,336738,336738,336738,336738,336738,336738,336738,336738,437189,437189,437189,437189,437189,437189,437189,437189,437189,437189,437189,437189,456118,456118,456118,456118,456118,456118,456118,456118,456118,456118,456118,456118,591304,591304,591304,591304,591304,591304,591304,591304,591304,591304,591304,591304,806266,806266,806266,806266,806266,806266,806266,806266,806266,806266,806266,806266,709221,709221,709221,709221,709221,709221,709221,709221,709221,709221,709221,709221,865034,865034,865034,865034,865034,865034,865034,865034,865034
Turnover ratio,Basic Materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16%,0.18%,0.08%,0.12%,0.2%,0.09%,0.08%,0.12%,0.26%,0.11%,0.01%,0.02%,0.01%,0.02%,0.01%,0.04%,0.02%,0.03%,0.06%,0.05%,0.01%,0.31%,0.03%,0.01%,0.1%,0.02%,0.02%,0.06%,0.01%,0.01%,0.03%,0.03%,0.04%,0.1%,0.19%,0.04%,0.03%,0.03%,0.03%,0.02%,0.02%,0.02%,0.01%,0.03%,0.02%,0.07%,0.05%,0.03%,0.04%,0.04%,0.03%,0.02%,0.02%,0.07%,0.05%,0.03%,0.04%,0.02%,0.02%,0.03%,0.03%,0.02%,0.05%,0.03%,0.02%,0.01%,0.06%,0.04%,0.05%
Return monthly,Basic Materials,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.0203,0.035871802,-0.273062731,-0.021215671,-0.135106383,-0.126230012,0.576456097,-0.018975332,0.029582433,-0.029727042,-0.04715262,-0.018527373,-0.074168798,-0.042883452,-0.01786696,-0.090959978,-0.16148399,-0.107398568,-0.097079391,0.072209567,0.070958147,-0.003372347,-0.003184713,-0.107028754,-0.003801431,-0.032772166,-0.056625667,-0.040098401,-0.08329062,0,0.011462119,-0.011332228,-0.136427174,0.023955973,-0.19032564,0.047637642,-0.030190086,-0.04688701,-0.033064516,0,-0.152210175,0.099852435,0.017889088,-0.014059754,0.028966132,-0.035080121,0.03994614,0.123003884,0.04688701,-0.080763583,-0.129792332,-0.085819183,-0.151104418,0.178001183,-0.110441767,-0.128103837,0.157928803,-0.204583566,0.085734364,-0.157928803,-0.056110684,-0.006514658,0.319672131,-0.055900621,0.042763158,0.025867508,0.150061501,0.347593583
