me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Basic Materials,278390,278390,278390,278390,278390,278390,278390,278390,278390,278390,308154,308154,308154,308154,308154,308154,308154,308154,308154,308154,308154,308154,445341,445341,445341,445341,445341,445341,445341,445341,445341,445341,445341,445341,463414,463414,463414,463414,463414,463414,463414,463414,463414,463414,463414,463414,683802,683802,683802,683802,683802,683802,683802,683802,683802,683802,683802,683802,765944,765944,765944,765944,765944,765944,765944,765944,765944,765944,765944,765944,773220,773220,773220,773220,773220,773220,773220,773220,773220,773220,773220,773220,866042,866042,866042,866042,866042,866042,866042,866042,866042,866042,866042,866042,881875,881875,881875,881875,881875,881875,881875,881875,881875,881875,881875,881875,1107912,1107912,1107912,1107912,1107912,1107912,1107912,1107912,1107912,1107912,1107912,1107912,976482,976482,976482,976482,976482,976482,976482,976482,976482,976482,976482,976482,1162482,1162482,1162482,1162482,1162482,1162482,1162482,1162482,1162482,1162482,1162482,1162482,621708,621708,621708,621708,621708,621708,621708,621708,621708,621708,621708,621708,,,
Excess return,Basic Materials,,-0.005097968,-0.168582568,-0.285548418,-0.051160525,-0.062441902,-0.156316691,-0.237206386,-0.037205023,-0.18174067,-0.126108447,0.117469206,0.065899696,-0.258890521,0.177442103,-0.174950247,-0.251376314,-0.234381675,-0.127947972,-0.40899842,-0.181388873,-0.1784855,-0.206128101,-0.278153432,-0.198156478,-0.260401885,-0.212283914,-0.321316429,-0.219146133,0.200745301,-0.275691897,-0.109421037,-0.093877839,-0.176587859,-0.050070619,-0.150821189,-0.071538421,-0.029820531,-0.13378487,-0.275060931,-0.258981111,-0.223422762,-0.153585561,-0.186792418,-0.006033496,-0.158111341,-0.275731329,-0.250876497,-0.235568857,-0.049354166,-0.109347099,-0.141006268,-0.201636759,-0.040223603,-0.1605022,-0.086339454,-0.143111451,-0.086720948,-0.128164494,0.021468551,-0.197330011,0.125414313,-0.094791078,-0.033627104,-0.125421539,-0.096485477,-0.045260185,-0.16789305,-0.215423277,-0.184437235,-0.113613778,-0.103973346,-0.245224108,-0.150046578,-0.131293087,-0.105487525,-0.183208128,0.00063317,-0.186024168,-0.330047284,-0.31871779,-0.074449836,-0.275773609,-0.228403456,-0.25551828,-0.150484698,0.049288697,-0.203703543,-0.220706084,-0.072224874,-0.221728566,-0.477318711,0.180495516,-0.579917766,-0.626544956,-0.511843449,-0.213490506,-0.236952472,-0.091344495,0.144925094,-0.247678445,-0.123681849,-0.381332266,-0.006061043,-0.185022097,-0.099376348,-0.242732512,-0.080428641,-0.138643431,-0.250798733,-0.250844715,-0.134372553,-0.25508622,-0.341885365,-0.336930797,-0.075949778,-0.235430571,-0.083875319,-0.118324543,-0.206263024,-0.107492898,-0.254064202,-0.105844538,-0.302380393,-0.236280316,-0.198964183,-0.32104719,-0.288123911,-0.121469537,-0.29416212,-0.099345562,-0.199968977,-0.273170738,-0.09239548,-0.132770793,-0.230372458,-0.132411086,-0.468739856,-0.101187093,-0.262091224,-0.309443037,-0.203425054,-0.196643195,-0.191842627,-0.127803328,0.129268906,-0.229738667,-0.301585318,-0.283836426,0.059296155,-0.381873507,0.003673682,-0.057451951,-0.251387162,-0.234517792,-0.206909031,0.022466568
Risk premium,Basic Materials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Basic Materials,0.3567,0.2718,0.4251,0.4235,0.3139,0.332,0.3833,0.3926,0.5219,0.6449,0.7421,0.8905,0.8939,0.8967,0.9658,0.9962,0.99,1.0027,1.255,1.3104,1.2036,1.0585,1.1018,1.0776,1.0994,1.1432,1.0576,0.9844,1.0729,1.0586,1.0833,1.1001,1.1505,1.1628,1.1081,1.0967,1.0891,1.1004,1.1281,1.0792,1.0899,0.8762,0.8815,1.0387,1.0328,1.147,1.207,1.1904,1.2016,1.1931,1.0342,1.5163,1.3263,1.3038,1.2794,1.4001,1.471,1.2479,1.4299,1.3026,1.642,1.559,1.7043,1.8842,1.6249,1.6278,1.5874,1.6796,1.7386,1.8403,1.7588,1.7179,1.7503,1.7255,1.6453,1.437,1.5451,1.6428,1.909,2.0209,2.134,1.9298,1.7631,1.6982,1.3916,1.3819,1.3136,1.1642,1.1367,1.1257,1.2861,1.6274,1.8254,2.1441,2.1636,2.2004,2.1305,1.8895,2.0953,1.8685,1.7819,1.7924,1.7754,1.7203,1.7657,1.7717,1.818,1.8199,1.9013,1.8736,1.8634,1.9526,1.9371,1.9996,1.9225,1.7491,1.7318,1.3714,1.2861,1.3114,1.7573,1.7312,1.741,1.8646,1.8014,1.8231,1.848,1.589,1.667,1.4572,1.4546,1.4101,1.4451,1.4146,1.4208,1.4118,1.6278,1.6562,1.6402,1.6109,1.592,1.603,1.5949,1.4707,1.7224,1.68,1.6643,1.7124,1.7544,1.7168,2.2774,2.0768,2.0365,2.2544,2.2477,2.2416,
VO monthly avg,Basic Materials,0,15.58,14.57,42.19,31.76,27.79,58.99,47.92,11.25,16.92,12.1,8.77,23.88,110.59,188.14,44.55,38.17,36,54.62,99.81,68.07,32.27,26.79,12.77,77.37,134.46,54.98,55.55,36.36,148.91,24.09,38.93,37.79,51.71,43.25,170.54,142.49,88.75,36.56,87.53,42,71.97,35.84,106.6,32.97,33.24,17.62,32.1,17.44,8.41,41.66,5.52,7.64,14.09,15.41,53.11,59.76,119.46,120.79,243.75,42.49,189.1,506.53,284.29,120.71,96.61,219.65,156.28,80.23,125.68,150.06,58.35,166.46,77.09,127.61,90.52,77.84,73.22,61.44,81.26,73.78,87.48,66.45,153.3,46.52,82.52,91.86,233.76,139.48,37.27,45.82,128.99,225.34,104.65,137.54,140.15,584.4,413.5,397.86,461.8,216.61,418.55,378.79,386.49,241.72,305.32,327.19,260.96,160.85,192.62,167.18,232.79,84.01,350.83,235.45,810.5,699.94,414.65,232.61,540.5,408.58,474.93,493.76,761.49,320.85,711.89,1824.36,1112.68,1322.41,701.35,608.23,1396.2,655.85,883.73,747.67,1113.5,832.11,3186.59,2310.01,938.91,1330.63,1037.34,726.84,1779.42,1035.79,1831.37,805.15,724.94,1197.41,1165.13,1482.11,860.37,1565.95,1323.4,565.54,734.86,433.7
Total assets,Basic Materials,1120350,1120350,1120350,1120350,1120350,1120350,1120350,1120350,1120350,1120350,867042,867042,867042,867042,867042,867042,867042,867042,867042,867042,867042,867042,963403,963403,963403,963403,963403,963403,963403,963403,963403,963403,963403,963403,958349,958349,958349,958349,958349,958349,958349,958349,958349,958349,958349,958349,1238328,1238328,1238328,1238328,1238328,1238328,1238328,1238328,1238328,1238328,1238328,1238328,1469176,1469176,1469176,1469176,1469176,1469176,1469176,1469176,1469176,1469176,1469176,1469176,1929620,1929620,1929620,1929620,1929620,1929620,1929620,1929620,1929620,1929620,1929620,1929620,2323870,2323870,2323870,2323870,2323870,2323870,2323870,2323870,2323870,2323870,2323870,2323870,2633125,2633125,2633125,2633125,2633125,2633125,2633125,2633125,2633125,2633125,2633125,2633125,3068064,3068064,3068064,3068064,3068064,3068064,3068064,3068064,3068064,3068064,3068064,3068064,3121404,3121404,3121404,3121404,3121404,3121404,3121404,3121404,3121404,3121404,3121404,3121404,2861637,2861637,2861637,2861637,2861637,2861637,2861637,2861637,2861637,2861637,2861637,2861637,2852688,2852688,2852688,2852688,2852688,2852688,2852688,2852688,2852688,2852688,2852688,2852688,,,
Net sales,Basic Materials,600337,600337,600337,600337,600337,600337,600337,600337,600337,600337,472224,472224,472224,472224,472224,472224,472224,472224,472224,472224,472224,472224,484951,484951,484951,484951,484951,484951,484951,484951,484951,484951,484951,484951,572278,572278,572278,572278,572278,572278,572278,572278,572278,572278,572278,572278,609515,609515,609515,609515,609515,609515,609515,609515,609515,609515,609515,609515,1026947,1026947,1026947,1026947,1026947,1026947,1026947,1026947,1026947,1026947,1026947,1026947,978419,978419,978419,978419,978419,978419,978419,978419,978419,978419,978419,978419,1133861,1133861,1133861,1133861,1133861,1133861,1133861,1133861,1133861,1133861,1133861,1133861,686413,686413,686413,686413,686413,686413,686413,686413,686413,686413,686413,686413,1585000,1585000,1585000,1585000,1585000,1585000,1585000,1585000,1585000,1585000,1585000,1585000,1238765,1238765,1238765,1238765,1238765,1238765,1238765,1238765,1238765,1238765,1238765,1238765,1018999,1018999,1018999,1018999,1018999,1018999,1018999,1018999,1018999,1018999,1018999,1018999,973241,973241,973241,973241,973241,973241,973241,973241,973241,973241,973241,973241,,,
common equity,Basic Materials,727888,727888,727888,727888,727888,727888,727888,727888,727888,727888,428098,428098,428098,428098,428098,428098,428098,428098,428098,428098,428098,428098,389448,389448,389448,389448,389448,389448,389448,389448,389448,389448,389448,389448,411432,411432,411432,411432,411432,411432,411432,411432,411432,411432,411432,411432,460404,460404,460404,460404,460404,460404,460404,460404,460404,460404,460404,460404,583704,583704,583704,583704,583704,583704,583704,583704,583704,583704,583704,583704,964320,964320,964320,964320,964320,964320,964320,964320,964320,964320,964320,964320,1206614,1206614,1206614,1206614,1206614,1206614,1206614,1206614,1206614,1206614,1206614,1206614,1510625,1510625,1510625,1510625,1510625,1510625,1510625,1510625,1510625,1510625,1510625,1510625,1722924,1722924,1722924,1722924,1722924,1722924,1722924,1722924,1722924,1722924,1722924,1722924,1881060,1881060,1881060,1881060,1881060,1881060,1881060,1881060,1881060,1881060,1881060,1881060,1540072,1540072,1540072,1540072,1540072,1540072,1540072,1540072,1540072,1540072,1540072,1540072,2106762,2106762,2106762,2106762,2106762,2106762,2106762,2106762,2106762,2106762,2106762,2106762,,,
Turnover ratio,Basic Materials,0%,0.01%,0.01%,0.02%,0.02%,0.02%,0.03%,0.03%,0.01%,0.01%,0.01%,0.01%,0.01%,0.07%,0.13%,0.03%,0.03%,0.03%,0.04%,0.07%,0.05%,0.02%,0.02%,0.01%,0.05%,0.09%,0.04%,0.04%,0.03%,0.11%,0.02%,0.03%,0.02%,0.03%,0.03%,0.12%,0.1%,0.06%,0.03%,0.06%,0.03%,0.05%,0.03%,0.08%,0.02%,0.02%,0.01%,0.02%,0.01%,0.01%,0.03%,0%,0.01%,0.01%,0.01%,0.04%,0.04%,0.08%,0.09%,0.17%,0.03%,0.13%,0.36%,0.2%,0.08%,0.07%,0.15%,0.11%,0.06%,0.09%,0.1%,0.04%,0.12%,0.05%,0.08%,0.06%,0.05%,0.05%,0.04%,0.05%,0.05%,0.06%,0.04%,0.1%,0.03%,0.05%,0.06%,0.15%,0.09%,0.02%,0.03%,0.08%,0.14%,0.07%,0.09%,0.09%,0.37%,0.26%,0.25%,0.29%,0.14%,0.22%,0.2%,0.2%,0.13%,0.16%,0.17%,0.14%,0.08%,0.1%,0.09%,0.12%,0.04%,0.17%,0.12%,0.4%,0.35%,0.2%,0.11%,0.27%,0.2%,0.23%,0.24%,0.38%,0.16%,0.35%,0.9%,0.55%,0.65%,0.35%,0.3%,0.69%,0.32%,0.44%,0.37%,0.55%,0.41%,1.57%,1.14%,0.46%,0.66%,0.51%,0.36%,0.31%,0.18%,0.32%,0.14%,0.13%,0.21%,0.2%,0.26%,0.15%,0.27%,0.23%,0.1%,0.13%,0.08%
Return monthly,Basic Materials,,0.135625432,-0.025001268,-0.136767918,0.089115175,0.076374098,-0.023668791,-0.106472586,0.102574677,-0.03401197,0.025943853,0.276170706,0.237615396,-0.080498421,0.362787503,0.020010353,-0.071206314,-0.055011575,0.068317028,-0.21584322,0.007137927,0,-0.024814701,-0.105464632,-0.024394278,-0.088680285,-0.047155114,-0.160399229,-0.053653433,0.363237101,-0.113343997,0.054985263,0.074903661,-0.009231459,0.110339681,0.010570911,0.087874879,0.135504669,0.03168543,-0.110371331,-0.090217411,-0.066122162,0.006548939,-0.016754318,0.163632904,0.018749659,-0.095090329,-0.088981297,-0.079068057,0.106011134,0.032707501,0.040720632,-0.034779859,0.126115797,0,0.080866846,0.030461549,0.072996752,0.042519206,0.181132351,-0.019384011,0.297931313,0.085379822,0.159777496,0.051047161,0.083665923,0.140446015,0.02372175,-0.019211477,0.011901665,0.077540622,0.082854354,-0.056805208,0.035209922,0.050710813,0.061793475,-0.005966828,0.18912957,0.019942832,-0.116680584,-0.10172579,0.127777564,-0.079148309,-0.035666856,-0.08169748,0.026325002,0.224295497,-0.035858943,-0.048393984,0.105694226,-0.048904266,-0.283592511,0.383995716,-0.353839466,-0.406738156,-0.299968249,0.000080994,-0.032313972,0.126709405,0.347540594,-0.047118745,0.078789351,-0.180732066,0.189367857,0.013967003,0.101990752,-0.037548512,0.124675059,0.071588469,-0.045261933,-0.048350515,0.073341247,-0.04609892,-0.128110565,-0.133763297,0.113493522,-0.046827171,0.080922881,0.045449757,-0.042294824,0.089567002,-0.058398602,0.090738462,-0.100510593,-0.039892116,-0.000108883,-0.12222319,-0.109616911,0.066251463,-0.12400852,0.071244238,-0.031832677,-0.104779438,0.07517432,0.035489607,-0.064679058,0.047690314,-0.292099256,0.068795507,-0.093154524,-0.143547037,-0.035486054,-0.029464495,-0.035338527,0.045957872,0.299158906,-0.059737767,-0.133604118,-0.101509226,0.243254555,-0.159997307,0.216362082,0.146597549,-0.033409962,-0.012862692,0.013411769,0.022466568
