me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Consumer Goods,99320,99320,99320,99320,99320,99320,99320,99320,99320,99320,73316,73316,73316,73316,73316,73316,73316,73316,73316,73316,73316,73316,70474,70474,70474,70474,70474,70474,70474,70474,70474,70474,70474,70474,84902,84902,84902,84902,84902,84902,84902,84902,84902,84902,84902,84902,83073,83073,83073,83073,83073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excess return,Consumer Goods,,1.072703433,-0.055659444,-0.33302271,-0.477752658,0.5038803,-0.549606804,0.0220866,-0.293215867,-0.3169446,-0.462272869,0.273094565,-0.269063792,-0.2868389,-0.551484975,0.219733362,-0.622535674,-0.529168263,0.586580433,-0.410764506,-0.3407075,-0.095287623,-0.249050171,-0.1325137,0.157058954,0.303990338,0.684037863,-0.099467,-0.347457949,-0.011926,-0.020658362,-0.0968892,-0.162388822,-0.013778762,-0.174833062,-0.28517235,0.700949346,-0.311406623,-0.161553522,-0.021506962,-0.030713352,-0.186455518,-0.0954965,-0.0981173,-0.140809927,-0.053156457,-0.1018406,-0.084191,-0.106866476,-0.1251883,-0.1266322,-0.1250269,-0.1203944,-0.1190705,-0.733108743,-0.312486077,0.153161648,-0.259385477,0.999784293,-0.007078304,0.257335661,-0.020126652,-0.037244444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risk premium,Consumer Goods,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Consumer Goods,0.2219,0.3973,0.6111,0.4541,0.3938,0.7019,0.6563,0.6018,0.6976,0.6642,0.8967,0.8549,0.8747,0.8403,0.8192,0.7477,0.757,0.3264,0.5683,0.7725,0.9525,0.9589,1.0432,0.4399,0.2744,0.0369,-0.0284,0.009,0.0049,0.002,0.0057,0.0284,-0.0419,-0.1035,-0.463,-0.0147,-0.1285,-0.0036,-0.025,-0.0221,0.0441,-0.1364,-0.1445,-0.1029,-0.0983,-0.1137,-0.0438,-0.043,0.1894,0.7141,0.7894,0.6163,0.5888,0.5535,0.4122,0.501,0.3008,-0.3752,-1.0847,-0.7392,-0.626,-0.5726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VO monthly avg,Consumer Goods,0,6.43,4.18,2.78,0.35,1.84,2.47,3.95,0.59,0.83,0.07,0.48,0.48,0.45,4.11,4.21,0.54,2.53,0.38,6.04,0.58,1.91,2.62,0.97,0.95,9.15,7.77,9.27,1.48,0.64,1.96,0,6.07,2.38,3.21,3.04,10.19,3.6,3.8,3.84,2.4,5.88,0.33,0,0.86,24.62,0,0,0.32,0,0,0,0,0,0.36,2.85,0.74,2.91,4.51,0.53,7.25,0.41,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total assets,Consumer Goods,92312,92312,92312,92312,92312,92312,92312,92312,92312,92312,104381,104381,104381,104381,104381,104381,104381,104381,104381,104381,104381,104381,114774,114774,114774,114774,114774,114774,114774,114774,114774,114774,114774,114774,117192,117192,117192,117192,117192,117192,117192,117192,117192,117192,117192,117192,111512,111512,111512,111512,111512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net sales,Consumer Goods,264357,264357,264357,264357,264357,264357,264357,264357,264357,264357,212502,212502,212502,212502,212502,212502,212502,212502,212502,212502,212502,212502,271034,271034,271034,271034,271034,271034,271034,271034,271034,271034,271034,271034,295484,295484,295484,295484,295484,295484,295484,295484,295484,295484,295484,295484,284295,284295,284295,284295,284295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
common equity,Consumer Goods,-7008,-7008,-7008,-7008,-7008,-7008,-7008,-7008,-7008,-7008,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,14300,14300,14300,14300,14300,14300,14300,14300,14300,14300,14300,14300,12290,12290,12290,12290,12290,12290,12290,12290,12290,12290,12290,12290,8439,8439,8439,8439,8439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnover ratio,Consumer Goods,0%,0.01%,0.01%,0%,0%,0%,0%,0.01%,0%,0%,0%,0%,0%,0%,0.01%,0%,0%,0.01%,0%,0.01%,0%,0%,0.01%,0%,0%,0.02%,0.02%,0.02%,0%,0%,0%,0%,0.01%,0.01%,0.01%,0.01%,0.02%,0.01%,0.01%,0.01%,0.01%,0.01%,0%,0%,0%,0.05%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.01%,0%,0.01%,0.01%,0%,0.02%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Consumer Goods,,1.221333333,0.099639856,-0.18231441,-0.332443258,0.666,-0.399759904,0.166,-0.142367067,-0.168,-0.300480769,0.429553265,-0.098557692,-0.112,-0.375375375,0.399038462,-0.457044674,-0.392405063,0.739583333,-0.251497006,-0.168,0.076923077,-0.071428571,0,0.278846154,0.406015038,0.780748663,0,-0.249249249,0.084,0.073800738,0,-0.068728522,0.073800738,-0.113402062,-0.19379845,0.783653846,-0.215633423,-0.068728522,0.073800738,0.072164948,-0.092948718,0,0,-0.042402827,0.044280443,0,0,-0.014134276,0,0,0,0,0,-0.627240143,-0.201923077,0.253012048,-0.201923077,1.012048193,0.023952096,0.292397661,0.018099548,0.035555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
