me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24047,24047,24047,24047,24047,24047,24047,24047,24047,24047,24047,24047,25474,25474,25474,25474,25474,25474,25474,25474,25474,25474,25474,25474,55149,55149,55149,55149,55149,55149,55149,55149,55149,55149,55149,55149,29681,29681,29681,29681,29681,29681,29681,29681,29681,29681,29681,29681,30472,30472,30472,30472,30472,30472,30472,30472,30472,30472,30472,30472,26246,26246,26246,26246,26246,26246,26246,26246,26246,26246,26246,26246,103075,103075,103075,103075,103075,103075,103075,103075,103075,103075,103075,103075,68931,68931,68931,68931,68931,68931,68931,68931,68931,68931
Excess return,Industrials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03489205,-0.191103154,-0.188834152,-0.186357298,-0.201228887,-0.017197544,-0.253501692,-0.079394996,-0.1119864,-0.172117767,-0.271589927,-0.302025301,-0.277605224,-0.251608629,-0.246343627,0.174281906,-0.189505284,0.403945419,-0.1570861,-0.124491076,-0.069979023,-0.099718276,-0.066888773,-0.057119818,-0.173940166,-0.284014024,-0.272307608,-0.126749533,-0.074268812,-0.417890713,-0.23064455,-0.1805918,-0.276277635,-0.106252641,-0.260166274,-0.264307959,-0.102319299,-0.214961755,-0.28034265,-0.120264025,-0.278090148,-0.161352281,-0.204376384,-0.074234197,-0.055309472,-0.329293816,-0.126120369,-0.078920974,-0.1442119,-0.111233603,0.03355882,-0.162023799,-0.230696872,-0.198039743,-0.036847013,-0.1232806,0.014165003,-0.245757806,0.007773003,-0.186168666,-0.156231488,-0.060652462,0.009144391,-0.138501063,-0.083317364,-0.117089764,-0.176359758,-0.097967925,-0.114747861,-0.082897145,-0.053423589,0.025848392,0.052428163
Risk premium,Industrials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0524,0.2692,0.2814,0.2788,0.4188,0.5325,0.3533,0.3593,0.3728,0.4937,0.4246,0.3761,0.3899,0.4107,0.7801,0.7812,1.2016,1.1966,1.0847,1.0977,1.0999,1.1104,1.1208,1.1126,1.1266,1.3109,1.2712,1.3031,1.3229,1.3407,1.3811,1.6086,1.5802,1.6779,1.6696,1.6683,1.7983,1.6609,1.6285,1.628,1.1132,1.1131,1.23,1.1566,1.2619,1.1167,1.1247,1.0913,1.0613,1.0943,1.0798,1.0761,0.9074,0.8428,0.8535,0.8862,0.8485,0.9722,0.9325,0.8206,0.8429,0.7793,0.8071,0.8031,0.6368,0.6426,0.7387,0.735,0.5273,0.5748,0.4864,0.4776,
VO monthly avg,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281.04,39.16,45.12,25.63,59.4,117.64,154.55,49.13,32.35,63.01,5.13,49.45,46.12,39.33,37.15,538.01,55.7,20.97,80.98,35.23,29.45,69.19,87.23,133.43,117.91,18.77,94.95,110.89,34.38,137.38,108.61,82.46,194.48,28.01,112.42,39.61,72,60.44,107.88,84.63,79.06,27.58,40.8,72.48,2.75,41.37,3.11,2.86,81.75,8.26,7.62,20.33,87.59,3.75,22.84,4.39,10.5,50.7,21.29,2.05,97.42,55.81,12.84,13.99,12.22,7.8,72.38,41.43,6.77,14.19,3.61,2.9,51.2,26.65
Total assets,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122592,122592,122592,122592,122592,122592,122592,122592,122592,122592,122592,122592,171634,171634,171634,171634,171634,171634,171634,171634,171634,171634,171634,171634,248852,248852,248852,248852,248852,248852,248852,248852,248852,248852,248852,248852,263968,263968,263968,263968,263968,263968,263968,263968,263968,263968,263968,263968,252968,252968,252968,252968,252968,252968,252968,252968,252968,252968,252968,252968,247834,247834,247834,247834,247834,247834,247834,247834,247834,247834,247834,247834,352745,352745,352745,352745,352745,352745,352745,352745,352745,352745,352745,352745,344259,344259,344259,344259,344259,344259,344259,344259,344259,344259
Net sales,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142167,142167,142167,142167,142167,142167,142167,142167,142167,142167,142167,142167,177145,177145,177145,177145,177145,177145,177145,177145,177145,177145,177145,177145,295632,295632,295632,295632,295632,295632,295632,295632,295632,295632,295632,295632,273514,273514,273514,273514,273514,273514,273514,273514,273514,273514,273514,273514,186769,186769,186769,186769,186769,186769,186769,186769,186769,186769,186769,186769,233413,233413,233413,233413,233413,233413,233413,233413,233413,233413,233413,233413,438515,438515,438515,438515,438515,438515,438515,438515,438515,438515,438515,438515,470386,470386,470386,470386,470386,470386,470386,470386,470386,470386
common equity,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98545,98545,98545,98545,98545,98545,98545,98545,98545,98545,98545,98545,146161,146161,146161,146161,146161,146161,146161,146161,146161,146161,146161,146161,193702,193702,193702,193702,193702,193702,193702,193702,193702,193702,193702,193702,234286,234286,234286,234286,234286,234286,234286,234286,234286,234286,234286,234286,222496,222496,222496,222496,222496,222496,222496,222496,222496,222496,222496,222496,221588,221588,221588,221588,221588,221588,221588,221588,221588,221588,221588,221588,249670,249670,249670,249670,249670,249670,249670,249670,249670,249670,249670,249670,275328,275328,275328,275328,275328,275328,275328,275328,275328,275328
Turnover ratio,Industrials,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.23%,0.03%,0.04%,0.02%,0.05%,0.1%,0.13%,0.04%,0.03%,0.05%,0%,0.04%,0.04%,0.03%,0.03%,0.44%,0.05%,0.02%,0.07%,0.03%,0.02%,0.06%,0.07%,0.11%,0.1%,0.02%,0.08%,0.09%,0.03%,0.11%,0.09%,0.07%,0.16%,0.02%,0.09%,0.03%,0.06%,0.05%,0.09%,0.07%,0.07%,0.02%,0.03%,0.06%,0%,0.03%,0%,0%,0.07%,0.01%,0.01%,0.02%,0.07%,0%,0.02%,0%,0.01%,0.04%,0.02%,0%,0.08%,0.05%,0.01%,0.01%,0.01%,0.01%,0.06%,0.03%,0.01%,0.01%,0%,0%,0.04%,0.02%
Return monthly,Industrials,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,-0.03489205,-0.084393554,-0.078855952,-0.074292898,-0.074144487,0.123349956,-0.139443792,0.034440904,0,-0.050014667,-0.161340127,-0.205081001,-0.173691524,-0.140134529,-0.111147327,0.308397506,-0.025504484,0.568881219,0,0.031714024,0.087064677,0.059986924,0.094371627,0.103423982,-0.012514366,-0.113927324,-0.107122008,0.040045767,0.096023888,-0.245626613,-0.06158525,0,-0.097225035,0.077855059,-0.072231474,-0.077855059,0.097323601,-0.023725055,-0.09084715,0.066699975,-0.125058548,-0.007226981,-0.044486384,0.077031603,0.106890228,-0.180591716,0.023685731,0.069130926,0,0.036157297,0.18033622,-0.017479499,-0.095980672,-0.072643343,0.083573487,0,0.133220503,-0.117559206,0.133220503,-0.070620866,-0.037878788,0.052493438,0.125141691,-0.027805763,0.028601036,-0.000805964,-0.051421658,0.030187075,-0.005777961,0.029265255,0.057269611,0.135037192,0.052428163
