me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Industrials,683387,683387,683387,683387,683387,683387,683387,820127,820127,820127,820127,820127,820127,820127,820127,820127,820127,820127,820127,1003910,1003910,1003910,1003910,1003910,1003910,1003910,1003910,1003910,1003910,1003910,1003910,569871,569871,569871,569871,569871,569871,569871,569871,569871,569871,569871,569871,511360,511360,511360,511360,511360,511360,511360,511360,511360,511360,511360,511360,500588,500588,500588,500588,500588,500588,500588,500588,500588,500588,500588,500588,375602,375602,375602,375602,375602,375602,375602,375602,375602,375602,375602,375602,340818,340818,340818,340818,340818,340818,340818,340818,340818,340818,340818,340818,329176,329176,329176,329176,329176,329176,329176,329176,329176,329176,329176,329176,300613,300613,300613,300613,300613,300613,300613,300613,300613,300613,300613,300613,293428,293428,293428,293428,293428,293428,293428,293428,293428,293428,293428,293428,271198,271198,271198,271198,271198,271198,271198,271198,271198,271198,271198,271198,233220,233220,233220,233220,233220,233220,233220,233220,233220,233220,233220,233220,,,,,,
Excess return,Industrials,,-0.302295088,-0.142308907,-0.333896173,-0.136876086,0.030723543,0.113443463,-0.159723255,-0.139060693,-0.26931887,-0.312420771,0.025644222,-0.151216043,-0.342806986,-0.459310107,-0.091593231,0.119615169,-0.304666178,-0.2896453,-0.233015538,-0.367498256,-0.549626663,-0.153853972,-0.376316844,-0.033287632,-0.362297732,-0.804154544,-0.057740347,-0.670901123,-0.345612344,-0.7865932,-0.1448448,0.029592583,-0.369433777,-0.490115738,0,0,0,0,0,0,-0.6237216,0.182833461,1.623939052,-0.506081823,0.286451544,-0.1571546,0.058752415,-0.286946666,0.695830177,0.841886704,-0.1008853,-0.223528595,-0.0810752,0.155424734,0.041567377,0.032647431,0.347913707,-0.082218979,0.02709537,0.085154903,0.220879179,-0.054576336,-0.178725968,0.138325788,-0.1409465,0.033857054,-0.184440831,-0.346534637,-0.262190526,0.052148843,-0.170592093,-0.001686086,-0.105880163,-0.258820577,-0.134147616,-0.203388204,0.034286867,-0.035415149,-0.350016739,-0.08708688,-0.245430962,-0.196789978,-0.064658688,-0.132266,-0.309562544,-0.210111713,-0.383061128,-0.066297385,-0.106763375,-0.168708706,-0.344262788,-0.050780825,-0.089590749,-0.082035759,-0.285833949,0.125445715,-0.172547856,-0.113329,-0.148558987,-0.064504658,-0.1153548,-0.058405572,-0.049961919,-0.005892765,0.016403781,-0.051179332,-0.148270179,-0.066063157,-0.071689508,-0.132408048,-0.04581219,-0.086987504,-0.18583972,-0.1057821,-0.138554598,-0.063551162,-0.011945117,-0.030212216,-0.073052867,0.061189821,-0.174891914,-0.17877214,-0.132302454,-0.137795595,-0.056717675,-0.088069057,-0.143261798,-0.123122485,0.084338001,-0.129617141,-0.052589705,0.108709417,-0.150975336,-0.088125565,-0.01856311,0.046805939,-0.0796458,-0.016631482,-0.089344362,-0.032496813,0.040508352,-0.088923723,-0.0418693,-0.008931794,-0.051314176,-0.012698363,-0.018326462,0.098118563,-0.030112191,-0.049283002,-0.070058517,-0.00642623,-0.043274809,-0.095702704,-0.11631475,-0.02498875
Risk premium,Industrials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Industrials,0.9825,0.9644,0.9584,1.0436,1.0952,1.0139,0.9769,0.9803,0.9532,0.8524,0.9412,0.9607,0.9771,0.9163,0.9019,0.8503,0.8528,0.8127,0.7531,0.7062,0.6911,0.6857,0.6183,0.6467,0.702,0.8841,0.7108,0.7713,0.5051,0.7118,0.7489,0.7896,0.9036,0.7051,,,,,,,0.3046,0.3432,0.6859,0.3647,0.6039,0.6034,0.8342,0.8396,0.6427,0.3651,0.4132,0.2331,-0.048,-0.0496,-0.0299,-0.6248,-0.216,0.7684,0.7593,0.6736,0.7242,0.8851,0.7098,0.7113,0.8757,1.0055,1.8496,1.7261,1.6762,1.671,1.6759,1.6046,1.817,1.5569,1.5031,1.6557,1.6045,1.4991,1.6986,1.688,1.0959,1.0761,1.0204,0.3364,0.732,0.4864,0.8125,0.7531,0.7604,0.6877,0.8906,0.9776,0.6524,0.5588,0.5374,0.4879,0.4989,0.4886,0.433,0.4432,0.4049,0.4096,0.4519,0.4703,0.52,0.5397,0.5435,0.554,0.4822,0.5716,0.5277,0.5163,0.5296,0.5323,0.3767,0.3941,0.4276,0.4663,0.4558,0.5102,0.4805,0.5776,0.5904,0.5924,0.7039,0.6879,0.7353,0.7195,0.5631,0.4325,0.4341,0.3349,0.2747,0.2204,0.2068,0.2372,0.1536,0.1166,0.1675,0.1667,0.0245,-0.065,-0.0761,-0.3489,-0.476,-0.4055,-0.4206,-0.4623,-0.3164,-0.2017,-0.2931,-0.2878,-0.1586,-0.1534,-0.0974,0.1408,
VO monthly avg,Industrials,1,212.2,286.97,331.05,267,275.92,308.66,127.91,259.45,281.21,134.25,141.97,220.25,63.46,439.72,224.54,84.68,167.25,217.2,118.97,115.6,269.22,208.92,65.88,118.53,549.63,95.48,61.75,70.27,95.15,311.28,298.35,52.04,139.74,32.51,0,0,0,0,0,0,55.56,40.7,73.93,36.99,319.12,86.3,126.8,160.2,205.44,348.01,234.62,110.14,38.2,763.2,53.63,116.85,386.24,191.22,312.84,112.34,507.52,507.62,806.9,253.76,157.21,205.61,401.23,365.13,526.85,389.93,547.93,442.65,446.54,1224.71,410.48,557.68,878.7,836.73,573.86,510.45,657.87,219.35,175.19,162.93,121.3,355.36,181.09,321.56,975.15,500.47,292.9,702.65,160.97,287.72,641.85,160.38,115.12,374.43,995.13,125.5,268.14,218.68,70.75,68.87,241.75,311.95,186.13,299.92,195.36,50.12,161.15,168.06,211.04,62.37,103.17,55.57,259.39,195.05,71.9,42.23,103.11,131.98,213.92,191.21,126.48,326.35,200.91,231.66,123.67,77.6,223.6,76.43,85.56,122.29,73.25,593.44,171.03,31,130.44,993.28,513.16,67.87,139.62,309.68,209.53,85.56,153.61,282.02,182.46,51.08,111.2,169.17,59.47,112.86,396.94,347.57
Total assets,Industrials,1151739,1151739,1151739,1151739,1151739,1151739,1151739,1302251,1302251,1302251,1302251,1302251,1302251,1302251,1302251,1302251,1302251,1302251,1302251,795053,795053,795053,795053,795053,795053,795053,795053,795053,795053,795053,795053,242511,242511,242511,242511,242511,242511,242511,242511,242511,242511,242511,242511,202630,202630,202630,202630,202630,202630,202630,202630,202630,202630,202630,202630,235317,235317,235317,235317,235317,235317,235317,235317,235317,235317,235317,235317,445685,445685,445685,445685,445685,445685,445685,445685,445685,445685,445685,445685,470214,470214,470214,470214,470214,470214,470214,470214,470214,470214,470214,470214,500947,500947,500947,500947,500947,500947,500947,500947,500947,500947,500947,500947,542872,542872,542872,542872,542872,542872,542872,542872,542872,542872,542872,542872,603871,603871,603871,603871,603871,603871,603871,603871,603871,603871,603871,603871,656452,656452,656452,656452,656452,656452,656452,656452,656452,656452,656452,656452,694232,694232,694232,694232,694232,694232,694232,694232,694232,694232,694232,694232,,,,,,
Net sales,Industrials,884933,884933,884933,884933,884933,884933,884933,1500438,1500438,1500438,1500438,1500438,1500438,1500438,1500438,1500438,1500438,1500438,1500438,1251051,1251051,1251051,1251051,1251051,1251051,1251051,1251051,1251051,1251051,1251051,1251051,473803,473803,473803,473803,473803,473803,473803,473803,473803,473803,473803,473803,254437,254437,254437,254437,254437,254437,254437,254437,254437,254437,254437,254437,276246,276246,276246,276246,276246,276246,276246,276246,276246,276246,276246,276246,299740,299740,299740,299740,299740,299740,299740,299740,299740,299740,299740,299740,329935,329935,329935,329935,329935,329935,329935,329935,329935,329935,329935,329935,371097,371097,371097,371097,371097,371097,371097,371097,371097,371097,371097,371097,409563,409563,409563,409563,409563,409563,409563,409563,409563,409563,409563,409563,460552,460552,460552,460552,460552,460552,460552,460552,460552,460552,460552,460552,523731,523731,523731,523731,523731,523731,523731,523731,523731,523731,523731,523731,590163,590163,590163,590163,590163,590163,590163,590163,590163,590163,590163,590163,,,,,,
common equity,Industrials,467501,467501,467501,467501,467501,467501,467501,473766,473766,473766,473766,473766,473766,473766,473766,473766,473766,473766,473766,-240691,-240691,-240691,-240691,-240691,-240691,-240691,-240691,-240691,-240691,-240691,-240691,-327801,-327801,-327801,-327801,-327801,-327801,-327801,-327801,-327801,-327801,-327801,-327801,-308730,-308730,-308730,-308730,-308730,-308730,-308730,-308730,-308730,-308730,-308730,-308730,-277433,-277433,-277433,-277433,-277433,-277433,-277433,-277433,-277433,-277433,-277433,-277433,70083,70083,70083,70083,70083,70083,70083,70083,70083,70083,70083,70083,129396,129396,129396,129396,129396,129396,129396,129396,129396,129396,129396,129396,171746,171746,171746,171746,171746,171746,171746,171746,171746,171746,171746,171746,240929,240929,240929,240929,240929,240929,240929,240929,240929,240929,240929,240929,308800,308800,308800,308800,308800,308800,308800,308800,308800,308800,308800,308800,382803,382803,382803,382803,382803,382803,382803,382803,382803,382803,382803,382803,457364,457364,457364,457364,457364,457364,457364,457364,457364,457364,457364,457364,,,,,,
Turnover ratio,Industrials,0%,0.44%,0.59%,0.45%,0.36%,0.37%,0.42%,0.17%,0.35%,0.38%,0.18%,0.19%,0.3%,0.09%,0.59%,0.3%,0.11%,0.23%,0.29%,0.16%,0.16%,0.36%,0.28%,0.09%,0.16%,0.74%,0.13%,0.08%,0.09%,0.13%,0.42%,0.4%,0.07%,0.19%,0.04%,0%,0%,0%,0%,0%,0%,0.08%,0.05%,0.1%,0.05%,0.43%,0.12%,0.17%,0.22%,0.28%,0.47%,0.32%,0.15%,0.05%,1.03%,0.07%,0.16%,0.52%,0.26%,0.42%,0.15%,0.69%,0.69%,1.09%,0.34%,0.21%,0.28%,0.54%,0.49%,0.71%,0.53%,0.21%,0.11%,0.11%,0.31%,0.1%,0.14%,0.22%,0.21%,0.15%,0.13%,0.17%,0.06%,0.04%,0.04%,0.03%,0.09%,0.05%,0.08%,0.25%,0.13%,0.07%,0.18%,0.04%,0.07%,0.16%,0.04%,0.03%,0.1%,0.25%,0.03%,0.07%,0.06%,0.02%,0.02%,0.06%,0.08%,0.05%,0.07%,0.05%,0.01%,0.04%,0.04%,0.05%,0.02%,0.03%,0.01%,0.06%,0.05%,0.02%,0.01%,0.03%,0.03%,0.05%,0.05%,0.03%,0.08%,0.05%,0.06%,0.03%,0.02%,0.05%,0.02%,0.02%,0.03%,0.02%,0.14%,0.04%,0.01%,0.03%,0.24%,0.12%,0.02%,0.03%,0.07%,0.05%,0.02%,0.04%,0.07%,0.04%,0.01%,0.03%,0.04%,0.01%,0.03%,0.09%,0.08%
Return monthly,Industrials,,-0.117937888,0.034870293,-0.146049373,0.052621514,0.212499243,0.283488163,0.008035645,0.027890907,-0.10851767,-0.147825171,0.188768322,0.025741257,-0.163180086,-0.277990407,0.094175669,0.291141569,-0.137266078,-0.125,-0.077924938,-0.211258956,-0.394627563,-0.003001072,-0.230774744,0.115438368,-0.206899432,-0.660874144,0.089751553,-0.541179823,-0.204968944,-0.6453125,0,0.182819383,-0.230912477,-0.399515738,0,0,0,0,0,0,-0.5,0.330645161,1.751515152,-0.363436123,0.429065744,0,0.198547215,-0.165656566,0.799031477,0.944818304,0,-0.143252595,0,0.233441034,0.081204977,0.099939431,0.477422907,0.046216921,0.14713217,0.205279503,0.350940479,0.062941064,-0.059214068,0.267594888,0,0.236081854,0.010103469,-0.154254037,-0.076517526,0.238080543,0.009097707,0.190934914,0.068754537,-0.085775277,0.046911484,-0.022404704,0.213730167,0.157296651,-0.157622739,0.06450482,-0.096986662,-0.046954778,0.042284512,0,-0.189169344,-0.066674213,-0.241115828,0.082307815,0.043561725,-0.020800906,-0.191473988,0.078820375,0.036613651,0.035320441,-0.181846249,0.236226415,-0.056166056,0,-0.035737387,0.049304042,0,0.058814128,0.066716981,0.114617235,0.140154881,0.073711168,-0.022918179,0.054765443,0.051821292,-0.014062948,0.07141471,0.033327296,-0.06450482,0,-0.034476298,0.042887638,0.095831783,0.081253184,0.040439733,0.177811321,-0.051903114,-0.05467694,-0.010581254,-0.010549895,0.070620025,0.040654843,-0.019533298,-0.004947185,0.189935501,-0.023318841,0.047808995,0.203365517,-0.058640136,0.003652835,0.07313049,0.134032739,0,0.060571018,-0.011392262,0.034646687,0.103363352,-0.027018023,0,0.026330206,-0.012810676,0.025953837,0.012648638,0.149985363,0.032980709,0.010651698,-0.006339917,0.05933197,0.023010991,-0.021788904,-0.02834435,-0.02498875
