me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Basic Materials,18293,18293,18293,18293,18293,18293,18293,18293,18293,24011,24011,24011,24011,24011,24011,24011,24011,24011,24011,24011,24011,22559,22559,22559,22559,22559,22559,22559,22559,22559,22559,22559,22559,342,342,342,342,342,342,342,342,342,342,342,342,845,845,845,845,845,845,845,845,845,845,845,845,2792,2792,2792,2792,2792,2792,2792,2792,2792,2792,2792,2792,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,7422,7422,7422,7422,7422,7422,7422,7422,7422,7422,7422,7422,14119,14119,14119,14119,14119,14119,14119,14119,14119,14119,14119,14119,30581,30581,30581,30581,30581,30581,30581,30581,30581,30581,30581,30581,49695,49695,49695,49695,49695,49695,49695,49695,49695,49695,49695,49695,58355,58355,58355,58355,58355,58355,58355,58355,58355,58355,58355,58355,11276,11276,11276,11276,11276,11276,11276,11276,11276,11276,11276,11276,,,,
Excess return,Basic Materials,,-0.6417713,-0.579815325,-0.345502822,0.475259134,0.369698646,-0.148379,-0.1373803,-0.139291313,-0.560686367,-0.1677519,-0.1519353,-0.17824338,-0.280774351,-0.3430496,0.381879634,-0.537803174,-0.748812926,-0.25911863,0.873856598,-0.0892514,-0.0886979,-0.0887097,-0.0981535,-0.69631487,0,0,0,0,0,0,0,0,0,0,0,0,-0.750131234,0,0.401260504,0,0.284857571,0,0,0.110851809,0,0,0,0,0,0,0,0,0,0,0.901260504,-0.210497238,0.132960112,-0.117356393,-0.067179846,4.358589647,0.493350133,-0.094031432,-0.346033038,-0.341767126,0.13931218,-0.195855933,-0.30504483,-0.154562934,-0.253884578,0.111875475,-0.051729926,-0.314501518,-0.190193574,0.260695967,-0.168018533,-0.033741055,-0.241528278,-0.145373707,-0.222052681,-0.281851413,0.00979614,-0.164903279,0.0919797,0.2218007,-0.440498768,0.364337175,-0.2714162,0.04476418,0.452910579,-0.176739318,-0.56484376,-0.399717974,-0.801370656,-0.462700964,-0.10185086,0.090580011,-0.219178952,-0.378636753,-0.033507198,-0.214941845,-0.094891246,-0.35223832,-0.176727298,-0.103991,-0.135273,-0.317912212,-0.382621266,-0.204133552,-0.13345367,-0.3161151,-0.223016583,-0.063031891,-0.31428737,-0.3043753,-0.06006332,-0.199635094,-0.089275844,-0.061639435,0.012745397,-0.185766699,-0.165124711,-0.166080868,-0.1349197,-0.139162149,-0.256803219,-0.462278206,-0.26158835,-0.308833432,-0.1174667,-0.359010273,-0.247865086,-0.023558824,0.1516226,-0.094380843,-0.093060353,-0.301511085,-0.245081461,-0.2029087,-0.1099876,-0.049975112,-0.163445066,0.044629964,-0.152010862,-0.3041907,-0.047657404,-0.051930265,-0.0863269,0.014587376,-0.17017,-0.017352112,-0.073471,-0.0712392,0.069422699,-0.593907087,0.219968065,0
Risk premium,Basic Materials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Basic Materials,5.4972,5.6551,8.6127,-2.3028,-0.4616,0.0284,0.633,0.4981,1.6487,1.3799,0.9913,0.7831,0.8291,0.8338,0.8242,0.9086,0.8954,0.9705,-0.3919,-0.3866,-0.3722,-0.3667,-0.3681,-0.1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5922,1.4709,1.5292,0.5603,0.5263,0.9117,0.8355,0.8664,1.0376,1.037,0.9108,0.9311,0.7296,0.6018,0.6119,0.6785,0.7039,0.7633,0.868,0.9526,0.9002,0.6485,-0.9167,-0.1639,1.0537,1.2991,1.7499,1.9424,1.8436,2.0149,2.1418,2.4237,2.3036,2.3161,2.5228,2.4922,2.3522,2.3753,2.3594,2.2301,2.2607,2.078,2.0855,2.1622,2.046,2.0378,2.1195,2.0364,1.8627,1.7625,1.7132,1.6048,1.6112,1.5131,1.1379,1.1152,1.0059,0.9872,0.9502,0.9425,0.8066,0.8021,0.8019,0.6602,0.8474,0.9196,0.9205,0.8701,0.6209,0.6122,0.5163,0.8124,0.8798,0.8408,0.8243,0.8194,0.7567,0.6549,0.6752,0.5851,0.7401,0.7322,0.6796,0.7689,0.6712,0.6792,0.4163,0.295,-0.01,-0.1359,-0.133,-0.0716,0.0672,-0.1207,-0.4305,
VO monthly avg,Basic Materials,0,1.45,1.24,0.02,0.06,1.04,0.03,0,0.91,0.13,0,0,42.5,66.83,1.06,0.05,0.14,0.18,0.11,0.05,0,3.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0.91,0,175,0,0,1.19,0,0,0,0,0,0,0,0,0,0,39.6,15.59,12.92,18.99,10.69,244.11,303.2,180.82,99.13,96.12,118.38,48.55,30.24,68.35,63.72,242.04,132.08,86.61,115.61,2087.51,675.01,977.92,315.33,319.02,251.4,429.65,981.22,122.31,427.96,397.94,794.87,2363.82,649.91,2057.86,4700.65,1723.03,1860.72,648.6,1171.03,686.07,1209.71,600.27,1334.91,618.08,408.25,91.76,314.52,144.75,106.08,141.25,109.98,87.45,94.64,68.85,212.47,195.21,120.12,120.67,174.76,80.44,127.93,156.15,225.29,208.12,603.88,48.27,132.29,115.83,56.63,82.52,63.45,64.79,165.88,251.46,95.41,192.95,216.78,271.43,110.9,296.57,99.78,56.49,106.67,120.72,168.8,130.85,102.16,277.6,163.55,151.48,305.25,291.76,98.47,603.07,117.96,230.22,164.76,227.78,399.39,1655.87,2054.44,230.3
Total assets,Basic Materials,32632,32632,32632,32632,32632,32632,32632,32632,32632,34070,34070,34070,34070,34070,34070,34070,34070,34070,34070,34070,34070,22667,22667,22667,22667,22667,22667,22667,22667,22667,22667,22667,22667,380,380,380,380,380,380,380,380,380,380,380,380,385,385,385,385,385,385,385,385,385,385,385,385,308831,308831,308831,308831,308831,308831,308831,308831,308831,308831,308831,308831,329364,329364,329364,329364,329364,329364,329364,329364,329364,329364,329364,329364,345239,345239,345239,345239,345239,345239,345239,345239,345239,345239,345239,345239,362897,362897,362897,362897,362897,362897,362897,362897,362897,362897,362897,362897,383907,383907,383907,383907,383907,383907,383907,383907,383907,383907,383907,383907,62163,62163,62163,62163,62163,62163,62163,62163,62163,62163,62163,62163,50077,50077,50077,50077,50077,50077,50077,50077,50077,50077,50077,50077,44499,44499,44499,44499,44499,44499,44499,44499,44499,44499,44499,44499,,,,
Net sales,Basic Materials,153468,153468,153468,153468,153468,153468,153468,153468,153468,213249,213249,213249,213249,213249,213249,213249,213249,213249,213249,213249,213249,99168,99168,99168,99168,99168,99168,99168,99168,99168,99168,99168,99168,616,616,616,616,616,616,616,616,616,616,616,616,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,372,372,372,372,372,372,372,372,372,372,372,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
common equity,Basic Materials,14339,14339,14339,14339,14339,14339,14339,14339,14339,10011,10011,10011,10011,10011,10011,10011,10011,10011,10011,10011,10011,75,75,75,75,75,75,75,75,75,75,75,75,38,38,38,38,38,38,38,38,38,38,38,38,-460,-460,-460,-460,-460,-460,-460,-460,-460,-460,-460,-460,306039,306039,306039,306039,306039,306039,306039,306039,306039,306039,306039,306039,327806,327806,327806,327806,327806,327806,327806,327806,327806,327806,327806,327806,338368,338368,338368,338368,338368,338368,338368,338368,338368,338368,338368,338368,348947,348947,348947,348947,348947,348947,348947,348947,348947,348947,348947,348947,354189,354189,354189,354189,354189,354189,354189,354189,354189,354189,354189,354189,14221,14221,14221,14221,14221,14221,14221,14221,14221,14221,14221,14221,-6060,-6060,-6060,-6060,-6060,-6060,-6060,-6060,-6060,-6060,-6060,-6060,36087,36087,36087,36087,36087,36087,36087,36087,36087,36087,36087,36087,,,,
Turnover ratio,Basic Materials,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.13%,0.21%,0%,0%,0%,0%,0%,0%,0%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.57%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.13%,0.05%,0.04%,0.06%,0.03%,0.16%,0.2%,0.12%,0.06%,0.06%,0.08%,0.03%,0.02%,0.04%,0.04%,0.16%,0.09%,0.06%,0.08%,1.12%,0.36%,0.52%,0.17%,0.17%,0.13%,0.23%,0.52%,0.07%,0.23%,0.21%,0.37%,1.1%,0.3%,0.96%,2.19%,0.8%,0.86%,0.3%,0.54%,0.32%,0.49%,0.24%,0.54%,0.25%,0.17%,0.04%,0.13%,0.06%,0.04%,0.06%,0.04%,0.04%,0.04%,0.03%,0.09%,0.08%,0.05%,0.05%,0.07%,0.03%,0.05%,0.06%,0.08%,0.07%,0.21%,0.02%,0.05%,0.04%,0.02%,0.02%,0.02%,0.02%,0.04%,0.06%,0.02%,0.05%,0.05%,0.07%,0.03%,0.07%,0.03%,0.01%,0.03%,0.04%,0.06%,0.04%,0.03%,0.08%,0.05%,0.04%,0.05%,0.05%,0.02%,0.09%,0.02%,0.04%,0.03%,0.04%,0.06%,0.26%,0.32%,0.03%
Return monthly,Basic Materials,,-0.1619,0.079584775,-0.368479222,0.566678334,0.489387846,0,0,0.071476787,-0.366652667,0,0,-0.01061008,-0.106344951,-0.166625,0.571321434,-0.363592974,-0.571471426,-0.16660833,0.960100798,0,0,0,0,-0.59181487,0,0,0,0,0,0,0,0,0,0,0,0,-0.750131234,0,0.401260504,0,0.284857571,0,0,0.110851809,0,0,0,0,0,0,0,0,0,0,0.901260504,-0.210497238,0.132960112,-0.117356393,-0.067179846,4.358589647,0.493350133,0.071435268,-0.174993438,-0.232368226,0.25006908,-0.052718833,-0.16660833,-0.013299734,-0.108115778,0.257556475,0.084250474,-0.177692218,-0.067678774,0.376959367,-0.052718833,0.088904445,-0.112182578,-0.011585807,-0.081318681,-0.139287613,0.14715874,-0.038497779,0.1199776,0.297625,-0.284365668,0.538430475,-0.0666725,0.26783538,0.676057379,0.041999382,-0.33871036,-0.158524874,-0.565243856,-0.233286664,0.13033554,0.326938611,0.014609648,-0.142942853,0.200035002,0.013854455,0.137082854,-0.13257432,0.041709202,0.1199776,0.083375,-0.098880812,-0.158642766,0.014609648,0.07139643,-0.1199776,-0.030384983,0.125020509,-0.12498177,-0.127,0.09087438,-0.049877494,0.052495856,0.083304165,0.153957997,-0.040039199,-0.027708911,-0.028648568,0,-0.014669549,-0.119417019,-0.321943406,-0.12519685,-0.171317132,0,-0.241491673,-0.136038186,0.104972376,0.2855,0.037339557,0.035620547,-0.172338885,-0.125109361,-0.095,0,0.052486188,-0.049868766,0.157458564,-0.045346062,-0.1905,0.058678196,0.056009335,0,0.104972376,-0.095,0.052486188,0,0,0.149606299,-0.521461187,0.271946565,0
