me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Industrials,4703300,4703300,4703300,4703300,4703300,4703300,4703300,4703300,4703300,4703300,8557500,8557500,8557500,8557500,8557500,8557500,8557500,8557500,8557500,8557500,8557500,8557500,6126400,6126400,6126400,6126400,6126400,6126400,6126400,6126400,6126400,6126400,6126400,6126400,5741800,5741800,5741800,5741800,5741800,5741800,5741800,5741800,5741800,5741800,5741800,5741800,5160600,5160600,5160600,5160600,5160600,5160600,5160600,5160600,5160600,5160600,5160600,5160600,6822100,6822100,6822100,6822100,6822100,6822100,6822100,6822100,6822100,6822100,6822100,6822100,6973500,6973500,6973500,6973500,6973500,6973500,6973500,6973500,6973500,6973500,6973500,6973500,9511500,9511500,9511500,9511500,9511500,9511500,9511500,9511500,9511500,9511500,9511500,9511500,8762000,8762000,8762000,8762000,8762000,8762000,8762000,8762000,8762000,8762000,8762000,8762000,7509900,7509900,7509900,7509900,7509900,7509900,7509900,7509900,7509900,7509900,7509900,7509900,7188600,7188600,7188600,7188600,7188600,7188600,7188600,7188600,7188600,7188600,7188600,7188600,8968100,8968100,8968100,8968100,8968100,8968100,8968100,8968100,8968100,8968100,8968100,8968100,12652400,12652400,12652400,12652400,12652400,12652400,12652400,12652400,12652400,12652400,12652400,12652400,,,
Excess return,Industrials,,-0.166235762,-0.204052704,-0.197670251,-0.1809296,-0.124005082,-0.109246116,-0.093598585,-0.129534142,-0.291830026,-0.104470466,-0.076807733,-0.144361964,-0.253858949,-0.143819356,-0.129572529,-0.060426871,-0.011589411,-0.211659317,-0.168112271,-0.160620716,-0.125344654,-0.121733185,-0.033346336,-0.216075434,-0.201489962,-0.178304037,-0.220188504,-0.155912036,-0.082520765,-0.109604202,-0.065731915,-0.139203,-0.196008427,-0.078190481,-0.184694332,-0.08931165,-0.079142278,-0.145352437,-0.14636341,-0.069236364,-0.152073211,-0.106134868,-0.194870349,-0.142372181,-0.142120972,-0.096037916,-0.119189305,-0.073028881,-0.105232525,-0.060087475,-0.140210637,-0.132500487,-0.146606999,-0.114991655,-0.064775291,-0.093922287,-0.074226908,-0.122177214,-0.065932499,-0.051388135,-0.054589313,-0.126586465,-0.088214845,-0.011981414,-0.162749256,-0.067402091,-0.115055587,-0.165376579,-0.054902352,-0.054848159,-0.026228183,-0.077928221,-0.052340196,-0.06667391,-0.156882534,-0.081633713,-0.190437711,-0.10130857,-0.183624736,-0.126983958,-0.054187663,-0.120838442,-0.110934477,-0.167669602,-0.285219178,-0.105556594,-0.263528985,-0.146419845,-0.326207374,-0.162000477,-0.045099104,-0.07788284,-0.172155808,-0.167958239,-0.165671902,-0.05516895,-0.068715506,-0.130050602,-0.137091378,-0.123139,-0.001354098,-0.096708287,-0.044594907,-0.014344395,-0.134740598,-0.1267742,-0.184279436,-0.177156765,-0.071365579,-0.065523462,-0.025094655,-0.115186175,-0.103894999,-0.068241649,-0.096191691,-0.191150669,-0.051466272,-0.077303605,0.005803831,-0.079044013,-0.097853109,-0.143541276,-0.151422559,-0.094680556,-0.129628559,-0.096113283,-0.118232908,-0.179446191,-0.10824714,-0.070035367,-0.106553393,-0.084119851,-0.080765853,-0.069957717,-0.123933125,-0.142457609,-0.083440959,-0.013859523,-0.044382243,-0.057090564,-0.042873571,-0.090771387,-0.030484587,-0.065286189,-0.086881975,-0.122132928,-0.045287675,-0.078452837,-0.056818026,-0.171598642,-0.131807622,-0.169616069,-0.070763792,-0.043962623,0.071394579,0.044587009
Risk premium,Industrials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Industrials,0.9722,0.9615,0.8953,0.9109,0.9592,0.7585,0.694,0.6963,0.7497,0.7101,0.7249,0.6488,0.659,0.6821,0.6757,0.6799,0.6767,0.6608,0.6237,0.6131,0.581,0.5784,0.5708,0.5974,0.626,0.6321,0.7129,0.7141,0.686,0.7281,0.7419,0.7358,0.681,0.6825,0.6806,0.7574,0.7443,0.7515,0.7495,0.7286,0.7079,0.7377,0.7288,0.7237,0.7137,0.7091,0.6632,0.6627,0.6199,0.6182,0.5632,0.5614,0.4796,0.4786,0.4512,0.4016,0.4157,0.3959,0.347,0.3762,0.3627,0.3859,0.3869,0.4551,0.4923,0.5193,0.533,0.5123,0.5084,0.5572,0.5546,0.5669,0.5558,0.5371,0.4908,0.562,0.5921,0.5694,0.6186,0.6214,0.6663,0.6381,0.5969,0.6637,0.9262,0.8309,0.9286,0.8812,0.8226,0.7859,0.5928,0.6145,0.554,0.5538,0.5255,0.5122,0.5052,0.4741,0.4561,0.4594,0.553,0.5527,0.575,0.5935,0.5813,0.5753,0.5734,0.565,0.5039,0.4918,0.5033,0.5057,0.5368,0.5289,0.5523,0.5665,0.5797,0.5596,0.5331,0.5342,0.5239,0.6019,0.616,0.614,0.5559,0.5475,0.5395,0.5327,0.519,0.5664,0.5658,0.5782,0.5764,0.5181,0.5276,0.5131,0.5171,0.5657,0.5423,0.5474,0.5059,0.5274,0.5486,0.5414,0.5151,0.5596,0.5404,0.505,0.5407,0.6276,0.5427,0.5272,0.5445,0.5579,0.4393,0.5037,
VO monthly avg,Industrials,322,1022.89,928.94,1038.52,771.17,1912.29,2417.88,1418.55,1773.95,1393.79,701.15,875.22,2121.01,995.35,2436.11,1228.28,1368.93,1940.32,1951.43,1185.5,1664.68,1315.02,801.93,1278.22,1602.74,1011.19,1767.76,1419.86,1014.33,2485.05,1832.84,1002.22,863.91,1702.32,1407.49,1617.93,1584.1,5520.54,1509.56,927.65,1216.8,1519.74,814.69,1107.65,956.76,1417.44,1010.66,920.64,926.24,1146.04,937.7,1400.12,990.37,1403.76,1605.52,1306.73,1385.7,986.96,1396.62,1124.63,855.86,1019.13,1619.28,2390.31,1189.99,1273.03,1061.82,704.02,1050.16,2080.97,1199.74,1092.66,967.89,837.04,1091.31,823.07,689.22,998.65,797.28,887.73,1018.72,900.95,639.89,996.44,882.91,1011.93,1247.08,976.59,867.01,1665.68,1405.95,1427.69,689.69,1236.3,972.21,894.93,651.89,740.05,762.78,2014.12,705.2,793.48,931.82,928.43,934.04,1251.18,1003.27,1092.42,1098.7,635.87,951.26,755.73,561.45,822.22,919.44,947.03,5533.3,571.96,624.6,1069.22,1144.26,1245.07,918.13,1006.65,651.99,1062.05,2006.74,854.43,907.63,732.14,664.76,573.69,538.19,1084.75,1065.11,764.88,1097.84,872.87,1532.4,916.15,829.19,1734.49,922.12,938.43,785.5,1257.33,915.46,852.24,1786.09,3716.59,2474.97,675.09,1004.85,1169.16,756.07,1553.79,1190.42
Total assets,Industrials,7847000,7847000,7847000,7847000,7847000,7847000,7847000,7847000,7847000,7847000,13547400,13547400,13547400,13547400,13547400,13547400,13547400,13547400,13547400,13547400,13547400,13547400,11074200,11074200,11074200,11074200,11074200,11074200,11074200,11074200,11074200,11074200,11074200,11074200,11236400,11236400,11236400,11236400,11236400,11236400,11236400,11236400,11236400,11236400,11236400,11236400,10425600,10425600,10425600,10425600,10425600,10425600,10425600,10425600,10425600,10425600,10425600,10425600,12426000,12426000,12426000,12426000,12426000,12426000,12426000,12426000,12426000,12426000,12426000,12426000,13023000,13023000,13023000,13023000,13023000,13023000,13023000,13023000,13023000,13023000,13023000,13023000,15503400,15503400,15503400,15503400,15503400,15503400,15503400,15503400,15503400,15503400,15503400,15503400,13891500,13891500,13891500,13891500,13891500,13891500,13891500,13891500,13891500,13891500,13891500,13891500,12878200,12878200,12878200,12878200,12878200,12878200,12878200,12878200,12878200,12878200,12878200,12878200,12883500,12883500,12883500,12883500,12883500,12883500,12883500,12883500,12883500,12883500,12883500,12883500,15184500,15184500,15184500,15184500,15184500,15184500,15184500,15184500,15184500,15184500,15184500,15184500,19644200,19644200,19644200,19644200,19644200,19644200,19644200,19644200,19644200,19644200,19644200,19644200,,,
Net sales,Industrials,10474300,10474300,10474300,10474300,10474300,10474300,10474300,10474300,10474300,10474300,13684700,13684700,13684700,13684700,13684700,13684700,13684700,13684700,13684700,13684700,13684700,13684700,18174000,18174000,18174000,18174000,18174000,18174000,18174000,18174000,18174000,18174000,18174000,18174000,17494600,17494600,17494600,17494600,17494600,17494600,17494600,17494600,17494600,17494600,17494600,17494600,15583100,15583100,15583100,15583100,15583100,15583100,15583100,15583100,15583100,15583100,15583100,15583100,15261900,15261900,15261900,15261900,15261900,15261900,15261900,15261900,15261900,15261900,15261900,15261900,17014400,17014400,17014400,17014400,17014400,17014400,17014400,17014400,17014400,17014400,17014400,17014400,18457500,18457500,18457500,18457500,18457500,18457500,18457500,18457500,18457500,18457500,18457500,18457500,19585600,19585600,19585600,19585600,19585600,19585600,19585600,19585600,19585600,19585600,19585600,19585600,18545500,18545500,18545500,18545500,18545500,18545500,18545500,18545500,18545500,18545500,18545500,18545500,15818600,15818600,15818600,15818600,15818600,15818600,15818600,15818600,15818600,15818600,15818600,15818600,17639100,17639100,17639100,17639100,17639100,17639100,17639100,17639100,17639100,17639100,17639100,17639100,18295600,18295600,18295600,18295600,18295600,18295600,18295600,18295600,18295600,18295600,18295600,18295600,,,
common equity,Industrials,2786200,2786200,2786200,2786200,2786200,2786200,2786200,2786200,2786200,2786200,4802400,4802400,4802400,4802400,4802400,4802400,4802400,4802400,4802400,4802400,4802400,4802400,4855100,4855100,4855100,4855100,4855100,4855100,4855100,4855100,4855100,4855100,4855100,4855100,5398600,5398600,5398600,5398600,5398600,5398600,5398600,5398600,5398600,5398600,5398600,5398600,5233000,5233000,5233000,5233000,5233000,5233000,5233000,5233000,5233000,5233000,5233000,5233000,5560600,5560600,5560600,5560600,5560600,5560600,5560600,5560600,5560600,5560600,5560600,5560600,5999400,5999400,5999400,5999400,5999400,5999400,5999400,5999400,5999400,5999400,5999400,5999400,5955900,5955900,5955900,5955900,5955900,5955900,5955900,5955900,5955900,5955900,5955900,5955900,5102400,5102400,5102400,5102400,5102400,5102400,5102400,5102400,5102400,5102400,5102400,5102400,5338200,5338200,5338200,5338200,5338200,5338200,5338200,5338200,5338200,5338200,5338200,5338200,5732100,5732100,5732100,5732100,5732100,5732100,5732100,5732100,5732100,5732100,5732100,5732100,6269900,6269900,6269900,6269900,6269900,6269900,6269900,6269900,6269900,6269900,6269900,6269900,7070900,7070900,7070900,7070900,7070900,7070900,7070900,7070900,7070900,7070900,7070900,7070900,,,
Turnover ratio,Industrials,0.06%,0.2%,0.18%,0.2%,0.15%,0.38%,0.47%,0.28%,0.35%,0.27%,0.14%,0.17%,0.42%,0.2%,0.48%,0.24%,0.27%,0.38%,0.38%,0.23%,0.26%,0.21%,0.13%,0.2%,0.25%,0.16%,0.28%,0.22%,0.16%,0.39%,0.29%,0.16%,0.13%,0.27%,0.22%,0.25%,0.25%,0.86%,0.24%,0.14%,0.19%,0.24%,0.13%,0.17%,0.15%,0.22%,0.16%,0.14%,0.14%,0.18%,0.15%,0.22%,0.15%,0.22%,0.25%,0.2%,0.21%,0.16%,0.21%,0.17%,0.13%,0.16%,0.25%,0.37%,0.18%,0.2%,0.16%,0.11%,0.16%,0.32%,0.18%,0.17%,0.15%,0.13%,0.17%,0.13%,0.11%,0.15%,0.12%,0.14%,0.16%,0.14%,0.1%,0.15%,0.13%,0.15%,0.19%,0.15%,0.13%,0.25%,0.21%,0.22%,0.1%,0.19%,0.15%,0.14%,0.1%,0.11%,0.12%,0.31%,0.11%,0.12%,0.14%,0.14%,0.14%,0.19%,0.15%,0.17%,0.17%,0.1%,0.14%,0.11%,0.09%,0.12%,0.14%,0.14%,0.84%,0.09%,0.09%,0.16%,0.17%,0.19%,0.13%,0.15%,0.09%,0.15%,0.29%,0.12%,0.13%,0.11%,0.1%,0.08%,0.08%,0.16%,0.15%,0.11%,0.16%,0.13%,0.22%,0.13%,0.12%,0.25%,0.13%,0.13%,0.11%,0.18%,0.13%,0.12%,0.26%,0.53%,0.35%,0.1%,0.14%,0.17%,0.11%,0.22%,0.17%
Return monthly,Industrials,,0.017938738,-0.030848804,-0.018183551,0,0.041680418,0.042975884,0.056268315,0.024596958,-0.139993726,0.046498234,0.066666667,0.012555036,-0.088986649,0.023249744,0.045461171,0.100005229,0.146240989,-0.055166217,-0.018886971,-0.011317716,0.022894546,0.026127215,0.109089864,-0.072137434,-0.061967662,-0.034891337,-0.076300204,-0.014794036,0.059149535,0.031235498,0.075723485,0,-0.058910927,0.055287319,-0.044678132,0.04837925,0.064202222,-0.003733937,-0.00376161,0.075461336,-0.003498111,0.044379532,-0.044677249,0.007190919,0.007152328,0.050343684,0.009460795,0.046824819,0.013914075,0.052294125,-0.018642437,-0.018985687,-0.032255199,-0.006666055,0.039525509,0.013166813,0.031814792,-0.019716214,0.035368101,0.045961965,0.044022387,-0.029411765,0.015156455,0.093133486,-0.052433356,0.051876909,0.003019313,-0.046667379,0.060601248,0.060441641,0.088086517,0.035237179,0.058047104,0.04259649,-0.044726534,0.035568587,-0.069565511,0.02336323,-0.058426536,-0.002457058,0.066662637,0.002316258,0.016628623,-0.023169002,-0.143122478,0.045195206,-0.113513385,0.006103955,-0.169695674,-0.032854077,0.084814396,0.04551916,-0.046266408,-0.051351739,-0.060153302,0.05600865,0.046752794,-0.015266302,-0.023249178,0,0.123016002,0.028266713,0.079845593,0.110027505,-0.008746698,0,-0.058234436,-0.054961065,0.047117821,0.051284438,0.091464445,0.005582225,0.017225701,0.048603251,0.018747809,-0.075129569,0.062188528,0.039031695,0.120808431,0.040311687,0.026666591,-0.017833276,-0.028340559,0.023241144,-0.011136059,0.020275217,-0.006272808,-0.064049191,0.00578606,0.044560033,0.009173207,0.029543349,0.030324447,0.042031083,-0.014857825,-0.032330309,0.024498141,0.086955377,0.057553957,0.040381136,0.057302629,0.010490413,0.067473613,0.032415111,0.012422825,-0.022937728,0.046627325,0.027411263,0.058520774,-0.059008542,-0.016744022,-0.059562569,0.040333908,0.063763277,0.182227679,0.044587009
