me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Health Care,2170200,2170200,2170200,2170200,2170200,2170200,2170200,2170200,2170200,2170200,1970300,1970300,1970300,1970300,1970300,1970300,1970300,1970300,1970300,1970300,1970300,1970300,2633900,2633900,2633900,2633900,2633900,2633900,2633900,2633900,2633900,2633900,2633900,2633900,2549100,2549100,2549100,2549100,2549100,2549100,2549100,2549100,2549100,2549100,2549100,2549100,2835400,2835400,2835400,2835400,2835400,2835400,2835400,2835400,2835400,2835400,2835400,2835400,44068900,44068900,44068900,44068900,44068900,44068900,44068900,44068900,44068900,44068900,44068900,44068900,41615000,41615000,41615000,41615000,41615000,41615000,41615000,41615000,41615000,41615000,41615000,41615000,45344000,45344000,45344000,45344000,45344000,45344000,45344000,45344000,45344000,45344000,45344000,45344000,37830000,37830000,37830000,37830000,37830000,37830000,37830000,37830000,37830000,37830000,37830000,37830000,36561000,36561000,36561000,36561000,36561000,36561000,36561000,36561000,36561000,36561000,36561000,36561000,40814000,40814000,40814000,40814000,40814000,40814000,40814000,40814000,40814000,40814000,40814000,40814000,42512000,42512000,42512000,42512000,42512000,42512000,42512000,42512000,42512000,42512000,42512000,42512000,12262000,12262000,12262000,12262000,12262000,12262000,12262000,12262000,12262000,12262000,12262000,12262000,,,
Excess return,Health Care,,0.159294687,-0.24427411,-0.004409285,-0.127781911,-0.097918341,0.011924498,-0.079685947,-0.03713886,-0.242343946,-0.03283098,0.14740377,-0.1552475,-0.212700748,-0.211663261,-0.136572069,-0.022053474,-0.140586816,-0.122228609,-0.263962369,-0.122513671,-0.140367456,-0.151262115,-0.114073286,-0.138268348,-0.076267669,-0.124806367,-0.213220745,-0.097433988,-0.077616897,-0.090637175,-0.025711257,-0.094048246,-0.123656791,-0.056735017,0.048791831,-0.155376499,-0.213453163,-0.154466474,-0.111538927,-0.063267665,-0.232388166,-0.142233568,-0.109965556,-0.076426008,-0.102180993,-0.054756991,-0.130980138,-0.154331317,-0.08903947,-0.095516715,-0.036880928,-0.078111733,-0.023993101,-0.081671712,-0.059157045,-0.127586607,-0.03186635,-0.123385677,-0.099567926,0.03934154,-0.003130515,-0.131914799,0.002903094,0.004100675,-0.229576368,-0.086391264,-0.113821289,0.06724855,-0.078473548,-0.130140372,-0.080865449,-0.086667641,-0.067311353,-0.172577418,-0.165405115,-0.074628488,-0.118694204,-0.23632516,-0.292880127,-0.144607344,-0.234682119,-0.080460154,-0.285942829,-0.179458357,-0.292739653,-0.188540152,-0.263390698,-0.134667246,-0.224321818,-0.264640172,-0.144980896,0.070757872,-0.178935297,-0.294403941,-0.003799476,-0.032925209,-0.043944,-0.158027009,-0.19503731,0.041831654,-0.06628975,-0.156738998,-0.015251716,-0.159374373,-0.131270926,-0.021470669,-0.087002234,0.007041241,-0.178358009,-0.143431907,-0.102965913,-0.106397096,-0.145424317,-0.165095437,-0.057892096,-0.154077574,-0.07103306,-0.069375978,-0.114631823,-0.080884291,-0.184776259,-0.131690664,-0.145935737,-0.160545009,-0.131432117,-0.087578403,-0.153843265,-0.20841298,-0.163877547,-0.065624632,-0.187974155,-0.091720316,-0.091712357,-0.109816048,-0.086072509,-0.130452745,-0.029040135,-0.051418629,-0.076275755,-0.023256917,-0.080707176,-0.09511801,-0.116436723,0.015064131,-0.079438749,-0.074611311,-0.097648732,-0.084608644,0.027650224,-0.132860228,-0.093114815,-0.119108074,-0.076516419,-0.076947632,-0.124368465,0.050038675
Risk premium,Health Care,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Health Care,1.243,1.1585,0.924,1.0193,0.8916,0.8474,0.7458,0.7592,0.7749,0.8297,0.9237,0.6171,0.6325,0.6749,0.6752,0.5596,0.5606,0.5973,0.7022,0.7441,0.7224,0.7273,0.7862,0.6796,0.6906,0.6914,0.8915,0.8871,0.8135,0.8565,0.8675,0.8486,0.7955,0.7848,0.6238,0.6468,0.5974,0.6409,0.6405,0.6244,0.623,0.5287,0.5264,0.541,0.5403,0.5263,0.4914,0.4921,0.4757,0.4546,0.335,0.3485,0.3579,0.3574,0.3181,0.3086,0.3615,0.3337,0.4367,0.5457,0.5994,0.6258,0.6669,0.7401,0.7757,0.7783,0.7743,0.8245,0.8295,0.919,0.9184,0.8994,0.8939,0.9438,0.9521,1.1258,1.1197,1.174,1.2951,1.2833,1.3279,1.4008,1.4759,1.3602,1.4537,1.0821,1.0772,0.9891,0.9661,1.0125,0.9098,0.7685,0.6643,0.7498,0.7504,0.7379,0.7061,0.688,0.5903,0.6223,0.6363,0.6493,0.6804,0.6721,0.6749,0.7051,0.6928,0.7155,0.6827,0.7731,0.7305,0.735,0.7296,0.7389,0.7259,0.7654,0.752,0.6149,0.6249,0.6264,0.7036,0.8599,0.8648,0.8788,0.9041,0.8646,0.8592,0.9,0.9007,0.8285,0.8224,0.7543,0.7146,0.7283,0.7036,0.7021,0.639,0.6238,0.5827,0.5997,0.5887,0.5534,0.5398,0.5613,0.4839,0.4767,0.4741,0.4611,0.6596,0.6922,0.6202,0.6132,0.5661,0.5422,0.5592,0.6294,
VO monthly avg,Health Care,532,2064.79,1378.11,3356.93,2107.57,2792.8,2724.66,1900.85,987.43,2400.62,3619.41,2880.34,2390.25,1449.29,2641.39,2619.78,1281.87,1570.07,1922.85,2164.09,1430.45,2735.99,1029.35,1582.39,773.62,1463.03,829.03,1408.79,2186.95,3284.12,3662.63,2585.95,3470.37,2327.69,1588.41,1912.85,1908.8,3724.94,3208.24,3124.7,2648.63,3340.14,2665.58,3101.3,1958.44,2690.17,3310.79,4833.03,4022,2260.73,3112.99,2374.56,3494.74,3074.09,2129.29,3173.35,1888.09,3213.75,2196.12,3067.14,3005.15,2306.99,3053.62,3803.45,3380.47,4482.14,4733.36,2455.13,8462.37,8312.14,4105.29,4731.93,2577.38,4472.5,3216.65,3370.93,3017.78,5816.33,4968.46,7328.11,5920.28,4363.18,3261.95,3321.55,2371.11,4128.28,5332.28,3769.4,3884.55,5199.08,4131.63,5215.29,4467.77,4304.64,7686.7,6024.01,4394.29,4413.15,5123.47,4221.54,2773.54,3789.1,3658.12,3643.6,3453.76,1912.08,2879.4,3405.14,3249.28,4048.63,1995.25,2325.52,1736.25,2868.63,2408.07,2879.36,2645.72,2881.37,2259.57,2916.9,1794.62,2303.21,1857.72,2450.29,3381.43,5861.29,2381.84,2110.89,3014.5,2324.8,2306.86,2038.47,1305.71,2418.42,2673.11,1922.39,2072.46,6180.12,3546.88,2208.33,2631.66,3291.09,2041.39,5265.52,2271.73,2047.42,1954.88,2246.91,3035.36,3842.46,3697.17,1317.9,1794.12,2318.85,1653.97,2920.61,2004.41
Total assets,Health Care,4061400,4061400,4061400,4061400,4061400,4061400,4061400,4061400,4061400,4061400,4165700,4165700,4165700,4165700,4165700,4165700,4165700,4165700,4165700,4165700,4165700,4165700,5767300,5767300,5767300,5767300,5767300,5767300,5767300,5767300,5767300,5767300,5767300,5767300,5453700,5453700,5453700,5453700,5453700,5453700,5453700,5453700,5453700,5453700,5453700,5453700,6253500,6253500,6253500,6253500,6253500,6253500,6253500,6253500,6253500,6253500,6253500,6253500,50305000,50305000,50305000,50305000,50305000,50305000,50305000,50305000,50305000,50305000,50305000,50305000,50025000,50025000,50025000,50025000,50025000,50025000,50025000,50025000,50025000,50025000,50025000,50025000,54023000,54023000,54023000,54023000,54023000,54023000,54023000,54023000,54023000,54023000,54023000,54023000,44794000,44794000,44794000,44794000,44794000,44794000,44794000,44794000,44794000,44794000,44794000,44794000,42926000,42926000,42926000,42926000,42926000,42926000,42926000,42926000,42926000,42926000,42926000,42926000,48499000,48499000,48499000,48499000,48499000,48499000,48499000,48499000,48499000,48499000,48499000,48499000,41492000,41492000,41492000,41492000,41492000,41492000,41492000,41492000,41492000,41492000,41492000,41492000,22694000,22694000,22694000,22694000,22694000,22694000,22694000,22694000,22694000,22694000,22694000,22694000,,,
Net sales,Health Care,3586000,3586000,3586000,3586000,3586000,3586000,3586000,3586000,3586000,3586000,4812300,4812300,4812300,4812300,4812300,4812300,4812300,4812300,4812300,4812300,4812300,4812300,6012600,6012600,6012600,6012600,6012600,6012600,6012600,6012600,6012600,6012600,6012600,6012600,6852500,6852500,6852500,6852500,6852500,6852500,6852500,6852500,6852500,6852500,6852500,6852500,7533700,7533700,7533700,7533700,7533700,7533700,7533700,7533700,7533700,7533700,7533700,7533700,11615900,11615900,11615900,11615900,11615900,11615900,11615900,11615900,11615900,11615900,11615900,11615900,18607000,18607000,18607000,18607000,18607000,18607000,18607000,18607000,18607000,18607000,18607000,18607000,21735000,21735000,21735000,21735000,21735000,21735000,21735000,21735000,21735000,21735000,21735000,21735000,23232000,23232000,23232000,23232000,23232000,23232000,23232000,23232000,23232000,23232000,23232000,23232000,22474000,22474000,22474000,22474000,22474000,22474000,22474000,22474000,22474000,22474000,22474000,22474000,23221000,23221000,23221000,23221000,23221000,23221000,23221000,23221000,23221000,23221000,23221000,23221000,25174000,25174000,25174000,25174000,25174000,25174000,25174000,25174000,25174000,25174000,25174000,25174000,27801000,27801000,27801000,27801000,27801000,27801000,27801000,27801000,27801000,27801000,27801000,27801000,,,
common equity,Health Care,1661500,1661500,1661500,1661500,1661500,1661500,1661500,1661500,1661500,1661500,2187700,2187700,2187700,2187700,2187700,2187700,2187700,2187700,2187700,2187700,2187700,2187700,3061600,3061600,3061600,3061600,3061600,3061600,3061600,3061600,3061600,3061600,3061600,3061600,2830400,2830400,2830400,2830400,2830400,2830400,2830400,2830400,2830400,2830400,2830400,2830400,3342300,3342300,3342300,3342300,3342300,3342300,3342300,3342300,3342300,3342300,3342300,3342300,2236800,2236800,2236800,2236800,2236800,2236800,2236800,2236800,2236800,2236800,2236800,2236800,3960000,3960000,3960000,3960000,3960000,3960000,3960000,3960000,3960000,3960000,3960000,3960000,4321000,4321000,4321000,4321000,4321000,4321000,4321000,4321000,4321000,4321000,4321000,4321000,3975000,3975000,3975000,3975000,3975000,3975000,3975000,3975000,3975000,3975000,3975000,3975000,3993000,3993000,3993000,3993000,3993000,3993000,3993000,3993000,3993000,3993000,3993000,3993000,5155000,5155000,5155000,5155000,5155000,5155000,5155000,5155000,5155000,5155000,5155000,5155000,1002000,1002000,1002000,1002000,1002000,1002000,1002000,1002000,1002000,1002000,1002000,1002000,7160000,7160000,7160000,7160000,7160000,7160000,7160000,7160000,7160000,7160000,7160000,7160000,,,
Turnover ratio,Health Care,0.04%,0.15%,0.1%,0.24%,0.15%,0.2%,0.2%,0.14%,0.07%,0.17%,0.24%,0.19%,0.16%,0.1%,0.18%,0.17%,0.09%,0.1%,0.13%,0.14%,0.09%,0.18%,0.07%,0.1%,0.05%,0.1%,0.05%,0.09%,0.14%,0.22%,0.24%,0.17%,0.23%,0.15%,0.1%,0.12%,0.12%,0.23%,0.19%,0.19%,0.16%,0.2%,0.16%,0.19%,0.12%,0.16%,0.2%,0.29%,0.24%,0.13%,0.18%,0.14%,0.21%,0.18%,0.13%,0.19%,0.11%,0.19%,0.13%,0.18%,0.17%,0.13%,0.17%,0.21%,0.19%,0.25%,0.26%,0.13%,0.47%,0.49%,0.23%,0.27%,0.14%,0.24%,0.18%,0.18%,0.16%,0.32%,0.27%,0.4%,0.32%,0.24%,0.18%,0.18%,0.13%,0.22%,0.29%,0.2%,0.21%,0.28%,0.22%,0.28%,0.24%,0.23%,0.41%,0.32%,0.24%,0.24%,0.36%,0.3%,0.19%,0.27%,0.26%,0.26%,0.24%,0.13%,0.2%,0.24%,0.23%,0.28%,0.14%,0.16%,0.12%,0.2%,0.17%,0.2%,0.18%,0.2%,0.16%,0.2%,0.12%,0.16%,0.13%,0.17%,0.23%,0.41%,0.17%,0.15%,0.21%,0.16%,0.16%,0.14%,0.09%,0.17%,0.18%,0.13%,0.14%,0.43%,0.24%,0.15%,0.18%,0.23%,0.14%,0.36%,0.15%,0.14%,0.13%,0.15%,0.21%,0.26%,0.25%,0.09%,0.12%,0.16%,0.11%,0.2%,0.14%
Return monthly,Health Care,,0.355880187,-0.06926211,0.181906615,0.048888889,0.073367859,0.167409898,0.074143653,0.11857984,-0.082972846,0.13066212,0.28888107,0,-0.048282048,-0.044625661,0.030882731,0.131064326,0.013243084,0.039209991,-0.106484069,0.035697529,0.017252444,0.010168485,0.033541514,0.009739452,0.066990531,0.029858133,-0.058433445,0.051716512,0.072142603,0.058115325,0.122850543,0.052368254,0.019885609,0.073164383,0.181840231,-0.026940299,-0.077076463,-0.019714974,0.024498273,0.076081335,-0.096980066,-0.004470368,0.028717444,0.062212892,0.035575907,0.080801209,-0.013077838,-0.043562217,0.01980033,0.002488285,0.071274572,0.027735967,0.082723099,0.018268588,0.039284755,-0.023912107,0.07025675,-0.015273577,0.012411174,0.15160374,0.110594885,-0.017100099,0.124229394,0.127069775,-0.102943468,0.048089636,0.023922211,0.20618705,0.059823452,0.008068828,0.054396751,0.047798059,0.068698047,-0.034245118,-0.017729715,0.075812612,0.040267796,-0.06903386,-0.125982227,0.021600356,-0.065781719,0.098071546,-0.114500229,-0.001725257,-0.134817353,-0.028426552,-0.106577398,0.026897054,-0.053534318,-0.115522772,-0.005365396,0.201108772,-0.040697897,-0.163628741,0.115938224,0.090909091,0.085,-0.034788109,-0.07093241,0.170218554,0.06416615,-0.025123798,0.114140584,-0.029105673,0.002900374,0.112825731,0.048524266,0.140501341,-0.042152709,-0.012310407,0.028039087,0.026517704,-0.011073617,-0.037313737,0.069578104,-0.027201574,0.04610564,0.052742722,0.006181377,0.049792509,-0.044002559,0.009691736,-0.006171337,-0.020686709,0.007037683,0.048951197,-0.018743265,-0.06896888,-0.033332047,0.065136568,-0.061153255,0.030649484,0.032620543,0.013260752,0.034909791,-0.012645745,0.082559265,0.051941471,0.028955345,0.079431183,0.021107024,0.00558939,-0.017224823,0.110799831,0.014643351,0.020406989,-0.008499432,0.028746156,0.147058824,-0.015387628,0.027366785,-0.007693774,0.033592181,0.038331968,-0.005616265,0.050038675
