me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Health Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3004,3004,3004,3004,3004,3004,3004,3004,3004,3004,3004,3004,,,13504,13504,13504,13504,13504,13504,13504,13504,13504,13504,13504,13504,17743,17743,17743,17743,17743,17743,17743,17743,17743,17743,17743,17743,20365,20365,20365,20365,20365,20365,20365,20365,20365,20365,20365,20365,15563,15563,15563,15563,15563,15563,15563,15563,15563,15563,15563,15563,9488,9488,9488,9488,9488,9488,9488,9488,9488,9488,9488,9488,5368,5368,5368,5368,5368,5368,5368,5368,5368,5368,5368,5368,409,409,409,409,409,409,409,409,409,409,409,409,,,,,,,,,,
Excess return,Health Care,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.183333333,0.156869547,-0.205488844,0.0109445,0.026913758,-0.052321516,-0.1370802,-0.2579769,-0.076509611,-0.354444649,-0.370906571,1.381732433,-0.534260429,0.2586542,-0.304882105,-0.016922266,-0.3443968,-0.2913622,0.7902235,-0.267419905,-0.4335312,-0.256380733,-0.285357655,0.1588782,-0.300416655,-0.1187344,-0.117849,-0.1107658,-0.3607088,-0.1125766,-0.1189469,0.540603617,-0.524907622,-0.1201277,-0.1408437,-0.1323891,-0.1123094,-0.1079879,-0.1055593,-0.1062847,-0.1150223,-0.839893817,0.808058584,-0.7024072,0.763296584,0.279563,-0.218564,-0.2573131,-0.621246283,0.728321,0.4792557,-0.3297088,-0.18375234,-0.3905393,-0.5014358,-0.379493,-0.664298528,0.021444522,-0.529088816,-0.554527033,-0.030515578,-0.4312602,-0.568074716,-0.4457598,-0.582444933,-0.3542387,-0.3484867,-0.489349855,-0.2525606,-0.5064594,0.073963634,-0.7568141,0.2644257,-0.587504983,0.2372915,-0.579362583,-0.274124,-0.773669,-0.3048259,1.709548984,-0.600005983,-0.2657362,-0.2286242,-0.496
Risk premium,Health Care,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Health Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.4851,-5.0294,-5.0112,-5.2515,-3.0262,-2.8005,-2.3646,-1.1837,-0.9405,1.4609,-4.544,-2.1357,0.253,0.3666,0.4744,0.4182,0.5936,-0.8006,-0.7845,-0.025,0.1366,0.1198,0.1719,0.2186,0.2149,0.5188,0.523,0.3566,0.3676,0.3782,0.5063,0.58,0.5682,0.4679,0.7999,0.6657,0.3938,0.3633,0.3311,0.3069,0.4321,1.4754,1.5368,2.0144,2.2608,2.249,2.178,2.7137,3.1673,2.933,2.9261,3.9176,3.8717,4.8911,4.7466,4.711,4.7708,4.7455,4.8564,4.9499,5.5782,5.5954,5.5157,5.8446,5.4732,4.5649,4.4609,3.5313,2.9462,3.0438,3.0472,3.0407,2.7861,2.9722,3.2795,2.7374,3.148,3.163,3.5393,3.156,2.9992,2.9474,2.3734,
VO monthly avg,Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.87,32.3,36.87,176.9,124.97,331.28,199.18,226.64,226.28,158.32,410.68,1973.52,1876.2,1044.66,760.93,725.73,436.18,903.92,203.63,932.13,193.66,367.72,676.52,1541.76,485.98,162.03,108.54,147.26,69.51,200.91,207.23,159.4,306.83,319.99,447.65,292.72,371.95,554.36,691.54,945.73,216.22,342.43,2924.24,2555.89,747.98,302.14,2797.34,1924.23,952.27,372.08,2264.5,3544.94,1036.08,1570.64,1306.33,687.36,925.95,390.29,787.21,960.24,898.41,1216.31,2174.12,1934,1446.81,1307.9,589.66,298.59,410.48,201.77,738.62,909.94,1210.28,1555.65,1374.46,1123.56,1930.31,1018.4,1586.56,345.81,2297.4,1750.95,1283.8,534.25,207.61
Total assets,Health Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,,,112452,112452,112452,112452,112452,112452,112452,112452,112452,112452,112452,112452,94375,94375,94375,94375,94375,94375,94375,94375,94375,94375,94375,94375,43838,43838,43838,43838,43838,43838,43838,43838,43838,43838,43838,43838,36426,36426,36426,36426,36426,36426,36426,36426,36426,36426,36426,36426,35807,35807,35807,35807,35807,35807,35807,35807,35807,35807,35807,35807,46077,46077,46077,46077,46077,46077,46077,46077,46077,46077,46077,46077,36176,36176,36176,36176,36176,36176,36176,36176,36176,36176,36176,36176,,,,,,,,,,
Net sales,Health Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,54270,54270,54270,54270,54270,54270,54270,54270,54270,54270,54270,54270,69584,69584,69584,69584,69584,69584,69584,69584,69584,69584,69584,69584,60501,60501,60501,60501,60501,60501,60501,60501,60501,60501,60501,60501,53607,53607,53607,53607,53607,53607,53607,53607,53607,53607,53607,53607,46708,46708,46708,46708,46708,46708,46708,46708,46708,46708,46708,46708,41067,41067,41067,41067,41067,41067,41067,41067,41067,41067,41067,41067,34178,34178,34178,34178,34178,34178,34178,34178,34178,34178,34178,34178,,,,,,,,,,
common equity,Health Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1564,-1564,-1564,-1564,-1564,-1564,-1564,-1564,-1564,-1564,-1564,-1564,,,98947,98947,98947,98947,98947,98947,98947,98947,98947,98947,98947,98947,76632,76632,76632,76632,76632,76632,76632,76632,76632,76632,76632,76632,23473,23473,23473,23473,23473,23473,23473,23473,23473,23473,23473,23473,20863,20863,20863,20863,20863,20863,20863,20863,20863,20863,20863,20863,26319,26319,26319,26319,26319,26319,26319,26319,26319,26319,26319,26319,40709,40709,40709,40709,40709,40709,40709,40709,40709,40709,40709,40709,35767,35767,35767,35767,35767,35767,35767,35767,35767,35767,35767,35767,,,,,,,,,,
Turnover ratio,Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,0.02%,0.02%,0.04%,0.03%,0.03%,0.03%,0.02%,0.05%,0.26%,0.25%,0.14%,0.1%,0.09%,0.06%,0.12%,0.03%,0.11%,0.02%,0.04%,0.08%,0.18%,0.06%,0.02%,0.01%,0.02%,0.01%,0.02%,0.02%,0.02%,0.03%,0.04%,0.05%,0.03%,0.03%,0.05%,0.06%,0.09%,0.02%,0.03%,0.27%,0.23%,0.07%,0.03%,0.24%,0.17%,0.08%,0.03%,0.2%,0.31%,0.09%,0.14%,0.11%,0.05%,0.06%,0.03%,0.05%,0.06%,0.06%,0.08%,0.14%,0.12%,0.09%,0.08%,0.04%,0.02%,0.03%,0.01%,0.05%,0.06%,0.08%,0.1%,0.09%,0.06%,0.1%,0.05%,0.08%,0.02%,0.12%,0.09%,0.06%,0.03%,0.01%
Return monthly,Health Care,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,-0.183333333,-0.081632653,-0.444444444,-0.24,-0.078736842,-0.143053016,-0.2,-0.25,-0.055111111,-0.176857949,-0.571428571,1.333333333,-0.428571429,0.374,-0.180494905,0.110124334,-0.2,-0.25,0.832,-0.180494905,-0.3339254,-0.165333333,-0.201277955,0.252,-0.201277955,0,0,0,-0.248,0,0,0.664893617,-0.399361022,0,0,0,0,0,0,0,0,-0.664893617,0.984126984,-0.496,0.984126984,0.504,0,0,-0.335106383,1,0.748,0,0.14416476,0,-0.124,0,-0.285388128,0.399361022,-0.143835616,-0.165333333,0.399361022,0,-0.143835616,0,-0.165333333,0,0,-0.201277955,0,-0.248,0.329787234,-0.5,0.504,-0.335106383,0.504,-0.335106383,0,-0.496,0,1.984126984,-0.335106383,0,0,-0.496
