me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Consumer Goods,,,,,,,,,,,,,,,,,,,,,,,,,,492087,492087,492087,492087,492087,492087,492087,492087,492087,492087,492087,492087,408162,408162,408162,408162,408162,408162,408162,408162,408162,408162,408162,408162,1464000,1464000,1464000,1464000,1464000,1464000,1464000,1464000,1464000,1464000,1464000,1464000,1179000,1179000,1179000,1179000,1179000,1179000,1179000,1179000,1179000,1179000,1179000,1179000,1179000,1179000,1179000,1179000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excess return,Consumer Goods,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05549931,-0.042101438,0.017235812,0.09838316,-0.145860907,-0.14372645,-0.139934096,-0.076474952,-0.14772092,0.014002559,-0.11492,-0.098279568,-0.106377872,-0.149408446,-0.014673957,-0.060007648,-0.000399658,-0.137121014,-0.144193554,-0.126812466,-0.188865987,-0.028831524,-0.118529307,-0.08284532,0.051160607,0.0516087,-0.095183427,-0.019622742,-0.171518234,-0.073454918,-0.056604463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risk premium,Consumer Goods,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Consumer Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6765,0.5097,0.3345,-0.246,0.2237,0.6676,0.5424,0.5298,0.6584,0.6688,0.54,0.551,0.5603,0.6154,0.5995,0.4957,0.4366,0.4287,0.4651,0.4599,0.414,0.4026,0.4025,0.4035,0.399,0.4187,0.4519,0.5044,0.4792,0.3742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VO monthly avg,Consumer Goods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778.25,639.26,465,374.83,614.71,502.57,470.64,283.9,546.69,464.35,546.96,307.7,392.36,388.94,294.05,291.28,373.75,318.11,207.6,255.57,461.86,543.37,344.08,451.07,649.04,779.36,915.83,570.21,454.9,1569.65,597.04,80.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total assets,Consumer Goods,,,,,,,,,,,,,,,,,,,,,,,,,,1221855,1221855,1221855,1221855,1221855,1221855,1221855,1221855,1221855,1221855,1221855,1221855,1268401,1268401,1268401,1268401,1268401,1268401,1268401,1268401,1268401,1268401,1268401,1268401,2644700,2644700,2644700,2644700,2644700,2644700,2644700,2644700,2644700,2644700,2644700,2644700,3624900,3624900,3624900,3624900,3624900,3624900,3624900,3624900,3624900,3624900,3624900,3624900,3624900,3624900,3624900,3624900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net sales,Consumer Goods,,,,,,,,,,,,,,,,,,,,,,,,,,703526,703526,703526,703526,703526,703526,703526,703526,703526,703526,703526,703526,771716,771716,771716,771716,771716,771716,771716,771716,771716,771716,771716,771716,1045000,1045000,1045000,1045000,1045000,1045000,1045000,1045000,1045000,1045000,1045000,1045000,1632800,1632800,1632800,1632800,1632800,1632800,1632800,1632800,1632800,1632800,1632800,1632800,1632800,1632800,1632800,1632800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
common equity,Consumer Goods,,,,,,,,,,,,,,,,,,,,,,,,,,710969,710969,710969,710969,710969,710969,710969,710969,710969,710969,710969,710969,840280,840280,840280,840280,840280,840280,840280,840280,840280,840280,840280,840280,1158500,1158500,1158500,1158500,1158500,1158500,1158500,1158500,1158500,1158500,1158500,1158500,1322600,1322600,1322600,1322600,1322600,1322600,1322600,1322600,1322600,1322600,1322600,1322600,1322600,1322600,1322600,1322600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnover ratio,Consumer Goods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54%,0.19%,0.14%,0.11%,0.19%,0.15%,0.14%,0.09%,0.17%,0.14%,0.17%,0.09%,0.12%,0.12%,0.09%,0.09%,0.11%,0.1%,0.06%,0.08%,0.14%,0.16%,0.1%,0.14%,0.2%,0.24%,0.28%,0.17%,0.14%,0.48%,0.18%,0.02%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Consumer Goods,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.05549931,0.076909662,0.119109312,0.16308516,-0.054867807,-0.01546765,-0.022462896,0.041102448,-0.02634172,0.135136959,0,0.017533432,0.009521028,-0.033038246,0.097594543,0.045521452,0.099906142,-0.035412914,-0.040792254,-0.020238766,-0.077083987,0.082332276,-0.006491807,0.02297518,0.156647607,0.1565868,0.011436273,0.088704458,-0.062978634,0.026869682,0.023295537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
