me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Fincials,940000,940000,940000,940000,940000,940000,940000,97800,97800,97800,97800,97800,97800,97800,97800,97800,97800,97800,97800,11900,11900,11900,11900,11900,11900,11900,11900,11900,11900,11900,11900,-2600,-2600,-2600,-2600,-2600,-2600,-2600,-2600,-2600,-2600,-2600,-2600,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,-1200,-1200,-1200,-1200,-1200,-1200,-1200,-1200,-1200,-1200,-1200,-1200,-900,-900,-900,-900,-900,-900,-900,-900,-900,-900,-900,-900,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,700,700,700,700,700,700,700,700,700,700,700,700,18117,18117,18117,18117,18117,18117,18117,18117,18117,18117,18117,18117,18117,18117,35916,35916,35916,35916,35916,35916,35916,35916,35916,35916,35916,35916,46142,46142,46142,46142,46142,46142,46142,6607228,6607228,6607228,6607228,6607228,6607228,6607228,6607228,6607228,6607228,6607228,6607228,,,,,,,,,
Excess return,Fincials,,0.02874459,-0.285395868,-0.32556657,-0.179467331,-0.091124966,-0.044321834,-0.101424131,-0.089960166,-0.229991332,-0.110115826,-0.135765885,-0.22344938,-0.227996434,-0.164942578,-0.193770577,-0.103039254,0.021740917,0.007413979,-0.523536886,0.033944316,-0.045190517,-0.1726194,-0.1635223,-0.241084077,-0.237496833,0.075518827,-0.1519334,-0.105630763,-0.1444171,-0.1417406,-0.1406616,-0.174035286,0.009456748,-0.00896811,-0.201569752,-0.173064648,-0.086590957,-0.1500164,-0.358545253,-0.191455637,-0.094722662,-0.211862474,0.1099291,-0.191317329,-0.228813076,-0.008512285,-0.071770841,-0.161969267,0.004250257,-0.128492765,-0.0129183,-0.212046891,0.011245133,-0.087720476,-0.1255129,0.073424115,-0.071532338,-0.074602381,-0.063730143,-0.112154587,-0.034367006,-0.171735193,-0.0807102,0.067987022,-0.0797798,-0.144865216,-0.282360525,-0.158161261,0.017319995,0.004885327,-0.145226094,-0.1000299,-0.198921774,-0.1029137,-0.189952638,0.365198217,0.342726676,-0.314560084,-0.329954871,0.011811382,-0.0824329,-0.287905982,0.169527737,-0.281865789,-0.352768277,-0.078257686,-0.1402065,-0.329231761,-0.37621792,-0.1299528,-0.226782282,0.327581259,-0.1180207,-0.109645,-0.33472522,0.191436545,-0.043994793,-0.257836622,-0.1138674,-0.1017064,-0.351847353,0.12676873,-0.282885486,0.561949889,-0.036647286,-0.275964296,0.092633967,-0.1051857,-0.263767496,-0.1136201,0.483087389,-0.366245,0.212968633,-0.3541504,-0.259593596,0.311804045,-0.229150227,0.243243833,-0.054705508,-0.180276854,-0.263154495,-0.057756556,0.078480555,-0.0989083,-0.03095667,-0.163285145,-0.182822203,0.054685198,-0.094553592,-0.137942886,-0.08630032,0.271841947,-0.119232667,0.120563329,0.018180747,-0.1688724,-0.006585393,-0.283060677,-0.013352605,-0.08863348,-0.0465065,-0.075655961,-0.061191284,-0.08447676,-0.058325331,-0.037619,-0.051363477,-0.024595639,-0.10647368,-0.132218308,-0.194771226,0.008606376,-0.041597092,-0.135188012,-0.213645614,0.089744512
Risk premium,Fincials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Fincials,0.9394,0.9165,0.9345,0.9762,1.0803,1.148,1.063,1.0776,1.0181,0.9586,0.923,0.9283,0.9312,0.8595,0.8594,0.8723,0.868,0.9026,1.0978,1.0811,1.014,1.0131,0.9638,0.9321,0.947,0.8645,0.8453,0.8418,0.7106,0.7717,0.7562,0.7232,0.667,0.7078,0.7524,0.8274,0.8248,0.8427,0.8828,0.8883,0.8622,0.4934,0.5268,0.4043,0.3524,0.3296,0.3063,0.3072,0.2302,0.3602,0.3069,0.4241,0.6006,0.6014,0.591,0.7383,0.725,0.604,0.6263,0.1249,0.1703,0.122,0.1274,0.0954,0.1256,0.0346,0.249,0.234,0.2528,0.3163,0.3179,0.3017,0.3473,0.3551,0.3899,0.0332,-0.1206,0.112,0.2657,0.2085,0.0895,0.0283,-0.3955,0.6165,0.9421,0.8332,0.8361,0.7255,0.6513,0.6103,0.6056,0.5648,0.4502,0.4289,0.415,0.4874,0.4637,0.5606,0.4592,0.4598,0.2128,0.1952,0.1064,0.2225,0.2693,0.2153,0.296,0.2685,0.2339,0.1524,0.4527,0.5113,0.465,0.5169,0.3508,0.2171,0.138,0.1253,0.1165,0.0731,-0.0964,-0.137,-0.174,-0.1761,0.2541,0.295,0.696,0.4365,0.3325,0.3714,0.3695,0.2287,-0.0187,-0.6754,-0.6625,-0.7589,-0.4552,-0.7422,-0.2626,-0.2708,-0.0879,-0.3245,-0.3247,-0.2827,-0.5095,-0.4877,-0.437,-0.41,-0.3352,-0.1857,-0.2695,-0.2526,-0.2689,-0.3782,-0.2822,0.1738,
VO monthly avg,Fincials,4235.2,868.63,473.1,1736.56,2000.95,1547.36,399.34,463.48,572.26,619.93,727.15,3182.88,729.06,2509.1,976.09,768.3,369.21,1332.79,173.74,163.19,100.66,67.89,77.03,63.56,93.8,28,22.92,16.83,125.21,30.35,1.34,1.94,10.28,1.86,11.23,6.12,55.7,23.14,4.87,20.3,5.75,1.91,3.13,4.87,9.28,0.74,20.42,9.33,15.48,15.32,3.49,5.55,1.8,1.59,11,2.65,11.09,33.59,6.66,88.48,26.89,5.43,3.59,2.95,3.27,4.25,2.25,24.09,0.54,6.43,2.19,2.42,6.25,8.73,4.47,1.27,11.53,11.4,1.47,2.34,4.56,6.42,3.04,4.55,0.67,1.13,1.12,1.89,2.24,3.53,47.06,1.83,32.77,11.31,11.68,1.77,3.73,0.4,0.03,0.57,0,0.18,22.42,6.36,18.34,95.17,17.06,6.72,5.15,5.35,123.42,33.62,1.26,9.62,1.95,7.64,9.05,2.44,16.84,12.82,71.39,772.66,359.18,28.04,9.73,33.64,28.05,8.31,25.35,15.05,57.36,21.55,40.27,64.22,43.76,24.87,13.78,11.56,250.56,582.29,164.89,480.27,61.15,103.78,398.92,180.08,366.23,110.42,66.5,86.7,34.37,169.17,550.8,176.32,398,242.19,146.52
Total assets,Fincials,3759000,3759000,3759000,3759000,3759000,3759000,3759000,268200,268200,268200,268200,268200,268200,268200,268200,268200,268200,268200,268200,201400,201400,201400,201400,201400,201400,201400,201400,201400,201400,201400,201400,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,222600,222600,222600,222600,222600,222600,222600,222600,222600,222600,222600,222600,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57800,57800,57800,57800,57800,57800,57800,57800,57800,57800,57800,57800,59400,59400,59400,59400,59400,59400,59400,59400,59400,59400,59400,59400,60400,60400,60400,60400,60400,60400,60400,60400,60400,60400,60400,60400,75472,75472,75472,75472,75472,75472,75472,75472,75472,75472,75472,75472,75472,75472,108340,108340,108340,108340,108340,108340,108340,108340,108340,108340,108340,108340,124783,124783,124783,124783,124783,124783,124783,7347946,7347946,7347946,7347946,7347946,7347946,7347946,7347946,7347946,7347946,7347946,7347946,,,,,,,,,
Net sales,Fincials,2701300,2701300,2701300,2701300,2701300,2701300,2701300,2200300,2200300,2200300,2200300,2200300,2200300,2200300,2200300,2200300,2200300,2200300,2200300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101100,101100,101100,101100,101100,101100,101100,101100,101100,101100,101100,101100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,72177,72177,72177,72177,72177,72177,72177,72177,72177,72177,72177,72177,72177,72177,190576,190576,190576,190576,190576,190576,190576,190576,190576,190576,190576,190576,222290,222290,222290,222290,222290,222290,222290,605393,605393,605393,605393,605393,605393,605393,605393,605393,605393,605393,605393,,,,,,,,,
common equity,Fincials,2402500,2402500,2402500,2402500,2402500,2402500,2402500,168900,168900,168900,168900,168900,168900,168900,168900,168900,168900,168900,168900,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,210100,210100,210100,210100,210100,210100,210100,210100,210100,210100,210100,210100,216600,216600,216600,216600,216600,216600,216600,216600,216600,216600,216600,216600,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,57200,57200,57200,57200,57200,57200,57200,57200,57200,57200,57200,57200,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58200,58200,58200,58200,58200,58200,58200,58200,58200,58200,58200,58200,54664,54664,54664,54664,54664,54664,54664,54664,54664,54664,54664,54664,54664,54664,69151,69151,69151,69151,69151,69151,69151,69151,69151,69151,69151,69151,74656,74656,74656,74656,74656,74656,74656,730937,730937,730937,730937,730937,730937,730937,730937,730937,730937,730937,730937,,,,,,,,,
Turnover ratio,Fincials,2.13%,0.44%,0.24%,0.87%,1.01%,0.78%,0.2%,0.23%,0.29%,0.31%,0.37%,1.6%,0.37%,1.26%,0.49%,0.39%,0.19%,0.67%,0.09%,0.08%,0.05%,0.03%,0.04%,0.03%,0.05%,0.01%,0.01%,0.01%,0.06%,0.02%,0%,0%,0.01%,0%,0.01%,0%,0.03%,0.01%,0%,0.01%,0%,0%,0%,0%,0%,0%,0.01%,0%,0.01%,0.01%,0%,0%,0%,0%,0.01%,0%,0.01%,0.02%,0%,0.05%,0.01%,0%,0%,0%,0%,0%,0%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0.01%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.02%,0%,0.02%,0.01%,0.01%,0%,0%,0%,0%,0%,0%,0%,0.01%,0%,0.01%,0.05%,0.01%,0%,0%,0%,0.06%,0.02%,0%,0%,0%,0%,0%,0%,0.01%,0.01%,0.03%,0.34%,0.16%,0.01%,0%,0.01%,0.01%,0%,0.01%,0.01%,0.02%,0.01%,0.01%,0.02%,0.02%,0.01%,0%,0%,0.09%,0.19%,0.01%,0.03%,0%,0.01%,0.03%,0.01%,0.02%,0.01%,0%,0.01%,0%,0.01%,0.03%,0.01%,0.02%,0.02%,0.01%
Return monthly,Fincials,,0.21008409,-0.109722368,-0.14196597,0.009091569,0.099099034,0.131147166,0.072464669,0.081080134,-0.062499532,0.053333174,0.025317015,-0.04938378,-0.051947934,0.013699622,-0.006615677,0.069444746,0.194804717,0.193775379,-0.344827586,0.210526316,0.130434783,0,0,-0.076923077,-0.083333333,0.227272727,0,0.037037037,0,0,0,-0.035714286,0.148148148,0.12903309,-0.057143552,-0.030302248,0.062499143,0,-0.205882353,-0.037037037,0.038461538,-0.074074074,0.24,-0.064516129,-0.103448276,0.115384615,0.034482759,-0.066666667,0.107142857,-0.032258065,0.1,-0.090909091,0.133333333,0.029412524,0,0.199999115,0.047619662,0.045454519,0.021738557,-0.026925687,0.047618994,-0.090908993,0,0.149999822,0,-0.043478216,-0.181818525,-0.055554861,0.117646895,0.105263027,-0.047618994,0,-0.100000474,0,-0.111111038,0.437500417,0.434782676,-0.212120984,-0.230769371,0.099999882,0,-0.227272482,0.294117237,-0.136363489,-0.210526677,0.066666614,0,-0.187499861,-0.23076902,0,-0.099999882,0.444443859,0,0,-0.23076902,0.299999645,0.076923007,-0.142857022,0,0,-0.249999753,0.22222193,-0.181817986,0.666665789,0.066666614,-0.166666296,0.199999467,0,-0.166666296,0,0.599999289,-0.25,0.333333333,-0.25,-0.166666296,0.399998045,-0.142856327,0.333333333,0.031249792,-0.100000054,-0.185185495,0.018181444,0.151786255,0,0.07162833,-0.037037145,-0.076922703,0.158332698,0.007194608,-0.035714386,0.00740778,0.348013847,-0.083332867,0.157575829,0.047120047,-0.12,0.018956007,-0.232954477,0.037036995,-0.02857118,0,-0.029412061,-0.015151384,-0.05132526,-0.025000431,0,-0.017093477,0.026086761,-0.04237278,-0.070796808,-0.128835026,0.067415676,0.010526308,-0.072916612,-0.123596214,0.089744512
