me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Fincials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7597000,7597000,7597000,7597000,7597000,7597000,7597000,7597000,7597000,7597000,7597000,7597000,7527000,7527000,7527000,7527000,7527000,7527000,7527000,7527000,7527000,7527000,7527000,7527000,7823000,7823000,7823000,7823000,7823000,7823000,7823000,7823000,7823000,7823000,7823000,7823000,9220000,9220000,9220000,9220000,9220000,9220000,9220000,9220000,9220000,9220000,9220000,9220000,,,,,,
Excess return,Fincials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018007582,-0.065073941,-0.148726181,-0.120252928,-0.112066347,-0.135361191,-0.037663102,-0.10936825,-0.124450095,-0.0114469,-0.059915881,-0.028402249,-0.117888646,-0.17597925,-0.066086239,-0.069496935,-0.076998137,0.013883743,-0.015403733,-0.138625903,-0.175345915,-0.00046362,-0.12136361,-0.069136093,-0.11152927,-0.073546263,-0.091099761,-0.051591831,-0.156620631,-0.082387623,-0.045146706,-0.161724906,0.016646659
Risk premium,Fincials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Fincials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7281,0.6897,0.7375,0.7416,0.8506,0.6552,0.646,0.6456,0.8188,0.8313,0.7595,0.7305,0.816,0.824,0.8282,0.8277,0.842,0.8311,0.7879,0.7168,0.7632,0.7807,0.7811,0.8066,0.7396,0.6614,0.6685,0.6533,0.6198,0.6482,0.694,0.5929,
VO monthly avg,Fincials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5067.58,1891.46,1902.59,1976.9,1208.12,1943.94,1752.15,1802.12,1826.4,8352.87,1502.03,1393.74,2197.45,1129.36,1615.23,957.1,719.06,621.74,1899.14,1597.99,1642.81,1027.69,1197.55,1040.79,2000.61,1802.17,2416.59,2375.37,1183.08,895.46,857.64,631.82,1068.56,815.09
Total assets,Fincials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,18830000,18830000,18830000,18830000,18830000,18830000,18830000,18830000,18830000,18830000,18830000,18830000,21633000,21633000,21633000,21633000,21633000,21633000,21633000,21633000,21633000,21633000,21633000,21633000,23371000,23371000,23371000,23371000,23371000,23371000,23371000,23371000,23371000,23371000,23371000,23371000,,,,,,
Net sales,Fincials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5757000,5757000,5757000,5757000,5757000,5757000,5757000,5757000,5757000,5757000,5757000,5757000,2331000,2331000,2331000,2331000,2331000,2331000,2331000,2331000,2331000,2331000,2331000,2331000,7335000,7335000,7335000,7335000,7335000,7335000,7335000,7335000,7335000,7335000,7335000,7335000,8641000,8641000,8641000,8641000,8641000,8641000,8641000,8641000,8641000,8641000,8641000,8641000,,,,,,
common equity,Fincials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8579000,8579000,8579000,8579000,8579000,8579000,8579000,8579000,8579000,8579000,8579000,8579000,11022000,11022000,11022000,11022000,11022000,11022000,11022000,11022000,11022000,11022000,11022000,11022000,13184000,13184000,13184000,13184000,13184000,13184000,13184000,13184000,13184000,13184000,13184000,13184000,13565000,13565000,13565000,13565000,13565000,13565000,13565000,13565000,13565000,13565000,13565000,13565000,,,,,,
Turnover ratio,Fincials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34%,0.13%,0.13%,0.13%,0.08%,0.13%,0.12%,0.12%,0.12%,0.56%,0.1%,0.09%,0.15%,0.08%,0.11%,0.06%,0.05%,0.04%,0.13%,0.11%,0.11%,0.07%,0.08%,0.07%,0.13%,0.12%,0.16%,0.16%,0.08%,0.06%,0.06%,0.04%,0.07%,0.05%
Return monthly,Fincials,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.018007582,0.062377159,-0.019863681,0.004867872,0.024221453,-0.015733591,0.081984898,0.01060455,0.004484305,0.119375,0.066682619,0.094369251,0.011069354,-0.05176725,0.052740361,0.050098165,0.041647863,0.133193043,0.100933967,-0.029617503,-0.062014315,0.11277048,-0.00700431,0.041779707,0.00686553,0.043921937,0.029415739,0.071416069,-0.041823231,0.034398977,0.078625294,-0.045272206,0.016646659
