me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Fincials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3701000,3701000,3701000,3701000,3701000,3701000,4000,4000,4000,4000,4000,4000,8000,8000,8000,8000,8000,8000,55000,55000,55000,55000,55000,55000,100000,100000,100000,100000,100000,100000,170000,170000,170000,170000,170000,170000,106000,106000,106000,106000,106000,106000,549000,549000,549000,549000,549000,549000,544000,544000,544000,544000,544000,544000,543000,543000,543000,543000,543000,543000,492000,0,0,0
Excess return,Fincials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.257278578,0.021406001,-0.082056168,-0.165471284,-0.124904141,-0.112488766,-0.027591768,-0.088888309,-0.119055509,-0.113054779,-0.137354803,0.021614812,-0.201204124,-0.063453496,-0.133877578,-0.129710854,-0.120120529,-0.183279558,-0.186459395,-0.091388013,-0.057392712,-0.172767728,-0.023238383,-0.143546296,-0.168266602,-0.108236092,-0.18497959,-0.084002735,-0.145043942,-0.106162889,-0.069312404,-0.155042451,-0.114145256,-0.143141473,-0.107938531,-0.07296928,-0.084020073,-0.112440022,-0.17120265,-0.09825453,-0.109116152,-0.10368842,-0.124233394,-0.0281678,-0.09512744,-0.084523801,-0.083383447,-0.12072723,0.012650594,-0.161445285,-0.011795486,-0.0910556,-0.009086529,-0.130592298,-0.001532499,-0.1816366,-0.102475222,-0.120469998,-0.110735967,-0.111289198,-0.150206795,0.046587216
Risk premium,Fincials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Fincials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.4256,-0.7544,0.0277,0.3637,0.3924,0.6303,0.5704,0.5516,0.5542,0.5513,0.6359,0.6366,0.6438,0.6304,0.6306,0.6145,0.6284,0.6496,0.6189,0.6447,0.6574,0.6998,0.6953,0.6886,0.6852,0.7264,0.8109,0.8126,0.8131,0.7934,0.7933,0.8793,0.8847,0.8359,0.7449,0.7473,0.7228,0.6686,0.7092,0.6992,0.6864,0.6419,0.6794,0.611,0.6091,0.498,0.4658,0.503,0.4552,0.4372,0.4306,0.4112,0.4694,0.6147,0.6725,0.6679,0.663,0.6848,0.6854,0.6995,0.8386,
VO monthly avg,Fincials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12972.73,17416.47,5758.34,6523,7209.87,7243.91,4457.09,10234.12,5080.17,4563.88,5373.07,7482.27,7256.97,5796.12,4126.73,6409.75,4644.81,4555.87,3820.43,6031.93,3548.25,3082.89,2602.92,3457.11,4945.08,4606.39,2301.37,3350.49,4124.82,3733.66,3310.81,6163.64,4028.86,2536.71,5690.01,7636.4,3924.96,2034.97,2322.56,5833.85,2288.56,2332.34,3362.01,1785.18,2849.82,2131.27,957.26,2602.96,1212.18,1872.81,1501.01,1743.76,1322.78,1591.29,1289.32,2784.35,1954.17,1617.18,1228.67,2056.89,1652.78,3773.69,2152.36
Total assets,Fincials,10680000,10680000,10680000,10680000,10680000,10680000,10680000,1850000,1850000,1850000,1850000,1850000,1850000,2262000,2262000,2262000,2262000,2262000,2262000,2594000,2594000,2594000,2594000,2594000,2594000,2842000,2842000,2842000,2842000,2842000,2842000,2958000,2958000,2958000,2958000,2958000,2958000,3291000,3291000,3291000,3291000,3291000,3291000,4210000,4210000,4210000,4210000,4210000,4210000,4492000,4492000,4492000,4492000,4492000,4492000,4579000,4579000,4579000,4579000,4579000,4579000,4530000,4530000,4530000,4530000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net sales,Fincials,326000,326000,326000,326000,326000,326000,326000,467000,467000,467000,467000,467000,467000,417000,417000,417000,417000,417000,417000,338000,338000,338000,338000,338000,338000,253000,253000,253000,253000,253000,253000,75000,75000,75000,75000,75000,75000,424000,424000,424000,424000,424000,424000,544000,544000,544000,544000,544000,544000,332000,332000,332000,332000,332000,332000,142000,142000,142000,142000,142000,142000,34000,34000,34000,34000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common equity,Fincials,65906,65906,65906,65906,65906,65906,65906,46342,46342,46342,46342,46342,46342,46342,46342,46342,46342,46342,46342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnover ratio,Fincials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23%,1.6%,0.53%,0.33%,0.37%,0.37%,0.23%,0.52%,0.26%,0.23%,0.27%,0.38%,0.37%,0.3%,0.21%,0.33%,0.24%,0.23%,0.19%,0.31%,0.18%,0.16%,0.13%,0.18%,0.25%,0.24%,0.12%,0.17%,0.21%,0.19%,0.17%,0.31%,0.21%,0.13%,0.29%,0.39%,0.2%,0.1%,0.12%,0.3%,0.12%,0.12%,0.17%,0.09%,0.15%,0.11%,0.05%,0.13%,0.06%,0.1%,0.08%,0.09%,0.07%,0.08%,0.07%,0.14%,0.1%,0.08%,0.06%,0.1%,0.08%,0.19%,0.11%
Return monthly,Fincials,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,-0.257278578,0.053228801,0.005288932,-0.056508184,-0.015282941,0.015520134,0.097893432,0.034612491,0.002909091,0.009427121,-0.007543103,0.152370612,-0.070194724,0.066711704,-0.006649778,-0.005897354,0.004168671,-0.055404758,-0.059668695,0.031278087,0.063273488,-0.049180328,0.098965517,-0.017414496,-0.043749002,0.023877108,-0.04729289,0.054091065,-0.009418642,0.026721311,0.064665496,-0.017246551,0.019990844,-0.007779773,0.017340169,0.05306062,0.040816327,0.007031778,-0.04807305,0.02454507,0.010877048,0.01430128,-0.009131194,0.0769752,0.01069586,0.012450199,0.012911953,-0.02233823,0.105178194,-0.068651685,0.079382314,0,0.080585671,-0.020066198,0.116635001,-0.0611589,0.021143778,-0.001577598,0.008394233,0.012829302,-0.018274995,0.046587216
