me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Industrials,1354000,1354000,1354000,1354000,1291000,1291000,1291000,1291000,1291000,1291000,1291000,1291000,1291000,1291000,1291000,1291000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1958000,1958000,1958000,1958000,1958000,1958000,1958000,1958000,1958000,1958000,1958000,1958000,2682000,2682000,2682000,2682000,2682000,2682000,2682000,2682000,2682000,2682000,2682000,2682000,3156000,3156000,3156000,3156000,3156000,3156000,3156000,3156000,3156000,3156000,3156000,3156000,3310000,3310000,3310000,3310000,3310000,3310000,3310000,3310000,3310000,3310000,3310000,3310000,3948000,3948000,3948000,3948000,3948000,3948000,3948000,3948000,3948000,3948000,3948000,3948000,3319000,3319000,3319000,3319000,3319000,3319000,3319000,3319000,3319000,3319000,3319000,3319000,3969000,3969000,3969000,3969000,3969000,3969000,3969000,3969000,3969000,3969000,3969000,3969000,3650000,3650000,3650000,3650000,3650000,3650000,3650000,3650000,3650000,3650000,3650000,3650000,3650000,3650000,3650000,3768000,3768000,3768000,3768000,3768000,3768000,3768000,3768000,3768000,3768000,3768000,3768000,11685000,11685000,11685000,11685000,11685000,11685000,11685000,11685000,11685000,11685000,11685000,11685000,,,,,,
Excess return,Industrials,,-0.185726934,-0.126281709,-0.280469457,-0.0744469,-0.106134845,-0.106759194,-0.141207007,-0.112946626,-0.155693939,-0.066169123,-0.159140885,-0.117626563,-0.18957753,-0.134378421,-0.184275272,-0.060500201,-0.139801735,-0.159060949,-0.166687211,-0.10225091,-0.203554189,-0.179431406,-0.108208554,-0.207981199,-0.167297635,-0.148458944,-0.255653309,-0.11918692,0.026225859,-0.090044789,-0.112676754,-0.183968466,-0.185655959,-0.052279472,-0.08091994,-0.086881492,-0.097477771,-0.141672165,-0.163733073,-0.12027347,-0.162397676,-0.160403226,-0.119795793,-0.052887976,-0.145336287,-0.151724291,-0.074666276,-0.061267163,-0.123410284,-0.157329813,-0.096221112,-0.152279051,0.008561546,-0.116435264,-0.018390467,-0.153408228,-0.087957125,-0.108154677,-0.11430829,-0.038659529,-0.087440499,-0.068243913,-0.074001983,-0.132265762,-0.107466839,-0.116502587,-0.064993574,-0.076225311,-0.041528702,-0.107090528,-0.083963611,-0.006618901,-0.105015307,-0.156869206,-0.057180796,-0.070070687,-0.153368932,-0.078244946,-0.163094954,-0.068540527,-0.157797933,-0.022071845,-0.025179018,-0.158613156,-0.234730379,-0.003248709,-0.182996411,-0.134015722,-0.116412148,-0.248645558,-0.114849445,-0.148574592,-0.110472828,0.030477756,-0.072173856,-0.074982955,-0.184758132,-0.187506659,-0.102734683,-0.048806764,-0.120498184,-0.106814145,-0.038446923,-0.041460942,-0.096874058,-0.089818684,-0.187185407,-0.094515084,-0.100016733,-0.116293039,-0.02766892,-0.111922736,-0.142047632,-0.129863844,-0.058050356,-0.108828289,-0.023985995,-0.131553963,-0.173826483,-0.040269289,-0.15517249,-0.111586029,-0.13749156,-0.115253495,-0.148834774,-0.148394402,-0.14043904,-0.107708294,-0.162841219,-0.04744226,-0.105538984,-0.164324227,-0.06447582,-0.090126282,-0.132200576,-0.137350903,-0.127594085,-0.073821152,-0.057621479,-0.104246749,-0.116949449,-0.103014534,-0.101042319,-0.05651297,-0.091657729,-0.076574534,-0.03522725,-0.129089037,-0.036789026,-0.170647383,-0.138502149,-0.136797332,-0.088139861,-0.078474458,-0.167319574,0.068208434
Risk premium,Industrials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Industrials,0.5341,0.527,0.8448,0.8508,0.8563,0.8265,0.7803,0.7505,0.7101,0.7188,0.6056,0.5761,0.5915,0.588,0.5901,0.5777,0.5777,0.582,0.573,0.5705,0.5834,0.5881,0.586,0.6001,0.6112,0.6125,0.5787,0.5753,0.6615,0.6787,0.6755,0.6513,0.6739,0.6988,0.7577,0.7979,0.7927,0.7989,0.8046,0.7937,0.794,0.9037,0.9072,0.8849,0.8697,0.8624,0.8443,0.8437,0.8371,0.8164,0.7023,0.7198,0.7057,0.7049,0.7551,0.7731,0.737,0.7003,0.7191,0.7399,0.6937,0.6396,0.638,0.6567,0.641,0.6431,0.6075,0.5971,0.598,0.5742,0.574,0.6008,0.5964,0.6397,0.6638,0.5247,0.5456,0.5225,0.4564,0.4542,0.4099,0.4489,0.3395,0.3786,0.5868,0.7908,0.8156,0.852,0.8576,0.9439,0.8192,0.8485,0.6811,0.5682,0.5679,0.5441,0.5655,0.6032,0.5595,0.5705,0.5488,0.5527,0.5767,0.5843,0.5936,0.593,0.5959,0.59,0.5561,0.4847,0.504,0.5056,0.4774,0.4824,0.513,0.5588,0.5886,0.7039,0.7165,0.7361,0.6895,0.7425,0.747,0.752,0.88,0.8786,0.8786,0.8554,0.8587,0.8994,0.8988,0.9061,0.9408,0.9263,0.9193,0.9076,0.9017,0.9102,0.9811,0.9787,0.9525,0.9426,0.9316,0.9095,0.881,0.848,0.8316,0.833,0.8538,0.864,0.8281,0.8199,0.801,0.7877,0.8259,0.7915,
VO monthly avg,Industrials,782.1,1669.36,2028.01,2266.86,2122.37,2415.42,2574.81,2547.3,2183.87,3440.22,2057.23,2594.34,3189.47,2390.99,2775.43,3014.5,3527.5,2241.72,5009.23,2735.83,2373.82,2205.33,2670.03,2063.86,2276.26,2276.79,2801.74,3408.66,2054.57,1899.72,2327.24,2143.3,2557.66,2899.33,2210.67,2029.95,1521.27,3976.4,2025.21,2152.75,1671.25,2228.06,2201.48,2126.9,3938.82,1997.17,2713,1745.59,1513.01,2211.67,2824.38,3233.99,2038.33,1874.47,1808.54,4424.33,3190.37,3750.37,3345.29,2676.12,3645.54,3545.12,3854.17,8821.37,2932.78,3520.23,5151.86,2445.91,3434.27,4349.62,2075.85,2722.18,2254.81,1908.24,2478.75,2791.5,1913.04,2896.47,3166.44,4124.29,4391.15,2961.45,3198.11,4267.31,2492.12,3932.85,4809.7,3557.51,2966.6,3983.5,4643.89,4098.71,5291.07,6460.19,7081.8,2528.71,1171.63,1369.45,1312.28,1519.07,1145.6,1390.68,1325.7,1462.73,1215.86,1149.23,1132.6,1384.25,1292.84,1211.67,1084.92,1405.64,749.33,1767.05,1070.41,864.88,933.41,923.05,992.66,852.86,718.3,856.1,1166.89,1111.21,1139.46,885.93,1059.66,702.33,1081.2,1196.04,907,1088.51,865.33,819.49,835.28,873.09,1052.36,857.49,972.83,886.05,610.31,878.97,553.14,749.2,637.8,609.7,749.37,961.79,835.76,1037.06,1320.8,791.34,672.3,789.03,595.25,629.72,637.98
Total assets,Industrials,21778000,21778000,21778000,21778000,26283000,26283000,26283000,26283000,26283000,26283000,26283000,26283000,26283000,26283000,26283000,26283000,30715000,30715000,30715000,30715000,30715000,30715000,30715000,30715000,30715000,30715000,30715000,30715000,33424000,33424000,33424000,33424000,33424000,33424000,33424000,33424000,33424000,33424000,33424000,33424000,39653000,39653000,39653000,39653000,39653000,39653000,39653000,39653000,39653000,39653000,39653000,39653000,41246000,41246000,41246000,41246000,41246000,41246000,41246000,41246000,41246000,41246000,41246000,41246000,49737000,49737000,49737000,49737000,49737000,49737000,49737000,49737000,49737000,49737000,49737000,49737000,61823000,61823000,61823000,61823000,61823000,61823000,61823000,61823000,61823000,61823000,61823000,61823000,42106000,42106000,42106000,42106000,42106000,42106000,42106000,42106000,42106000,42106000,42106000,42106000,48052000,48052000,48052000,48052000,48052000,48052000,48052000,48052000,48052000,48052000,48052000,48052000,55980000,55980000,55980000,55980000,55980000,55980000,55980000,55980000,55980000,55980000,55980000,55980000,55980000,55980000,55980000,58021000,58021000,58021000,58021000,58021000,58021000,58021000,58021000,58021000,58021000,58021000,58021000,72750000,72750000,72750000,72750000,72750000,72750000,72750000,72750000,72750000,72750000,72750000,72750000,,,,,,
Net sales,Industrials,5735000,5735000,5735000,5735000,6729000,6729000,6729000,6729000,6729000,6729000,6729000,6729000,6729000,6729000,6729000,6729000,8735000,8735000,8735000,8735000,8735000,8735000,8735000,8735000,8735000,8735000,8735000,8735000,9384000,9384000,9384000,9384000,9384000,9384000,9384000,9384000,9384000,9384000,9384000,9384000,9969000,9969000,9969000,9969000,9969000,9969000,9969000,9969000,9969000,9969000,9969000,9969000,9802000,9802000,9802000,9802000,9802000,9802000,9802000,9802000,9802000,9802000,9802000,9802000,7877000,7877000,7877000,7877000,7877000,7877000,7877000,7877000,7877000,7877000,7877000,7877000,9447000,9447000,9447000,9447000,9447000,9447000,9447000,9447000,9447000,9447000,9447000,9447000,11455000,11455000,11455000,11455000,11455000,11455000,11455000,11455000,11455000,11455000,11455000,11455000,11849000,11849000,11849000,11849000,11849000,11849000,11849000,11849000,11849000,11849000,11849000,11849000,11964000,11964000,11964000,11964000,11964000,11964000,11964000,11964000,11964000,11964000,11964000,11964000,11964000,11964000,11964000,13532000,13532000,13532000,13532000,13532000,13532000,13532000,13532000,13532000,13532000,13532000,13532000,16446000,16446000,16446000,16446000,16446000,16446000,16446000,16446000,16446000,16446000,16446000,16446000,,,,,,
common equity,Industrials,19536000,19536000,19536000,19536000,24047000,24047000,24047000,24047000,24047000,24047000,24047000,24047000,24047000,24047000,24047000,24047000,27532000,27532000,27532000,27532000,27532000,27532000,27532000,27532000,27532000,27532000,27532000,27532000,29766000,29766000,29766000,29766000,29766000,29766000,29766000,29766000,29766000,29766000,29766000,29766000,34960000,34960000,34960000,34960000,34960000,34960000,34960000,34960000,34960000,34960000,34960000,34960000,37494000,37494000,37494000,37494000,37494000,37494000,37494000,37494000,37494000,37494000,37494000,37494000,45672000,45672000,45672000,45672000,45672000,45672000,45672000,45672000,45672000,45672000,45672000,45672000,57227000,57227000,57227000,57227000,57227000,57227000,57227000,57227000,57227000,57227000,57227000,57227000,38072000,38072000,38072000,38072000,38072000,38072000,38072000,38072000,38072000,38072000,38072000,38072000,43304000,43304000,43304000,43304000,43304000,43304000,43304000,43304000,43304000,43304000,43304000,43304000,51559000,51559000,51559000,51559000,51559000,51559000,51559000,51559000,51559000,51559000,51559000,51559000,51559000,51559000,51559000,53454000,53454000,53454000,53454000,53454000,53454000,53454000,53454000,53454000,53454000,53454000,53454000,59110000,59110000,59110000,59110000,59110000,59110000,59110000,59110000,59110000,59110000,59110000,59110000,,,,,,
Turnover ratio,Industrials,0.16%,0.34%,0.42%,0.47%,0.44%,0.5%,0.53%,0.52%,0.45%,0.71%,0.42%,0.53%,0.66%,0.49%,0.57%,0.62%,0.73%,0.46%,1.03%,0.56%,0.49%,0.45%,0.55%,0.42%,0.47%,0.47%,0.58%,0.7%,0.42%,0.39%,0.48%,0.44%,0.53%,0.6%,0.45%,0.42%,0.31%,0.82%,0.42%,0.44%,0.34%,0.46%,0.45%,0.44%,0.81%,0.41%,0.56%,0.36%,0.31%,0.45%,0.58%,0.66%,0.42%,0.39%,0.37%,0.91%,0.66%,0.77%,0.69%,0.55%,0.75%,0.73%,0.79%,1.81%,0.65%,0.78%,1.15%,0.54%,0.77%,0.97%,0.46%,0.61%,0.5%,0.43%,0.55%,0.62%,0.43%,0.65%,0.71%,0.92%,0.98%,0.66%,0.71%,0.95%,0.56%,0.88%,1.07%,0.79%,0.66%,0.89%,1.03%,0.91%,1.18%,1.44%,1.61%,0.58%,0.27%,0.31%,0.3%,0.35%,0.26%,0.32%,0.3%,0.33%,0.28%,0.26%,0.26%,0.29%,0.27%,0.25%,0.23%,0.29%,0.16%,0.37%,0.22%,0.18%,0.19%,0.19%,0.21%,0.18%,0.15%,0.18%,0.24%,0.23%,0.24%,0.18%,0.22%,0.15%,0.22%,0.25%,0.19%,0.23%,0.18%,0.17%,0.17%,0.18%,0.22%,0.18%,0.2%,0.18%,0.13%,0.18%,0.11%,0.16%,0.13%,0.13%,0.16%,0.2%,0.17%,0.22%,0.27%,0.16%,0.14%,0.16%,0.12%,0.13%,0.13%
Return monthly,Industrials,,-0.028925934,0.043740691,-0.104769057,0.1,0.063834655,0.050899706,0.012074493,0.038689674,-0.003309539,0.077283677,-0.020246585,0.035037937,-0.03063353,0.027297879,-0.015680172,0.093694899,0.013064265,-0.005761949,-0.020145711,0.04720329,-0.054703889,-0.030613406,0.034397746,-0.064975599,-0.029010135,-0.013500844,-0.120509409,0.02038758,0.164783959,0.046611711,0.023455146,-0.045212766,-0.047531559,0.086055628,0.06164776,0.053858608,0.048852929,0.003417635,-0.017029973,0.02984853,-0.003364576,0.001350374,0.040552907,0.106503124,0.013594913,0.006066609,0.065386824,0.072270137,0.008222916,-0.036184913,0.035326288,-0.024519951,0.137170246,0.011036036,0.109314833,-0.026077228,0.037261775,0.017748623,0.00990541,0.079543571,0.027154301,0.044750087,0.042070117,-0.017782762,0.010648461,0.007469913,0.058423726,0.048128689,0.075045898,0.009421472,0.032486789,0.109104299,0.011835793,-0.036699806,0.052625304,0.044202113,-0.035451432,0.036208254,-0.048430354,0.039833173,-0.048867233,0.084866655,0.084422782,-0.035494756,-0.095159979,0.140384091,-0.034820411,0.020713078,0.050053552,-0.105235958,0.029806055,-0.017165292,0.016323772,0.149755456,0.035354444,0.039993545,-0.061156532,-0.066208159,0.018106817,0.074067636,0.003871916,0.018267955,0.085413977,0.083685858,0.030234942,0.038373016,-0.059565407,0.030969216,0.018019367,0.000558961,0.08888388,0.005103464,-0.023856432,-0.015494844,0.056404044,0.007753511,0.098759705,-0.003664463,-0.046102183,0.089519211,-0.02179499,0.022374971,-0.00571556,0.023086505,-0.009482974,-0.010642602,-0.00814884,0.029089806,-0.027829019,0.08813214,0.030845316,-0.027703827,0.07233108,0.046539618,0.001728224,-0.002993803,0.002048515,0.054638148,0.071486621,0.021360751,0.009384351,0.022376266,0.020106181,0.06424003,0.025816271,0.040966266,0.07735175,-0.003499637,0.093442974,-0.040077083,-0.004998449,-0.010584332,0.037435239,0.053607242,-0.038355074,0.068208434
