me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Fincials,312177,312177,312177,312177,312177,312177,312177,324867,324867,324867,324867,324867,324867,324867,324867,324867,324867,324867,324867,324867,324867,324867,324867,324867,324867,324867,324867,324867,324867,324867,324867,324867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excess return,Fincials,,-0.439430621,-0.184833065,-0.105974569,-0.367538437,0.122637172,-0.1968134,-0.197052091,-0.429753782,-0.1738296,-0.033152632,-0.294952746,-0.118644552,-0.444201423,-0.25574924,-0.507125921,-0.002023075,-0.165725486,-0.32931978,-0.477103959,-0.1434125,0.023615018,-0.282107124,-0.463668693,-0.1216297,0.180867735,-0.286629891,-0.269010636,-0.1318444,-0.027113842,-0.18551926,0.162586135,-0.382854437,-0.519528424,0.365936633,-0.0923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risk premium,Fincials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Fincials,1.9545,1.9441,1.6051,1.6484,1.6536,1.6054,1.4018,1.3467,1.1563,1.0592,0.9714,0.6022,0.6035,0.581,0.5897,0.3848,0.3855,0.2293,0.4804,0.526,0.4875,0.498,0.4327,0.4061,0.2719,0.3074,0.5446,0.5361,0.5388,0.5802,0.6954,0.6706,0.8861,1.1985,1.2975,,,,,,,,,,,,,,,,,,,,,,0.6562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VO monthly avg,Fincials,0,66.43,5.06,7.88,7.42,17.22,6.75,66.15,0.88,130.19,0.74,2.05,8.93,5.43,7.33,19.73,13.9,26.62,14.08,2.4,2.94,31.04,1.41,1.06,3.41,0.57,10.58,8.37,2.47,1.41,3.13,3.25,4.86,3.59,10.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total assets,Fincials,407107,407107,407107,407107,407107,407107,407107,393537,393537,393537,393537,393537,393537,393537,393537,393537,393537,393537,393537,393537,393537,393537,393537,393537,393537,393537,393537,393537,393537,393537,393537,393537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net sales,Fincials,279469,279469,279469,279469,279469,279469,279469,262975,262975,262975,262975,262975,262975,262975,262975,262975,262975,262975,262975,262975,262975,262975,262975,262975,262975,262975,262975,262975,262975,262975,262975,262975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
common equity,Fincials,9295,9295,9295,9295,9295,9295,9295,9295,9295,9295,9295,9295,9295,9295,9295,9295,9295,9295,9295,9295,9295,9295,9295,9295,9295,493093,493093,493093,493093,493093,493093,493093,493093,493093,493093,493093,493093,851650,851650,851650,851650,851650,851650,851650,851650,851650,851650,851650,851650,1394171,1394171,1394171,1394171,1394171,1394171,1394171,1394171,1394171,1394171,1394171,1394171,1898150,1898150,1898150,1898150,1898150,1898150,1898150,1898150,1898150,1898150,1898150,1898150,2832610,2832610,2832610,2832610,2832610,2832610,2832610,2832610,2832610,2832610,2832610,2832610,4303282,4303282,4303282,4303282,4303282,4303282,4303282,4303282,4303282,4303282,4303282,4303282,5002540,5002540,5002540,5002540,5002540,5002540,5002540,5002540,5002540,5002540,5002540,5002540,6146879,6146879,6146879,6146879,6146879,6146879,6146879,6146879,6146879,6146879,6146879,6146879,6153636,6153636,6153636,6153636,6153636,6153636,6153636,6153636,6153636,6153636,6153636,6153636,7632127,7632127,7632127,7632127,7632127,7632127,7632127,7632127,7632127,7632127,7632127,7632127,10204359,10204359,10204359,10204359,10204359,10204359,,,,,,
Turnover ratio,Fincials,0%,0.16%,0.01%,0.02%,0.02%,0.04%,0.02%,0.16%,0%,0.32%,0%,0.01%,0.02%,0.01%,0.02%,0.05%,0.03%,0.07%,0.03%,0.01%,0.01%,0.08%,0%,0%,0.01%,0%,0.03%,0.02%,0.01%,0%,0.01%,0.01%,0.01%,0.01%,0.03%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Fincials,,-0.193352321,0.033088235,0.119974631,-0.142861637,0.341677372,0,-0.006209991,-0.250006882,0,0.133345568,-0.154414146,0.034775948,-0.285698423,-0.09409814,-0.350683521,0.140063425,-0.035079586,-0.18185458,-0.333365959,0,0.166789018,-0.142947024,-0.333284393,0,0.299933935,-0.153820091,-0.136336336,0,0.105238758,-0.04760906,0.299933935,-0.230730137,-0.349922924,0.538279133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
