me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Basic Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238100,238100,238100,238100,238100,238100,238100,238100,238100,238100,238100,238100,2916900,2916900,2916900,2916900,2916900,2916900,2916900,2916900,2916900,2916900,2916900,2916900,461600,461600,461600,461600,461600,461600,461600,461600,461600,461600,461600,461600,4084300,4084300,4084300,4084300,4084300,4084300,4084300,4084300,4084300,4084300,4084300,4084300,4321200,4321200,4321200,4321200,4321200,4321200,4321200,4321200,4321200,4321200,4321200,4321200,4596200,4596200,4596200,4596200,4596200,4596200,4596200,4596200,4596200,4596200,4596200,4596200,4806300,4806300,4806300,4806300,4806300,4806300,4806300,4806300,4806300,4806300,4806300,4806300
Excess return,Basic Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026959561,-0.146378192,-0.161169589,-0.136566573,-0.054617576,-0.062272001,-0.186746502,-0.278593902,-0.112205299,-0.15164674,-0.132723946,-0.1168606,-0.140140996,-0.0440809,-0.073035439,-0.154855685,-0.1314339,-0.254576702,-0.102145015,-0.232244546,-0.161242219,-0.03567362,-0.035681841,-0.045117877,-0.112792464,-0.113153421,-0.166376245,-0.146393863,-0.1119055,-0.187653699,-0.269828034,0.013336656,-0.008627579,-0.067398851,-0.153649824,-0.16460818,-0.016657653
Risk premium,Basic Materials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Basic Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6972,0.651,0.6221,0.652,0.4395,0.6182,0.9764,0.9268,0.8786,0.6011,0.6037,0.5962,0.7134,0.7243,0.7365,0.7321,0.8553,0.8602,0.7919,0.7734,0.7798,0.8421,0.8706,0.8686,0.8938,0.9317,0.936,0.9121,0.711,0.8241,0.861,0.8841,0.9281,1.095,1.0911,1.0657,
VO monthly avg,Basic Materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921.64,188.08,176.96,169.27,110.26,82.78,178.43,143.51,163.16,157.7,109.45,74.91,85.19,104.59,106.38,70.2,115.87,118.24,75.94,94.01,46.28,78.08,46.46,158.69,79.42,58.64,65.1,185.74,106.08,111.89,152.22,93.01,66.43,92.31,122.57,173.28,186.6,68.95
Total assets,Basic Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1877900,1877900,1877900,1877900,1877900,1877900,1877900,1877900,1877900,1877900,1877900,1877900,4738200,4738200,4738200,4738200,4738200,4738200,4738200,4738200,4738200,4738200,4738200,4738200,7277900,7277900,7277900,7277900,7277900,7277900,7277900,7277900,7277900,7277900,7277900,7277900,18435500,18435500,18435500,18435500,18435500,18435500,18435500,18435500,18435500,18435500,18435500,18435500,19458400,19458400,19458400,19458400,19458400,19458400,19458400,19458400,19458400,19458400,19458400,19458400,20076800,20076800,20076800,20076800,20076800,20076800,20076800,20076800,20076800,20076800,20076800,20076800,20792600,20792600,20792600,20792600,20792600,20792600,20792600,20792600,20792600,20792600,20792600,20792600
Net sales,Basic Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1501200,1501200,1501200,1501200,1501200,1501200,1501200,1501200,1501200,1501200,1501200,1501200,1468500,1468500,1468500,1468500,1468500,1468500,1468500,1468500,1468500,1468500,1468500,1468500,1155000,1155000,1155000,1155000,1155000,1155000,1155000,1155000,1155000,1155000,1155000,1155000,2106800,2106800,2106800,2106800,2106800,2106800,2106800,2106800,2106800,2106800,2106800,2106800,2974900,2974900,2974900,2974900,2974900,2974900,2974900,2974900,2974900,2974900,2974900,2974900,2865300,2865300,2865300,2865300,2865300,2865300,2865300,2865300,2865300,2865300,2865300,2865300,3251100,3251100,3251100,3251100,3251100,3251100,3251100,3251100,3251100,3251100,3251100,3251100
common equity,Basic Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1639800,1639800,1639800,1639800,1639800,1639800,1639800,1639800,1639800,1639800,1639800,1639800,1821300,1821300,1821300,1821300,1821300,1821300,1821300,1821300,1821300,1821300,1821300,1821300,6816300,6816300,6816300,6816300,6816300,6816300,6816300,6816300,6816300,6816300,6816300,6816300,10943800,10943800,10943800,10943800,10943800,10943800,10943800,10943800,10943800,10943800,10943800,10943800,11278000,11278000,11278000,11278000,11278000,11278000,11278000,11278000,11278000,11278000,11278000,11278000,11516000,11516000,11516000,11516000,11516000,11516000,11516000,11516000,11516000,11516000,11516000,11516000,11858100,11858100,11858100,11858100,11858100,11858100,11858100,11858100,11858100,11858100,11858100,11858100
Turnover ratio,Basic Materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56%,0.11%,0.11%,0.1%,0.07%,0.05%,0.11%,0.09%,0.1%,0.1%,0.07%,0.05%,0.05%,0.06%,0.06%,0.04%,0.07%,0.07%,0.05%,0.06%,0.03%,0.05%,0.03%,0.1%,0.05%,0.04%,0.04%,0.11%,0.06%,0.07%,0.09%,0.06%,0.04%,0.06%,0.07%,0.1%,0.11%,0.04%
Return monthly,Basic Materials,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.026959561,-0.018765192,-0.035077289,-0.011090573,0.055970924,0.060674599,-0.042833302,-0.141805502,0.025846501,-0.03542744,-0.015740846,0,-0.017846796,0.08,0.052114061,-0.031983385,0,-0.128084102,0.014394685,-0.116070346,-0.046514819,0.08432868,0.085865959,0.073453923,0.008766936,0.009593679,-0.042258245,-0.028831563,0.0046875,-0.059935399,-0.137185034,0.150884956,0.125592721,0.077536149,-0.004860524,-0.01836908,-0.016657653
