me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Fincials,31453,31453,31453,31453,31453,31453,31453,31453,89059,89059,89059,89059,89059,89059,89059,89059,89059,89059,89059,89059,162318,162318,162318,162318,162318,162318,162318,162318,162318,162318,162318,162318,131405,131405,131405,131405,131405,131405,131405,131405,131405,131405,131405,131405,312733,312733,312733,312733,312733,312733,312733,312733,312733,312733,312733,312733,793109,793109,793109,793109,793109,793109,793109,793109,793109,793109,793109,793109,793109,793109,793109,793109,793109,1402555,1402555,1402555,1402555,1402555,1402555,1402555,1402555,1402555,1402555,1402555,1402555,2362802,2362802,2362802,2362802,2362802,2362802,2362802,2362802,2362802,2362802,2362802,2362802,2218001,2218001,2218001,2218001,2218001,2218001,2218001,2218001,2218001,2218001,2218001,2218001,2299240,2299240,2299240,2299240,2299240,2299240,2299240,2299240,2299240,2299240,2299240,2299240,2338288,2338288,2338288,2338288,2338288,2338288,2338288,2338288,2338288,2338288,2338288,2338288,1770877,1770877,1770877,1770877,1770877,1770877,1770877,1770877,1770877,1770877,1770877,1770877,2162425,2162425,2162425,2162425,2162425,2162425,2162425,2162425,2162425,2162425,2162425,2162425
Excess return,Fincials,,-0.10269641,-0.173375466,-0.211648884,-0.17240217,-0.07854073,-0.093368554,-0.102125017,-0.15796909,-0.154222505,-0.18287217,-0.136291845,-0.190125189,-0.141953029,-0.212155269,-0.074927155,-0.120894795,-0.0882091,-0.166607455,-0.061349655,-0.127397336,-0.116416241,-0.101858333,-0.075886462,-0.105963568,-0.105057805,-0.006156362,-0.074481825,-0.145558905,-0.034646864,-0.087942825,-0.089321904,-0.136835924,-0.044169511,0.004132555,-0.110224669,-0.102232079,-0.208473043,-0.102976937,-0.099669322,-0.140441165,-0.120668704,-0.132588503,-0.116417419,-0.04864154,-0.110757833,-0.15776908,-0.016926641,-0.079366575,-0.054946299,-0.115202192,-0.164300545,-0.117613939,-0.092792745,-0.062388285,-0.13462196,-0.053757828,-0.029532165,-0.102171061,-0.205643546,-0.022105444,-0.093537801,-0.082946865,0.040747544,-0.158530331,-0.148251459,-0.259557046,-0.22724407,0.009801527,-0.132222347,-0.02921471,-0.093026779,-0.131156285,0.052270235,-0.104914082,-0.024893911,-0.031781689,-0.310287309,-0.116513777,-0.142934998,-0.142075203,-0.069479051,-0.095481829,-0.201512207,-0.149750904,-0.306456791,-0.124799371,-0.245216801,-0.231243467,-0.195056824,-0.252330735,0.039635976,-0.213065608,-0.191322111,-0.166101513,-0.02304481,-0.055617885,-0.093138271,-0.192975529,-0.090361627,-0.081515081,-0.104272685,-0.131899458,-0.086619453,-0.136554199,-0.12732746,-0.051538814,-0.129892976,-0.118616555,-0.065552969,-0.104037074,-0.058534257,-0.081137576,-0.144952171,-0.091582301,-0.039511838,-0.1108299,-0.06820498,-0.093141718,-0.101082233,-0.11586783,-0.148342022,-0.087675372,-0.052821172,-0.082802387,-0.12372031,-0.096589757,-0.087521663,-0.111838503,-0.108492973,-0.091858233,-0.1063963,-0.058721897,-0.077003645,-0.207029405,-0.059344087,-0.074547847,-0.135237121,-0.044188344,-0.038505668,-0.10706519,-0.050036683,-0.118983688,-0.02940492,-0.129190292,-0.066966405,-0.017250318,0.02985424,-0.06908704,-0.199859569,-0.077031415,-0.110957982,-0.09093971,0.005320091,-0.082650529,-0.098047825,0.010124749
Risk premium,Fincials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Fincials,0.6888,0.6779,0.7255,0.6653,0.7253,0.756,0.6712,0.6604,0.6378,0.6433,0.607,0.4416,0.4395,0.4158,0.418,0.3592,0.3581,0.3653,0.3031,0.3092,0.3263,0.3224,0.3274,0.2966,0.2936,0.2625,0.2004,0.206,0.2706,0.2824,0.2894,0.2862,0.2743,0.3412,0.3593,0.4177,0.3798,0.4136,0.4222,0.4281,0.4228,0.5153,0.5163,0.5485,0.5229,0.5324,0.5784,0.5781,0.5875,0.6573,0.7185,0.6698,0.6631,0.6654,0.6325,0.6677,0.6599,0.5699,0.5868,0.6375,0.6449,0.5948,0.635,0.6161,0.6392,0.6471,0.6698,0.709,0.7363,0.703,0.7024,0.7058,0.7025,0.7097,0.6602,0.755,0.8235,0.7931,0.8641,0.8623,0.9039,0.9917,0.9931,0.9681,1.1296,1.0192,1.0316,1.0409,1.0313,1.1192,0.6772,0.6225,0.6589,0.6321,0.6357,0.614,0.5951,0.6081,0.5127,0.5231,0.5535,0.5512,0.5604,0.5579,0.5323,0.5591,0.5548,0.5654,0.508,0.503,0.4738,0.4918,0.4745,0.4694,0.6015,0.5187,0.4973,0.4676,0.4732,0.4644,0.4185,0.4793,0.4777,0.4803,0.4944,0.4863,0.4679,0.4795,0.5093,0.4501,0.4491,0.4301,0.474,0.4816,0.4801,0.4934,0.4929,0.5238,0.4763,0.4716,0.5262,0.4966,0.5213,0.5324,0.5097,0.4377,0.428,0.4069,0.1774,0.1934,0.1824,0.18,0.118,0.0564,0.0809,0.0633,
VO monthly avg,Fincials,9.5,356.57,248.44,296.34,2101.88,311.71,1075.47,612.57,681.66,798.91,754.95,1136.56,1540.36,670.38,669.87,1263.52,786.38,1316.82,322.61,598.44,536.73,443.52,409.53,783.58,2277.1,492.43,417.54,2001.7,596.39,851.63,719.5,932.86,352.03,599.37,632.32,484.71,742.49,764.59,963.88,1557.07,913.4,1224.61,808.8,804,729.91,1305.9,2221.6,5401.01,2135.32,570.44,1949.11,1551.7,1062.28,1259.35,2643.6,1852.06,2335.87,1318.31,1410.58,1132.73,1796.73,896.05,679.67,1499.9,748.77,1614.56,1259.69,1377.92,659.63,1529.59,865.84,1592.01,384.58,1489.3,1634.68,1133.78,701.15,2614.29,1835.9,2347.54,2009.82,3144.75,3451.18,2276.9,1394.06,1635.48,2133.02,1316.06,1566.72,1444.07,2006.12,2085.76,3794.36,1739.91,3219.45,2208.06,2652.99,1478.58,2472.56,4264.41,1788.96,1288.73,2969.87,1957.93,2169.14,3531.61,2187.26,1689.4,1124.53,2167.77,2096.3,2482.18,1122.18,1054.51,1283.08,2814.78,1784.49,1297.8,1782.87,1605.64,1725.22,1636.2,1950.05,3131.83,2979.54,3204.32,2773.91,1514.64,3539.63,1796.88,2729.53,1949.37,1297.53,2702.3,4352.59,3688.05,3120,2179.44,2527.59,2290.59,1433.52,2167.31,3332.55,1267.93,2703.93,1720.31,3746.27,1593.8,1640.28,3044.62,3727.09,2201.2,2759.31,2945.14,2215.78,2087.63,1895.81
Total assets,Fincials,1256613,1256613,1256613,1256613,1256613,1256613,1256613,1256613,1272794,1272794,1272794,1272794,1272794,1272794,1272794,1272794,1272794,1272794,1272794,1272794,1340595,1340595,1340595,1340595,1340595,1340595,1340595,1340595,1340595,1340595,1340595,1340595,1546544,1546544,1546544,1546544,1546544,1546544,1546544,1546544,1546544,1546544,1546544,1546544,2067225,2067225,2067225,2067225,2067225,2067225,2067225,2067225,2067225,2067225,2067225,2067225,3168719,3168719,3168719,3168719,3168719,3168719,3168719,3168719,3168719,3168719,3168719,3168719,3168719,3168719,3168719,3168719,3168719,9835808,9835808,9835808,9835808,9835808,9835808,9835808,9835808,9835808,9835808,9835808,9835808,9623695,9623695,9623695,9623695,9623695,9623695,9623695,9623695,9623695,9623695,9623695,9623695,9006129,9006129,9006129,9006129,9006129,9006129,9006129,9006129,9006129,9006129,9006129,9006129,9424975,9424975,9424975,9424975,9424975,9424975,9424975,9424975,9424975,9424975,9424975,9424975,9306055,9306055,9306055,9306055,9306055,9306055,9306055,9306055,9306055,9306055,9306055,9306055,8744232,8744232,8744232,8744232,8744232,8744232,8744232,8744232,8744232,8744232,8744232,8744232,9442667,9442667,9442667,9442667,9442667,9442667,9442667,9442667,9442667,9442667,9442667,9442667
Net sales,Fincials,210428,210428,210428,210428,210428,210428,210428,210428,213321,213321,213321,213321,213321,213321,213321,213321,213321,213321,213321,213321,234792,234792,234792,234792,234792,234792,234792,234792,234792,234792,234792,234792,257113,257113,257113,257113,257113,257113,257113,257113,257113,257113,257113,257113,292645,292645,292645,292645,292645,292645,292645,292645,292645,292645,292645,292645,333232,333232,333232,333232,333232,333232,333232,333232,333232,333232,333232,333232,333232,333232,333232,333232,333232,735371,735371,735371,735371,735371,735371,735371,735371,735371,735371,735371,735371,1024261,1024261,1024261,1024261,1024261,1024261,1024261,1024261,1024261,1024261,1024261,1024261,1091201,1091201,1091201,1091201,1091201,1091201,1091201,1091201,1091201,1091201,1091201,1091201,1182374,1182374,1182374,1182374,1182374,1182374,1182374,1182374,1182374,1182374,1182374,1182374,1235323,1235323,1235323,1235323,1235323,1235323,1235323,1235323,1235323,1235323,1235323,1235323,1227838,1227838,1227838,1227838,1227838,1227838,1227838,1227838,1227838,1227838,1227838,1227838,1186412,1186412,1186412,1186412,1186412,1186412,1186412,1186412,1186412,1186412,1186412,1186412
common equity,Fincials,1225160,1225160,1225160,1225160,1225160,1225160,1225160,1225160,1183735,1183735,1183735,1183735,1183735,1183735,1183735,1183735,1183735,1183735,1183735,1183735,1178277,1178277,1178277,1178277,1178277,1178277,1178277,1178277,1178277,1178277,1178277,1178277,1415139,1415139,1415139,1415139,1415139,1415139,1415139,1415139,1415139,1415139,1415139,1415139,1754492,1754492,1754492,1754492,1754492,1754492,1754492,1754492,1754492,1754492,1754492,1754492,2375610,2375610,2375610,2375610,2375610,2375610,2375610,2375610,2375610,2375610,2375610,2375610,2375610,2375610,2375610,2375610,2375610,8433253,8433253,8433253,8433253,8433253,8433253,8433253,8433253,8433253,8433253,8433253,8433253,7260893,7260893,7260893,7260893,7260893,7260893,7260893,7260893,7260893,7260893,7260893,7260893,6788128,6788128,6788128,6788128,6788128,6788128,6788128,6788128,6788128,6788128,6788128,6788128,7125735,7125735,7125735,7125735,7125735,7125735,7125735,7125735,7125735,7125735,7125735,7125735,6967767,6967767,6967767,6967767,6967767,6967767,6967767,6967767,6967767,6967767,6967767,6967767,6973355,6973355,6973355,6973355,6973355,6973355,6973355,6973355,6973355,6973355,6973355,6973355,7280242,7280242,7280242,7280242,7280242,7280242,7280242,7280242,7280242,7280242,7280242,7280242
Turnover ratio,Fincials,0%,0.06%,0.04%,0.05%,0.33%,0.05%,0.17%,0.1%,0.11%,0.12%,0.12%,0.18%,0.24%,0.1%,0.1%,0.2%,0.12%,0.21%,0.05%,0.09%,0.08%,0.07%,0.06%,0.12%,0.36%,0.08%,0.07%,0.31%,0.09%,0.13%,0.11%,0.15%,0.05%,0.09%,0.1%,0.08%,0.1%,0.11%,0.13%,0.21%,0.13%,0.17%,0.11%,0.11%,0.1%,0.18%,0.31%,0.74%,0.29%,0.08%,0.27%,0.21%,0.15%,0.17%,0.36%,0.26%,0.32%,0.18%,0.19%,0.16%,0.25%,0.12%,0.09%,0.21%,0.1%,0.22%,0.17%,0.19%,0.09%,0.21%,0.12%,0.22%,0.05%,0.21%,0.23%,0.15%,0.06%,0.17%,0.11%,0.14%,0.11%,0.17%,0.18%,0.11%,0.07%,0.08%,0.1%,0.06%,0.07%,0.07%,0.1%,0.1%,0.18%,0.08%,0.15%,0.1%,0.13%,0.07%,0.12%,0.2%,0.09%,0.06%,0.14%,0.09%,0.1%,0.17%,0.11%,0.08%,0.05%,0.1%,0.1%,0.12%,0.05%,0.05%,0.06%,0.14%,0.09%,0.06%,0.09%,0.08%,0.08%,0.08%,0.09%,0.15%,0.14%,0.15%,0.13%,0.07%,0.17%,0.09%,0.13%,0.09%,0.06%,0.13%,0.21%,0.18%,0.15%,0.11%,0.12%,0.11%,0.07%,0.11%,0.16%,0.06%,0.13%,0.08%,0.18%,0.08%,0.08%,0.15%,0.19%,0.11%,0.14%,0.15%,0.11%,0.11%,0.1%
Return monthly,Fincials,,0.06361129,-0.010868966,-0.047634984,-0.00620827,0.08698727,0.057417046,0.045480183,-0.01088769,-0.006594605,-0.03933117,-0.005871045,-0.047036689,0.006142371,-0.061321269,0.079902445,0.019465505,0.0510048,-0.030312155,0.068729945,0.005859564,0.015694959,0.030667867,0.047599338,0.017033232,0.011179695,0.104968838,0.037396175,-0.030611105,0.078944336,0.024389375,0.023808696,-0.023255024,0.071426089,0.117368455,0.008390431,0.012495321,-0.086416243,0.018021663,0.024000978,-0.013704765,0.013895196,0.004538397,0.022738081,0.08890116,0.027383367,-0.01672988,0.106393659,0.038445925,0.066663601,0.006963308,-0.035903145,0.007461361,0.033327455,0.057359215,-0.01355686,0.068715872,0.087471535,0.015397339,-0.087881046,0.093023256,0.018234599,0.029858135,0.154261844,-0.044160731,-0.029884159,-0.131659646,-0.09677707,0.142868427,-0.007533347,0.09538649,0.030038621,-0.008748785,0.173531335,0.015028518,0.099421089,0.099998811,-0.175322009,0.023624523,-0.002560098,-0.002579503,0.073648049,0.052633471,-0.054771907,0.007563896,-0.152497191,0.032441429,-0.085140101,-0.065571567,-0.017547224,-0.117867135,0.170053476,-0.083054908,-0.060499811,-0.042552413,0.08888719,0.061223415,0.030772029,-0.074625429,0.027493673,0.041655419,0.020002915,-0.007844258,0.035578247,-0.015269299,-0.00235416,0.074063586,-0.003822776,0.003837445,0.053636031,0.010912326,0.057149143,0.035705924,-0.027579971,0.028362199,0.072416262,0,0.03965382,0.019419882,0.009524967,-0.00315233,-0.031546122,0.029319728,0.061837728,0.031244813,-0.00908341,0.015287943,0.021086837,0.002947397,-0.001786673,0.015385067,0,0.048490103,0.031787155,-0.098033105,0.048490113,0.034054853,-0.029937721,0.052468556,0.058655132,-0.00831459,0.048199117,-0.019441788,0.06798628,-0.031829192,0.024658695,0.074863682,0.11558894,0.01388916,-0.111875369,0.012859785,-0.017767982,-0.00775571,0.084823291,0.002496171,-0.014959925,0.010124749
