me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Basic Materials,50767,50767,50767,50767,50767,50767,50767,54941,54941,54941,54941,54941,54941,54941,54941,54941,54941,54941,54941,55059,55059,55059,55059,55059,55059,55059,55059,55059,55059,55059,55059,40572,40572,40572,40572,40572,40572,40572,40572,40572,40572,40572,40572,62187,62187,62187,62187,62187,62187,62187,62187,62187,62187,62187,62187,81967,81967,81967,81967,81967,81967,81967,81967,81967,81967,81967,81967,122361,122361,122361,122361,122361,122361,122361,122361,122361,122361,122361,122361,131540,131540,131540,131540,131540,131540,131540,131540,131540,131540,131540,131540,136652,136652,136652,136652,136652,136652,136652,136652,136652,136652,136652,136652,139498,139498,139498,139498,139498,139498,139498,139498,139498,139498,139498,139498,170919,170919,170919,170919,170919,170919,170919,170919,170919,170919,170919,170919,170919,170919,170919,170919,170919,170919,,,,,,,,,,,,,,,,,,,,,,,,
Excess return,Basic Materials,,-0.01125673,-0.208471555,-0.162650379,-0.273125968,-0.039931978,-0.120054058,-0.304213836,0.134098251,-0.377328834,-0.12870658,0.073237701,-0.106911926,0.002837272,0.082735521,-0.313413069,-0.111786788,-0.567383998,-0.039047405,-0.26449176,-0.26070771,-0.248701336,-0.213777749,-0.384596222,-0.289651556,-0.303432117,-0.099138269,0.113790151,-0.279737207,-0.106352067,-0.46202513,0.350166511,-0.326200685,0.007626058,-0.3158315,-0.061746033,-0.213051799,0.146899486,0.136537832,-0.016485511,-0.1235297,-0.178522681,0.009683029,-0.262436613,-0.1239914,0.0090794,-0.149418374,-0.1027256,-0.239659669,-0.014664193,-0.138826967,-0.18062019,-0.149803737,0.19363513,-0.065012926,-0.1048867,-0.163521324,-0.090835693,-0.069161169,-0.149737271,-0.1517254,0.480535784,-0.04426397,0.005188833,0.006803509,-0.028658832,-0.210505493,0.014925575,-0.135920451,-0.101991758,0.074288635,-0.040825128,-0.105429561,-0.09050499,-0.282324801,-0.372168708,-0.175086419,0.152425659,-0.256866991,-0.422135286,-0.190293718,-0.185574719,-0.425765666,-0.192877947,-0.168106791,0.169647724,0.190707307,-0.300666046,-0.222012063,0.169002413,0.056372768,-0.236071651,-0.223159891,-0.238766489,-0.518936812,-0.1292255,-0.38486353,-0.1852786,0.310213821,-0.290859469,-0.202577891,-0.216614201,-0.335953646,-0.160382108,-0.167166014,-0.170492896,-0.22804738,-0.241800295,-0.05014674,-0.035429502,-0.293317763,0.124031427,-0.166749469,-0.041884602,-0.353489989,-0.0969971,-0.0937065,-0.230969556,-0.0695263,-0.0774629,0.191882501,0.110457527,0.191005515,-0.263000626,-0.177750579,-0.300008277,-0.1314203,-0.19750473,-0.048167588,-0.04720064,-0.188090202,0.02100139,-0.139307869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risk premium,Basic Materials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Basic Materials,1.3513,1.2705,1.195,0.386,0.5686,0.5651,0.4497,0.4996,0.6247,0.5682,0.6922,0.6995,0.6518,0.7463,0.7298,0.6811,0.6908,0.6237,0.6702,0.7373,0.7612,0.7668,0.8406,0.7831,0.817,0.7845,0.7436,0.7585,0.7043,0.7958,0.9573,0.8573,0.7075,0.5669,0.4005,0.3004,0.4241,0.325,0.3155,0.3113,0.3719,0.2484,0.2268,0.2479,0.3078,0.3037,0.2492,0.2512,0.1162,0.0967,0.4456,0.4006,0.4734,0.4727,0.2259,0.4109,0.4132,0.6306,0.755,0.6971,1.2258,1.1802,1.2156,1.2527,1.1064,1.2319,1.1769,1.1541,1.1386,1.2252,1.2238,1.1621,1.1661,1.2726,1.047,0.7527,0.666,0.8718,1.0837,1.1146,1.2498,1.1913,1.2481,0.3766,-0.1434,0.6492,0.6988,0.7379,0.8352,0.611,0.781,0.8044,0.6952,0.9838,0.9587,0.8885,0.8851,0.5233,0.5064,0.4926,0.3744,0.4233,0.4043,0.4003,0.474,0.4375,0.4153,0.4158,0.5069,0.2219,0.335,0.3405,0.2832,0.3196,0.3354,0.2817,0.2255,-0.2019,-0.2099,-0.0617,0.3298,0.5258,0.5651,0.5588,0.6315,0.6167,0.7781,0.7664,0.6617,0.6522,0.663,0.6787,,,,,,,,,,,,,,,,,,,,,,,,,
VO monthly avg,Basic Materials,0.1,136.14,43.59,54.87,10.27,134.2,304.48,41,7.16,2.39,18.5,3.31,20.86,203.1,71.74,33.61,37.08,20.54,235.16,14.12,3.23,4.76,37.21,99.58,14.3,62.45,12.02,15.1,36.84,8.3,13.04,2.03,3.58,16.58,54.1,23.03,49.7,44.71,621.41,1422.77,518.82,496.8,982.64,532.19,303.46,711.94,406.83,584.48,253.53,206.4,536.29,336.28,259.63,310.94,298.6,430.29,160.29,485.7,237.77,476.53,285.53,5158.82,1967.39,4118.74,1346.97,1395.07,2794,2528.51,1439.03,1839.77,3072.3,2416.62,926.44,1988.42,1955.44,3983.16,4197.77,2552.12,1957.49,3327.52,1987.96,2737.69,3975.15,1779.42,738.26,1657.77,8828.51,1417.04,1672.15,1282.41,2570.49,1735.45,1350.67,896.67,2103.91,874.18,1083.49,1232.53,415.03,458.06,1231.91,1188.25,892.11,15110.35,336.78,339.63,67.98,58.37,35.11,103.99,323.93,339,26.29,33.96,27.5,62.29,56.4,55.3,40.41,138.79,145.65,141.97,429.6,140.04,54.14,84.69,112.52,53.9,134.74,524.5,82.66,1211.57,595.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total assets,Basic Materials,108414,108414,108414,108414,108414,108414,108414,117183,117183,117183,117183,117183,117183,117183,117183,117183,117183,117183,117183,102752,102752,102752,102752,102752,102752,102752,102752,102752,102752,102752,102752,107827,107827,107827,107827,107827,107827,107827,107827,107827,107827,107827,107827,98507,98507,98507,98507,98507,98507,98507,98507,98507,98507,98507,98507,169823,169823,169823,169823,169823,169823,169823,169823,169823,169823,169823,169823,203005,203005,203005,203005,203005,203005,203005,203005,203005,203005,203005,203005,254365,254365,254365,254365,254365,254365,254365,254365,254365,254365,254365,254365,218838,218838,218838,218838,218838,218838,218838,218838,218838,218838,218838,218838,175170,175170,175170,175170,175170,175170,175170,175170,175170,175170,175170,175170,171530,171530,171530,171530,171530,171530,171530,171530,171530,171530,171530,171530,171530,171530,171530,171530,171530,171530,,,,,,,,,,,,,,,,,,,,,,,,
Net sales,Basic Materials,99031,99031,99031,99031,99031,99031,99031,114115,114115,114115,114115,114115,114115,114115,114115,114115,114115,114115,114115,83288,83288,83288,83288,83288,83288,83288,83288,83288,83288,83288,83288,84406,84406,84406,84406,84406,84406,84406,84406,84406,84406,84406,84406,101157,101157,101157,101157,101157,101157,101157,101157,101157,101157,101157,101157,86882,86882,86882,86882,86882,86882,86882,86882,86882,86882,86882,86882,109315,109315,109315,109315,109315,109315,109315,109315,109315,109315,109315,109315,168117,168117,168117,168117,168117,168117,168117,168117,168117,168117,168117,168117,251928,251928,251928,251928,251928,251928,251928,251928,251928,251928,251928,251928,60815,60815,60815,60815,60815,60815,60815,60815,60815,60815,60815,60815,56071,56071,56071,56071,56071,56071,56071,56071,56071,56071,56071,56071,56071,56071,56071,56071,56071,56071,,,,,,,,,,,,,,,,,,,,,,,,
common equity,Basic Materials,57647,57647,57647,57647,57647,57647,57647,62242,62242,62242,62242,62242,62242,62242,62242,62242,62242,62242,62242,47693,47693,47693,47693,47693,47693,47693,47693,47693,47693,47693,47693,67255,67255,67255,67255,67255,67255,67255,67255,67255,67255,67255,67255,36320,36320,36320,36320,36320,36320,36320,36320,36320,36320,36320,36320,87856,87856,87856,87856,87856,87856,87856,87856,87856,87856,87856,87856,80644,80644,80644,80644,80644,80644,80644,80644,80644,80644,80644,80644,122825,122825,122825,122825,122825,122825,122825,122825,122825,122825,122825,122825,82186,82186,82186,82186,82186,82186,82186,82186,82186,82186,82186,82186,35672,35672,35672,35672,35672,35672,35672,35672,35672,35672,35672,35672,611,611,611,611,611,611,611,611,611,611,611,611,611,611,611,611,611,611,,,,,,,,,,,,,,,,,,,,,,,,
Turnover ratio,Basic Materials,0%,0.21%,0.07%,0.08%,0.02%,0.21%,0.33%,0.04%,0.01%,0%,0.02%,0%,0.02%,0.22%,0.08%,0.04%,0.04%,0.02%,0.25%,0.02%,0%,0.01%,0.04%,0.11%,0.02%,0.07%,0.01%,0.02%,0.04%,0.01%,0.01%,0%,0%,0.02%,0.06%,0.02%,0.02%,0.03%,0.24%,0.55%,0.2%,0.19%,0.38%,0.21%,0.12%,0.28%,0.16%,0.23%,0.1%,0.08%,0.21%,0.13%,0.1%,0.12%,0.12%,0.17%,0.06%,0.19%,0.09%,0.19%,0.11%,2.01%,0.77%,1.6%,0.52%,0.35%,0.65%,0.51%,0.29%,0.37%,0.61%,0.48%,0.19%,0.4%,0.39%,0.8%,0.84%,0.51%,0.31%,0.53%,0.31%,0.43%,0.63%,0.28%,0.12%,0.26%,1.4%,0.22%,0.26%,0.2%,0.4%,0.27%,0.21%,0.14%,0.33%,0.14%,0.17%,0.19%,0.06%,0.07%,0.19%,0.19%,0.14%,2.35%,0.05%,0.05%,0.01%,0.01%,0.01%,0.02%,0.05%,0.05%,0%,0.01%,0%,0.01%,0.01%,0.01%,0.01%,0.02%,0.02%,0.02%,0.06%,0.02%,0.01%,0.01%,0.02%,0.01%,0.02%,0.06%,0.01%,0.13%,0.07%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Basic Materials,,0.19238477,-0.016386555,-0.016232379,-0.116804168,0.113569322,0.016777042,-0.166739036,0.280354351,-0.234432234,0.02020202,0.219906201,0.049551474,0.171754172,0.253212921,-0.138303769,0.049533612,-0.411890898,0.120375195,-0.10744186,-0.10005211,-0.088592936,-0.048919949,-0.230460922,-0.133680556,-0.154308617,0.046208531,0.260475651,-0.137466307,0.039583333,-0.30761523,0.499276411,-0.185328185,0.137440758,-0.2,0.049479167,-0.095533499,0.263374486,0.250814332,0.099826389,0,-0.060773481,0.128571429,-0.142218913,0,0.1328125,-0.029118774,0,-0.151539069,0.071627907,-0.033854167,-0.06918239,-0.036679537,0.30761523,0.029118774,0,-0.056589724,0.029992107,0.059003831,-0.028219971,0,0.629188384,0.10511883,0.158808933,0.150606709,0.126550868,-0.050660793,0.173433875,0.022491349,0.055595842,0.231738035,0.110987172,0.046184739,0.06621881,-0.138013801,-0.247998608,-0.053228419,0.292349059,-0.102893891,-0.265865486,-0.029006318,-0.029872819,-0.261585366,-0.083402147,-0.090990991,0.300297324,0.326981707,-0.159678346,-0.068694463,0.314495413,0.197375768,-0.094194451,-0.090862291,-0.085787089,-0.375038712,0,-0.24975223,-0.0667107,0.428167021,-0.174925669,-0.090690691,-0.100396301,-0.221732746,-0.048113208,-0.049554014,-0.053180396,-0.11123348,-0.125154895,0.07223796,0.066050198,-0.187112763,0.230182927,-0.061957869,0.066050198,-0.250309789,0,0,-0.165289256,0,0,0.299009901,0.230182927,0.313506815,-0.143396226,-0.055066079,-0.177156177,0,-0.07082153,0.076219512,0.07223796,-0.067371202,0.14305949,-0.061957869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
