me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,46090,46090,46090,46090,46090,46090,46090,46090,46090,46090,46090,46090,71869,71869,71869,71869,71869,71869,71869,71869,71869,71869,71869,71869,73686,73686,73686,73686,73686,73686,73686,73686,73686,73686,73686,73686,137289,137289,137289,137289,137289,137289,137289,137289,137289,137289,137289,137289,459181,459181,459181,459181,459181,459181,459181,459181,459181,459181,459181,459181,526485,526485,526485,526485,526485,526485,526485,526485,526485,526485,526485,526485,713341,713341,713341,713341,713341,713341,713341,713341,713341,713341,713341,713341,427848,427848,427848,427848,427848,427848,427848,427848,427848,427848,427848,427848,427848,427848,427848,427848,427848,427848,427848,427848,427848,427848,427848,427848,427848,427848,427848,,,,,,,,,,,,,,,,,,,
Excess return,Industrials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090963639,0.0872074,-0.24796021,-0.070540456,-0.143790266,-0.200727685,-0.081983597,-0.142481657,0.040891674,-0.318469897,-0.103973442,-0.244400621,-0.09182758,-0.177772632,-0.111663568,-0.10515579,-0.370007097,-0.162849435,-0.524860365,-0.07671605,-0.325137884,-0.101682357,-0.400156143,-0.389512972,-0.170745487,-0.1710993,-0.349997699,-0.549709688,-0.312566756,-0.121895362,-0.363950606,-0.292646074,-0.116339865,-0.137941056,-0.043105578,-0.298513049,-0.101697677,-0.241453943,-0.1641593,-0.247011717,-0.257865824,-0.1628496,-0.257747398,-0.24545587,-0.080896747,-0.066411909,-0.281445886,-0.105590269,-0.220972311,-0.18029327,-0.016355292,-0.1469092,-0.301175313,-0.123046445,-0.251268671,-0.436112621,-0.267768765,0.227448995,-0.1325415,-0.063243172,-0.220588365,-0.168914826,-0.246377888,-0.062048151,0.192267333,-0.130396,-0.212721657,-0.1632544,-0.25593,-0.205915334,-0.264685787,0,0,0,0,0,0,0,0,-0.06515,0,0,0,0,0,0,0,0,0,0
Risk premium,Industrials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8833,2.7957,2.4631,2.4241,1.8875,1.8655,1.8763,2.1892,2.0155,1.9257,2.0993,1.9618,1.9965,1.8727,1.8525,2.3072,1.7496,2.3158,1.7708,1.8241,1.8292,1.741,1.8522,1.5508,1.4522,1.3111,1.497,1.4747,1.482,1.5106,1.4406,1.3258,1.3335,1.3188,1.3107,1.2882,1.2733,1.218,1.1811,1.1618,1.2137,1.1492,1.1142,1.1345,1.0997,1.117,1.0918,1.1269,1.1685,1.2115,1.0006,1.0184,1.0215,1.0015,0.9862,1.0062,1.0082,0.8441,0.7705,0.7504,0.7705,0.8194,0.9683,0.9972,0.983,0.842,0.81,0.8588,0.86,0.9075,,,,,,,,,1.1777,,,,,,,,,,,
VO monthly avg,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570.05,305.92,323.86,62.86,56.14,67.34,974.34,192.91,310.23,183.15,116.97,1463.8,269.33,340.27,199.61,623.74,183.64,437.06,160,290.11,701.19,541.99,361.12,114.4,796.98,461.42,118.53,174.19,229.62,803.79,276,516.36,427.91,305.28,318.54,1009.73,632.79,1138.02,1286.47,466.8,1217.67,844.84,631.77,976.01,272.88,436.3,456.3,337.07,292.77,271.36,247.36,805.76,1296.94,440.11,94.84,184.31,483.31,140.55,555.98,573.4,217.89,150.78,91.07,98.5,831.81,1523.96,3305.65,597.79,1143.2,1108.4,395.88,289.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total assets,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,51333,51333,51333,51333,51333,51333,51333,51333,51333,51333,51333,51333,81045,81045,81045,81045,81045,81045,81045,81045,81045,81045,81045,81045,96699,96699,96699,96699,96699,96699,96699,96699,96699,96699,96699,96699,237217,237217,237217,237217,237217,237217,237217,237217,237217,237217,237217,237217,1098011,1098011,1098011,1098011,1098011,1098011,1098011,1098011,1098011,1098011,1098011,1098011,1236015,1236015,1236015,1236015,1236015,1236015,1236015,1236015,1236015,1236015,1236015,1236015,1480149,1480149,1480149,1480149,1480149,1480149,1480149,1480149,1480149,1480149,1480149,1480149,1075895,1075895,1075895,1075895,1075895,1075895,1075895,1075895,1075895,1075895,1075895,1075895,1075895,1075895,1075895,1075895,1075895,1075895,1075895,1075895,1075895,1075895,1075895,1075895,1075895,1075895,1075895,,,,,,,,,,,,,,,,,,,
Net sales,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,137200,137200,137200,137200,137200,137200,137200,137200,137200,137200,137200,137200,225283,225283,225283,225283,225283,225283,225283,225283,225283,225283,225283,225283,258958,258958,258958,258958,258958,258958,258958,258958,258958,258958,258958,258958,379596,379596,379596,379596,379596,379596,379596,379596,379596,379596,379596,379596,1002458,1002458,1002458,1002458,1002458,1002458,1002458,1002458,1002458,1002458,1002458,1002458,1543041,1543041,1543041,1543041,1543041,1543041,1543041,1543041,1543041,1543041,1543041,1543041,1997166,1997166,1997166,1997166,1997166,1997166,1997166,1997166,1997166,1997166,1997166,1997166,1533062,1533062,1533062,1533062,1533062,1533062,1533062,1533062,1533062,1533062,1533062,1533062,1533062,1533062,1533062,1533062,1533062,1533062,1533062,1533062,1533062,1533062,1533062,1533062,1533062,1533062,1533062,,,,,,,,,,,,,,,,,,,
common equity,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,5363,5363,5363,5363,5363,5363,5363,5363,5363,5363,5363,5363,8743,8743,8743,8743,8743,8743,8743,8743,8743,8743,8743,8743,23013,23013,23013,23013,23013,23013,23013,23013,23013,23013,23013,23013,99928,99928,99928,99928,99928,99928,99928,99928,99928,99928,99928,99928,638830,638830,638830,638830,638830,638830,638830,638830,638830,638830,638830,638830,709530,709530,709530,709530,709530,709530,709530,709530,709530,709530,709530,709530,766808,766808,766808,766808,766808,766808,766808,766808,766808,766808,766808,766808,648047,648047,648047,648047,648047,648047,648047,648047,648047,648047,648047,648047,648047,648047,648047,648047,648047,648047,648047,648047,648047,648047,648047,648047,648047,648047,648047,,,,,,,,,,,,,,,,,,,
Turnover ratio,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27%,0.14%,0.15%,0.03%,0.03%,0.03%,0.45%,0.09%,0.14%,0.09%,0.05%,0.68%,0.09%,0.11%,0.07%,0.2%,0.06%,0.14%,0.05%,0.09%,0.23%,0.18%,0.12%,0.03%,0.21%,0.12%,0.03%,0.05%,0.06%,0.2%,0.07%,0.13%,0.11%,0.08%,0.08%,0.25%,0.15%,0.27%,0.31%,0.11%,0.29%,0.2%,0.15%,0.24%,0.06%,0.1%,0.1%,0.08%,0.07%,0.06%,0.06%,0.18%,0.29%,0.1%,0.02%,0.04%,0.11%,0.03%,0.12%,0.13%,0.05%,0.03%,0.02%,0.02%,0.18%,0.34%,0.73%,0.13%,0.25%,0.25%,0.09%,0.06%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Industrials,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.090963639,0.3500165,-0.01238491,0.162527844,0.053722234,-0.005051185,0.112773303,0.073787943,0.244618174,-0.117250797,0.113282458,-0.035107221,0.12000192,0.022757468,0.085693932,0.12574781,-0.174032297,0.069195965,-0.323549965,0.13045225,-0.115398284,0.108700643,-0.176467543,-0.200012572,0.011943113,0,-0.164686699,-0.373303588,-0.145950756,0.052622438,-0.187592806,-0.123070674,0.052570635,0.033443344,0.129018522,-0.128606449,0.065570223,-0.076969943,0,-0.083168317,-0.090952724,0,-0.100052798,-0.08888237,0.073084353,0.090909091,-0.124862486,0.047454431,-0.068106811,-0.02446877,0.125082508,0,-0.155470813,0.026398055,-0.102538071,-0.285822021,-0.119852165,0.363527295,0,0.066432028,-0.093646865,-0.034592626,-0.107024988,0.079725449,0.333496333,0,-0.083241657,-0.0304,-0.125,-0.071192834,-0.192385787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
