me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90355,90355,90355,90355,90355,90355,90355,90355,90355,90355,90355,90355,606534,606534,606534,606534,606534,606534,606534,606534,606534,606534,606534,606534,610171,610171,610171,610171,610171,610171,610171,610171,610171,610171,610171,610171,486372,486372,486372,486372,486372,486372,486372,486372,486372,486372,486372,486372,190706,190706,190706,190706,190706,190706,190706,190706,190706,190706,190706,190706,190706,190706,190706,190706,190706,190706,190706,190706,190706,190706,190706,190706,190706,190706,190706,190706,,,,,,,,,,,,,,
Excess return,Industrials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146307735,-0.083261629,-0.1593403,-0.187043685,-0.386589496,-0.10519645,-0.105674824,-0.198902935,-0.311162876,-0.256257699,-0.268517454,0.065597775,-0.21907265,-0.52955573,-0.0441313,-0.1505589,-0.238022542,-0.25851935,-0.339374965,-0.271547202,-0.014915307,-0.010885981,-0.188526803,-0.1330533,-0.587334116,-0.207884429,-0.268876736,-0.1336302,-0.157891597,-0.395307008,-0.590708144,0.217556568,-0.24045968,-0.040796534,-0.05392817,-0.498217439,-0.1023841,-0.305178072,0.014316608,0.128482976,0.34957446,0.139622722,-0.305945892,-0.22750198,-0.251084433,-0.271391734,-0.1002673,-0.210249936,-0.333918776,-0.112781,0.032065243,-0.0975793,-0.380392317,-0.286717755,0.076919915,-0.457107584,-0.3757807,-0.438299933,0.3993742,-0.428297633,-0.6098908,-0.0667,0,0,0,0,-0.0601,0,0,0,0,0,0,0,0,0
Risk premium,Industrials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67.2383,1.3143,1.1681,1.8509,1.0956,0.999,0.9331,0.8374,0.8978,0.9261,0.9284,0.8201,1.0994,1.1274,1.1248,1.1303,1.1212,0.8515,0.8303,0.8934,0.8672,0.8039,0.8057,0.7191,0.7017,0.7046,0.7405,0.6854,0.6355,0.4611,0.441,0.4659,0.4367,0.4805,0.6576,0.6869,0.3807,0.35,0.4703,0.1247,0.304,0.3586,0.351,0.3088,0.3815,0.3502,0.3471,0.4343,0.5219,0.537,0.506,0.3211,0.8151,0.6973,0.6755,0.7671,0.8489,0.6082,0.5266,0.4661,0.6816,,,,,0.6046,,,,,,,,,,
VO monthly avg,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3701.27,1322.15,1212.74,647.1,442.22,1111.75,1124.54,536.73,309.04,1191.44,1246.12,2036.95,368.43,140.2,526.18,802.6,158.53,403.46,104.21,587.61,63.1,287.42,382.86,863.7,251.05,315.79,442.17,163.01,435.42,114.21,418.13,270.35,73.54,327.75,396.76,140.82,236,148.72,174.44,435.37,1334.62,697.37,241.94,234.67,31.19,91.68,77.39,176.34,212.66,90.42,166.34,106.42,97.57,123.48,176.38,115.3,108.29,188.9,116.09,168.36,154.42,787.92,124.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total assets,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235171,235171,235171,235171,235171,235171,235171,235171,235171,235171,235171,235171,882163,882163,882163,882163,882163,882163,882163,882163,882163,882163,882163,882163,936670,936670,936670,936670,936670,936670,936670,936670,936670,936670,936670,936670,594217,594217,594217,594217,594217,594217,594217,594217,594217,594217,594217,594217,223575,223575,223575,223575,223575,223575,223575,223575,223575,223575,223575,223575,223575,223575,223575,223575,223575,223575,223575,223575,223575,223575,223575,223575,223575,223575,223575,223575,,,,,,,,,,,,,,
Net sales,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250301,250301,250301,250301,250301,250301,250301,250301,250301,250301,250301,250301,649827,649827,649827,649827,649827,649827,649827,649827,649827,649827,649827,649827,841389,841389,841389,841389,841389,841389,841389,841389,841389,841389,841389,841389,647375,647375,647375,647375,647375,647375,647375,647375,647375,647375,647375,647375,186286,186286,186286,186286,186286,186286,186286,186286,186286,186286,186286,186286,186286,186286,186286,186286,186286,186286,186286,186286,186286,186286,186286,186286,186286,186286,186286,186286,,,,,,,,,,,,,,
common equity,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144816,144816,144816,144816,144816,144816,144816,144816,144816,144816,144816,144816,277168,277168,277168,277168,277168,277168,277168,277168,277168,277168,277168,277168,319328,319328,319328,319328,319328,319328,319328,319328,319328,319328,319328,319328,63700,63700,63700,63700,63700,63700,63700,63700,63700,63700,63700,63700,32869,32869,32869,32869,32869,32869,32869,32869,32869,32869,32869,32869,32869,32869,32869,32869,32869,32869,32869,32869,32869,32869,32869,32869,32869,32869,32869,32869,,,,,,,,,,,,,,
Turnover ratio,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78%,0.28%,0.25%,0.14%,0.09%,0.23%,0.24%,0.11%,0.06%,0.25%,0.26%,0.42%,0.08%,0.03%,0.11%,0.16%,0.03%,0.08%,0.02%,0.12%,0.01%,0.06%,0.08%,0.18%,0.05%,0.06%,0.09%,0.03%,0.09%,0.02%,0.09%,0.06%,0.02%,0.07%,0.08%,0.03%,0.05%,0.03%,0.04%,0.09%,0.27%,0.14%,0.05%,0.05%,0.01%,0.02%,0.02%,0.04%,0.04%,0.02%,0.03%,0.02%,0.02%,0.03%,0.04%,0.02%,0.02%,0.04%,0.02%,0.03%,0.03%,0.16%,0.03%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Industrials,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.146307735,0.085089271,0,0.015713015,-0.227816696,0.04999055,0.047610476,-0.045446735,-0.147601476,-0.106113399,-0.118828254,0.205764075,-0.05881045,-0.37502953,0.0999811,0,-0.081786942,-0.11882485,-0.202166065,-0.126963002,0.129268293,0.128509719,-0.050717703,0,-0.453377016,-0.072844629,-0.131775236,0,-0.030355097,-0.281157708,-0.478225144,0.333858268,-0.12514758,0.071524966,0.06675063,-0.375442739,0,-0.200378072,0.125295508,0.222689076,0.45532646,0.249114522,-0.199432892,-0.12514758,-0.143049933,-0.166929134,0,-0.100189036,-0.222689076,0,0.143243243,0,-0.250591017,-0.164037855,0.196226415,-0.331230284,-0.25,-0.333333333,0.5,-0.333333333,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Def tax,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2896,2896,2896,2896,2896,2896,2896,2896,2896,2896,2896,2896,19609,19609,19609,19609,19609,19609,19609,19609,19609,19609,19609,19609,32072,32072,32072,32072,32072,32072,32072,32072,32072,32072,32072,32072,13112,13112,13112,13112,13112,13112,13112,13112,13112,13112,13112,13112,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price monthly,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,2.35,2.55,2.55,2.59,2,2.1,2.2,2.1,1.79,1.6,1.41,1.7,1.6,1,1.1,1.1,1.01,0.89,0.71,0.62,0.7,0.79,0.75,0.75,0.41,0.38,0.33,0.33,0.32,0.23,0.12,0.16,0.14,0.15,0.16,0.1,0.1,0.08,0.09,0.11,0.16,0.2,0.16,0.14,0.12,0.1,0.1,0.09,0.07,0.07,0.08,0.08,0.06,0.05,0.06,0.04,0.03,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
MV monthly,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978.94,1122.2,1217.7,1217.7,1236.8,955.06,1002.81,1050.57,1002.81,854.78,764.05,689.3,831.07,782.18,488.86,537.75,537.75,493.75,435.09,347.09,303.1,342.2,386.2,366.65,366.65,200.43,185.77,161.33,161.33,156.44,112.44,58.66,78.22,68.44,73.33,78.22,48.89,48.89,39.11,44,53.78,78.22,97.77,78.22,68.44,58.66,48.89,48.89,44,34.22,34.22,39.11,39.11,29.33,24.44,29.33,19.55,14.67,9.78,14.67,9.78,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89
NOSH,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477531,477531,477531,477531,477531,477531,477531,477531,477531,477531,477531,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864,488864
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market value,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978938.55,1122197.85,1217704.05,1217704.05,1236805.29,955062,1002815.1,1050568.2,1002815.1,854780.49,764049.6,689298.24,831068.8,782182.4,488864,537750.4,537750.4,493752.64,435088.96,347093.44,303095.68,342204.8,386202.56,366648,366648,200434.24,185768.32,161325.12,161325.12,156436.48,112438.72,58663.68,78218.24,68440.96,73329.6,78218.24,48886.4,48886.4,39109.12,43997.76,53775.04,78218.24,97772.8,78218.24,68440.96,58663.68,48886.4,48886.4,43997.76,34220.48,34220.48,39109.12,39109.12,29331.84,24443.2,29331.84,19554.56,14665.92,9777.28,14665.92,9777.28,4888.64,4888.64,4888.64,4888.64,4888.64,4888.64,4888.64,4888.64,4888.64,4888.64,4888.64,4888.64,4888.64,4888.64,4888.64,4888.64
