me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Fincials,188471,188471,188471,188471,188471,188471,188471,188471,188471,227996,227996,227996,227996,227996,227996,227996,227996,227996,227996,227996,227996,240761,240761,240761,240761,240761,240761,240761,240761,240761,240761,240761,240761,195705,195705,195705,195705,195705,195705,195705,195705,195705,195705,195705,195705,235553,235553,235553,235553,235553,235553,235553,235553,235553,235553,235553,235553,293164,293164,293164,293164,293164,293164,293164,293164,293164,293164,293164,293164,377837,377837,377837,377837,377837,377837,377837,377837,377837,377837,377837,377837,401415,401415,401415,401415,401415,401415,401415,401415,401415,401415,401415,401415,265848,265848,265848,265848,265848,265848,265848,265848,265848,265848,265848,265848,299480,299480,299480,299480,299480,299480,299480,299480,299480,299480,299480,299480,318892,318892,318892,318892,318892,318892,318892,318892,318892,318892,318892,318892,378220,378220,378220,378220,378220,378220,378220,378220,378220,378220,378220,378220,408736,408736,408736,408736,408736,408736,408736,408736,408736,408736,408736,408736,,,,
Excess return,Fincials,,-0.303049474,0.301783246,-0.301572073,-0.256340604,-0.222774038,0.069841721,-0.1278988,-0.1347775,-0.294697206,-0.178037544,0.105985224,-0.323957306,-0.319036877,-0.212073852,-0.269407801,-0.153458,0.238669776,-0.042665167,-0.405922429,-0.104745548,-0.24137674,-0.0546203,0.5725125,-0.070336666,0.070946239,-0.341244773,-0.404602959,-0.027690599,-0.068557603,0.165308081,-0.150981,-0.186507444,0.046681843,-0.112708752,-0.044213763,0.201094653,-0.235644145,-0.135092861,-0.23144564,-0.204016928,-0.106717044,-0.160141523,-0.190359258,-0.097728054,-0.22095369,0.044505155,-0.127263199,0.002994733,-0.059730551,-0.047959041,-0.068470238,-0.147179279,-0.122600048,-0.129906546,-0.188379568,-0.214218638,0.107581224,-0.241175125,-0.279600323,0.324654452,0.045507803,-0.036365404,-0.162743727,-0.186237888,-0.158304999,-0.180121746,-0.167983098,-0.160093187,-0.176283966,-0.189812987,0.072776296,-0.139578485,-0.250382626,-0.126413102,-0.216535262,-0.075570591,0.064077991,-0.242105211,-0.308771439,-0.257528532,-0.067138109,-0.179019615,-0.1563137,-0.239439512,-0.265944271,-0.078545436,-0.242740974,-0.194571756,-0.193419675,-0.077288404,-0.189725184,-0.145299943,-0.097251402,-0.151340975,-0.058504403,-0.394102303,-0.103208957,-0.318123742,-0.074026535,-0.022296509,-0.215188223,-0.170353095,-0.198005097,-0.1173348,-0.145122871,-0.26526277,-0.083415076,-0.048996047,-0.1072442,-0.387597004,-0.063321959,0.015659939,-0.1085837,0.011535005,-0.197406429,0.008055905,0.029115705,0.158015605,0.013819521,-0.193615262,-0.0849809,0.027282921,-0.253828239,-0.137898195,-0.115071432,-0.050465487,0.345864518,-0.116050566,-0.060057982,0.301076066,-0.331492587,0.029478191,-0.176635572,-0.048621744,-0.276373936,0.183581483,-0.098457693,-0.192435221,-0.268200941,-0.152902252,-0.036690423,-0.215285799,-0.199063515,-0.21313241,0.007746877,-0.00127809,-0.141550669,0.063593216,-0.141146752,-0.243199734,-0.205005947,-0.062719286,-0.0839699,0.068229556,-0.191678696,0
Risk premium,Fincials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Fincials,0.7144,0.5842,0.6321,0.5758,0.5711,0.4907,0.3385,0.3476,0.4425,0.3359,0.5207,0.6505,0.6686,0.5937,0.6357,0.5774,0.566,0.5512,0.7185,0.7253,0.6281,0.6165,0.6748,0.7862,0.7088,0.7784,0.9941,0.9788,0.9416,0.9257,0.8954,0.887,0.798,0.7364,0.629,0.8821,0.7936,0.8557,0.894,0.9175,0.8556,0.6304,0.6125,0.54,0.4683,0.4541,0.3814,0.3804,0.5223,0.386,-0.0096,0.1597,0.1592,0.1559,0.0933,0.2706,0.5015,0.6001,0.5947,0.9779,1.1119,0.9656,0.9162,0.8853,0.8978,0.9074,0.9248,0.9075,0.9617,1.1095,1.1023,1.1262,1.1555,1.1535,1.1599,1.4442,1.3564,1.37,1.5753,1.6106,1.4998,1.3735,1.3032,0.5725,0.7318,0.8947,0.9812,1.0148,1.0015,0.8677,0.8108,0.8311,0.6455,0.6198,0.5728,0.5468,0.5306,0.6247,0.6431,0.6632,0.5403,0.5507,0.5013,0.5075,0.4696,0.4252,0.4362,0.436,0.4008,0.3134,0.3433,0.3391,0.3568,0.3299,0.2793,0.2873,0.375,0.411,0.3821,0.3358,0.0486,-0.0257,0.034,0.0429,0.079,0.0753,-0.0777,-0.048,-0.0587,0.6257,0.6028,0.5455,0.3866,0.408,0.5141,0.6003,0.5858,0.6298,0.9415,0.9184,0.8565,0.6147,0.5659,0.7028,0.7595,0.6247,0.574,0.4268,0.2937,0.508,0.6996,0.7095,0.8067,0.1273,0.1869,0.4182,
VO monthly avg,Fincials,10.4,23.16,123.54,11.38,15.36,72.37,36.02,9.36,2.06,6.88,69.85,11.15,10.02,5.73,6.1,10.01,0.29,7.74,1.56,7.46,0.93,1.04,6.55,78.51,36.55,28.5,7.81,0.77,2.24,11.04,48.23,20.74,119.75,208.78,88.65,71.57,230.97,144.78,295.81,137.64,15.48,212.92,113.57,60.23,37.12,83.64,68.8,104.2,147.69,133.91,366.98,36.27,2371.59,173.31,24.1,100.48,67.7,231.59,252.84,112.64,621.03,621.15,904.75,266.45,642.63,473.07,114.25,348.44,114.7,57.97,1937.36,2064.11,1297.38,726.83,1105.74,482.86,1134.33,3559.43,812.09,827.7,1590.86,905.38,559.79,516.59,760.71,1130.03,2378.66,761.18,527.02,2774.49,928.29,726.69,670.77,626.79,446.57,256.65,103.06,31.9,252.96,23.74,37.94,51.73,120.12,100.6,107.15,69.96,69.94,74.59,45.88,50.94,120.69,134.25,75.19,127.47,83.52,57.7,271.36,120.83,109.32,111.76,353.37,235.31,444.09,39.75,37.39,131.04,49.92,162.78,321.72,83.13,76.79,92.3,76.83,40.5,60.74,33.89,87.19,128.7,89.67,40.1,30,22.58,42.25,37.41,123.02,26.28,98.11,165.01,116.58,87.35,45.73,96.7,41.06,45.71,49.86,71.68,58.45
Total assets,Fincials,244752,244752,244752,244752,244752,244752,244752,244752,244752,295947,295947,295947,295947,295947,295947,295947,295947,295947,295947,295947,295947,267545,267545,267545,267545,267545,267545,267545,267545,267545,267545,267545,267545,300842,300842,300842,300842,300842,300842,300842,300842,300842,300842,300842,300842,422348,422348,422348,422348,422348,422348,422348,422348,422348,422348,422348,422348,708116,708116,708116,708116,708116,708116,708116,708116,708116,708116,708116,708116,939167,939167,939167,939167,939167,939167,939167,939167,939167,939167,939167,939167,851005,851005,851005,851005,851005,851005,851005,851005,851005,851005,851005,851005,692125,692125,692125,692125,692125,692125,692125,692125,692125,692125,692125,692125,702682,702682,702682,702682,702682,702682,702682,702682,702682,702682,702682,702682,753957,753957,753957,753957,753957,753957,753957,753957,753957,753957,753957,753957,830084,830084,830084,830084,830084,830084,830084,830084,830084,830084,830084,830084,885732,885732,885732,885732,885732,885732,885732,885732,885732,885732,885732,885732,,,,
Net sales,Fincials,270125,270125,270125,270125,270125,270125,270125,270125,270125,346013,346013,346013,346013,346013,346013,346013,346013,346013,346013,346013,346013,356664,356664,356664,356664,356664,356664,356664,356664,356664,356664,356664,356664,311690,311690,311690,311690,311690,311690,311690,311690,311690,311690,311690,311690,399830,399830,399830,399830,399830,399830,399830,399830,399830,399830,399830,399830,425128,425128,425128,425128,425128,425128,425128,425128,425128,425128,425128,425128,449516,449516,449516,449516,449516,449516,449516,449516,449516,449516,449516,449516,638271,638271,638271,638271,638271,638271,638271,638271,638271,638271,638271,638271,405910,405910,405910,405910,405910,405910,405910,405910,405910,405910,405910,405910,436948,436948,436948,436948,436948,436948,436948,436948,436948,436948,436948,436948,440390,440390,440390,440390,440390,440390,440390,440390,440390,440390,440390,440390,455860,455860,455860,455860,455860,455860,455860,455860,455860,455860,455860,455860,569198,569198,569198,569198,569198,569198,569198,569198,569198,569198,569198,569198,,,,
common equity,Fincials,5366,5366,5366,5366,5366,5366,5366,5366,5366,21700,21700,21700,21700,21700,21700,21700,21700,21700,21700,21700,21700,24633,24633,24633,24633,24633,24633,24633,24633,24633,24633,24633,24633,107386,107386,107386,107386,107386,107386,107386,107386,107386,107386,107386,107386,163220,163220,163220,163220,163220,163220,163220,163220,163220,163220,163220,163220,365297,365297,365297,365297,365297,365297,365297,365297,365297,365297,365297,365297,531588,531588,531588,531588,531588,531588,531588,531588,531588,531588,531588,531588,449590,449590,449590,449590,449590,449590,449590,449590,449590,449590,449590,449590,394239,394239,394239,394239,394239,394239,394239,394239,394239,394239,394239,394239,402335,402335,402335,402335,402335,402335,402335,402335,402335,402335,402335,402335,424870,424870,424870,424870,424870,424870,424870,424870,424870,424870,424870,424870,442823,442823,442823,442823,442823,442823,442823,442823,442823,442823,442823,442823,472234,472234,472234,472234,472234,472234,472234,472234,472234,472234,472234,472234,,,,
Turnover ratio,Fincials,0%,0.01%,0.05%,0%,0.01%,0.03%,0.02%,0%,0%,0%,0.03%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.03%,0.02%,0.01%,0%,0%,0%,0%,0.02%,0.01%,0.05%,0.09%,0.04%,0.03%,0.1%,0.06%,0.13%,0.06%,0.01%,0.09%,0.05%,0.03%,0.02%,0.04%,0.03%,0.04%,0.06%,0.06%,0.16%,0.01%,0.87%,0.06%,0.01%,0.04%,0.02%,0.08%,0.09%,0.04%,0.21%,0.21%,0.3%,0.08%,0.2%,0.15%,0.03%,0.1%,0.03%,0.02%,0.54%,0.55%,0.35%,0.2%,0.3%,0.13%,0.28%,0.81%,0.18%,0.18%,0.35%,0.19%,0.12%,0.11%,0.16%,0.23%,0.49%,0.16%,0.11%,0.57%,0.19%,0.15%,0.14%,0.13%,0.09%,0.05%,0.02%,0.01%,0.05%,0%,0.01%,0.01%,0.02%,0.02%,0.02%,0.01%,0.01%,0.02%,0.01%,0.01%,0.02%,0.03%,0.02%,0.03%,0.02%,0.01%,0.06%,0.02%,0.02%,0.02%,0.07%,0.05%,0.09%,0.01%,0.01%,0.03%,0.01%,0.03%,0.07%,0.02%,0.02%,0.02%,0.02%,0.01%,0.01%,0.01%,0.02%,0.03%,0.02%,0.01%,0.01%,0%,0.01%,0.01%,0.03%,0.01%,0.02%,0.03%,0.02%,0.02%,0.01%,0.02%,0.01%,0.01%,0.01%,0.01%,0.01%
Return monthly,Fincials,,-0.142644874,0.458405546,-0.143196673,-0.099861304,-0.073959938,0.199667221,0,0,-0.166435506,-0.039933444,0.249566724,-0.166435506,-0.159733777,-0.047524752,-0.100831601,0,0.389595376,0.119800333,-0.249628529,0.047524752,-0.09073724,0.0997921,0.7268431,0.078817734,0.219685439,-0.180116473,-0.244038559,0.129530201,0.085561497,0.315818281,0,-0.039933444,0.187175043,0.017518248,0.103658537,0.341891453,-0.085735045,0.015629139,-0.07694314,-0.050014128,0.035098156,-0.016954023,-0.051739258,0.036374846,-0.08774539,0.173133355,-0.016397999,0.116699633,0.044787449,0.028336159,0.027790862,-0.053849679,-0.028578348,-0.044128646,-0.092331768,-0.101724138,0.226487524,-0.123109025,-0.140392623,0.469204152,0.180640603,0.094155196,-0.032269827,-0.055576488,-0.023538799,-0.036159346,-0.025010598,-0.012826087,-0.025985466,-0.040018087,0.222326896,0.011368015,-0.101162126,0.025010598,-0.048800662,0.089782609,0.235387991,-0.057161311,-0.121253639,-0.080491132,0.100042391,-0.011368015,-0.0344962,-0.107186112,-0.119828171,0.075520164,-0.084308574,-0.030777256,-0.031754575,0.065591996,-0.046165884,-0.016133443,0.032795998,-0.031754575,0.049193997,-0.281324503,0.021747143,-0.191558442,0.052655065,0.100042391,-0.090944123,-0.050021195,-0.078982597,0,-0.028585271,-0.14713217,0.034502924,0.066704353,0,-0.280869104,0.042741341,0.125088339,0,0.111180905,-0.100056529,0.111180905,0.133408705,0.264837905,0.116324921,-0.104203462,0,0.116324921,-0.166725539,-0.050021195,-0.026327532,0.027039413,0.421240518,-0.037048666,0.057711118,0.418002466,-0.217826087,0.131183991,-0.072481572,0.062516556,-0.161805036,0.298036883,0.013519707,-0.066470721,-0.142891741,-0.033342752,0.068985677,-0.112934099,-0.090937115,-0.10003391,0.111152977,0.10003391,-0.054562269,0.153896316,-0.033342752,-0.120724934,-0.078457447,0.063852814,0,0.160054256,-0.086232096,0
