me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4263,4263,4263,4263,4263,4263,4263,4263,4263,4263,4263,4263,4519,4519,4519,4519,4519,4519,4519,4519,4519,4519,4519,4519,8079,8079,8079,8079,8079,8079,8079,8079,8079,8079,8079,8079,3954,3954,3954,3954,3954,3954,3954,3954,3954,3954,3954,3954,3871,3871,3871,3871,3871,3871,3871,3871,3871,3871,3871,3871,25615,25615,25615,25615,25615,25615,25615,25615,25615,25615,25615,25615,,,,,,,,,,,,,,,,,,,,,,,,
Excess return,Technology,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.037676609,0.019473486,-0.119849698,-0.014986515,0.0275274,0.0216646,0.134787204,0.099746161,-0.006436,-0.0481658,-0.1712284,-0.678630175,-0.6845258,0.238706227,0.090131102,-0.2177288,-0.779274521,-0.3984205,0.031839308,-0.3530908,0.339177678,-0.0958732,-0.3168012,-0.0916035,-0.0971668,-0.0892189,-0.388624902,-0.0885898,-0.231268774,-0.0916732,-0.0921089,0.075465216,0.048276974,-0.0908138,-0.716200951,0.587869767,0.1520766,0.113861416,-0.051436,-0.351021347,-0.4630788,0.236902333,0.8781746,-0.1197822,-0.122059,-0.001664754,-0.260640545,0.822433595,-0.715736096,0.155149849,-0.398852484,-0.373505245,-0.396331751,-0.579275247,0.131919599,0.857223016,-0.602468373,-0.2682776,-0.361516394,-0.360634645,-0.520552102,-0.2591631,0.080260833,-0.116927054,-0.474825489,-0.625435163,0.307231695,-0.384670916,-0.397416701,-0.435583502,-0.427179533,-0.0468099,-0.531870501,-0.0279548,-0.0601,0,0,0,-0.08185,0,0,0,0,0
Risk premium,Technology,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2385,-1.8651,-1.8549,-2.1643,-1.3798,-1.7042,-1.9164,-1.4511,-1.178,-0.5934,1.3568,2.1291,2.7266,2.1523,2.119,1.8576,1.9134,1.2035,1.2249,0.2316,0.2234,0.1964,0.2024,0.1945,0.1836,0.0503,0.0583,0.0046,-0.0147,0.0464,0.0803,0.0502,0.0733,0.0026,0.0145,-0.1758,-0.6348,-0.5172,-0.528,-0.3368,-0.3957,0.2191,0.6758,0.6394,0.693,0.7048,1.0761,1.4582,2.0472,2.1129,2.1094,2.843,2.9761,3.3585,2.9976,3.2296,3.0265,3.0052,2.8948,2.7268,3.0544,2.8637,2.7896,2.6169,2.8589,2.0652,1.9995,2.4237,2.061,1.8922,0.4853,-0.2927,-0.5314,-0.5904,,,,0.2891,,,,,,
VO monthly avg,Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,9.09,6.55,7.34,13.17,26.27,18.77,0.14,5.2,0,0,0,33.71,20.17,21.06,0.4,0,1.36,2.52,41.16,10.25,8.67,0,0.55,0,0,15.63,63.57,1.03,0.28,0,7.04,5.21,0.05,18.71,8.32,1.14,0.75,3.01,0.07,4.13,12.28,42.11,1.6,4.91,0,4.25,2.28,1267.15,1547.17,1071.72,288.98,1309.64,895.25,869.41,1811.97,1171.6,532.61,268.25,399.41,381.8,2394.31,4018.14,5009.31,2054.65,3540.25,301.46,564.46,978.42,503.87,2445.57,2176.6,2735.44,4227.35,1843.65,0,0,0,0,421.16,0,0,0,0,0
Total assets,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50757,50757,50757,50757,50757,50757,50757,50757,50757,50757,50757,50757,49234,49234,49234,49234,49234,49234,49234,49234,49234,49234,49234,49234,18210,18210,18210,18210,18210,18210,18210,18210,18210,18210,18210,18210,12168,12168,12168,12168,12168,12168,12168,12168,12168,12168,12168,12168,2908,2908,2908,2908,2908,2908,2908,2908,2908,2908,2908,2908,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,,,,,,,,,,,,,,,,,,,,,,,,
Net sales,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14750,14750,14750,14750,14750,14750,14750,14750,14750,14750,14750,14750,12222,12222,12222,12222,12222,12222,12222,12222,12222,12222,12222,12222,7251,7251,7251,7251,7251,7251,7251,7251,7251,7251,7251,7251,2656,2656,2656,2656,2656,2656,2656,2656,2656,2656,2656,2656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
common equity,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46494,46494,46494,46494,46494,46494,46494,46494,46494,46494,46494,46494,44705,44705,44705,44705,44705,44705,44705,44705,44705,44705,44705,44705,10131,10131,10131,10131,10131,10131,10131,10131,10131,10131,10131,10131,8213,8213,8213,8213,8213,8213,8213,8213,8213,8213,8213,8213,-963,-963,-963,-963,-963,-963,-963,-963,-963,-963,-963,-963,-23932,-23932,-23932,-23932,-23932,-23932,-23932,-23932,-23932,-23932,-23932,-23932,,,,,,,,,,,,,,,,,,,,,,,,
Turnover ratio,Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01%,0.01%,0.01%,0.01%,0.01%,0.03%,0.02%,0%,0.01%,0%,0%,0%,0.03%,0.02%,0.02%,0%,0%,0%,0%,0.04%,0.01%,0.01%,0%,0%,0%,0%,0.02%,0.06%,0%,0%,0%,0.01%,0.01%,0%,0.02%,0.01%,0%,0%,0%,0%,0%,0.01%,0.04%,0%,0%,0%,0%,0%,1.1%,1.09%,0.62%,0.17%,0.76%,0.52%,0.48%,0.9%,0.39%,0.18%,0.09%,0.13%,0.13%,0.53%,0.89%,1.11%,0.45%,0.71%,0.06%,0.11%,0.2%,0.1%,0.4%,0.28%,0.35%,0.54%,0.24%,0%,0%,0%,0%,0.05%,0%,0%,0%,0%,0%
Return monthly,Technology,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,-0.037676609,-0.019677814,-0.159958398,-0.071437415,0.0256,0,0.100104004,0.090876861,0,0,0,-0.458346875,-0.423,0.466551127,0.318128102,0,-0.551730321,-0.2308,0.200208008,-0.25,0.444251878,0,-0.2308,0,0,0,-0.300052002,0,-0.142644874,0,0,0.166377816,0.142644874,0,-0.624837451,0.667244367,0.1995842,0.166377816,0,-0.285289747,-0.4002079,0.332755633,1,0,0,0.125487646,-0.111496245,1.000650195,-0.500162496,0.375162549,-0.181560284,-0.111496245,-0.124837451,-0.285289747,0.399168399,1.143387816,-0.333448873,0,-0.099843994,-0.111496245,-0.249674902,0,0.332755633,0.125487646,-0.222414789,-0.428677563,0.500650195,-0.166377816,-0.200623701,-0.249674902,-0.332755633,0,-0.501298701,0,0,0,0,0,0,0,0,0,0,0
