me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67760,67760,67760,67760,67760,67760,67760,67760,67760,67760,67760,67760,119497,119497,119497,119497,119497,119497,119497,119497,119497,119497,119497,119497,119497,119497,119497,119497,119497,119497,119497,119497,119497,119497,278055,278055,278055,278055,278055,278055,278055,278055,278055,278055,278055,278055,311183,311183,311183,311183,311183,311183,311183,311183,311183,311183,311183,311183,234407,234407,234407,234407,234407,234407,234407,234407,234407,234407,234407,234407,232790,232790,232790,232790,232790,232790,232790,232790,232790,232790,232790,232790,298708,298708,298708,298708,298708,298708,298708,298708,298708,298708,298708,298708,360945,360945,360945,360945,360945,360945,360945,360945,360945,360945,360945,360945,403411,403411,403411,403411,403411,403411,403411,403411,403411,403411,403411,403411
Excess return,Industrials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0649,0.03296927,-0.014750285,-0.066270865,-0.193137569,-0.069461626,-0.068177128,-0.128853865,-0.089488867,-0.187786429,-0.290498824,-0.081305574,-0.139716604,-0.16438695,-0.211495095,-0.457150712,-0.2226621,-0.083887814,-0.20795374,-0.440335958,-0.301776437,-0.381871139,-0.19170681,-0.343260799,0.099068873,-0.135831497,-0.365981993,-0.072926672,0.044422379,0.099666358,-0.061226231,-0.048244727,-0.350901823,-0.244104726,-0.111622448,-0.220979555,-0.115611442,-0.007046438,-0.166806408,-0.179623229,0.081003611,-0.32326567,-0.067817999,-0.027224857,-0.203292064,0.083514021,-0.237970528,-0.112215668,-0.151932875,-0.189642896,-0.211026621,-0.3692818,-0.292597279,0.133945328,-0.1571126,-0.200428805,-0.12912919,-0.158456156,0.004558498,0.039050445,-0.1718107,-0.1782177,-0.248774518,-0.297067676,-0.170764693,-0.1536614,-0.082363534,-0.175303533,-0.154186472,-0.150780675,-0.174642053,-0.002017433,-0.094556058,-0.076654186,-0.2253488,-0.190694914,-0.076634764,-0.13252982,0.083148492,-0.109460544,-0.167131753,-0.085755814
Risk premium,Industrials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0974,-1.4402,-0.4674,-0.018,-0.0912,0.1137,0.0288,0.0166,0.2928,0.693,0.7442,0.6922,0.6634,0.6482,0.9313,0.8545,0.8456,0.7417,0.9229,0.9018,0.8651,0.8507,0.8844,1.0783,1.0856,0.8742,0.8567,0.9606,1.0066,1.0231,1.0525,1.0424,1.0378,0.9947,1.0169,1.033,1.044,0.9698,0.9662,1.0715,1.2242,1.2219,1.0866,1.0775,1.1425,1.0633,0.9188,0.9246,0.9237,1.4776,1.5716,1.5933,1.5341,1.4648,1.2502,1.2523,1.2636,1.4036,1.5144,1.4976,1.5089,1.5979,1.61,1.3437,1.3384,1.3978,1.2657,1.2442,0.9393,0.8419,0.7001,0.6994,0.6459,0.3825,0.3776,0.3009,0.2953,0.4068,0.5239,0.5698,0.342,
VO monthly avg,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.58,825.98,437.18,141.95,245.35,159.4,212.46,181.68,178.13,107.99,52.14,168.2,111.3,72.62,103.52,33.79,636.08,70.9,184.25,46.57,184.43,154.8,117.69,183.06,75.42,325.21,93.81,72.25,79.42,48.34,121.05,30.71,267.85,112.98,65.46,17.58,245.73,398.28,129.91,69.03,30.1,26.51,57.79,15.45,51.93,146.22,297.21,23.66,38.32,45.78,41.89,25.32,46.27,88.59,41.4,53.59,60.5,94.89,42.61,34.19,44.91,95.25,36.67,92.7,192.47,27.76,28.81,19.65,45.19,22.42,7.83,13.93,38.77,115.51,79.57,38.43,9.76,13.29,70.53,66.1,49.52,238.37,24.01
Total assets,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122204,122204,122204,122204,122204,122204,122204,122204,122204,122204,122204,122204,235625,235625,235625,235625,235625,235625,235625,235625,235625,235625,235625,235625,235625,235625,235625,235625,235625,235625,235625,235625,235625,235625,936960,936960,936960,936960,936960,936960,936960,936960,936960,936960,936960,936960,987376,987376,987376,987376,987376,987376,987376,987376,987376,987376,987376,987376,924179,924179,924179,924179,924179,924179,924179,924179,924179,924179,924179,924179,969641,969641,969641,969641,969641,969641,969641,969641,969641,969641,969641,969641,1081702,1081702,1081702,1081702,1081702,1081702,1081702,1081702,1081702,1081702,1081702,1081702,1025815,1025815,1025815,1025815,1025815,1025815,1025815,1025815,1025815,1025815,1025815,1025815,947657,947657,947657,947657,947657,947657,947657,947657,947657,947657,947657,947657
Net sales,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211334,211334,211334,211334,211334,211334,211334,211334,211334,211334,211334,211334,549972,549972,549972,549972,549972,549972,549972,549972,549972,549972,549972,549972,549972,549972,549972,549972,549972,549972,549972,549972,549972,549972,852594,852594,852594,852594,852594,852594,852594,852594,852594,852594,852594,852594,1136617,1136617,1136617,1136617,1136617,1136617,1136617,1136617,1136617,1136617,1136617,1136617,957972,957972,957972,957972,957972,957972,957972,957972,957972,957972,957972,957972,1138130,1138130,1138130,1138130,1138130,1138130,1138130,1138130,1138130,1138130,1138130,1138130,1261019,1261019,1261019,1261019,1261019,1261019,1261019,1261019,1261019,1261019,1261019,1261019,1406317,1406317,1406317,1406317,1406317,1406317,1406317,1406317,1406317,1406317,1406317,1406317,1690921,1690921,1690921,1690921,1690921,1690921,1690921,1690921,1690921,1690921,1690921,1690921
common equity,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54444,54444,54444,54444,54444,54444,54444,54444,54444,54444,54444,54444,116128,116128,116128,116128,116128,116128,116128,116128,116128,116128,116128,116128,116128,116128,116128,116128,116128,116128,116128,116128,116128,116128,639236,639236,639236,639236,639236,639236,639236,639236,639236,639236,639236,639236,658115,658115,658115,658115,658115,658115,658115,658115,658115,658115,658115,658115,689772,689772,689772,689772,689772,689772,689772,689772,689772,689772,689772,689772,736851,736851,736851,736851,736851,736851,736851,736851,736851,736851,736851,736851,782994,782994,782994,782994,782994,782994,782994,782994,782994,782994,782994,782994,664870,664870,664870,664870,664870,664870,664870,664870,664870,664870,664870,664870,544246,544246,544246,544246,544246,544246,544246,544246,544246,544246,544246,544246
Turnover ratio,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05%,0.7%,0.37%,0.12%,0.21%,0.13%,0.14%,0.12%,0.11%,0.07%,0.03%,0.11%,0.07%,0.05%,0.07%,0.02%,0.41%,0.05%,0.12%,0.03%,0.12%,0.1%,0.08%,0.12%,0.05%,0.21%,0.06%,0.05%,0.05%,0.03%,0.08%,0.02%,0.17%,0.07%,0.04%,0.01%,0.16%,0.25%,0.08%,0.04%,0.02%,0.02%,0.04%,0.01%,0.03%,0.09%,0.19%,0.02%,0.02%,0.03%,0.03%,0.02%,0.03%,0.06%,0.03%,0.03%,0.04%,0.06%,0.03%,0.02%,0.03%,0.06%,0.02%,0.06%,0.12%,0.02%,0.02%,0.01%,0.03%,0.01%,0.01%,0.01%,0.02%,0.07%,0.05%,0.02%,0.01%,0.01%,0.05%,0.04%,0.03%,0.15%,0.02%
Return monthly,Industrials,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,-0.0649,0.02213667,0.040803515,0.018295135,-0.112833169,0.020251474,0.014287272,-0.042258065,0.014707533,-0.057977429,-0.153864224,0.054553026,-0.003422404,-0.02285035,-0.045823195,-0.311517212,-0.0781893,0.051339286,-0.05881104,-0.300022558,-0.174025137,-0.248927039,-0.05038961,-0.189277899,0.252361673,0.007543103,-0.222459893,0.076341128,0.194888179,0.251871658,0.094831269,0.108076473,-0.195070423,-0.090988626,0.039942252,-0.070800555,0.034860558,0.141000962,-0.018135808,-0.030068729,0.237378211,-0.16678597,0.079037801,0.123407643,-0.049964564,0.236851921,-0.093486128,0.032934132,-0.009339775,-0.013654096,-0.028015821,-0.1865039,-0.117548979,0.308927728,0,-0.042583905,0.02977761,0.007320644,0.178415698,0.212149245,0,0,-0.075044518,-0.145764576,-0.018995493,0,0.064325566,-0.030218933,-0.031160572,-0.032490975,-0.066485753,0.107194767,0.006235642,0.019243314,-0.12576,-0.093338214,0.023819136,-0.03115142,0.192104192,0.006486856,-0.066485753,-0.085755814
Def tax,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8034,8034,8034,8034,8034,8034,8034,8034,8034,8034,8034,8034,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,9486,29837,29837,29837,29837,29837,29837,29837,29837,29837,29837,29837,29837,29497,29497,29497,29497,29497,29497,29497,29497,29497,29497,29497,29497,26818,26818,26818,26818,26818,26818,26818,26818,26818,26818,26818,26818,28566,28566,28566,28566,28566,28566,28566,28566,28566,28566,28566,28566,33842,33842,33842,33842,33842,33842,33842,33842,33842,33842,33842,33842,33425,33425,33425,33425,33425,33425,33425,33425,33425,33425,33425,33425,33629,33629,33629,33629,33629,33629,33629,33629,33629,33629,33629,33629
Price monthly,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,7.2,7.36,7.66,7.8,6.92,7,7.1,6.8,6.9,6.5,5.5,5.8,5.78,5.45,5.2,3.58,3.3,3.47,3.2,2.24,1.85,1.39,1.32,1.07,1.34,1.35,1.05,1.13,1.35,1.69,1.85,2.05,1.65,1.5,1.56,1.45,1.5,1.68,1.65,1.6,1.98,1.65,1.78,2,1.9,2.35,2.13,2.2,2.18,2.15,2.09,1.7,1.5,1.41,1.41,1.35,1.39,1.4,1.65,2,2,2,1.85,1.58,1.55,1.55,1.65,1.6,1.55,1.5,1.4,1.55,1.56,1.59,1.39,1.26,1.29,1.25,1.49,1.5,1.4,1.28
MV monthly,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913.99,854.64,873.63,909.24,925.86,821.4,1094.65,1110.29,1063.38,1079.01,1016.46,860.08,907,903.87,852.26,813.17,559.84,516.05,542.63,500.41,350.29,289.3,217.37,206.42,167.33,209.55,211.11,164.2,176.71,211.11,264.28,289.3,320.58,258.02,234.57,243.95,226.75,234.57,262.72,258.02,250.21,309.63,258.02,278.35,312.76,297.12,367.49,333.09,344.03,340.91,336.21,326.83,265.84,234.57,220.49,220.49,211.11,217.37,218.93,258.02,312.76,312.76,312.76,289.3,247.08,242.39,242.39,258.02,250.21,242.39,234.57,218.93,242.39,243.95,248.64,217.37,197.04,201.73,195.47,233,234.57,218.93,200.16
