me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Fincials,184317,184317,184317,184317,184317,184317,184317,210668,210668,210668,210668,210668,210668,210668,210668,210668,210668,210668,210668,218842,218842,218842,218842,218842,218842,218842,218842,218842,218842,218842,218842,281785,281785,281785,281785,281785,281785,281785,281785,281785,281785,281785,281785,429805,429805,429805,429805,429805,429805,429805,429805,429805,429805,429805,429805,870718,870718,870718,870718,870718,870718,870718,870718,870718,870718,870718,870718,870718,870718,870718,870718,870718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excess return,Fincials,,-0.111443687,-0.113730728,-0.095776225,-0.09694085,-0.164501406,-0.039580862,-0.109886403,-0.108284561,-0.067784438,-0.100012872,-0.097996646,-0.232022798,-0.176751076,-0.105319428,-0.208786169,-0.142672362,-0.076455247,-0.077378877,-0.167417845,-0.092781211,0.002560828,-0.172694619,-0.017938832,-0.101091907,-0.15966036,0.023688354,-0.080534556,-0.110782513,0.004586382,-0.002137407,-0.1168476,-0.093435954,-0.060447419,-0.039735366,-0.162647112,-0.069527381,-0.142763565,-0.039983041,-0.011376145,-0.153796638,-0.17944754,-0.1417637,-0.119880798,-0.073574706,-0.098565152,-0.115322883,-0.092128478,0.097455885,-0.191194868,0.084408988,-0.175633898,-0.101025814,-0.084244297,-0.105835628,-0.025091344,0.0097965,-0.151658895,-0.060700036,-0.141543335,0.020083986,-0.084068058,-0.054439472,-0.05189272,-0.076748897,-0.15241107,-0.26430806,-0.029035157,0.009094087,-0.145949435,0.013693467,-0.009437642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risk premium,Fincials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Fincials,0.4711,0.4647,0.4738,0.492,0.484,0.4549,0.4393,0.4396,0.3911,0.3685,0.3683,0.28,0.2982,0.2971,0.2906,0.2863,0.2852,0.2505,0.3082,0.3103,0.2983,0.3046,0.311,0.2767,0.2987,0.2615,0.2254,0.2261,0.3518,0.3501,0.3438,0.3452,0.4083,0.4388,0.4522,0.5915,0.5676,0.5708,0.5793,0.5893,0.5845,0.5919,0.5899,0.6106,0.5861,0.5729,0.5574,0.5554,0.5195,0.6633,0.6955,0.6646,0.6506,0.6499,0.7028,0.6963,0.5445,0.4939,0.4599,0.5313,0.5349,0.5348,0.5212,0.4908,0.5159,0.4973,0.4301,0.4595,0.49,0.5205,0.5194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VO monthly avg,Fincials,1.7,3.95,4.23,5.2,1.93,4.73,6.2,2.99,6.07,8.39,4.55,44.25,75.52,7.05,7.52,4.24,4.38,0.83,4.09,3.28,1.3,3.58,2.2,5.99,3.93,4.44,2.22,2.28,2.58,3.94,11.88,33.72,6.06,52.25,12.67,18.05,5.22,13.41,2.51,3.48,20.2,32.7,6.52,8.09,7.39,15.26,9.07,37.11,3.21,18.16,64.93,84.45,17.51,21.62,19.89,14.31,20.33,70.86,64.83,21.98,20,15.56,55.74,81.08,16.6,23.98,121.81,44.86,24.12,96.03,52.96,48.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total assets,Fincials,345996,345996,345996,345996,345996,345996,345996,384658,384658,384658,384658,384658,384658,384658,384658,384658,384658,384658,384658,433329,433329,433329,433329,433329,433329,433329,433329,433329,433329,433329,433329,545614,545614,545614,545614,545614,545614,545614,545614,545614,545614,545614,545614,997031,997031,997031,997031,997031,997031,997031,997031,997031,997031,997031,997031,1756114,1756114,1756114,1756114,1756114,1756114,1756114,1756114,1756114,1756114,1756114,1756114,1756114,1756114,1756114,1756114,1756114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net sales,Fincials,52711,52711,52711,52711,52711,52711,52711,52832,52832,52832,52832,52832,52832,52832,52832,52832,52832,52832,52832,58651,58651,58651,58651,58651,58651,58651,58651,58651,58651,58651,58651,79955,79955,79955,79955,79955,79955,79955,79955,79955,79955,79955,79955,112319,112319,112319,112319,112319,112319,112319,112319,112319,112319,112319,112319,175194,175194,175194,175194,175194,175194,175194,175194,175194,175194,175194,175194,175194,175194,175194,175194,175194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
common equity,Fincials,161679,161679,161679,161679,161679,161679,161679,173990,173990,173990,173990,173990,173990,173990,173990,173990,173990,173990,173990,214487,214487,214487,214487,214487,214487,214487,214487,214487,214487,214487,214487,263829,263829,263829,263829,263829,263829,263829,263829,263829,263829,263829,263829,567226,567226,567226,567226,567226,567226,567226,567226,567226,567226,567226,567226,884750,884750,884750,884750,884750,884750,884750,884750,884750,884750,884750,884750,884750,884750,884750,884750,884750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnover ratio,Fincials,0.01%,0.03%,0.03%,0.04%,0.01%,0.03%,0.04%,0.02%,0.04%,0.06%,0.03%,0.31%,0.53%,0.05%,0.05%,0.03%,0.03%,0.01%,0.03%,0.02%,0.01%,0.03%,0.02%,0.04%,0.03%,0.03%,0.02%,0.02%,0.02%,0.03%,0.06%,0.18%,0.03%,0.27%,0.07%,0.09%,0.03%,0.07%,0.01%,0.02%,0.11%,0.17%,0.03%,0.04%,0.04%,0.07%,0.04%,0.18%,0.01%,0.08%,0.3%,0.32%,0.07%,0.08%,0.08%,0.05%,0.07%,0.25%,0.23%,0.08%,0.07%,0.04%,0.15%,0.22%,0.05%,0.07%,0.34%,0.12%,0.07%,0.27%,0.15%,0.13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Fincials,,0.041432413,0.032918672,0.057319775,0.05405115,-0.017942706,0.096595038,0.023808397,0.023254739,0.062531062,0.028490028,0.022243354,-0.097836198,-0.036133776,0.037488372,-0.058549269,-0.006904762,0.055526253,0.059237723,-0.037268945,0.038711689,0.133550628,-0.041201619,0.104293268,0.022226193,-0.04348586,0.136388554,0.032609744,0.009280887,0.122442682,0.113621993,0,0.028586946,0.061296981,0.079353234,-0.033082612,0.057031419,-0.010803165,0.090912859,0.122449755,-0.016873138,-0.04005784,0,0.023187002,0.067949594,0.042127548,0.024393317,0.029761722,0.210984385,-0.069206968,0.205125488,-0.047564098,0.023261986,0.040899403,0.018340772,0.097775556,0.125,-0.039443195,0.048873664,-0.030471435,0.128282686,0.023924342,0.051196128,0.05372768,0.029852803,-0.04348117,-0.15151176,0.085713343,0.126644087,-0.032757935,0.126765667,0.069162358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
